Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2025-26,1642468,Darius Brown,1610612739,CLE,26.0,Darius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
2025-26,1629636,Darius Garland,1610612746,LAC,26.0,Darius,2.5,4.5,0.544,1.4,2.7,0.512,0.3,0.9,0.359,2.7,6.8,0.396,0.0,0.0,0.0
2025-26,1642357,David Jones Garcia,1610612759,SAS,24.0,David,0.9,1.8,0.5,0.1,0.2,0.5,0.0,0.0,0.0,0.3,0.5,0.6,0.0,0.0,0.0
2025-26,1631223,David Roddy,1610612743,DEN,25.0,David,2.4,3.8,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.2,0.273,0.0,0.0,0.0
2025-26,1630558,Davion Mitchell,1610612748,MIA,27.0,Davion,1.9,3.2,0.596,0.4,0.9,0.467,0.1,0.3,0.45,1.3,3.3,0.395,0.0,0.0,0.0
2025-26,1630549,Day'Ron Sharpe,1610612751,BKN,24.0,Day'Ron,3.3,4.9,0.669,0.0,0.1,0.111,0.0,0.0,0.0,0.1,0.6,0.231,0.0,0.0,0.0
2025-26,1628368,De'Aaron Fox,1610612759,SAS,28.0,De'Aaron,3.2,4.9,0.64,1.6,3.2,0.502,0.5,1.0,0.522,1.8,5.5,0.332,0.0,0.0,0.0
2025-26,1629631,De'Andre Hunter,1610612758,SAC,28.0,De'Andre,1.5,2.7,0.553,1.1,2.2,0.505,0.3,0.7,0.455,1.7,5.5,0.305,0.0,0.0,0.0
2025-26,1629001,De'Anthony Melton,1610612744,GSW,27.0,De'Anthony,2.4,4.7,0.522,0.3,0.7,0.457,0.2,0.4,0.4,1.5,5.0,0.294,0.0,0.0,0.0
2025-26,201599,DeAndre Jordan,1610612740,NOP,37.0,DeAndre,1.8,2.6,0.677,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1630610,DeJon Jarreau,1610612763,MEM,28.0,DeJon,1.9,3.1,0.618,0.7,1.5,0.5,0.0,0.3,0.0,0.4,2.7,0.133,0.0,0.0,0.0
2025-26,201942,DeMar DeRozan,1610612758,SAC,36.0,DeMar,1.8,2.8,0.642,2.4,4.8,0.508,1.6,3.5,0.458,0.6,1.9,0.324,0.0,0.0,0.0
2025-26,1629731,Dean Wade,1610612739,CLE,29.0,Dean,0.8,1.2,0.671,0.0,0.2,0.222,0.0,0.1,0.667,1.2,3.3,0.362,0.0,0.0,0.0
2025-26,1629028,Deandre Ayton,1610612747,LAL,27.0,Deandre,4.6,6.3,0.729,0.9,1.8,0.485,0.1,0.2,0.533,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1627749,Dejounte Murray,1610612740,NOP,29.0,Dejounte,3.0,5.1,0.583,1.6,2.7,0.605,0.3,0.7,0.4,1.4,4.4,0.306,0.0,0.0,0.0
2025-26,1630166,Deni Avdija,1610612757,POR,25.0,Deni,4.7,8.2,0.57,0.8,1.7,0.472,0.2,0.4,0.393,1.9,6.0,0.318,0.0,0.0,0.0
2025-26,203471,Dennis Schröder,1610612739,CLE,32.0,Dennis,1.6,3.1,0.505,0.7,1.8,0.372,0.3,0.7,0.404,1.1,3.3,0.329,0.0,0.0,0.0
2025-26,1641726,Dereck Lively II,1610612742,DAL,22.0,Dereck,1.4,2.4,0.588,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
