playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
Antonio Reeves,28.8,41.0,14.7,24.5,0.0,10.504,13.583,26.554,0.35,3.569,12.296,5.853,1.339,0.0,0.095,0.0,0.0,0.0,0.0,28.8,41.0,14.7,24.5,0.0,10.504,13.583,26.554,0.35,3.569,12.296,5.853,1.339,0.0,0.095,0.0,0.0,0.0,0.0,28.8,41.0,14.7,24.5,0.0,10.504,13.583,26.554,0.35,3.569,12.296,5.853,1.339,0.0,0.095,0.0,0.0,0.0,0.0
Ariel Hukporti,36.2,34.8,42.4,44.6,0.0,10.605,19.682,24.558,0.317,3.369,16.958,2.65,2.31,0.43,0.234,0.0,0.0,0.0,0.0,36.2,34.8,42.4,44.6,0.0,10.605,19.682,24.558,0.317,3.369,16.958,2.65,2.31,0.43,0.234,0.0,0.0,0.0,0.0,36.2,34.8,42.4,44.6,0.0,10.605,19.682,24.558,0.317,3.369,16.958,2.65,2.31,0.43,0.234,0.0,0.0,0.0,0.0
Asa Newell,43.13333333333333,40.46666666666667,43.166666666666664,46.6,7.166666666666667,10.625666666666666,19.796000000000003,25.634,0.389,2.9279999999999995,19.045666666666666,2.9210000000000007,2.404333333333333,0.34800000000000003,0.314,4.089333333333333,0.8966666666666666,0.8966666666666666,7.851,61.1,53.1,88.1,77.3,21.5,10.703,25.661,28.932,0.417,3.523,33.515,4.017,4.685,1.044,0.606,12.268,2.69,2.69,23.553,129.4,121.4,129.5,139.8,21.5,31.877,59.388000000000005,76.902,1.167,8.783999999999999,57.137,8.763000000000002,7.213,1.044,0.942,12.268,2.69,2.69,23.553
Ausar Thompson,40.68571428571429,45.08571428571429,19.6,35.84285714285714,15.057142857142855,10.540857142857144,12.021142857142857,27.485000000000003,0.41428571428571426,2.900714285714286,44.347142857142856,3.363571428571429,1.1301428571428571,0.118,0.08214285714285714,0.0,0.7344285714285714,0.7162857142857143,16.238714285714284,61.7,56.4,52.6,58.8,44.8,10.737,18.395,31.172,0.55,3.997,77.796,6.419,1.744,0.826,0.235,0.0,2.002,1.956,47.349,284.8,315.6,137.20000000000002,250.9,105.39999999999999,73.786,84.148,192.395,2.9,20.305,310.43,23.545,7.911,0.826,0.575,0.0,5.141,5.014,113.67099999999999
Austin Reaves,27.3,41.1,10.5,23.1,0.0,10.477,9.063,26.023,0.4,3.616,49.118,7.234,1.075,0.0,0.022,0.0,0.0,0.0,0.0,27.3,41.1,10.5,23.1,0.0,10.477,9.063,26.023,0.4,3.616,49.118,7.234,1.075,0.0,0.022,0.0,0.0,0.0,0.0,27.3,41.1,10.5,23.1,0.0,10.477,9.063,26.023,0.4,3.616,49.118,7.234,1.075,0.0,0.022,0.0,0.0,0.0,0.0
Bam Adebayo,35.4,27.74,27.0,33.36,19.7,10.537,15.9558,22.2836,0.3632,2.88,21.0252,2.557,1.7284,0.18639999999999998,0.1734,0.0,0.0,0.0,21.5258,39.3,31.9,48.2,45.0,32.7,10.619,19.18,23.814,0.4,3.888,42.409,4.054,2.046,0.478,0.36,0.0,0.0,0.0,35.712,177.0,138.7,135.0,166.8,98.5,52.685,79.779,111.418,1.816,14.4,105.126,12.785,8.642,0.9319999999999999,0.867,0.0,0.0,0.0,107.629
Ben Sheppard,26.5,36.7,11.3,25.6,0.0,10.357,10.215,24.959,0.416,3.423,25.569,6.367,1.527,0.0,0.039,0.0,0.0,0.0,0.0,26.5,36.7,11.3,25.6,0.0,10.357,10.215,24.959,0.416,3.423,25.569,6.367,1.527,0.0,0.039,0.0,0.0,0.0,0.0,26.5,36.7,11.3,25.6,0.0,10.357,10.215,24.959,0.416,3.423,25.569,6.367,1.527,0.0,0.039,0.0,0.0,0.0,0.0
Bennedict Mathurin,24.5,34.6,11.5,22.4,0.0,10.493,11.385,24.024,0.367,3.915,66.591,5.737,0.928,0.0,0.031,0.0,0.0,0.0,0.0,24.5,34.6,11.5,22.4,0.0,10.493,11.385,24.024,0.367,3.915,66.591,5.737,0.928,0.0,0.031,0.0,0.0,0.0,0.0,24.5,34.6,11.5,22.4,0.0,10.493,11.385,24.024,0.367,3.915,66.591,5.737,0.928,0.0,0.031,0.0,0.0,0.0,0.0
Bilal Coulibaly,36.96666666666667,54.03333333333333,15.266666666666666,31.766666666666666,0.0,10.698666666666668,13.620666666666667,30.60166666666667,0.389,2.771333333333333,24.492333333333335,2.5763333333333334,1.4256666666666666,0.0,0.10533333333333333,9.412,0.8613333333333334,0.8116666666666666,0.0,49.9,74.0,16.9,44.1,0.0,10.987,15.512,35.176,0.517,3.108,48.37,2.77,1.704,0.0,0.131,28.236,2.584,2.435,0.0,110.9,162.1,45.8,95.3,0.0,32.096000000000004,40.862,91.805,1.167,8.314,73.477,7.729,4.277,0.0,0.316,28.236,2.584,2.435,0.0
Bismack Biyombo,32.1,20.2,49.1,62.6,1.7,10.504,3.08,17.586,0.533,2.261,45.188,1.818,1.131,1.059,0.007,0.0,0.0,0.0,1.882,32.1,20.2,49.1,62.6,1.7,10.504,3.08,17.586,0.533,2.261,45.188,1.818,1.131,1.059,0.007,0.0,0.0,0.0,1.882,32.1,20.2,49.1,62.6,1.7,10.504,3.08,17.586,0.533,2.261,45.188,1.818,1.131,1.059,0.007,0.0,0.0,0.0,1.882
