playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
Ariel Hukporti,36.2,34.8,42.4,44.6,0.0,10.605,19.682,24.558,0.317,3.369,16.958,2.65,2.31,0.43,0.234,0.0,0.0,0.0,0.0,36.2,34.8,42.4,44.6,0.0,10.605,19.682,24.558,0.317,3.369,16.958,2.65,2.31,0.43,0.234,0.0,0.0,0.0,0.0,36.2,34.8,42.4,44.6,0.0,10.605,19.682,24.558,0.317,3.369,16.958,2.65,2.31,0.43,0.234,0.0,0.0,0.0,0.0
Asa Newell,43.13333333333333,40.46666666666667,43.166666666666664,46.6,7.166666666666667,10.625666666666666,19.796000000000003,25.634,0.389,2.9279999999999995,19.045666666666666,2.9210000000000007,2.404333333333333,0.34800000000000003,0.314,4.089333333333333,0.8966666666666666,0.8966666666666666,7.851,61.1,53.1,88.1,77.3,21.5,10.703,25.661,28.932,0.417,3.523,33.515,4.017,4.685,1.044,0.606,12.268,2.69,2.69,23.553,129.4,121.4,129.5,139.8,21.5,31.877,59.388000000000005,76.902,1.167,8.783999999999999,57.137,8.763000000000002,7.213,1.044,0.942,12.268,2.69,2.69,23.553
Ausar Thompson,42.18125,51.41875,23.51875,36.4375,10.40625,10.5793125,13.5703125,27.1028125,0.4156875,4.5793125,35.2639375,5.3323125000000005,1.3196875000000001,0.17825,0.094375,1.3689375,0.5506875,0.5316875,11.261624999999999,64.8,74.6,57.0,61.9,44.8,10.737,19.909,31.172,0.55,7.029,77.796,8.992,2.907,0.826,0.235,21.903,3.67,3.493,47.349,674.9,822.7,376.3,583.0,166.5,169.269,217.125,433.645,6.651,73.269,564.223,85.31700000000001,21.115000000000002,2.852,1.51,21.903,8.811,8.507,180.18599999999998
Austin Reaves,28.9,43.2,12.95,23.1,0.0,10.499,11.788499999999999,26.5415,0.3835,3.8499999999999996,59.3695,7.303,1.072,0.0,0.059,0.0,0.0,0.0,0.0,30.5,45.3,15.4,23.1,0.0,10.521,14.514,27.06,0.4,4.084,69.621,7.372,1.075,0.0,0.096,0.0,0.0,0.0,0.0,57.8,86.4,25.9,46.2,0.0,20.998,23.576999999999998,53.083,0.767,7.699999999999999,118.739,14.606,2.144,0.0,0.118,0.0,0.0,0.0,0.0
Ayo Dosunmu,35.125,55.775,13.3,24.575,0.025,10.527000000000001,12.57175,28.36625,0.41675,4.9647499999999996,33.922,7.546,1.162,0.0,0.0635,0.0,0.0,0.0,0.03075,38.3,61.2,16.8,26.8,0.1,10.654,14.463,28.948,0.466,5.826,48.279,8.212,1.547,0.0,0.137,0.0,0.0,0.0,0.075,140.5,223.1,53.2,98.3,0.1,42.108000000000004,50.287,113.465,1.667,19.858999999999998,135.688,30.184,4.648,0.0,0.254,0.0,0.0,0.0,0.123
Bam Adebayo,44.11818181818182,48.33636363636363,31.245454545454546,35.77272727272727,12.918181818181818,10.664272727272728,16.836727272727273,25.816636363636363,0.41054545454545455,4.572181818181818,31.520909090909093,4.34990909090909,1.266181818181818,0.17045454545454544,0.2849090909090909,3.947545454545455,0.9111818181818182,0.8900000000000001,14.107454545454546,86.8,78.5,92.6,81.9,32.7,11.027,25.271,33.954,0.567,7.458,59.009,8.523,2.046,0.943,1.143,16.918,5.387,5.325,35.712,485.3,531.6999999999999,343.7,393.5,142.1,117.307,185.204,283.983,4.516,50.294,346.73,47.849,13.927999999999999,1.875,3.134,43.423,10.023,9.790000000000001,155.18200000000002
Ben Saraf,39.6,57.2,18.6,24.6,6.1,10.525,16.657,27.071,0.417,6.027,86.203,8.345,1.352,0.0,0.121,0.0,0.0,0.0,6.66,39.6,57.2,18.6,24.6,6.1,10.525,16.657,27.071,0.417,6.027,86.203,8.345,1.352,0.0,0.121,0.0,0.0,0.0,6.66,39.6,57.2,18.6,24.6,6.1,10.525,16.657,27.071,0.417,6.027,86.203,8.345,1.352,0.0,0.121,0.0,0.0,0.0,6.66
Ben Sheppard,28.2,42.150000000000006,10.8,23.9,0.0,10.378499999999999,9.3555,25.015,0.433,4.3835,29.308,7.034,1.2035,0.0,0.03,0.0,0.0,0.0,0.0,29.9,47.6,11.3,25.6,0.0,10.4,10.215,25.071,0.45,5.344,33.047,7.701,1.527,0.0,0.039,0.0,0.0,0.0,0.0,56.4,84.30000000000001,21.6,47.8,0.0,20.756999999999998,18.711,50.03,0.866,8.767,58.616,14.068,2.407,0.0,0.06,0.0,0.0,0.0,0.0
Bennedict Mathurin,31.15,47.150000000000006,14.275,24.275,0.2,10.52175,12.02575,25.4795,0.39175,5.2444999999999995,51.3845,7.21725,1.07425,0.05775,0.06125,0.0,0.0,0.0,0.22075,42.3,66.4,23.1,27.5,0.8,10.648,15.057,28.517,0.433,6.592,66.591,8.449,1.201,0.231,0.151,0.0,0.0,0.0,0.859,124.6,188.60000000000002,57.1,97.1,0.8,42.087,48.103,101.918,1.567,20.977999999999998,205.538,28.869,4.297,0.231,0.245,0.0,0.0,0.0,0.883
Bilal Coulibaly,53.32142857142857,68.40714285714286,34.607142857142854,34.00714285714286,10.692857142857145,10.805214285714285,19.711071428571426,30.011571428571433,0.4049285714285714,5.984642857142857,45.35078571428571,7.144642857142857,1.9339285714285714,0.05221428571428571,0.5549285714285714,2.016857142857143,0.18457142857142858,0.17392857142857143,11.210571428571429,101.7,89.9,90.8,68.3,54.6,11.285,34.139,35.176,0.517,8.24,89.08,10.469,3.076,0.731,1.991,28.236,2.584,2.435,53.77,746.5,957.7,484.5,476.1,149.70000000000002,151.273,275.955,420.16200000000003,5.669,83.785,634.911,100.025,27.075,0.731,7.769,28.236,2.584,2.435,156.948
