36,P.J. Washington,27,DAL,PF,12,12,367,12.5,.529,.345,.387,4.0,21.4,12.8,12.1,1.4,3.3,15.7,22.5,-0.4,0.6,0.2,.029,-3.2,0.8,-2.5,0.0,,washipj01
37,Keyonte George,22,UTA,PG,11,11,366,17.0,.582,.394,.521,1.5,11.2,6.3,34.4,1.0,1.1,15.1,26.5,0.7,0.1,0.8,.107,1.7,-1.4,0.3,0.2,,georgke01
38,Julius Randle,31,MIN,PF,11,11,366,25.7,.663,.309,.416,4.9,18.7,12.1,28.9,1.8,0.8,12.5,28.1,1.4,0.4,1.8,.242,6.0,0.6,6.6,0.8,,randlju01
39,Ajay Mitchell,23,OKC,SG,13,5,365,18.9,.571,.287,.287,3.4,11.2,7.4,20.7,3.2,0.9,10.3,25.3,0.5,0.8,1.4,.179,0.4,1.9,2.3,0.4,,mitchaj01
40,Jimmy Butler,36,GSW,SF,12,12,365,24.1,.660,.224,.672,8.0,12.0,10.0,24.7,2.4,1.0,8.0,22.0,1.5,0.4,2.0,.261,5.4,0.9,6.3,0.8,,butleji01
41,Davion Mitchell,27,MIA,PG,12,12,365,12.3,.563,.354,.152,1.8,7.1,4.6,30.0,2.2,0.3,16.6,14.2,0.4,0.4,0.8,.104,-1.6,1.1,-0.5,0.1,,mitchda01
42,Royce O'Neale,32,PHO,SF,12,8,365,14.4,.662,.841,.053,3.7,17.5,10.5,15.0,2.3,0.5,14.7,15.5,0.5,0.4,1.0,.126,1.3,0.2,1.5,0.3,,onealro01
43,Brandon Ingram,28,TOR,SF,11,11,365,17.5,.599,.270,.287,2.1,18.2,10.2,18.2,1.2,1.8,12.1,25.7,0.4,0.4,0.8,.107,0.8,-0.2,0.6,0.2,,ingrabr01
44,Devin Vassell,25,SAS,SG,11,11,365,9.9,.533,.632,.125,1.6,10.6,6.3,8.2,1.3,0.5,7.7,18.0,0.1,0.4,0.5,.068,-2.0,-1.0,-3.0,-0.1,,vassede01
45,Stephon Castle,21,SAS,PG,11,11,364,18.5,.584,.324,.517,5.9,14.9,10.6,34.9,2.6,1.0,20.2,25.9,0.5,0.6,1.0,.138,0.3,0.5,0.8,0.3,,castlst01
46,Max Christie,22,DAL,SG,12,9,363,12.6,.640,.614,.158,0.3,10.7,5.5,14.4,0.6,1.6,9.0,15.5,0.4,0.4,0.8,.109,-0.1,-0.1,-0.2,0.2,,chrisma02
47,Dennis Schröder,32,SAC,PG,12,12,362,10.1,.470,.368,.147,1.2,11.3,6.1,27.5,1.7,0.8,15.2,19.9,-0.3,0.1,-0.3,-0.034,-2.9,-1.7,-4.6,-0.2,,schrode01
48,Alperen Şengün,23,HOU,C,10,10,361,21.4,.580,.196,.468,8.9,22.5,16.0,28.9,1.6,1.9,15.5,25.8,0.9,0.5,1.4,.190,3.9,1.0,4.9,0.6,,sengual01
49,Jonathan Kuminga,23,GSW,PF,13,12,360,12.7,.570,.272,.353,6.6,20.8,13.6,16.3,0.7,1.0,18.2,22.7,-0.1,0.4,0.3,.043,-2.5,-1.5,-4.0,-0.2,,kuminjo01
50,Karl-Anthony Towns,30,NYK,C,11,11,359,20.1,.573,.337,.429,10.0,34.5,21.3,14.5,1.5,3.3,13.4,25.7,0.6,0.6,1.2,.161,0.7,0.6,1.3,0.3,,townska01
51,Jaime Jaquez Jr.,24,MIA,SF,12,0,358,18.5,.603,.154,.309,4.0,19.7,12.4,23.9,1.1,1.0,11.0,21.8,0.7,0.5,1.2,.155,1.3,1.3,2.6,0.4,,jaqueja01
52,Scottie Barnes,24,TOR,PF,11,11,356,20.7,.588,.271,.217,6.5,18.3,12.5,22.6,2.3,4.5,10.4,24.0,0.6,0.6,1.2,.161,2.7,2.0,4.7,0.6,,barnesc01
53,Kon Knueppel,20,CHO,SF,11,10,356,13.0,.606,.633,.194,2.3,19.3,11.2,12.9,0.8,0.3,14.2,20.5,0.3,0.2,0.5,.066,0.1,-1.5,-1.4,0.1,,knuepko01
54,Amen Thompson,23,HOU,SF,10,10,355,16.8,.554,.171,.307,8.0,11.3,9.7,22.3,1.9,1.4,14.1,21.5,0.6,0.4,1.0,.135,0.8,-0.2,0.6,0.2,,thompam01
55,RJ Barrett,25,TOR,SF,11,11,354,17.6,.610,.375,.288,2.8,12.9,7.9,18.5,1.3,1.1,9.5,23.7,0.6,0.3,0.9,.127,1.8,-0.6,1.3,0.3,,barrerj01
56,Alex Sarr,20,WAS,C,12,12,353,22.4,.591,.209,.215,8.7,20.8,14.8,22.0,1.2,6.6,13.8,26.2,0.4,0.2,0.6,.084,3.1,0.3,3.4,0.5,,sarral01
57,Kevin Durant,37,HOU,SF,10,10,353,19.0,.622,.252,.485,1.3,12.9,7.4,13.4,1.5,1.9,12.4,26.4,0.9,0.4,1.3,.174,1.5,-0.5,0.9,0.3,,duranke01
