id,firstName,lastName,multiplierBonus
5105967,Caleb,Reese,3
5239745,Caleb,Crawford,3
5175939,Caleb,Johnson,0
5179093,Caleb,McCarty,3
5107860,Caleb,Shaw,3
5105859,Antwone,Woolfolk,3
4897523,Matthew,Stone,3
5174610,Matthew,Mortenson,3
5105597,D'Ante,Bass,0.8
5108022,Xavier,Amos,3
5242807,Micah,Simpson,2.3
5175359,Josh,Townley-Thomas,3
5106245,Josh,Baldwin,3
5241492,Josh,Michigan,3
4898366,Josh,Ozabor,0
4700859,Josh,Smith,0
4703982,Sheldon,Edwards Jr.,0.5
4702962,Justice,Ajogbor,1.1
5107385,Avaughn,Johnson,0
5105567,Andre,Johnson Jr.,0
5174972,AJ,LaBeau,0
4897192,AJ,Lopez,0.5
5241720,AJ,Rodriguez,0
4901961,Christian,Coleman,0.4
5106041,Christian,Fermin,1.4
4431996,Christian,Ings,0.7
5105975,Christian,Winborne,0
5174672,Michael,Belle,2.9
5107807,Michael,Eley,3
5239720,Michael,Amador,0
5177149,Michael,Houge,0.6
5179096,Michael,Teal,1.3
4590360,Chucky,Hepburn,0
5105471,Ethan,Potter,1.3
4706557,Chris,Youngblood,1
4703415,Marcus,Fitzgerald Jr.,0
23574,Marcus,Watson Jr.,1.6
5105807,Gregg,Glenn III,0.6
5177096,Greg,Gordon,1.6
4701992,Max,Shulga,0
4703885,Max,Klesmit,0.7
5105513,Max,Scharnowski,3
5241962,Maximo,Milovich,3
5117627,Pearson,Carmichael,2.3
4703421,Taelon,Peter,0.8
4898233,Blake,Peters,1.2
5106674,Peter,Suder,0
4894453,Mari,Jordan,1.5
4897262,Will,Richard,0.2
4873183,Kam,Williams,0.4
4684596,Will,Tschetter,1.6
4602029,Keshawn,Williams,2.8
4684838,Will,Shaver,3
5106287,CJ,Williams,3
5174635,Will,Lange,3
4896361,Will,Menaugh,3
5242132,Will,Gibson,0
5174953,Will,Kuykendall,0
5177579,Delyle,Williams,3
5107177,Devean,Williams,0
5106241,Jayden,Williams,0.7
5239715,Khalil,Williams,0
5176662,Makaih,Williams,1.4
4898217,Nazir,Williams,0.3
5175898,Jacob,Beccles,1.9
5241489,Jacob,Hogarth,2.3
5177173,Jacob,Huggins,2.7
5095062,Jacob,McFarland,0
5105841,Felix,Okpara,0.7
4895783,Nolan,Winter,0.6
4576060,Ryan,Kalkbrenner,0
4912986,Ryan,Donohoo,3
4898190,Ryan,Cornish,0.2
5177171,Ryan,Duncan,0
4898216,Ryan,Kiachian,1.3
4593355,Noah,Waterman,1.7
5106247,Cooper,Noard,0.6
4703073,Noah,Stansbury,0
4432398,Noah,Taitz,3
