gameId,gameDate,matchup,period,gameClockTime,eventNum,playerId,playerName,firstName,lastName,teamId,teamName,teamCity,teamAbbreviation,dunkScore,jumpSubscore,powerSubscore,styleSubscore,defensiveContestSubscore,maxBallHeight,ballSpeedThroughRim,playerVertical,hangTime,takeoffDistance,reverseDunk,dunk360,throughTheLegs,alleyOop,tipIn,selfOop,playerRotation,playerLateralSpeed,ballDistanceTraveled,ballReachBack,totalBallAcceleration,dunkingHand,jumpingFoot,passLength,catchingHand,catchDistance,lateralCatchDistance,passerId,passerName,passerFirstName,passerLastName,passReleasePoint,shooterId,shooterName,shooterFirstName,shooterLastName,shotReleasePoint,shotLength,defensiveContestLevel,possibleAttemptedCharge,videoAvailable
0012400021,10/9/2024 12:00:00 AM,HOU @ OKC,1,1:15,169,1628392,Isaiah Hartenstein,Isaiah,Hartenstein,1610612760,Thunder,Oklahoma City,OKC,38.3,44.0,13.9,32.5,0.0,10.663,14.859,25.284,0.5,3.332,False,False,False,True,False,False,65.425,5.171,0.0,0.0,0.036,both,both,14.089,both,1.788,1.673,1641717,Cason Wallace,Cason,Wallace,"-356.561,87.865,93.466",0,,,,,0.0,15.048,False,True
0012400006,10/6/2024 12:00:00 AM,NYK @ CHA,1,2:18,128,1630173,Precious Achiuwa,Precious,Achiuwa,1610612752,Knicks,New York,NYK,38.3,61.0,16.7,25.1,0.0,10.76,10.969,24.83,0.466,7.275,False,False,False,False,False,False,72.801,8.026,1.449,0.0,0.192,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.006,False,False
0012400070,10/18/2024 12:00:00 AM,CLE @ CHI,3,3:33,479,1628386,Jarrett Allen,Jarrett,Allen,1610612739,Cavaliers,Cleveland,CLE,38.2,54.6,23.9,27.3,0.0,10.783,18.15,23.538,0.383,7.691,False,False,False,False,False,False,8.944,10.383,1.15,0.0,0.209,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400069,10/18/2024 12:00:00 AM,TOR @ BKN,4,8:58,604,1630534,Ochai Agbaji,Ochai,Agbaji,1610612761,Raptors,Toronto,TOR,38.2,55.4,12.6,22.7,10.0,10.494,12.78,26.886,0.416,5.842,False,False,False,False,False,False,23.509,7.577,0.993,0.0,0.045,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,11.0,False,True
0012400073,10/18/2024 12:00:00 AM,UTA @ POR,4,6:45,649,1641729,Brice Sensabaugh,Brice,Sensabaugh,1610612762,Jazz,Utah,UTA,38.2,35.6,44.8,59.5,1.1,10.568,12.478,24.762,0.416,0.699,False,False,False,False,False,False,47.804,0.998,2.143,0.754,0.011,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,1.222,False,True
0012400068,10/18/2024 12:00:00 AM,NYK @ WAS,1,11:25,12,1628384,OG Anunoby,OG,Anunoby,1610612752,Knicks,New York,NYK,38.1,56.1,24.0,24.9,0.0,10.67,17.681,28.854,0.35,4.737,False,False,False,False,False,False,59.006,7.507,1.415,0.0,0.23,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400057,10/16/2024 12:00:00 AM,CLE @ DET,2,2:12,324,1628386,Jarrett Allen,Jarrett,Allen,1610612739,Cavaliers,Cleveland,CLE,37.9,30.7,11.4,0.0,29.0,10.425,12.549,23.433,0.433,2.003,False,False,False,False,False,False,14.105,1.011,1.928,0.0,0.009,right,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,31.336,False,True
0012400059,10/16/2024 12:00:00 AM,MIN @ CHI,1,9:06,36,203944,Julius Randle,Julius,Randle,1610612750,Timberwolves,Minnesota,MIN,37.9,56.7,16.1,0.0,0.0,10.521,16.032,30.906,0.4,4.12,False,False,False,False,False,False,11.993,7.47,1.506,0.0,0.069,left,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400046,10/14/2024 12:00:00 AM,PHI @ ATL,3,5:19,437,203991,Clint Capela,Clint,Capela,1610612737,Hawks,Atlanta,ATL,37.9,53.4,16.8,0.0,0.0,10.815,16.158,27.735,0.4,3.483,False,False,False,True,False,False,9.019,2.92,0.0,0.0,0.085,both,both,14.447,both,2.364,2.341,1630552,Jalen Johnson,Jalen,Johnson,"363.259,105.277,109.218",0,,,,,0.0,0.0,False,True
0012400064,10/17/2024 12:00:00 AM,ATL @ OKC,1,1:42,134,1631243,Mouhamed Gueye,Mouhamed,Gueye,1610612737,Hawks,Atlanta,ATL,37.8,52.1,12.5,0.0,3.7,10.692,9.932,25.8,0.433,4.969,False,False,False,True,False,False,45.975,4.255,0.0,0.0,0.082,both,both,13.166,both,2.497,2.496,1629726,Garrison Mathews,Garrison,Mathews,"-343.822,16.012,92.72",0,,,,,0.0,4.03,False,True
