Rk,Player,Pos,PG%,SG%,SF%,PF%,C%,-9999
301,Clint Capela,C,0,0,0,37,64,krejcvi01
302,Larry Nance Jr.,PF,0,0,26,69,4,smithni01
303,Jordan Poole,PG,23,77,0,0,0,tillmxa01
304,T.J. McConnell,PG,100,0,0,0,0,kolekty01
305,Hugo González,SF,2,23,66,10,0,walteja01
306,Guerschon Yabusele,C,0,0,0,63,37,isaacjo01
307,Robert Williams,C,0,0,0,0,100,peterta01
308,Chris Paul,PG,100,0,0,0,0,champju01
309,Jonathan Isaac,PF,0,0,5,83,12,diengou01
310,Joel Embiid,C,0,0,0,0,100,martica02
311,Cam Thomas,SG,70,30,0,0,0,harklej01
312,Tyrese Proctor,PG,56,44,1,0,0,rileywi01
313,Nick Richards,C,0,0,0,2,98,jackstr02
314,Tristan Vukcevic,C,0,0,0,0,100,livelde01
315,Ryan Nembhard,PG,100,0,0,0,0,santogu01
316,Julian Phillips,SF,0,8,53,39,0,chrisca02
317,Dwight Powell,C,0,0,0,1,99,barlodo01
318,Paul Reed,C,0,0,0,3,97,kornelu01
319,Rob Dillingham,PG,81,19,0,0,0,barnhbr01
320,Ousmane Dieng,C,0,0,2,69,29,prospol01
321,Jaden Hardy,SG,21,67,13,0,0,thybuma01
322,Brandon Miller,SF,0,8,80,12,0,robinmi01
323,Kevin Porter Jr.,PG,40,60,0,0,0,battlja01
324,Coby White,SG,14,65,21,0,0,walshjo01
325,Kevin Love,PF,0,0,18,74,9,reedpa01
326,Ben Saraf,SG,27,69,4,0,0,hukpoar01
327,Caleb Martin,SF,0,53,35,12,0,looneke01
328,Jevon Carter,PG,79,21,0,0,0,pendano01
329,Tyler Kolek,PG,90,10,0,0,0,loveke01
330,Paul George,PF,0,0,53,47,0,biyombi01
331,Terrence Shannon Jr.,SG,0,25,63,12,0,liveris01
332,Kobe Brown,PF,0,0,12,77,11,reathdu01
333,Tyler Herro,SG,0,62,38,0,0,matkoka01
334,Trayce Jackson-Davis,C,0,0,0,0,100,spencpa01
335,Taylor Hendricks,PF,0,0,52,43,5,carlsbr01
336,Cam Christie,SG,34,60,5,0,0,jenkida01
337,Moussa Cisse,C,0,0,0,0,100,millebr02
338,Karlo Matković,PF,0,0,0,55,45,vukcetr01
339,Branden Carlson,C,0,0,0,2,98,phillju01
340,Duop Reath,C,0,0,0,31,69,bryanca01
341,Taurean Prince,SF,0,4,88,8,0,willico04
342,Gui Santos,PF,0,1,6,92,2,youngch01
343,RayJ Dennis,PG,100,0,0,0,0,brownko01
344,Jalen Williams,SG,1,9,69,22,0,furphjo01
345,KJ Simpson,PG,100,0,0,0,0,anderky01
346,Nigel Hayes-Davis,SF,0,18,26,54,3,peavymi01
347,Jett Howard,SF,0,32,42,14,11,robinje02
348,Tidjane Salaün,PF,0,0,0,97,3,mccluma01
349,Will Riley,SF,0,0,12,84,4,mogbojo01
350,Isaiah Livers,PF,0,0,11,89,1,cardwdy01
351,Cody Williams,SG,1,62,36,0,0,traorno01
352,Kelly Olynyk,C,0,0,0,8,92,cartede02
353,Kevon Looney,C,0,0,0,9,92,laniech01
354,Rayan Rupert,SG,16,59,23,2,0,newelas01
355,Walker Kessler,C,0,0,0,0,100,raynama01
356,Amir Coffey,SG,0,54,42,4,0,bassech01
357,Kyle Anderson,SF,0,0,23,71,7,howarje01
358,Dalen Terry,SG,0,26,68,6,0,connapa01
359,Carter Bryant,PF,0,0,46,50,4,williro04
360,Danny Wolf,PF,0,0,0,98,2,simpskj01
361,Thomas Bryant,C,0,0,0,0,100,yangha01
362,Trae Young,PG,100,0,0,0,0,richaja02
363,Jamison Battle,SF,0,1,39,57,4,bryanth01
364,Bones Hyland,PG,95,5,0,0,0,saricda01
365,Jamaree Bouyea,PG,100,0,0,0,0,tateja01
366,Chaz Lanier,SG,26,65,9,0,0,nembhry01
367,Nick Smith Jr.,SG,80,20,0,0,0,johnsaj01
368,Brooks Barnhizer,SG,0,15,55,30,0,holidaa01
369,Asa Newell,PF,0,0,0,83,17,loveca01
370,Ariel Hukporti,C,0,0,0,20,80,garlada01
371,Bronny James,SG,33,67,0,0,0,ruperra01
372,Jaden Ivey,SG,23,77,0,0,0,maluakh01
373,Garrison Mathews,SG,0,82,18,0,0,travelu01
374,Olivier-Maxence Prosper,PF,0,0,49,46,6,terryda01
375,Maxi Kleber,PF,0,0,0,46,54,cissosi01
376,Bradley Beal,SG,0,81,19,0,0,jordade01
377,Zeke Nnaji,PF,0,0,0,78,22,greenja05
378,Jae'Sean Tate,SF,0,12,61,27,0,sochaje01
379,Pat Connaughton,SG,2,66,23,9,0,konanya01
380,Dereck Lively II,C,0,0,0,0,100,simsje01
381,Noah Penda,SF,0,30,38,30,2,cissemo01
382,Kenrich Williams,PF,0,8,35,55,2,strawju01
383,Chris Youngblood,SG,20,48,16,17,0,branhma01
384,Taelon Peter,SG,46,42,12,0,0,flemira01
385,Keshad Johnson,SF,0,14,62,22,2,jacksgg01
386,Xavier Tillman Sr.,C,0,0,0,8,92,johnske10
387,Quenton Jackson,PG,77,23,0,0,0,wisemja01
388,Yang Hansen,C,0,0,0,0,100,hallpj01
389,Javon Small,PG,100,0,0,0,0,davisjd01
390,Blake Wesley,SG,86,14,0,0,0,jonesis01
391,Jalen Pickett,SG,88,12,0,0,0,nembhan01
392,Luke Travers,SG,0,48,52,0,0,pickeja02
393,Mason Plumlee,C,0,0,0,0,100,telfoja01
394,Jase Richardson,SG,39,54,7,0,0,gordoer01
395,Chris Boucher,PF,0,0,15,46,40,berinjo01
396,Malaki Branham,SG,24,55,21,0,0,jonessp01
397,Devin Carter,PG,83,18,0,0,0,mccaija01
398,Lindy Waters III,SG,11,73,16,0,0,nfalyda01
399,Obi Toppin,PF,0,0,8,90,2,waterli01
400,Johnny Furphy,SG,0,42,59,0,0,millele01
401,Rasheer Fleming,PF,0,0,22,78,0,greenje02
402,Andre Jackson Jr.,SG,0,21,56,22,0,harriga01
403,Jordan McLaughlin,PG,100,0,0,0,0,jacksan01
404,JD Davison,PG,16,84,0,0,0,mcgowbr01
405,Ethan Thompson,SG,3,97,0,0,0,plumlma01
406,Julian Strawther,SG,5,48,47,0,0,poweldr01
407,David Jones García,SF,6,83,11,0,0,searsma01
408,Jamir Watkins,SG,0,67,26,7,0,carteje01
409,Elijah Harkless,SG,2,94,4,0,0,gillan01
410,Monte Morris,PG,79,22,0,0,0,ingraha01
411,Khaman Maluach,C,0,0,0,0,100,jonesda06
412,Bismack Biyombo,C,0,0,0,0,100,nnajize01
413,Yanic Konan Niederhäuser,C,0,0,0,0,100,harpero02
414,Eric Gordon,SG,4,70,26,0,0,youngja05
415,Mohamed Diawara,SF,0,3,50,47,1,liddeej01
416,Cody Martin,SF,0,32,64,4,0,sandeko01
417,GG Jackson II,PF,0,0,29,60,12,achiupr01
418,Jordan Miller,SF,0,12,85,4,0,olynyke01
419,Bobi Klintman,SF,0,0,0,98,2,porteke02
420,Antonio Reeves,SG,8,64,28,0,0,diawamo01
421,Drew Peterson,PF,0,0,0,100,0,minixri01
422,Adou Thiero,SF,0,6,78,17,0,jemistr01
423,Jonathan Mogbo,PF,0,0,0,14,86,martico01
424,Matisse Thybulle,SG,6,79,15,0,0,dadiepa01
425,Jeff Green,PF,0,0,1,82,17,inglejo01
426,AJ Johnson,SG,56,44,0,0,0,juzanjo01
427,Caleb Houstan,SF,0,14,83,3,0,sallihu01
428,Wendell Moore Jr.,SG,2,34,53,12,0,manonch01
429,Johni Broome,C,0,0,0,0,100,tysonhu01
430,Zach Collins,C,0,0,0,0,100,william01
431,Leonard Miller,SF,0,0,0,96,4,jonesco02
432,De'Anthony Melton,PG,100,0,0,0,0,klintbo01
433,Joan Beringer,PF,0,0,0,2,98,broomjo01
434,Trey Alexander,SG,0,94,6,0,0,kolokch01
435,Lachlan Olbrich,C,0,0,0,0,100,toppija01
436,Hunter Tyson,PF,0,0,22,78,1,smithto05
437,Nolan Traoré,PG,89,11,0,0,0,dickihu01
438,Tyson Etienne,PG,100,0,0,0,0,etienty01
439,Mac McClung,SG,20,71,9,0,0,houstca01
440,Emanuel Miller,PF,0,0,62,38,0,coopesh01
441,Dylan Cardwell,C,0,0,0,0,100,holmeda01
442,Anthony Gill,PF,0,0,0,60,40,breako01
443,Jahmyl Telfort,PF,0,0,100,0,0,wolfda01
444,E.J. Liddell,PF,0,0,13,55,32,gardnmy01
445,Seth Curry,SG,31,66,3,0,0,lowryky01
446,Amari Williams,PF,0,0,8,0,92,antetth01
447,Jamal Cain,SF,0,47,39,15,0,kellymi02
448,Javonte Cooke,SG,37,63,0,0,0,robinor01
449,Charles Bassey,C,0,0,0,63,37,tomlina01
450,Jalen Green,SG,3,66,31,0,0,watkija01
,Dario Šarić,C,0,0,0,93,7,
,PJ Hall,C,0,0,0,0,100,
,Mark Sears,PG,100,0,0,0,0,
,Thanasis Antetokounmpo,SF,0,0,0,100,1,
,Hunter Sallis,SG,61,37,2,0,0,
,Jahmir Young,PG,100,0,0,0,0,
,Kyle Lowry,PG,100,0,0,0,0,
,Joe Ingles,SF,0,0,100,0,0,
,DeAndre Jordan,C,0,0,0,0,100,
,Pacome Dadiet,SG,0,78,20,2,0,
,Johnny Juzang,SG,0,52,37,11,0,
,Orlando Robinson,C,0,0,0,0,100,
,Tolu Smith,PF,0,0,0,0,100,
,Ron Harper Jr.,SF,0,28,72,0,0,
,James Wiseman,C,0,0,0,30,70,
,Garrett Temple,SG,0,80,20,0,0,
,Isaac Jones,PF,0,0,0,100,0,
,Isaac Jones,PF,0,0,0,100,0,
,Isaac Jones,PF,0,0,0,100,0,
,Pete Nance,PF,0,0,0,1,99,
,Jacob Toppin,SF,0,0,92,8,0,
,Chris Livingston,SF,0,0,100,0,0,
,A.J. Lawson,SG,0,36,51,13,0,
,N'Faly Dante,C,0,0,0,0,100,
,Daeqwon Plowden,SG,10,41,30,20,0,
,Chucky Hepburn,PG,100,0,0,0,0,
,Harrison Ingram,SF,0,35,65,0,0,
,Miles Kelly,PG,0,100,0,0,0,
,Doug McDermott,SF,0,0,100,0,0,
