RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,O-LEBRON Box Impact,D-LEBRON Box Impact,LEBRON Vs Role Average,O-LEBRON Vs Role Average,D-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,O-LEBRON Box Impact_percentile,D-LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,O-LEBRON Vs Role Average_percentile,D-LEBRON Vs Role Average_percentile
3083,2024-25,Mark Williams,23,CHO,1171,Key Rotation,Roll + Cut Big,Anchor Big,1.11,-0.01,1.12,2.63,1.11,-0.08,1.19,1.07,1.01,0.06,88.34,72.63,88.41,76.68,89.36,71.17,91.32,81.31,86.22,54.74
3084,2022-23,Jeremy Sochan,19,SAS,1458,Key Rotation,Athletic Finisher,Wing Stopper,-1.07,-0.98,-0.1,1.26,-2.45,-1.73,-0.71,-0.01,0.31,-0.32,28.68,31.33,49.42,60.26,3.38,9.65,17.99,52,68.14,33.31
3085,2023-24,Jeremy Sochan,20,SAS,2193,Starter,Athletic Finisher,Wing Stopper,-2.29,-2.05,-0.24,0.24,-2.01,-1.89,-0.12,-0.83,-0.52,-0.3,6.61,6.19,41.89,34.21,7.49,7.14,48.92,24.98,28.15,34.36
3086,2024-25,Jeremy Sochan,21,SAS,1367,Key Rotation,Roll + Cut Big,Wing Stopper,-1.08,-0.74,-0.34,1.17,-0.93,-0.75,-0.19,-0.06,0.28,-0.35,28.43,40.5,36.46,58.87,32.08,39.44,44.36,50.37,66.76,31.84
3087,2025-26,Jeremy Sochan,22,SAS/NYK,469,Rotation,Stretch Big,Wing Stopper,-1.72,-1.69,-0.03,0.22,-1.12,-1.22,0.11,-1.5,-1.26,-0.24,14.24,11.44,53.03,33.23,26.41,22.56,62.71,11.98,10.17,37.22
3088,2022-23,Wendell Moore Jr.,21,MIN,153,Garbage Time,Movement Shooter,Point of Attack,-1.35,-0.88,-0.47,0.11,-1.03,-0.78,-0.25,-0.45,-0.13,-0.32,21.4,34.83,29.96,24.66,29.05,38,40.3,36.26,45.01,33.31
3089,2023-24,Wendell Moore Jr.,22,MIN,75,Garbage Time,Low Minute,Chaser,-1.56,-0.91,-0.65,0.04,-1.49,-0.75,-0.74,-0.58,-0.45,-0.14,17.44,33.78,22.49,13.64,16.56,39.44,16.81,31.99,30.72,42.96
3090,2024-25,Wendell Moore Jr.,23,DET/CHO,499,Garbage Time,Movement Shooter,Chaser,-1.28,-1.46,0.17,0.36,-1.3,-1.46,0.16,-0.09,-0.67,0.58,22.78,16.44,63.56,39.49,21.26,15.61,64.9,49.14,23.26,78.77
3091,2025-26,Wendell Moore Jr.,24,DET,60,Too Few Games,Low Minute,Chaser,-1.22,-0.76,-0.46,0.05,-1.21,-0.68,-0.53,-0.59,-0.37,-0.22,24.43,39.69,30.43,15.54,23.96,42.52,25.46,31.62,34.19,38.15
3092,2022-23,Kendall Brown,19,IND,40,Too Few Games,Low Minute,Chaser,-1.02,-0.72,-0.3,0.04,-0.93,-0.58,-0.34,-0.08,-0.36,0.29,30.14,41.23,38.59,13.64,32.08,46.78,35.17,49.66,34.65,66.27
3093,2023-24,Kendall Brown,20,IND,62,Garbage Time,Low Minute,Chaser,-1.23,-0.62,-0.61,0.05,-1.27,-0.52,-0.75,-0.26,-0.16,-0.09,24.14,45.58,23.98,15.54,22.18,49.64,16.57,42.84,43.74,46.01
3094,2022-23,Kennedy Chandler,20,MEM,281,Garbage Time,Secondary Ball Handler,Point of Attack,-1.49,-1.04,-0.45,0.17,-1.23,-0.98,-0.25,-0.68,-0.39,-0.29,18.66,29.59,31.06,29.87,23.46,30.67,40.3,28.77,33.28,34.7
3095,2022-23,Jalen Williams,21,OKC,2276,Starter,Secondary Ball Handler,Helper,0.2,-0.58,0.78,3.79,-0.13,-0.51,0.38,0.92,0.07,0.85,76.96,47.65,82.02,85.12,58.13,50.1,73.9,78.49,55.6,87
3096,2023-24,Jalen Williams,22,OKC,2223,Starter,Slasher,Wing Stopper,0.54,0.47,0.06,4.18,1.69,1.36,0.33,0.95,0.94,0.01,82.26,82.21,58.51,87.51,93,91.59,72.16,79.15,85.04,51.83
3097,2024-25,Jalen Williams,23,OKC,2237,Star,Shot Creator,Helper,3.26,2.35,0.91,8.01,3.12,2.21,0.91,1.91,1.09,0.82,97.53,96.09,84.72,96.97,97.51,95.68,87.2,92.18,87.34,86.17
3098,2025-26,Jalen Williams,24,OKC,936,Starter,Shot Creator,Wing Stopper,1.39,1.39,0,2.26,1.62,1.55,0.07,0.12,0.34,-0.21,90.8,92.1,55.06,73,92.6,92.77,60.34,57.06,69.33,38.66
3099,2022-23,Orlando Robinson,22,MIA,425,Rotation,Roll + Cut Big,Helper,0.15,-1.38,1.53,0.7,-0.55,-1.65,1.09,1.18,-0.42,1.6,76.23,18.7,93.94,48.95,45.5,11.32,89.88,83.33,32.16,96.94
3100,2023-24,Orlando Robinson,23,MIA,304,Garbage Time,Roll + Cut Big,Mobile Big,-0.76,-1.46,0.7,0.32,-0.59,-1.19,0.6,-0.57,-0.54,-0.03,37.96,16.44,80.09,38.05,44.14,23.71,80.06,32.33,27.4,49.71
3101,2025-26,Orlando Robinson,25,ORL,25,Too Few Games,Low Minute,Mobile Big,-0.11,-0.05,-0.06,0.04,-0.05,-0.06,0.01,-0.6,0.34,-0.94,56.96,71.26,51.59,13.64,59.81,71.87,56.92,31.33,69.33,11.1
3102,2024-25,Orlando Robinson,24,SAC/TOR,770,Key Rotation,Roll + Cut Big,Mobile Big,-1.58,-1.32,-0.26,0.42,-1.65,-1.38,-0.27,-1.33,-0.3,-1.04,16.89,20.46,40.76,41.28,13.54,17.67,39.3,14.51,37.15,8.77
3103,2022-23,Patrick Baldwin Jr.,20,GSW,226,Garbage Time,Movement Shooter,Helper,-0.7,-0.7,0,0.25,-0.35,-0.12,-0.23,0.12,0.05,0.07,39.9,42.03,55.06,34.66,52.02,69.62,41.5,57.06,54.65,55.37
3104,2024-25,Patrick Baldwin Jr.,22,WAS/LAC,107,Garbage Time,Movement Shooter,Helper,-0.06,-0.44,0.38,0.16,-0.15,-0.48,0.33,0.64,0.35,0.29,57.67,53.98,71.48,29.25,57.69,51.47,72.16,72.31,69.8,66.27
3105,2023-24,Patrick Baldwin Jr.,21,WAS,494,Rotation,Movement Shooter,Helper,-0.35,-1.1,0.75,0.65,-0.69,-1.36,0.67,0.66,-0.23,0.89,50.47,27.52,81.19,47.66,40.36,18.2,81.92,72.8,40.23,87.9
3106,2022-23,Walker Kessler,21,UTA,1703,Key Rotation,Roll + Cut Big,Anchor Big,1.94,-0.15,2.1,4.7,1.93,-0.28,2.21,2.11,0.81,1.31,93.94,67.28,97.6,89.57,94.16,61.97,98.39,93.62,82.53,94.35
3107,2023-24,Walker Kessler,22,UTA,1493,Key Rotation,Roll + Cut Big,Anchor Big,0.33,-1.46,1.79,2.61,0.57,-1.54,2.1,0.51,-0.54,1.05,78.9,16.44,95.84,76.44,84.11,14,98.17,69.13,27.4,90.84
3108,2024-25,Walker Kessler,23,UTA,1740,Star,Roll + Cut Big,Anchor Big,0.54,-0.72,1.26,3.28,0.56,-0.68,1.24,0.5,0.3,0.2,82.26,41.23,90.69,81.91,84.03,42.52,92.16,68.77,67.65,62.02
3109,2025-26,Walker Kessler,24,UTA,154,Too Few Games,Athletic Finisher,Mobile Big,-0.12,-0.88,0.75,0.23,0.42,-0.44,0.86,0.5,0.62,-0.12,56.78,34.83,81.19,33.84,82.17,53.25,86.27,68.77,78.3,44.13
3110,2022-23,Jaylin Williams,20,OKC,914,Rotation,Stretch Big,Anchor Big,0.15,-1.29,1.45,1.5,-0.43,-1.34,0.92,0.27,-0.38,0.66,76.23,21.26,92.99,63.95,49.66,18.91,87.46,62.22,33.63,81.58
3111,2023-24,Jaylin Williams,21,OKC,897,Rotation,Stationary Shooter,Anchor Big,0.48,-0.46,0.93,1.65,0.28,-0.58,0.86,1.12,0.93,0.19,81.27,52.91,85.19,66.22,79.77,46.78,86.27,82.28,84.87,61.37
3112,2024-25,Jaylin Williams,22,OKC,784,Rotation,Stationary Shooter,Anchor Big,1.61,0.27,1.33,2,1.66,0.35,1.31,1.6,1.32,0.27,92.18,78.96,91.64,70.23,92.91,81.4,93.09,89.22,90.54,65.17
3113,2025-26,Jaylin Williams,23,OKC,1277,Rotation,Stationary Shooter,Anchor Big,1.59,-0.83,2.41,3.24,2.22,-0.04,2.26,1.75,0.46,1.29,92.08,36.87,98.66,81.58,95.39,72.58,98.53,90.57,73.71,94.04
3114,2025-26,JD Davison,23,HOU,218,Garbage Time,Secondary Ball Handler,Point of Attack,-0.47,-0.57,0.09,0.27,-0.23,-0.39,0.16,-0.01,0.03,-0.04,46.98,48.19,60.02,35.73,55.53,56.18,64.9,52,53.62,49.05
3115,2022-23,JD Davison,20,BOS,66,Garbage Time,Low Minute,Point of Attack,-1.04,-0.56,-0.48,0.06,-0.86,-0.44,-0.42,-0.54,-0.21,-0.33,29.52,48.68,29.52,17.33,34.74,53.25,30.94,33.38,41.22,32.82
3116,2023-24,JD Davison,21,BOS,39,Too Few Games,Low Minute,Point of Attack,-1.2,-0.27,-0.94,0.03,-1.3,-0.35,-0.95,-0.61,0.19,-0.8,25.06,61.88,14,11.87,21.26,58.36,10.7,30.96,62.17,14.78
3117,2024-25,JD Davison,22,BOS,93,Garbage Time,Low Minute,Point of Attack,-0.65,-0.44,-0.21,0.1,-0.63,-0.41,-0.22,-0.43,-0.19,-0.24,41.58,53.98,43.62,23.68,42.49,55.01,42.23,36.98,42.1,37.22
3118,2025-26,Bryce McGowens,23,NOP,880,Rotation,Stationary Shooter,Wing Stopper,-1.02,-0.6,-0.43,0.79,-1.46,-1.39,-0.06,0.05,0.69,-0.64,30.14,46.5,32.18,51.03,17.17,17.4,52.42,54.27,80.06,20.01
3119,2024-25,Bryce McGowens,22,POR,32,Garbage Time,Low Minute,Chaser,0.06,-0.01,0.07,0.05,0.07,0.02,0.05,0.72,0.25,0.47,74.55,72.63,59.17,15.54,76.4,74.59,59.19,74.48,65.23,74.56
3120,2022-23,Bryce McGowens,20,CHO,787,Rotation,Movement Shooter,Chaser,-3.14,-2.21,-0.93,-0.33,-3.21,-2.42,-0.8,-1.8,-1.47,-0.34,1.48,4.52,14.22,2.39,0.48,1.9,14.66,8.16,7.33,32.4
3121,2023-24,Bryce McGowens,21,CHO,882,Rotation,Movement Shooter,Chaser,-3.32,-2.63,-0.69,-0.46,-2.69,-2.12,-0.56,-1.93,-1.76,-0.18,0.9,1.57,21.02,1.71,2.08,4.43,23.93,6.82,4.49,40.5
3122,2022-23,Jamaree Bouyea,23,MIA/WAS,71,Too Few Games,Low Minute,Point of Attack,-0.65,-0.7,0.04,0.08,-0.49,-0.7,0.21,-0.15,-0.35,0.2,41.58,42.03,57.23,20.62,47.48,41.76,67.08,47,35.07,62.02
3123,2024-25,Jamaree Bouyea,25,MIL,62,Too Few Games,Low Minute,Point of Attack,-0.36,-0.5,0.13,0.08,-0.36,-0.5,0.14,-0.14,-0.24,0.1,50.18,51.29,62.05,20.62,51.8,50.54,64.03,47.26,39.71,56.92
3124,2025-26,Jamaree Bouyea,26,PHO,644,Rotation,Slasher,Point of Attack,-0.16,-0.74,0.57,0.93,-0.28,-0.66,0.39,0.12,-0.32,0.44,55.82,40.5,76.86,53.86,54.17,43.35,74.12,57.06,36.17,72.97
3125,2023-24,Jamaree Bouyea,24,POR/SAS,95,Too Few Games,Low Minute,Point of Attack,-0.39,-0.64,0.25,0.12,-0.4,-0.5,0.1,0.2,-0.18,0.39,49.39,44.77,66.54,25.49,50.7,50.54,62.19,59.95,42.69,70.9
3126,2023-24,Julian Strawther,21,DEN,545,Garbage Time,Off Screen Shooter,Low Activity,-2.15,-0.97,-1.18,0.11,-1.97,-0.87,-1.1,-1.35,-0.9,-0.45,8,31.69,9.51,24.66,8.23,34.61,8.02,14.25,17.5,27.25
3127,2024-25,Julian Strawther,22,DEN,1384,Rotation,Movement Shooter,Low Activity,-1.92,-1.27,-0.65,0.46,-1.71,-1.21,-0.5,-0.47,-0.49,0.02,11.03,21.78,22.49,42.64,12.35,22.97,26.95,35.83,29.11,52.44
3128,2025-26,Julian Strawther,23,DEN,861,Rotation,Movement Shooter,Low Activity,-1.24,-0.93,-0.31,0.66,-0.65,-0.37,-0.28,0.12,-0.32,0.44,23.86,33.23,38.22,47.97,41.79,57.31,38.63,57.06,36.17,72.97
3129,2025-26,Caleb Love,24,POR,1013,Key Rotation,Secondary Ball Handler,Chaser,-1.47,-0.23,-1.25,0.62,-0.64,0.41,-1.04,-0.63,0.37,-1,19.02,63.52,8.11,47,42.17,82.5,8.99,30.21,70.48,9.8
3130,2024-25,Harrison Ingram,22,SAS,35,Too Few Games,Low Minute,Helper,-0.18,-0.46,0.28,0.05,-0.19,-0.46,0.27,-0.01,-0.21,0.2,55.31,52.91,67.94,15.54,56.59,52.34,69.82,52,41.22,62.02
3131,2025-26,Harrison Ingram,23,SAS,26,Too Few Games,Low Minute,Chaser,-0.5,-0.38,-0.12,0.03,-0.49,-0.33,-0.16,0.14,0.01,0.12,46.07,56.65,48.49,11.87,47.48,59.33,46.46,57.97,52.27,57.8
3132,2022-23,Christian Braun,21,DEN,1181,Garbage Time,Stationary Shooter,Chaser,-2.33,-2.31,-0.03,0.09,-2.03,-2.01,-0.02,-0.43,-1,0.56,6.25,3.57,53.03,22.24,7.13,5.7,54.96,36.98,15.27,77.93
3133,2023-24,Christian Braun,22,DEN,1656,Key Rotation,Stationary Shooter,Chaser,-1.42,-0.96,-0.46,1.08,-1.26,-1.25,-0.01,0.48,0.43,0.05,19.9,32.04,30.43,57.02,22.4,21.46,55.77,68.3,72.63,54.11
3134,2024-25,Christian Braun,23,DEN,2675,Starter,Stationary Shooter,Point of Attack,0.2,0.44,-0.23,4.47,0.19,0.26,-0.07,1.22,1.48,-0.27,76.96,81.77,42.47,88.73,78.34,80.03,51.84,83.92,92.03,35.77
3135,2025-26,Christian Braun,24,DEN,1399,Starter,Stationary Shooter,Point of Attack,-0.46,-0.46,0,1.75,-0.64,-0.41,-0.23,0.69,0.83,-0.14,47.19,52.91,55.06,67.64,42.17,55.01,41.5,73.68,83.01,42.96
3136,2023-24,Oscar Tshiebwe,24,IND,42,Too Few Games,Low Minute,Mobile Big,-0.53,-0.03,-0.49,0.05,-0.89,-0.19,-0.7,-0.8,0.43,-1.23,45.06,72.04,29.11,15.54,33.68,66.6,18.36,25.63,72.63,5.64
3137,2024-25,Oscar Tshiebwe,25,UTA,255,Garbage Time,Athletic Finisher,Mobile Big,1.05,0.24,0.81,0.56,1.03,0.23,0.8,1.24,1.21,0.03,87.78,78.28,82.68,45.4,88.72,79.25,84.9,84.14,89.22,52.96
3138,2025-26,Oscar Tshiebwe,26,UTA,448,Rotation,Roll + Cut Big,Mobile Big,0.48,0.49,-0.02,0.83,0.17,0.18,-0.01,0.38,1.27,-0.89,81.27,82.46,53.79,52.05,77.99,78.42,55.77,65.39,89.9,12.42
3139,2025-26,Christian Koloko,25,LAL/MEM/ATL,357,Rotation,Athletic Finisher,Mobile Big,-1.14,-1.92,0.78,0.29,-0.91,-1.71,0.8,-0.52,-0.42,-0.1,26.88,7.48,82.02,36.63,32.81,10.14,84.9,34.02,32.16,45.33
3140,2024-25,Christian Koloko,24,LAL,342,Garbage Time,Roll + Cut Big,Mobile Big,-1.14,-2.4,1.26,0.28,-1.13,-2.39,1.27,-0.89,-1.38,0.49,26.88,2.86,90.69,36.09,26.2,2.06,92.64,23.61,8.29,75.39
3141,2022-23,Christian Koloko,22,TOR,802,Garbage Time,Roll + Cut Big,Mobile Big,0.05,-1.78,1.83,1.26,-1.43,-2.8,1.37,0.45,-0.82,1.27,74.35,9.7,96.19,60.26,18,0.54,93.79,67.47,19.67,93.82
3142,2025-26,Jabari Walker,23,PHI,762,Rotation,Stretch Big,Helper,-0.76,-1.07,0.31,0.81,-0.92,-1,0.08,-0.43,-0.64,0.21,37.96,28.47,68.94,51.59,32.42,29.86,61.07,36.98,24.1,62.46
3143,2022-23,Jabari Walker,20,POR,619,Rotation,Athletic Finisher,Helper,-2.37,-1.85,-0.52,0.03,-2.47,-1.87,-0.6,-1.01,-0.56,-0.45,6.02,8.55,27.78,11.87,3.22,7.46,22.11,20.87,26.59,27.25
3144,2023-24,Jabari Walker,21,POR,1701,Key Rotation,Athletic Finisher,Helper,-1.8,-1.62,-0.18,0.7,-2.29,-2.09,-0.2,-0.15,-0.1,-0.05,12.9,12.73,45.24,48.95,4.48,4.71,43.64,47,46.55,48.56
3145,2024-25,Jabari Walker,22,POR,749,Rotation,Athletic Finisher,Helper,-0.41,-1.07,0.66,0.96,-0.48,-1.05,0.57,0.47,-0.1,0.58,48.84,28.47,79.1,54.59,47.79,28.23,79.52,67.96,46.55,78.77
3146,2022-23,Ryan Rollins,20,GSW,62,Garbage Time,Low Minute,Point of Attack,-0.9,-0.76,-0.14,0.06,-0.64,-0.48,-0.15,-0.39,-0.4,0.01,33.74,39.69,47.51,17.33,42.17,51.47,47.07,38.49,32.84,51.83
3147,2023-24,Ryan Rollins,21,WAS/MIL,78,Garbage Time,Low Minute,Point of Attack,0.26,-0.08,0.34,0.13,-0.22,-0.2,-0.01,0.86,0.38,0.47,77.95,70.33,69.97,26.32,55.84,66.2,55.77,77.3,70.8,74.56
3148,2024-25,Ryan Rollins,22,MIL,820,Rotation,Secondary Ball Handler,Point of Attack,-0.51,-1,0.5,1,-0.48,-1.01,0.54,0.06,-0.41,0.47,45.73,30.62,75.27,55.53,47.79,29.62,78.74,54.77,32.52,74.56
3149,2025-26,Ryan Rollins,23,MIL,2375,Starter,Primary Ball Handler,Point of Attack,-1.01,-0.44,-0.57,2.16,-0.65,-0.11,-0.54,-1.35,-0.64,-0.7,30.57,53.98,25.88,71.92,41.79,70.06,24.81,14.25,24.1,18.06
3150,2023-24,Leonard Miller,20,MIN,52,Garbage Time,Low Minute,Helper,-1.02,-0.32,-0.71,0.05,-1.04,-0.22,-0.82,-0.43,0.14,-0.57,30.14,59.5,20.16,15.54,28.85,65.17,14.07,36.98,59.34,22.58
3151,2024-25,Leonard Miller,21,MIN,32,Garbage Time,Low Minute,Helper,-0.44,-0.11,-0.34,0.04,-0.45,-0.1,-0.35,-0.27,0.15,-0.42,47.95,68.99,36.46,13.64,48.85,70.45,34.65,42.54,59.95,28.61
3152,2025-26,Leonard Miller,22,MIN/CHI,719,Key Rotation,Stationary Shooter,Helper,-0.53,-0.09,-0.43,0.87,-0.37,-0.55,0.18,0.67,1.19,-0.53,45.06,69.92,32.18,52.91,51.53,48.02,65.91,73.09,88.98,23.93
3153,2022-23,Jordan Hall,21,SAS,83,Garbage Time,Low Minute,Point of Attack,-0.32,-0.61,0.29,0.11,-0.64,-0.54,-0.1,0.19,-0.26,0.44,51.53,46.01,68.28,24.66,42.17,48.49,50.2,59.58,38.74,72.97
3154,2022-23,Keon Ellis,23,SAC,71,Garbage Time,Low Minute,Chaser,-0.55,-0.59,0.04,0.08,-0.48,-0.4,-0.08,0.39,-0.24,0.63,44.48,47.07,57.23,20.62,47.79,55.53,51.27,65.76,39.71,80.67
3155,2023-24,Keon Ellis,24,SAC,978,Rotation,Movement Shooter,Point of Attack,0.1,-0.9,1,1.57,-0.2,-1.3,1.09,1.11,-0.03,1.13,75.53,34.17,86.54,65.08,56.34,19.99,89.88,82.14,49.85,92.01
3156,2024-25,Keon Ellis,25,SAC,1948,Key Rotation,Movement Shooter,Point of Attack,0.71,-0.71,1.42,3.88,0.56,-0.73,1.28,1.47,0.08,1.39,84.11,41.71,92.62,85.82,84.03,40.42,92.84,87.39,56.04,95.16
3157,2025-26,Keon Ellis,26,SAC/CLE,1479,Rotation,Movement Shooter,Point of Attack,0.5,-0.98,1.48,2.74,-0.6,-1.59,0.99,0.97,-0.38,1.34,81.68,31.33,93.43,77.62,43.83,12.66,88.42,79.57,33.63,94.7
3158,2025-26,Drew Timme,25,LAL,235,Garbage Time,Versatile Big,Helper,-1.49,-0.68,-0.81,0.14,-0.78,-0.43,-0.35,-1.88,-0.97,-0.91,18.66,42.87,17.16,27.35,37.41,53.91,34.65,7.45,16.11,11.87
3159,2024-25,Drew Timme,24,BRK,254,Starter,Stretch Big,Mobile Big,-0.68,-0.52,-0.16,0.28,-0.62,-0.51,-0.12,-0.96,-0.03,-0.93,40.61,50.37,46.46,36.09,42.88,50.1,48.92,21.85,49.85,11.41
3160,2023-24,Izaiah Brockington,24,NOP,3,Too Few Games,Low Minute,Point of Attack,-0.84,-0.23,-0.62,0,-0.88,-0.29,-0.58,-0.25,0.23,-0.48,35.6,63.52,23.68,6.65,34,61.44,23,43.28,64.37,26
3161,2022-23,Josh Minott,20,MIN,96,Garbage Time,Low Minute,Helper,-0.78,-0.52,-0.25,0.1,-0.62,-0.45,-0.17,-0.36,-0.17,-0.18,37.32,50.37,41.35,23.68,42.88,52.74,45.68,39.57,43.23,40.5
3162,2023-24,Josh Minott,21,MIN,91,Garbage Time,Low Minute,Helper,-1,-0.45,-0.54,0.08,-1.13,-0.43,-0.71,-0.4,0.01,-0.41,30.83,53.59,27.01,20.62,26.2,53.91,17.99,38.13,52.27,29.1
3163,2024-25,Josh Minott,22,MIN,276,Garbage Time,Movement Shooter,Helper,-0.63,-1.2,0.57,0.32,-0.58,-1.12,0.54,0.07,-0.41,0.48,42.08,23.92,76.86,38.05,44.44,25.78,78.74,55.25,32.52,74.93
3164,2025-26,Josh Minott,23,BOS/BRK,834,Rotation,Movement Shooter,Wing Stopper,0.17,-0.85,1.02,1.37,0.14,-0.59,0.72,0.56,-0.24,0.8,76.43,36.22,86.95,62.07,77.45,46.34,83.04,70.48,39.71,85.53
3165,2023-24,Jaime Jaquez Jr.,22,MIA,2113,Starter,Shot Creator,Helper,-0.68,-0.61,-0.08,2.35,-1.22,-1.34,0.13,-1.82,-1.88,0.06,40.61,46.01,50.41,74,23.69,18.91,63.61,8.02,3.49,54.74
3166,2024-25,Jaime Jaquez Jr.,23,MIA,1368,Rotation,Shot Creator,Helper,-0.45,-0.83,0.38,1.72,-0.33,-0.81,0.48,-1.79,-2.09,0.3,47.58,36.87,71.48,67.23,52.68,36.93,77.13,8.31,2.51,66.72
3167,2025-26,Jaime Jaquez Jr.,24,MIA,2121,Key Rotation,Shot Creator,Helper,-0.73,-0.25,-0.48,2.29,-0.12,-0.07,-0.04,-1.88,-1.31,-0.57,39.06,62.69,29.52,73.34,58.31,71.51,53.59,7.45,9.33,22.58
3168,2022-23,Ousmane Dieng,19,OKC,569,Rotation,Stationary Shooter,Low Activity,-0.94,-0.77,-0.17,0.54,-1.61,-1.28,-0.34,1.28,0.54,0.75,32.61,39.34,45.87,44.94,14.37,20.5,35.17,84.8,76.12,84.21
3169,2023-24,Ousmane Dieng,20,OKC,365,Rotation,Movement Shooter,Low Activity,-1.96,-0.73,-1.23,0.12,-1.99,-0.75,-1.24,-0.36,0.14,-0.5,10.28,40.86,8.58,25.49,7.92,39.44,5.62,39.57,59.34,25.27
3170,2024-25,Ousmane Dieng,21,OKC,405,Rotation,Stationary Shooter,Helper,-1.5,-1.18,-0.32,0.24,-1.52,-1.16,-0.36,-0.54,-0.13,-0.4,18.57,24.66,37.76,34.21,15.95,24.64,34.11,33.38,45.01,29.5
3171,2025-26,Ousmane Dieng,22,OKC/MIL,1099,Key Rotation,Secondary Ball Handler,Helper,-1.52,-1.39,-0.13,0.64,-1.44,-1.25,-0.19,-1.02,-0.79,-0.23,18.21,18.4,47.85,47.46,17.74,21.46,44.36,20.7,20.31,37.68
3172,2023-24,Terquavion Smith,21,PHI,84,Garbage Time,Low Minute,Point of Attack,-1.08,-0.27,-0.81,0.07,-1.08,-0.28,-0.8,-0.48,0.19,-0.67,28.43,61.88,17.16,18.92,27.59,61.97,14.66,35.39,62.17,19.03
3173,2024-25,Jared Rhoden,25,CHO/TOR,226,Garbage Time,Movement Shooter,Chaser,-0.3,-0.11,-0.19,0.31,-0.43,-0.24,-0.19,0.89,0.68,0.22,52.21,68.99,44.8,37.63,49.66,64.05,44.36,77.96,79.81,63.07
3174,2022-23,Jared Rhoden,23,DET,198,Garbage Time,Stationary Shooter,Helper,-1.7,-1.45,-0.25,0.09,-1.54,-1.57,0.03,-0.33,-0.14,-0.18,14.53,16.71,41.35,22.24,15.65,13.3,58.09,40.71,44.53,40.5
3175,2023-24,Jared Rhoden,24,DET,245,Garbage Time,Stationary Shooter,Helper,-1.11,-1.57,0.46,0.21,-0.94,-1.6,0.66,0.41,-0.19,0.6,27.69,13.79,74.04,32.48,31.63,12.42,81.7,66.32,42.1,79.52
3176,2025-26,Ron Harper Jr.,25,BOS,318,Rotation,Movement Shooter,Chaser,0.18,0.05,0.13,0.53,-0.1,-0.03,-0.06,1.03,0.65,0.38,76.62,74.29,62.05,44.63,58.79,72.94,52.42,80.65,79.1,70.4
3177,2022-23,Ron Harper Jr.,22,TOR,48,Garbage Time,Low Minute,Helper,-0.84,-0.42,-0.42,0.05,-1.1,-0.61,-0.49,-0.42,-0.06,-0.35,35.6,54.86,32.65,15.54,26.91,45.51,27.44,37.42,48.39,31.84
3178,2023-24,Ron Harper Jr.,23,TOR,4,Too Few Games,Low Minute,Helper,-0.71,-0.45,-0.25,0,-0.62,-0.43,-0.19,-0.11,0.01,-0.12,39.65,53.59,41.35,6.65,42.88,53.91,44.36,48.16,52.27,44.13
3179,2024-25,Ron Harper Jr.,24,DET,17,Too Few Games,Low Minute,Chaser,0.02,0.07,-0.05,0.03,0.01,0.06,-0.05,0.68,0.32,0.35,73.83,74.85,52.15,11.87,75.5,75.68,52.95,73.41,68.55,68.97
3180,2023-24,Kris Murray,23,POR,1348,Key Rotation,Movement Shooter,Helper,-1.38,-1.79,0.41,0.91,-2.73,-2.4,-0.33,-0.37,-0.92,0.55,20.69,9.55,72.39,53.61,1.85,2.03,35.78,39.32,17.11,77.66
3181,2024-25,Kris Murray,24,POR,1040,Rotation,Stationary Shooter,Helper,-1.85,-1.67,-0.18,0.39,-1.97,-1.65,-0.31,-0.88,-0.62,-0.26,12.22,11.8,45.24,40.47,8.23,11.32,36.98,23.8,24.7,36.17
3182,2025-26,Kris Murray,25,POR,1333,Key Rotation,Stationary Shooter,Helper,-0.99,-1.63,0.63,1.22,-1.33,-1.8,0.47,0.2,-0.34,0.54,31.03,12.58,78.22,59.61,20.4,8.43,76.76,59.95,35.36,77.13
3183,2023-24,Marcus Sasser,23,DET,1351,Rotation,Primary Ball Handler,Point of Attack,-2.49,-1.31,-1.18,-0.02,-2.17,-1.07,-1.11,-2.47,-1.42,-1.05,4.84,20.72,9.51,6.19,5.63,27.61,7.77,2.96,7.89,8.6
3184,2024-25,Marcus Sasser,24,DET,811,Rotation,Primary Ball Handler,Point of Attack,-0.36,0.12,-0.47,1.07,-0.43,0.12,-0.55,-0.66,-0.15,-0.5,50.18,75.93,29.96,56.87,49.66,77.17,24.34,29.38,44.18,25.27
3185,2025-26,Marcus Sasser,25,DET,456,Rotation,Secondary Ball Handler,Point of Attack,-1.59,-0.85,-0.74,0.25,-1.25,-0.36,-0.89,-1.12,-0.25,-0.87,16.59,36.22,19.16,34.66,22.79,57.94,12.07,18.42,39.25,12.93
3186,2022-23,Buddy Boeheim,23,DET,90,Garbage Time,Low Minute,Chaser,-0.69,-0.41,-0.28,0.1,-0.57,-0.41,-0.16,0.25,-0.06,0.31,40.23,55.28,39.76,23.68,44.82,55.01,46.46,61.68,48.39,67.15
