RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,O-LEBRON Box Impact,D-LEBRON Box Impact,LEBRON Vs Role Average,O-LEBRON Vs Role Average,D-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,O-LEBRON Box Impact_percentile,D-LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,O-LEBRON Vs Role Average_percentile,D-LEBRON Vs Role Average_percentile
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-1.45,0.06,-1.51,0.31,-1.3,0.07,-1.37,-0.64,0.32,-0.95,19.35,74.59,4.62,37.63,21.26,75.95,4.15,29.94,68.55,10.75
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,-0.13,-0.32,0.19,0.03,0.05,-0.19,0.24,0.82,0.12,0.7,56.44,59.5,64.35,11.87,76.05,66.6,68.58,76.64,58.07,82.9
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.75,-0.6,-0.15,0.03,-0.8,-0.53,-0.27,0.09,-0.19,0.28,38.25,46.5,46.99,11.87,36.63,49.19,39.3,56.13,42.1,65.76
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,-0.76,-0.23,-0.53,1.6,-1.03,-0.55,-0.49,-0.57,-0.44,-0.14,37.96,63.52,27.3,65.56,29.05,48.02,27.44,32.33,31.16,42.96
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,0.49,0.25,0.23,1.92,0.65,0.68,-0.03,0.92,0.17,0.75,81.46,78.54,65.78,69.57,85.15,86.02,54.38,78.49,61.17,84.21
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,1.75,-1.04,2.78,4.96,1.11,-0.87,1.98,1.77,-0.1,1.87,92.99,29.59,99.32,90.5,89.36,34.61,97.75,90.66,46.55,98.14
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-0.46,-1.89,1.44,0.69,-0.59,-2.1,1.51,-0.09,-1.21,1.12,47.19,7.97,92.84,48.75,44.14,4.62,95.04,49.14,11.12,91.89
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-1.34,-2.22,0.88,0.75,-2.03,-2.45,0.43,-0.76,-1.17,0.41,21.65,4.38,84,50.02,7.13,1.84,75.41,26.78,11.7,71.68
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,0.08,-1.24,1.32,0.79,-0.44,-1.47,1.03,-0.1,-0.58,0.48,75,22.77,91.55,51.03,49.17,15.44,89.15,48.65,25.88,74.93
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,0.19,-1.33,1.52,1.35,0.35,-1.06,1.41,0.16,-0.46,0.63,76.78,20.11,93.91,61.83,81.01,27.91,94.28,58.63,30.28,80.67
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,0.47,-0.24,0.71,2.74,0.07,-0.33,0.4,0.95,0.44,0.51,81.01,63.12,80.31,77.62,76.4,59.33,74.41,79.15,72.95,76.18
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-0.15,-0.87,0.72,1.3,-0.14,-0.27,0.13,0.4,-0.17,0.56,56.1,35.31,80.55,61,57.9,62.61,63.61,66.03,43.23,77.93
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,-1.75,-0.75,-1,0.22,-0.77,-0.16,-0.61,-1.26,-0.06,-1.2,13.72,40.15,12.76,33.23,37.82,67.92,21.6,15.67,48.39,6.04
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,-0.25,0,-0.25,1.84,-0.92,-0.87,-0.05,0.53,0.94,-0.41,53.51,72.85,41.35,68.74,32.42,34.61,52.95,69.72,85.04,29.1
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,-1.21,-0.6,-0.61,1.05,-0.17,0.45,-0.61,-0.03,-0.17,0.14,24.79,46.5,23.98,56.43,57.25,83.31,21.6,51.17,43.23,58.94
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,0.62,0.79,-0.16,3.48,-0.61,0.23,-0.84,1.7,1.04,0.66,83.27,86.59,46.46,83.14,43.44,79.25,13.39,90.13,86.63,81.58
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-2.13,-1.12,-1.01,0.13,-1.46,-0.69,-0.76,-0.57,-0.57,0,8.24,26.86,12.47,26.32,17.17,42.13,16.11,32.33,26.29,51.46
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,-0.88,-0.16,-0.72,0,-0.82,-0.14,-0.68,-0.4,0.23,-0.63,34.29,66.72,19.82,6.65,35.91,68.72,19.18,38.13,64.37,20.28
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,0.57,1.69,-1.12,2.57,0.35,1.53,-1.19,1.47,1.77,-0.3,82.57,93.62,10.31,75.98,81.01,92.6,6.13,87.39,94.31,34.36
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.51,-0.33,-0.18,0.19,-0.72,-0.54,-0.19,-0.1,0.09,-0.19,45.73,59.04,45.24,31.19,39.29,48.49,44.36,48.65,56.5,40
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,0.04,0.27,-0.23,3.37,-0.27,0.25,-0.52,0.38,0.81,-0.43,74.23,78.96,42.47,82.5,54.42,79.81,25.86,65.39,82.53,28.17
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,0.56,-0.2,0.75,2.35,-0.88,-0.97,0.08,1.34,0.59,0.76,82.47,64.93,81.19,74,34,30.89,61.07,85.88,77.51,84.48
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,1.76,0.28,1.48,2.65,0.98,-0.18,1.15,2.41,0.94,1.47,93.03,79.25,93.43,77,88.32,67.11,90.81,94.99,85.04,95.97
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,0.47,-0.1,0.57,3.5,0.08,0,0.07,0.7,0.29,0.42,81.01,69.48,76.86,83.21,76.6,73.93,60.34,74.04,67.23,72.11
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,0.78,0.25,0.53,3.56,-0.23,-0.06,-0.17,1.49,0.99,0.49,84.92,78.54,76,83.41,55.53,71.87,45.68,87.76,85.88,75.39
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,-1.46,-0.88,-0.58,0.09,-1.18,-0.66,-0.52,-0.61,-0.03,-0.58,19.13,34.83,25.51,22.24,24.84,43.35,25.86,30.96,49.85,22.04
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,0.1,-0.3,0.41,4.41,0.36,-0.38,0.74,0.66,-0.38,1.04,75.53,60.61,72.39,88.44,81.21,56.8,83.7,72.8,33.63,90.52
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,-2.56,-1.83,-0.72,-0.3,-2.02,-1.8,-0.21,-1.44,-1.27,-0.17,4.28,8.82,19.82,2.69,7.27,8.43,42.87,12.8,9.94,41.25
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,-1.2,0.19,-1.38,1.1,-0.92,0.19,-1.11,0.21,0.73,-0.52,25.06,77.3,6.16,57.41,32.42,78.59,7.77,60.29,81.01,24.44
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,-1.58,-0.21,-1.37,0.42,-1.26,-0.26,-1,-0.14,0.44,-0.58,16.89,64.45,6.3,41.28,22.4,63.07,9.83,47.26,72.95,22.04
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0.95,3.12,-2.17,4.33,0.72,2.31,-1.59,1.48,2.83,-1.35,86.64,97.31,0.98,88.08,85.84,95.87,2.32,87.63,97.99,4.25
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,-0.21,3.34,-3.55,3.63,0.47,2.66,-2.19,0.4,3.13,-2.73,54.66,97.77,0,83.89,82.92,96.87,0.3,66.03,98.43,0.03
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,0.25,3.02,-2.77,3.4,0.59,2.59,-2,1.77,3.53,-1.76,77.77,97.16,0.12,82.62,84.35,96.67,0.68,90.66,98.83,1.24
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,-0.31,1.48,-1.79,2.5,0.57,1.66,-1.1,0.31,1.3,-0.99,51.84,92.48,2.59,75.37,84.11,93.36,8.02,63.47,90.28,10.09
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,-0.75,1.39,-2.15,1.96,-0.82,1.01,-1.83,0.19,1.71,-1.52,38.25,92.1,1.02,69.87,35.91,89.27,1.15,59.58,93.87,2.67
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,1.86,-0.03,1.89,5.05,0.83,-0.77,1.6,1.88,0.9,0.98,93.54,72.04,96.39,90.84,87.01,38.39,95.73,91.91,84.41,89.54
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,1.26,-0.98,2.25,3.83,0.36,-0.87,1.23,1.4,0.01,1.39,89.65,31.33,98.27,85.39,81.21,34.61,91.94,86.51,52.27,95.16
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.13,-1.57,1.44,1.7,-0.07,-1.08,1.01,0.14,-0.52,0.66,56.44,13.79,92.84,66.96,59.45,27.25,88.73,57.97,28.15,81.58
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-1.04,-1.38,0.34,0.46,-1.16,-1.27,0.11,-1.22,-0.71,-0.51,29.52,18.7,69.97,42.64,25.47,20.77,62.71,16.59,22.11,24.81
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-1.04,-1.92,0.88,0.65,-0.44,-1.45,1.01,-1.22,-1.25,0.03,29.52,7.48,84,47.66,49.17,15.89,88.73,16.59,10.36,52.96
