RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Fouls Drawn / 75,Stable Fouls Drawn Per 75,Stable Shooting Fouls Drawn Per 75,Stable Non Shooting Fouls Drawn Per 75,Stable FTA Per 75,Drive Foul Drawn Rate,Isolation Foul Drawn Rate,Fouls Drawn / 75_percentile,Stable Fouls Drawn Per 75_percentile,Stable Shooting Fouls Drawn Per 75_percentile,Stable Non Shooting Fouls Drawn Per 75_percentile,Stable FTA Per 75_percentile,Drive Foul Drawn Rate_percentile,Isolation Foul Drawn Rate_percentile
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,3.8,3.74,0,0.31,4.16,14.29,0,83.56,84.97,0,61.2,79.91,90.73,0
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,4.28,4.12,0,0.54,4.33,30,0,88.65,89.44,0,93.35,82.53,98.61,0
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,4.56,4.44,0,0.48,4.86,10.34,0,90.92,91.99,0,90.02,88.07,80.75,0
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,2.27,2.31,0,0.14,2.93,10.53,10.34,52.12,45.73,0,17.89,48.99,81.37,82.95
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,2.99,2.99,0,0.32,3.81,12.2,0,70.05,69.78,0,64.45,73.66,86.65,0
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,4.46,4.29,0,0.22,5.46,17.39,0,90.08,90.77,0,34.53,92.14,94.75,0
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,3.23,3.23,0,0.22,4.12,13.33,10.71,74.52,75.78,0,34.53,79.09,89.21,83.99
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,2.64,2.67,0,0.18,3.11,12.23,5,62.02,58.48,0,25.1,54.77,86.74,70.7
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,1.81,1.87,0,0.1,2.06,8.33,0,39.05,31.22,0,14.59,22.7,69.62,0
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,1.95,2.05,0,0.26,2.5,9.52,0,43.28,36.86,0,46.12,35.21,76.75,0
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,0,2.9,0,0.32,3.25,0,0,0,66.26,0,64.45,59.17,0,0
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,2.12,2.2,0,0.21,2.73,6.38,0,47.51,41.49,0,31.76,42.27,55.91,0
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,2.96,3.02,0,0.25,3.92,25,0,69.36,70.6,0,43.11,75.57,97.82,0
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,3.87,3.85,0,0.33,3.53,13.18,6.67,84.37,86.42,0,67.25,67.11,89.01,73.87
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,3.28,3.27,0,0.35,2.22,3.13,0,75.56,77.01,0,72.09,27.46,32.49,0
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,2.79,2.81,0,0.43,3.07,6.06,0,65.44,63.3,0,85.73,53.53,53.54,0
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,3.53,3.52,0,0.23,3.09,8.49,0,79.67,81.62,0,37.19,54.19,71.03,0
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,3.48,3.45,0,0.34,2.91,3.28,0,78.93,80.42,0,69.57,48.16,33.54,0
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,2.3,2.53,0,0.29,2.08,0,0,53.15,53.46,0,55.27,23.36,0,0
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,2.62,2.64,0,0.35,2.82,6.9,6.25,61.39,57.56,0,72.09,45.49,59.77,72.99
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,2.43,2.45,0,0.23,2.48,7.37,7.69,56.69,50.6,0,37.19,34.64,63.46,75.94
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,3.56,3.55,0,0.25,4.34,4.6,9.59,80.27,82.23,0,43.11,82.66,42.1,80.95
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,3.18,3.16,0,0.42,3.61,6.88,6.12,73.58,74.29,0,84.37,68.99,59.68,72.9
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,4.91,4.86,0,0.42,7.98,9.26,19.05,93.26,94.58,0,84.37,98.68,75.52,96.28
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,5.08,5.06,0,0.75,6.69,8.79,12.42,94.36,95.84,0,98.29,96.8,72.75,87.4
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,6.16,6.1,0,1.06,8.22,8.89,12.86,97.8,98.5,0,99.64,98.9,73.19,88.37
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,5.07,5.03,0,0.58,6.2,8.03,10.23,94.32,95.69,0,94.92,95.34,67.88,82.66
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,5.05,4.97,0,0.25,8.07,10.11,28.57,94.16,95.29,0,43.11,98.75,79.94,99.31
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,2.39,2.41,0,0.41,2.57,7.69,0,55.55,48.94,0,83.21,37.07,65.32,0
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,2.62,2.63,0,0.24,2.45,2.27,15.38,61.39,57.24,0,39.8,33.86,28.55,92.1
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,2.25,2.29,0,0.32,2.69,10.34,0,51.57,45.05,0,64.45,41,80.75,0
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,2.99,2.98,0,0.28,2.85,4.17,0,70.05,69.05,0,52.44,46.28,39.12,0
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,3.19,3.18,0,0.32,2.48,0,0,73.74,74.74,0,64.45,34.64,0,0
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,3.49,3.49,0,0.32,3.39,6.67,0,79.1,81,0,64.45,63.42,57.98,0
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,2.6,2.63,0,0.17,2.35,44.44,0,61,57.24,0,22.89,30.98,99.41,0
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,3.35,3.34,0,0.33,2.97,8,0,76.85,78.42,0,67.25,50.38,67.52,0
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,2.15,2.21,0,0.24,1.42,4.23,8.11,48.36,41.95,0,39.8,7.03,39.71,77.12
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,1.61,2.14,0,0.27,2.12,6.67,0,34.26,39.7,0,49.23,24.67,57.98,0
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,1.04,1.3,0,0.23,1.26,1.49,0,22.96,18.73,0,37.19,4.74,26.16,0
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,1.46,1.53,0,0.24,1.05,1.15,8.33,30.67,23.11,0,39.8,2.39,25.55,77.6
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,1.98,2.08,0,0.25,1.44,4.07,0,43.99,37.79,0,43.11,7.36,38.66,0
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,1.11,1.33,0,0.18,1.01,2.29,0,24.06,19.28,0,25.1,2.05,28.69,0
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,2.35,2.49,0,0.2,2.38,7.41,5.56,54.58,51.93,0,29.7,31.81,63.62,71.64
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,2.13,2.43,0,0.34,3.15,8,18.18,47.72,49.73,0,69.57,56.07,67.52,95.23
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,1.47,2.74,0,0.38,3.5,0,0,30.92,61.04,0,78.54,66.29,0,0
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,0,2.7,0,0.35,3.21,0,0,0,59.58,0,72.09,58.05,0,0
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,2.84,2.86,0,0.28,3.33,22.22,0,66.38,64.89,0,52.44,61.74,97.3,0
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,0,2.68,0,0.27,3.15,0,0,0,58.79,0,49.23,56.07,0,0
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,3.69,3.64,0,0.19,3.4,12.5,9.09,82.13,83.56,0,27.4,63.79,87.13,79.44
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,4.68,4.45,0,0.46,4.54,5.13,10,91.8,92.06,0,88.6,85.14,46.04,81.71
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,3.89,3.87,0,0.25,4.56,10.61,11.23,84.66,86.75,0,43.11,85.41,81.79,85.28
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,4.68,4.59,0,0.39,5.1,11.88,12.5,91.8,93.06,0,80.14,90.08,85.87,87.46
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,3.89,3.71,0,0.29,3.19,6.45,0,84.66,84.66,0,55.27,57.39,56.37,0
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,2.56,2.61,0,0.16,2.74,22.22,0,60.09,56.47,0,20.95,42.68,97.3,0
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,3.25,3.24,0,0.37,3.75,5.36,2.08,75.01,76.17,0,76.63,72.17,47.9,67.88
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,3.16,3.16,0,0.51,4.16,5.67,11.84,73.17,74.29,0,91.83,79.91,50.53,86.52
98,2021-22,Emmanuel Mudiay,25,SAC,11,Too Few Games,Low Minute,Point of Attack,6.25,3.4,0,0.4,4.35,20,0,97.96,79.54,0,81.63,82.8,96.01,0
99,2019-20,Emmanuel Mudiay,23,UTA,850,Rotation,Slasher,Point of Attack,3.31,3.28,0,0.29,3.52,6.49,10.71,76.17,77.19,0,55.27,66.8,56.76,83.99
100,2015-16,Emmanuel Mudiay,19,DEN,2068,Starter,Slasher,Point of Attack,2.81,2.82,0,0.32,3.75,6.08,7.41,65.84,63.6,0,64.45,72.17,53.75,75.56
101,2016-17,Emmanuel Mudiay,20,DEN,1406,Key Rotation,Primary Ball Handler,Point of Attack,3.08,3.09,0,0.34,4.27,8.24,14.89,71.8,72.39,0,69.57,81.51,69.28,91.54
102,2019-20,Tyus Jones,23,MEM,1232,Key Rotation,Primary Ball Handler,Point of Attack,1.35,1.45,0,0.3,1.76,3.13,0,28.16,21.46,0,58.25,14.2,32.49,0
103,2020-21,Tyus Jones,24,MEM,1222,Rotation,Primary Ball Handler,Point of Attack,1.52,1.6,0,0.12,1.49,2.42,0,31.97,24.41,0,15.66,8.41,29.21,0
104,2021-22,Tyus Jones,25,MEM,1549,Key Rotation,Primary Ball Handler,Point of Attack,1.72,1.78,0,0.31,1.66,3.42,8.82,36.72,28.85,0,61.2,12.16,34.36,79.05
105,2022-23,Tyus Jones,26,MEM,1940,Key Rotation,Primary Ball Handler,Low Activity,1.43,1.49,0,0.33,1.9,3.81,0,29.83,22.27,0,67.25,18.16,36.6,0
106,2015-16,Tyus Jones,19,MIN,573,Rotation,Primary Ball Handler,Point of Attack,2.3,2.38,0,0.21,2.75,4.61,18.75,53.15,48.05,0,31.76,42.97,42.15,95.89
107,2016-17,Tyus Jones,20,MIN,774,Garbage Time,Secondary Ball Handler,Point of Attack,2.49,2.55,0,0.28,2.27,6.08,0,58.26,54.24,0,52.44,28.75,53.75,0
108,2017-18,Tyus Jones,21,MIN,1467,Rotation,Primary Ball Handler,Point of Attack,2.24,2.28,0,0.22,2.19,5.02,0,51.27,44.6,0,34.53,26.58,45.29,0
109,2018-19,Tyus Jones,22,MIN,1560,Key Rotation,Primary Ball Handler,Point of Attack,1.76,1.82,0,0.24,1.7,4.44,5.88,37.7,29.8,0,39.8,13,41.27,72.29
110,2025-26,Tyus Jones,29,ORL/DAL/DEN,934,Rotation,Primary Ball Handler,Point of Attack,0.54,0.73,0,0.09,0.66,3.9,0,18.34,14.37,0,14.42,0.27,37.4,0
111,2024-25,Tyus Jones,28,PHO,2174,Starter,Primary Ball Handler,Point of Attack,1.3,1.35,0,0.2,1.07,2.89,0,27.2,19.52,0,29.7,2.61,31.14,0
112,2023-24,Tyus Jones,27,WAS,1933,Starter,Primary Ball Handler,Point of Attack,0.89,0.96,0,0.09,0.84,1.72,5.26,21.11,15.2,0,14.42,0.91,26.55,71.15
113,2015-16,Cliff Alexander,20,POR,36,Too Few Games,Low Minute,Anchor Big,0,2.13,0,0.37,2.65,0,0,0,39.35,0,76.63,39.58,0,0
114,2018-19,Justin Anderson,25,ATL,463,Garbage Time,Movement Shooter,Helper,2.07,2.19,0,0.25,2.76,6.35,0,46.22,41.2,0,43.11,43.42,55.68,0
115,2021-22,Justin Anderson,28,CLE/IND,316,Garbage Time,Movement Shooter,Helper,1.75,1.99,0,0.28,2.49,12.12,0,37.47,35.04,0,52.44,35.01,86.42,0
116,2016-17,Justin Anderson,23,DAL/PHI,1227,Rotation,Movement Shooter,Wing Stopper,2.9,2.9,0,0.25,3.96,13.16,16.98,67.88,66.26,0,43.11,76.28,88.92,94.22
117,2017-18,Justin Anderson,24,PHI,519,Rotation,Movement Shooter,Low Activity,2.2,2.3,0,0.27,2.81,4.23,0,50.09,45.39,0,49.23,45.25,39.71,0
118,2019-20,Justin Anderson,26,BRK,107,Garbage Time,Stationary Shooter,Helper,1.96,2.43,0,0.29,2.28,0,0,43.6,49.73,0,55.27,29.02,0,0
119,2015-16,Justin Anderson,22,DAL,647,Rotation,Movement Shooter,Chaser,1.97,2.09,0,0.3,3.26,10.53,16.67,43.77,38.09,0,58.25,59.47,81.37,93.56
120,2015-16,Anthony Brown,23,LAL,599,Key Rotation,Movement Shooter,Chaser,1.13,1.37,0,0.24,1.6,12.9,0,24.54,19.87,0,39.8,10.83,88.53,0
121,2017-18,Anthony Brown,25,MIN,4,Too Few Games,Low Minute,Chaser,0,2.88,0,0.35,3.2,0,0,0,65.57,0,72.09,57.75,0,0
122,2016-17,Anthony Brown,24,NOP/ORL,159,Garbage Time,Movement Shooter,Wing Stopper,0.25,1.22,0,0.26,1.4,0,0,17.56,17.79,0,46.12,6.64,0,0
123,2015-16,Montrezl Harrell,22,HOU,379,Garbage Time,Post Scorer,Helper,3.07,3.07,0,0.44,4.27,0,0,71.58,71.89,0,86.87,81.51,0,0
124,2016-17,Montrezl Harrell,23,HOU,1064,Rotation,Roll + Cut Big,Mobile Big,3.89,3.84,0,0.25,4.07,7.89,0,84.66,86.28,0,43.11,78.36,67,0
125,2017-18,Montrezl Harrell,24,LAC,1293,Rotation,Post Scorer,Mobile Big,5.2,5.06,0,0.49,6.06,10.31,21.05,94.92,95.84,0,90.37,94.82,80.67,97.61
126,2018-19,Montrezl Harrell,25,LAC,2158,Key Rotation,Post Scorer,Anchor Big,5.91,5.81,0,0.61,6.65,16.13,18.92,97.24,97.89,0,95.76,96.68,93.32,96.2
127,2019-20,Montrezl Harrell,26,LAC,1749,Star,Shot Creator,Anchor Big,6.05,5.95,0,0.51,6.84,11.54,27.55,97.67,98.31,0,91.83,97.07,84.93,99.19
128,2020-21,Montrezl Harrell,27,LAL,1580,Key Rotation,Post Scorer,Mobile Big,5.16,5.04,0,0.34,5.86,9.26,13.33,94.75,95.75,0,69.57,94.07,75.52,89.05
129,2022-23,Montrezl Harrell,29,PHI,681,Rotation,Post Scorer,Anchor Big,5.14,4.89,0,0.25,5.25,13.64,0,94.63,94.77,0,43.11,91.13,89.85,0
130,2021-22,Montrezl Harrell,28,WAS/CHO,1640,Key Rotation,Post Scorer,Anchor Big,5.58,5.45,0,0.41,6.52,20,13.51,96.24,96.99,0,83.21,96.33,96.01,89.49
131,2016-17,Andrew Harrison,22,MEM,1474,Rotation,Shot Creator,Point of Attack,4.2,4.13,0,0.31,5.07,11.44,21.88,88.03,89.6,0,61.2,89.88,84.7,97.98
132,2017-18,Andrew Harrison,23,MEM,1326,Key Rotation,Primary Ball Handler,Point of Attack,4.92,4.81,0,0.47,4.6,6.52,13.33,93.32,94.24,0,89.26,85.81,57.02,89.05
133,2018-19,Andrew Harrison,24,MEM/CLE/NOP,186,Garbage Time,Shot Creator,Point of Attack,3.71,3.52,0,0.39,3.63,8.57,8.33,82.4,81.62,0,80.14,69.41,71.35,77.6
134,2015-16,Aaron Harrison,21,CHO,93,Garbage Time,Low Minute,Low Activity,2.97,3.05,0,0.62,4.04,27.27,0,69.53,71.29,0,95.99,77.82,98.42,0
135,2016-17,Aaron Harrison,22,CHO,17,Too Few Games,Low Minute,Chaser,2.34,2.98,0,0.34,3.71,0,0,54.23,69.05,0,69.57,71.19,0,0
136,2017-18,Aaron Harrison,23,DAL,233,Starter,Movement Shooter,Chaser,2.08,2.32,0,0.4,2.91,0,0,46.46,45.99,0,81.63,48.16,0,0
137,2021-22,Delon Wright,29,ATL,1452,Rotation,Primary Ball Handler,Point of Attack,1.91,1.96,0,0.23,1.74,5.38,18.75,42.05,33.85,0,37.19,13.88,48.11,95.89
138,2018-19,Delon Wright,26,TOR/MEM,1698,Rotation,Primary Ball Handler,Chaser,2.92,2.93,0,0.49,3.23,5.37,2.22,68.43,67.49,0,90.37,58.56,48.01,67.95
139,2023-24,Delon Wright,31,WAS/MIA,742,Rotation,Secondary Ball Handler,Point of Attack,2.13,2.2,0,0.29,2.35,8.43,23.08,47.72,41.49,0,55.27,30.98,70.69,98.21
140,2024-25,Delon Wright,32,MIL/NYK,634,Rotation,Secondary Ball Handler,Chaser,1.82,1.94,0,0.14,1.71,6.31,0,39.38,33.32,0,17.89,13.24,55.49,0
141,2020-21,Delon Wright,28,DET/SAC,1748,Star,Primary Ball Handler,Point of Attack,2.84,2.85,0,0.45,2.7,4.76,10.71,66.38,64.54,0,87.77,41.24,43.02,83.99
142,2015-16,Delon Wright,23,TOR,229,Garbage Time,Slasher,Point of Attack,3.67,3.52,0,0.5,5.18,9.9,0,81.87,81.62,0,91.11,90.57,78.61,0
143,2016-17,Delon Wright,24,TOR,446,Rotation,Slasher,Point of Attack,4.04,3.92,0,0.4,4.55,7.04,7.14,86.39,87.38,0,81.63,85.27,60.72,74.85
