RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Post Up Shot Making,Post Up Impact Per 75 Possessions,Stable Post Up PPP,Post Up Shot Making Efficiency,Post Up Shooting Talent,Post Up Shot Quality,Post Up Shot Making_percentile,Post Up Impact Per 75 Possessions_percentile,Stable Post Up PPP_percentile,Post Up Shot Making Efficiency_percentile,Post Up Shooting Talent_percentile,Post Up Shot Quality_percentile
1586,2019-20,Michael Porter Jr.,21,DEN,903,Rotation,Stationary Shooter,Low Activity,0.4,0.08,0.91,0.73,0.17,0.01,89.23,92.99,90.24,94.77,89.44,51.34
1587,2020-21,Michael Porter Jr.,22,DEN,1912,Star,Movement Shooter,Helper,-0.41,-0.19,0.76,-1.1,-0.72,-0.32,9.23,4.32,0.77,8.76,48,31.81
1588,2021-22,Michael Porter Jr.,23,DEN,265,Starter,Off Screen Shooter,Helper,-0.17,0,0.87,-0.47,-0.64,-0.22,29.2,12.81,8.43,51.43,50.15,37.45
1589,2022-23,Michael Porter Jr.,24,DEN,1798,Starter,Off Screen Shooter,Low Activity,-0.06,0.02,0.91,-0.44,-0.41,0.29,51.56,90.44,90.24,54.3,70.73,64.41
1590,2023-24,Michael Porter Jr.,25,DEN,2565,Starter,Off Screen Shooter,Low Activity,-0.33,-0.04,0.85,-1.02,-0.67,0.78,12.66,10.51,6.22,11.12,49,82.05
1591,2024-25,Michael Porter Jr.,26,DEN,2593,Starter,Movement Shooter,Low Activity,0.02,0.04,0.94,-0.33,-0.34,0.67,68.09,91.32,93.75,63.62,76.24,78.96
1592,2023-24,Jerome Robinson,26,GSW,81,Garbage Time,Low Minute,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
1593,2018-19,Jerome Robinson,21,LAC,320,Garbage Time,Off Screen Shooter,Low Activity,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1594,2019-20,Jerome Robinson,22,LAC/WAS,979,Rotation,Secondary Ball Handler,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1595,2020-21,Jerome Robinson,23,WAS,305,Rotation,Secondary Ball Handler,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1596,2018-19,Mitchell Robinson,20,NYK,1360,Key Rotation,Roll + Cut Big,Anchor Big,0.16,0.05,0.91,0.2,-0.19,3.03,81.95,91.77,90.24,88.25,82.63,99.56
1597,2019-20,Mitchell Robinson,21,NYK,1412,Key Rotation,Roll + Cut Big,Anchor Big,0.01,0,0.87,-0.18,-0.33,2.8,66.49,12.81,8.43,74.27,76.79,99.28
1598,2020-21,Mitchell Robinson,22,NYK,853,Starter,Athletic Finisher,Mobile Big,-0.15,0,0.87,-0.61,-0.55,-0.16,32.79,12.81,8.43,36.09,57.82,41.48
1599,2021-22,Mitchell Robinson,23,NYK,1848,Star,Athletic Finisher,Mobile Big,-0.27,-0.07,0.85,-0.74,-0.63,2.25,16.54,8.65,6.22,26.11,50.46,98.11
1600,2022-23,Mitchell Robinson,24,NYK,1589,Key Rotation,Roll + Cut Big,Anchor Big,-0.51,-0.16,0.81,-1.21,-0.72,1.38,6.46,5.06,2.78,6.46,48,92.28
1601,2023-24,Mitchell Robinson,25,NYK,768,Key Rotation,Athletic Finisher,Mobile Big,-0.23,0,0.87,-0.92,-0.55,2.15,20.35,12.81,8.43,15.06,57.82,97.7
1602,2024-25,Mitchell Robinson,26,NYK,290,Garbage Time,Roll + Cut Big,Mobile Big,-0.06,0,0.87,-0.75,-0.39,0.26,51.56,12.81,8.43,25.39,72.71,63.43
1603,2025-26,Mitchell Robinson,27,NYK,1174,Rotation,Athletic Finisher,Mobile Big,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1604,2022-23,Collin Sexton,24,UTA,1145,Key Rotation,Shot Creator,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1605,2023-24,Collin Sexton,25,UTA,2075,Starter,Shot Creator,Chaser,-0.27,0,0.87,-0.92,-0.64,-0.01,16.54,12.81,8.43,15.06,50.15,50.17
1606,2024-25,Collin Sexton,26,UTA,1758,Starter,Primary Ball Handler,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1607,2025-26,Collin Sexton,27,CHO/CHI,1558,Key Rotation,Primary Ball Handler,Point of Attack,-0.19,0,0.87,-0.71,-0.54,-1.05,25.61,12.81,8.43,28.57,58.78,8.31
1608,2018-19,Collin Sexton,20,CLE,2605,Starter,Shot Creator,Point of Attack,-0.19,0,0.87,-0.58,-0.57,-0.33,25.61,12.81,8.43,39.37,55.79,31.12
