RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Post Up Shot Making,Post Up Impact Per 75 Possessions,Stable Post Up PPP,Post Up Shot Making Efficiency,Post Up Shooting Talent,Post Up Shot Quality,Post Up Shot Making_percentile,Post Up Impact Per 75 Possessions_percentile,Stable Post Up PPP_percentile,Post Up Shot Making Efficiency_percentile,Post Up Shooting Talent_percentile,Post Up Shot Quality_percentile
3020,2023-24,Olivier Sarr,24,OKC,98,Garbage Time,Low Minute,Anchor Big,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3021,2023-24,Henri Drell,23,CHI,30,Too Few Games,Low Minute,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3022,2021-22,Gabriel Lundberg,27,PHO,44,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
3023,2022-23,Jaden Ivey,20,DET,2304,Starter,Primary Ball Handler,Point of Attack,-0.07,0,0.87,-0.42,-0.49,0.12,49.48,12.81,8.43,56.28,63.95,57.48
3024,2023-24,Jaden Ivey,21,DET,2218,Key Rotation,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3025,2024-25,Jaden Ivey,22,DET,898,Starter,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3026,2025-26,Jaden Ivey,23,DET/CHI,670,Rotation,Movement Shooter,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3027,2022-23,Paolo Banchero,20,ORL,2430,Starter,Shot Creator,Helper,-0.68,-0.05,0.93,-1.22,-0.5,-0.36,3.59,9.86,92.81,6.27,63.02,30.02
3028,2023-24,Paolo Banchero,21,ORL,2799,Starter,Shot Creator,Wing Stopper,-0.52,-0.22,0.9,-1.16,-0.27,-0.18,6.14,3.62,89.24,7.43,79.77,40.47
3029,2024-25,Paolo Banchero,22,ORL,1582,Star,Shot Creator,Helper,-0.74,-0.35,0.87,-1.39,-0.53,-0.84,3.02,1.92,8.43,3.59,59.94,12.5
3030,2025-26,Paolo Banchero,23,ORL,2437,Starter,Shot Creator,Wing Stopper,-0.34,0,0.87,-0.84,-0.06,2.05,12.13,12.81,8.43,19.37,86.17,97.26
3031,2022-23,Jabari Smith Jr.,19,HOU,2451,Starter,Movement Shooter,Wing Stopper,0.04,-0.08,0.9,-0.28,-0.01,-0.57,71.5,8.3,89.24,67.75,86.88,21.13
3032,2023-24,Jabari Smith Jr.,20,HOU,2424,Starter,Movement Shooter,Helper,0.61,-0.01,0.93,0.55,0.45,-0.33,92.19,12.25,92.81,93.2,92.38,31.12
3033,2024-25,Jabari Smith Jr.,21,HOU,1716,Key Rotation,Movement Shooter,Helper,0.11,0.25,1.04,-0.36,0.08,-1.14,78.61,97.47,99.26,61.2,88.39,6.93
3034,2025-26,Jabari Smith Jr.,22,HOU,2666,Starter,Movement Shooter,Helper,0.12,0,0.87,-0.17,-0.04,-0.68,79.43,12.81,8.43,74.93,86.39,17.35
3035,2023-24,Chet Holmgren,21,OKC,2413,Star,Stretch Big,Anchor Big,-0.13,0.03,0.94,-0.6,-0.35,1.04,36.6,91.03,93.75,37.23,75.44,87.43
3036,2024-25,Chet Holmgren,22,OKC,877,Key Rotation,Shot Creator,Mobile Big,-1.07,-0.37,0.79,-1.83,-1.02,0.18,1.01,1.71,1.59,0.76,0.25,60.25
3037,2025-26,Chet Holmgren,23,OKC,1997,Star,Shot Creator,Mobile Big,0.3,0,0.87,0,0.36,1.41,86.96,12.81,8.43,82.96,91.71,92.63
3038,2022-23,Bennedict Mathurin,20,IND,2222,Starter,Secondary Ball Handler,Chaser,-0.42,-0.03,0.86,-1.12,-0.77,-0.71,8.94,11.02,7.29,8.16,16.32,16.57
3039,2023-24,Bennedict Mathurin,21,IND,1538,Key Rotation,Secondary Ball Handler,Chaser,-0.18,0.05,0.92,-0.76,-0.5,-0.61,27.5,91.77,91.55,24.57,63.02,19.87
3040,2024-25,Bennedict Mathurin,22,IND,2149,Starter,Secondary Ball Handler,Chaser,-0.33,0,0.87,-1.03,-0.66,-0.06,12.66,12.81,8.43,10.65,49.42,47.12
3041,2025-26,Bennedict Mathurin,23,IND/LAC,1583,Starter,Shot Creator,Chaser,-0.11,0,0.87,-0.58,-0.45,-0.71,40.79,12.81,8.43,39.37,67.21,16.57
3042,2022-23,Keegan Murray,22,SAC,2382,Starter,Movement Shooter,Helper,-0.34,-0.07,0.84,-0.95,-0.66,0.12,12.13,8.65,5.34,13.8,49.42,57.48
3043,2023-24,Keegan Murray,23,SAC,2589,Starter,Movement Shooter,Wing Stopper,-0.26,-0.06,0.83,-0.86,-0.58,-1.49,17.48,9.21,4.15,18.08,54.5,3.37
3044,2024-25,Keegan Murray,24,SAC,2610,Starter,Movement Shooter,Wing Stopper,-0.22,0,0.87,-0.79,-0.55,-0.46,21.42,12.81,8.43,22.55,57.82,25.61
3045,2025-26,Keegan Murray,25,SAC,793,Starter,Movement Shooter,Wing Stopper,-0.27,0,0.87,-0.82,-0.48,0.32,16.54,12.81,8.43,20.72,64.71,65.8
3046,2022-23,AJ Griffin,19,ATL,1401,Rotation,Off Screen Shooter,Chaser,-0.04,0,0.87,-0.39,-0.47,-0.17,55.59,12.81,8.43,58.8,65.69,40.98
3047,2023-24,AJ Griffin,20,ATL,171,Garbage Time,Movement Shooter,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3048,2022-23,Shaedon Sharpe,19,POR,1779,Key Rotation,Movement Shooter,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3049,2023-24,Shaedon Sharpe,20,POR,1059,Starter,Secondary Ball Handler,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3050,2024-25,Shaedon Sharpe,21,POR,2252,Starter,Secondary Ball Handler,Chaser,-0.23,0,0.87,-0.83,-0.58,-0.44,20.35,12.81,8.43,20.09,54.5,26.77
3051,2025-26,Shaedon Sharpe,22,POR,1439,Starter,Shot Creator,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3052,2022-23,TyTy Washington Jr.,21,HOU,433,Garbage Time,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3053,2025-26,TyTy Washington Jr.,24,LAC,86,Garbage Time,Low Minute,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3054,2023-24,TyTy Washington Jr.,22,MIL,56,Garbage Time,Low Minute,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3055,2024-25,TyTy Washington Jr.,23,PHO,118,Garbage Time,Secondary Ball Handler,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3056,2022-23,Malaki Branham,19,SAS,1550,Key Rotation,Secondary Ball Handler,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3057,2023-24,Malaki Branham,20,SAS,1594,Key Rotation,Movement Shooter,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3058,2024-25,Malaki Branham,21,SAS,427,Garbage Time,Secondary Ball Handler,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3059,2025-26,Malaki Branham,22,WAS,276,Garbage Time,Secondary Ball Handler,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3060,2025-26,Blake Wesley,22,POR,357,Rotation,Shot Creator,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3061,2022-23,Blake Wesley,19,SAS,669,Rotation,Primary Ball Handler,Point of Attack,-0.14,0,0.87,-0.67,-0.57,-0.26,34.96,12.81,8.43,31.37,55.79,35.31
3062,2023-24,Blake Wesley,20,SAS,876,Rotation,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3063,2024-25,Blake Wesley,21,SAS,683,Rotation,Slasher,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3064,2022-23,Jalen Duren,19,DET,1670,Key Rotation,Roll + Cut Big,Mobile Big,-0.75,-0.12,0.88,-1.53,-0.67,1.87,2.93,6.54,86.29,2.39,49,96.6
3065,2023-24,Jalen Duren,20,DET,1778,Key Rotation,Roll + Cut Big,Anchor Big,-0.08,-0.12,0.88,-0.59,-0.28,1.01,47.31,6.54,86.29,38.2,79.38,87.09
3066,2024-25,Jalen Duren,21,DET,2035,Key Rotation,Roll + Cut Big,Mobile Big,-0.06,0.12,1,-0.52,-0.3,0.87,51.56,94.56,97.86,46.39,78.44,84.41
3067,2025-26,Jalen Duren,22,DET,1954,Star,Shot Creator,Mobile Big,-0.65,0,0.87,-1.28,-0.25,1.36,4,12.81,8.43,5.13,80.6,92.09
3068,2022-23,Tari Eason,21,HOU,1767,Rotation,Athletic Finisher,Helper,-0.22,-0.08,0.83,-0.77,-0.58,0.59,21.42,8.3,4.15,24.06,54.5,76.31
3069,2023-24,Tari Eason,22,HOU,480,Key Rotation,Athletic Finisher,Wing Stopper,-0.28,0,0.87,-1.03,-0.62,-0.3,15.72,12.81,8.43,10.65,51.2,33.23
3070,2024-25,Tari Eason,23,HOU,1420,Key Rotation,Stationary Shooter,Wing Stopper,-0.12,0,0.87,-0.67,-0.49,0.79,38.61,12.81,8.43,31.37,63.95,82.24
3071,2025-26,Tari Eason,24,HOU,1502,Key Rotation,Stationary Shooter,Wing Stopper,-0.19,0,0.87,-0.73,-0.53,0.51,25.61,12.81,8.43,26.83,59.94,73.95
3072,2022-23,Nikola Jovic,19,MIA,204,Garbage Time,Stationary Shooter,Helper,0.07,0,0.87,-0.38,-0.42,-0.2,75.34,12.81,8.43,59.53,69.75,39.02
3073,2023-24,Nikola Jovic,20,MIA,896,Rotation,Stationary Shooter,Helper,-0.27,0,0.87,-1.03,-0.62,-0.31,16.54,12.81,8.43,10.65,51.2,32.66
3074,2024-25,Nikola Jovic,21,MIA,1156,Key Rotation,Stationary Shooter,Helper,-0.18,-0.01,0.91,-0.8,-0.3,-0.43,27.5,12.25,90.24,21.8,78.44,27.18
3075,2025-26,Nikola Jovic,22,MIA,808,Rotation,Shot Creator,Helper,-0.15,0,0.87,-0.73,-0.28,-0.86,32.79,12.81,8.43,26.83,79.38,11.91
3076,2022-23,Max Christie,19,LAL,512,Rotation,Stationary Shooter,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3077,2023-24,Max Christie,20,LAL,944,Rotation,Stationary Shooter,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3078,2024-25,Max Christie,21,LAL/DAL,2127,Key Rotation,Movement Shooter,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3079,2025-26,Max Christie,22,DAL,2201,Starter,Movement Shooter,Point of Attack,-0.26,0,0.87,-0.8,-0.61,-0.22,17.48,12.81,8.43,21.8,52.06,37.45
3080,2025-26,Mark Williams,24,PHO,1396,Key Rotation,Roll + Cut Big,Mobile Big,-0.26,0,0.87,-0.83,-0.29,-0.25,17.48,12.81,8.43,20.09,78.93,35.91
3081,2022-23,Mark Williams,21,CHO,828,Rotation,Roll + Cut Big,Anchor Big,-0.22,-0.07,0.9,-0.75,0.11,-0.42,21.42,8.65,89.24,25.39,88.81,27.62
3082,2023-24,Mark Williams,22,CHO,508,Key Rotation,Roll + Cut Big,Anchor Big,-0.52,0.07,0.91,-1.25,-0.75,1.25,6.14,92.64,90.24,5.67,35.04,90.74
3083,2024-25,Mark Williams,23,CHO,1171,Key Rotation,Roll + Cut Big,Anchor Big,-0.94,-0.01,0.93,-1.73,-0.66,0.21,1.7,12.25,92.81,1.2,49.42,61.57
3084,2022-23,Jeremy Sochan,19,SAS,1458,Key Rotation,Athletic Finisher,Wing Stopper,-0.45,-0.19,0.84,-1.05,-0.51,-0.05,8.03,4.32,5.34,10.05,62.19,47.65
3085,2023-24,Jeremy Sochan,20,SAS,2193,Starter,Athletic Finisher,Wing Stopper,-0.73,-0.28,0.77,-1.73,-0.88,-0.03,3.15,2.75,1.03,1.2,0.59,48.85
3086,2024-25,Jeremy Sochan,21,SAS,1367,Key Rotation,Roll + Cut Big,Wing Stopper,-0.03,-0.01,0.91,-0.54,-0.23,0.34,58.02,12.25,90.24,44.25,81.26,66.43
3087,2025-26,Jeremy Sochan,22,SAS/NYK,443,Rotation,Stretch Big,Mobile Big,-0.05,0,0.87,-0.6,-0.32,0.73,53.13,12.81,8.43,37.23,77.27,80.79
3088,2022-23,Wendell Moore Jr.,21,MIN,153,Garbage Time,Movement Shooter,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3089,2023-24,Wendell Moore Jr.,22,MIN,75,Garbage Time,Low Minute,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3090,2024-25,Wendell Moore Jr.,23,DET/CHO,499,Garbage Time,Movement Shooter,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3091,2025-26,Wendell Moore Jr.,24,DET,60,Too Few Games,Low Minute,Wing Stopper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3092,2022-23,Kendall Brown,19,IND,40,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3093,2023-24,Kendall Brown,20,IND,62,Garbage Time,Low Minute,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3094,2022-23,Kennedy Chandler,20,MEM,281,Garbage Time,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3095,2022-23,Jalen Williams,21,OKC,2276,Starter,Secondary Ball Handler,Helper,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3096,2023-24,Jalen Williams,22,OKC,2223,Starter,Slasher,Wing Stopper,-0.19,0,0.87,-0.73,-0.56,-0.13,25.61,12.81,8.43,26.83,56.89,43.06
3097,2024-25,Jalen Williams,23,OKC,2237,Star,Shot Creator,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3098,2025-26,Jalen Williams,24,OKC,936,Starter,Shot Creator,Wing Stopper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3099,2022-23,Orlando Robinson,22,MIA,425,Rotation,Roll + Cut Big,Helper,-0.19,0,0.87,-0.84,-0.58,0.01,25.61,12.81,8.43,19.37,54.5,51.34
3100,2023-24,Orlando Robinson,23,MIA,304,Garbage Time,Roll + Cut Big,Mobile Big,-0.2,0,0.87,-1.2,-0.27,1,24.09,12.81,8.43,6.68,79.77,86.8
3101,2025-26,Orlando Robinson,25,ORL,25,Too Few Games,Low Minute,Mobile Big,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3102,2024-25,Orlando Robinson,24,SAC/TOR,770,Key Rotation,Roll + Cut Big,Mobile Big,-0.18,-0.19,0.85,-0.87,-0.37,0.28,27.5,4.32,6.22,17.39,74.49,64.13
3103,2022-23,Patrick Baldwin Jr.,20,GSW,226,Garbage Time,Movement Shooter,Helper,-0.08,0,0.87,-0.69,-0.54,-0.07,47.31,12.81,8.43,29.95,58.78,46.33
3104,2024-25,Patrick Baldwin Jr.,22,WAS/LAC,107,Garbage Time,Movement Shooter,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3105,2023-24,Patrick Baldwin Jr.,21,WAS,494,Rotation,Movement Shooter,Helper,-0.16,0,0.87,-0.92,-0.56,-0.04,31.12,12.81,8.43,15.06,56.89,48.38
3106,2022-23,Walker Kessler,21,UTA,1703,Key Rotation,Roll + Cut Big,Anchor Big,-0.1,0,0.87,-0.5,-0.45,1.44,42.8,12.81,8.43,48.44,67.21,92.88
3107,2023-24,Walker Kessler,22,UTA,1493,Key Rotation,Roll + Cut Big,Anchor Big,-0.27,-0.07,0.85,-0.95,-0.56,1.32,16.54,8.65,6.22,13.8,56.89,91.59
3108,2024-25,Walker Kessler,23,UTA,1740,Star,Roll + Cut Big,Anchor Big,-0.16,0,0.87,-0.72,-0.5,0.04,31.12,12.81,8.43,27.65,63.02,53.2
3109,2025-26,Walker Kessler,24,UTA,154,Too Few Games,Athletic Finisher,Mobile Big,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3110,2022-23,Jaylin Williams,20,OKC,914,Rotation,Stretch Big,Anchor Big,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3111,2023-24,Jaylin Williams,21,OKC,897,Rotation,Stationary Shooter,Anchor Big,-0.17,0,0.87,-0.85,-0.56,-0.56,29.2,12.81,8.43,18.58,56.89,21.45
3112,2024-25,Jaylin Williams,22,OKC,784,Rotation,Stationary Shooter,Anchor Big,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3113,2025-26,Jaylin Williams,23,OKC,1277,Rotation,Stationary Shooter,Anchor Big,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3114,2025-26,JD Davison,23,HOU,192,Garbage Time,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3115,2022-23,JD Davison,20,BOS,66,Garbage Time,Low Minute,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3116,2023-24,JD Davison,21,BOS,39,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3117,2024-25,JD Davison,22,BOS,93,Garbage Time,Low Minute,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3118,2025-26,Bryce McGowens,23,NOP,880,Rotation,Stationary Shooter,Chaser,-0.21,0,0.87,-0.82,-0.57,-0.09,22.96,12.81,8.43,20.72,55.79,45.39
3119,2024-25,Bryce McGowens,22,POR,32,Garbage Time,Low Minute,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3120,2022-23,Bryce McGowens,20,CHO,787,Rotation,Movement Shooter,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3121,2023-24,Bryce McGowens,21,CHO,882,Rotation,Movement Shooter,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3122,2022-23,Jamaree Bouyea,23,MIA/WAS,71,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3123,2024-25,Jamaree Bouyea,25,MIL,62,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3124,2025-26,Jamaree Bouyea,26,PHO,578,Rotation,Shot Creator,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3125,2023-24,Jamaree Bouyea,24,POR/SAS,95,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3126,2023-24,Julian Strawther,21,DEN,545,Garbage Time,Off Screen Shooter,Low Activity,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3127,2024-25,Julian Strawther,22,DEN,1384,Rotation,Movement Shooter,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3128,2025-26,Julian Strawther,23,DEN,793,Rotation,Movement Shooter,Low Activity,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3129,2025-26,Caleb Love,24,POR,1011,Key Rotation,Shot Creator,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3130,2024-25,Harrison Ingram,22,SAS,35,Too Few Games,Low Minute,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3131,2025-26,Harrison Ingram,23,SAS,20,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3132,2022-23,Christian Braun,21,DEN,1181,Garbage Time,Stationary Shooter,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3133,2023-24,Christian Braun,22,DEN,1656,Key Rotation,Stationary Shooter,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3134,2024-25,Christian Braun,23,DEN,2675,Starter,Stationary Shooter,Point of Attack,-0.34,0,0.87,-1.04,-0.67,0,12.13,12.81,8.43,10.2,49,50.8
3135,2025-26,Christian Braun,24,DEN,1399,Starter,Stationary Shooter,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3136,2023-24,Oscar Tshiebwe,24,IND,42,Too Few Games,Low Minute,Mobile Big,-0.03,0,0.87,-0.85,-0.32,0.67,58.02,12.81,8.43,18.58,77.27,78.96
3137,2024-25,Oscar Tshiebwe,25,UTA,255,Garbage Time,Athletic Finisher,Mobile Big,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3138,2025-26,Oscar Tshiebwe,26,UTA,388,Rotation,Roll + Cut Big,Mobile Big,-0.08,0,0.87,-0.68,-0.41,0.16,47.31,12.81,8.43,30.58,70.73,59.09
3139,2025-26,Christian Koloko,25,LAL/MEM/ATL,335,Rotation,Athletic Finisher,Mobile Big,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3140,2024-25,Christian Koloko,24,LAL,342,Garbage Time,Roll + Cut Big,Mobile Big,0.02,0,0.87,-0.5,-0.32,0.72,68.09,12.81,8.43,48.44,77.27,80.6
3141,2022-23,Christian Koloko,22,TOR,802,Garbage Time,Roll + Cut Big,Mobile Big,-0.06,0,0.87,-0.5,-0.47,-0.39,51.56,12.81,8.43,48.44,65.69,28.85
3142,2025-26,Jabari Walker,23,PHI,754,Rotation,Stretch Big,Helper,-0.15,0,0.87,-0.76,-0.51,-0.61,32.79,12.81,8.43,24.57,62.19,19.87
3143,2022-23,Jabari Walker,20,POR,619,Rotation,Athletic Finisher,Helper,-0.13,-0.11,0.86,-0.71,-0.49,0.11,36.6,6.88,7.29,28.57,63.95,56.85
3144,2023-24,Jabari Walker,21,POR,1701,Key Rotation,Athletic Finisher,Helper,-0.36,-0.11,0.83,-1.15,-0.65,-0.91,11.15,6.88,4.15,7.56,49.75,10.83
3145,2024-25,Jabari Walker,22,POR,749,Rotation,Athletic Finisher,Helper,-0.07,0,0.87,-0.62,-0.45,0.44,49.48,12.81,8.43,35.09,67.21,70.99
3146,2022-23,Ryan Rollins,20,GSW,62,Garbage Time,Low Minute,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3147,2023-24,Ryan Rollins,21,WAS/MIL,78,Garbage Time,Low Minute,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3148,2024-25,Ryan Rollins,22,MIL,820,Rotation,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3149,2025-26,Ryan Rollins,23,MIL,2375,Starter,Primary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3150,2023-24,Leonard Miller,20,MIN,52,Garbage Time,Low Minute,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3151,2024-25,Leonard Miller,21,MIN,32,Garbage Time,Low Minute,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3152,2025-26,Leonard Miller,22,MIN/CHI,645,Key Rotation,Stationary Shooter,Helper,-0.03,0,0.87,-0.52,-0.41,-0.07,58.02,12.81,8.43,46.39,70.73,46.33
3153,2022-23,Jordan Hall,21,SAS,83,Garbage Time,Low Minute,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3154,2022-23,Keon Ellis,23,SAC,71,Garbage Time,Low Minute,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3155,2023-24,Keon Ellis,24,SAC,978,Rotation,Movement Shooter,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3156,2024-25,Keon Ellis,25,SAC,1948,Key Rotation,Movement Shooter,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3157,2025-26,Keon Ellis,26,SAC/CLE,1460,Rotation,Movement Shooter,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3158,2025-26,Drew Timme,25,LAL,222,Garbage Time,Versatile Big,Helper,-0.19,0,0.87,-1.04,0.33,-0.46,25.61,12.81,8.43,10.2,91.44,25.61
3159,2024-25,Drew Timme,24,BRK,254,Starter,Stretch Big,Mobile Big,-0.35,-0.74,0.82,-0.99,-0.31,0.03,11.5,0.36,3.43,12.22,77.88,52.44
3160,2023-24,Izaiah Brockington,24,NOP,3,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3161,2022-23,Josh Minott,20,MIN,96,Garbage Time,Low Minute,Helper,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3162,2023-24,Josh Minott,21,MIN,91,Garbage Time,Low Minute,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3163,2024-25,Josh Minott,22,MIN,276,Garbage Time,Movement Shooter,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3164,2025-26,Josh Minott,23,BOS/BRK,834,Rotation,Movement Shooter,Wing Stopper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3165,2023-24,Jaime Jaquez Jr.,22,MIA,2113,Starter,Shot Creator,Helper,-0.09,0.05,0.96,-0.57,-0.15,0.24,44.79,91.77,95.46,40.38,83.77,62.71
3166,2024-25,Jaime Jaquez Jr.,23,MIA,1368,Rotation,Shot Creator,Helper,-0.76,-0.2,0.84,-1.89,-0.75,0.17,2.87,4.08,5.34,0.66,35.04,59.62
3167,2025-26,Jaime Jaquez Jr.,24,MIA,2059,Key Rotation,Shot Creator,Helper,0.02,0,0.87,-0.33,-0.13,0.98,68.09,12.81,8.43,63.62,84.39,86.52
3168,2022-23,Ousmane Dieng,19,OKC,569,Rotation,Stationary Shooter,Low Activity,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3169,2023-24,Ousmane Dieng,20,OKC,365,Rotation,Movement Shooter,Low Activity,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3170,2024-25,Ousmane Dieng,21,OKC,405,Rotation,Stationary Shooter,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3171,2025-26,Ousmane Dieng,22,OKC/MIL,1022,Key Rotation,Shot Creator,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3172,2023-24,Terquavion Smith,21,PHI,84,Garbage Time,Low Minute,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3173,2024-25,Jared Rhoden,25,CHO/TOR,226,Garbage Time,Movement Shooter,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3174,2022-23,Jared Rhoden,23,DET,198,Garbage Time,Stationary Shooter,Helper,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3175,2023-24,Jared Rhoden,24,DET,245,Garbage Time,Stationary Shooter,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3176,2025-26,Ron Harper Jr.,25,BOS,269,Rotation,Movement Shooter,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3177,2022-23,Ron Harper Jr.,22,TOR,48,Garbage Time,Low Minute,Helper,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
3178,2023-24,Ron Harper Jr.,23,TOR,4,Too Few Games,Low Minute,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3179,2024-25,Ron Harper Jr.,24,DET,17,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3180,2023-24,Kris Murray,23,POR,1348,Key Rotation,Movement Shooter,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
3181,2024-25,Kris Murray,24,POR,1040,Rotation,Stationary Shooter,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
3182,2025-26,Kris Murray,25,POR,1283,Key Rotation,Stationary Shooter,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
3183,2023-24,Marcus Sasser,23,DET,1351,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
