RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
3323,2024-25,Gradey Dick,21,TOR,1587,Starter,Off Screen Shooter,Chaser,-0.27,-0.16,-0.4,-0.23,-0.08,-0.41,41.62,42.78,1.55,0.87,63.79,39.74,48.57,66.89,51.63,56.89,75.04,68.84,60.95,75.44,-0.48,42.22,51.08,67.53
3324,2025-26,Gradey Dick,22,TOR,1049,Rotation,Movement Shooter,Low Activity,-0.79,-0.52,-0.92,-0.88,-0.56,-1.83,41.47,40.08,1.09,0.48,17.98,10.32,27.77,12.19,8.21,2.95,72.86,41.71,45.7,62.18,-1.61,36.84,5.22,49.98
3325,2023-24,Rayan Rupert,19,POR,633,Rotation,Stationary Shooter,Helper,-0.67,-0.43,-0.37,-0.6,-0.33,-1.16,40.34,38.4,,0.06,29.38,14.63,49.51,38.69,20.15,15.74,44.92,26.59,,34.37,-1.39,8.33,9.41,19.23
3326,2024-25,Rayan Rupert,20,POR,460,Garbage Time,Stationary Shooter,Point of Attack,-0.33,-0.13,-0.18,-0.34,-0.12,-0.57,40.71,44.68,,0.23,59.85,43.56,57.18,60.48,45.31,47.3,55.31,86.17,,48.53,-0.54,42.86,47.24,69.07
3327,2025-26,Rayan Rupert,21,POR/MEM,991,Rotation,Stationary Shooter,Chaser,-0.6,-0.54,0,-0.55,-0.57,-1.64,40.49,40.08,0.99,0.22,36.98,9.49,64.24,43.91,7.93,4.61,49.2,41.71,41.97,47.78,-1.49,42.86,7.23,69.07
3328,2023-24,GG Jackson,19,MEM,1233,Key Rotation,Movement Shooter,Helper,-0.53,-0.44,0,-0.48,-0.4,-1.04,38.62,39.46,0.89,0.36,44.13,14.01,64.24,50.69,15.13,20.25,22.1,34.37,38.61,56.67,-1.08,27.27,18.19,29.43
3329,2024-25,GG Jackson,20,MEM,459,Rotation,Movement Shooter,Helper,-0.66,-0.72,0.25,-0.59,-0.68,-1.9,41.54,39.84,1.18,0.31,30.37,4.5,73.63,39.64,5.08,2.17,74.06,38.24,48.92,53.74,-1.9,40,2.42,58.96
3330,2025-26,GG Jackson,21,MEM,1178,Key Rotation,Shot Creator,Wing Stopper,-0.07,-0.02,0.33,-0.06,-0.06,-0.34,40.89,43.33,1.56,0.24,73.71,62.22,75.93,74.32,55.48,60.65,58.93,73.9,61.24,49.23,-0.22,53.33,65.66,92.81
3331,2023-24,Cam Whitmore,19,HOU,880,Rotation,Movement Shooter,Helper,-0.29,-0.15,0,-0.28,-0.19,-0.67,42.27,40.86,1.38,0.49,62.58,40.93,64.24,64.05,35.35,41.24,86.15,49.63,55.69,62.53,-0.53,41.38,47.93,64.71
3332,2024-25,Cam Whitmore,20,HOU,827,Rotation,Movement Shooter,Low Activity,-0.21,-0.31,0.48,-0.12,-0.27,-0.82,42.41,39.75,1.63,0.62,67.33,22.91,80.44,72.11,25.51,31.59,87.66,37.5,63.24,67.25,-0.87,45.16,27.86,76.37
3333,2025-26,Cam Whitmore,21,WAS,354,Rotation,Shot Creator,Helper,-0.44,-0.5,0.12,-0.44,-0.47,-1.39,39.42,40.54,0.99,0.4,52.22,11.14,69,53.76,11.32,9.19,29.26,46.16,41.97,58.8,-1.4,28.57,9.1,30.96
