RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
1246,2022-23,Vlatko Cancar,25,DEN,889,Garbage Time,Stationary Shooter,Helper,-0.63,-0.25,-0.87,-0.65,-0.3,-1.05,42.75,41.89,0.71,0.04,33.53,28.55,29.9,32.55,22.8,19.81,90.41,60.09,32.08,32.47,-0.78,16.67,32.94,20.98
1247,2024-25,Vlatko Cancar,27,DEN,136,Garbage Time,Stretch Big,Helper,-0.62,0.02,-1.03,-0.63,0.03,-0.33,41.29,45.29,,0,34.8,68.68,23.53,34.75,70.71,61.16,68.32,89.47,,0,-0.29,0,61.94,0
1248,2017-18,Charles Cooke,23,NOP,38,Garbage Time,Low Minute,Chaser,-0.36,-0.03,-0.09,-0.4,-0.04,-0.6,39.71,40.06,,0,57.82,60.19,60.73,56.72,58.99,45.34,33.22,41.13,,0,-0.52,0,48.75,0
1249,2019-20,Nigel Williams-Goss,25,UTA,50,Garbage Time,Low Minute,Point of Attack,-0.48,-0.07,-0.65,-0.49,-0.05,-0.48,40.11,39.69,,0,48.88,53.19,38.32,49.64,57.52,52.79,39.83,36.57,,0,-0.55,0,46.5,0
1250,2018-19,Davon Reed,23,IND,47,Garbage Time,Low Minute,Chaser,-0.61,-0.07,-0.69,-0.61,-0.08,-0.74,39.49,39.89,,0,35.92,53.19,36.54,37.39,51.63,36.48,30.34,39.32,,0,-0.65,0,40.81,0
1251,2017-18,Davon Reed,22,PHO,242,Garbage Time,Off Screen Shooter,Low Activity,-0.6,-0.36,-0.28,-0.63,-0.36,-1.18,37.42,40.59,0.89,0.3,36.98,19.18,53.26,34.75,17.89,15.13,17.25,46.65,38.61,53.1,-1.15,15.38,15.41,20.77
1252,2021-22,Davon Reed,26,DEN,668,Rotation,Movement Shooter,Helper,-0.12,0.3,-0.59,-0.14,0.27,0.81,42.93,45.55,1.51,1.17,71.46,83.43,41.07,71.33,82.95,92.71,91.61,90.54,59.85,82.82,0.87,65.63,93.08,96.2
1253,2022-23,Davon Reed,27,DEN/LAL,342,Garbage Time,Movement Shooter,Chaser,-0.46,-0.26,0.09,-0.42,-0.25,-1.34,41.92,39.77,0.74,0.63,50.49,27.68,67.75,55.33,27.85,10.29,79.67,37.66,33.01,67.64,-1.32,26.09,10.79,28.56
1254,2022-23,Chance Comanche,26,POR,21,Too Few Games,Low Minute,Helper,-0.64,0.09,-1.74,-1.54,,,42.75,44,3.49,0,32.48,74.98,5.41,2.08,,,90.41,80.04,93.67,0,-0.54,0,47.24,0
1255,2020-21,Luke Kornet,25,CHI/BOS,347,Garbage Time,Stretch Big,Anchor Big,-0.84,-0.05,-2.11,-0.85,-0.13,-0.67,41.85,42.87,0.62,0,14.34,56.77,1.09,13.83,43.63,41.24,78.73,69.44,28.93,0,-0.3,0,61.23,0
1256,2021-22,Luke Kornet,26,CLE/MIL/BOS,103,Garbage Time,Athletic Finisher,Helper,-0.71,-0.12,-1.08,-0.71,-0.05,-0.55,40.69,42.47,,0,25.41,44.96,21.7,26.05,57.52,48.42,53.8,65.22,,0,-0.86,0,28.53,0
1257,2022-23,Luke Kornet,27,BOS,804,Rotation,Roll + Cut Big,Anchor Big,-1.01,-0.28,-2.08,-1.01,-0.19,-0.6,41.94,45.69,,0.05,6.47,25.75,1.23,6.91,35.35,45.34,79.87,91.19,,33.3,-1.07,50,18.61,85.91
1258,2023-24,Luke Kornet,28,BOS,983,Rotation,Roll + Cut Big,Anchor Big,-1.11,-0.37,-2.07,-1.09,-0.33,-1.2,42.07,40.52,,0,4.42,18.54,1.31,5.01,20.15,14.35,81.68,46.03,,0,-1.25,0,12.48,0
1259,2024-25,Luke Kornet,29,BOS,1361,Rotation,Roll + Cut Big,Anchor Big,-1.09,-0.43,-1.91,-1.07,-0.22,-0.66,42.53,42.85,0.65,0.14,4.87,14.63,2.73,5.43,31.31,41.8,88.81,69.11,29.88,41.39,-1.48,71.43,7.42,97.12
1260,2017-18,Luke Kornet,22,NYK,326,Rotation,Stretch Big,Anchor Big,-0.84,-0.29,-1.09,-0.78,-0.27,-0.8,39.19,37.45,0.45,0.22,14.34,24.85,21.39,18.96,25.51,32.85,27,21.85,23.84,47.78,-0.8,33.33,31.51,38.25
1261,2018-19,Luke Kornet,23,NYK,784,Rotation,Stretch Big,Helper,-0.82,-0.42,-0.69,-0.77,-0.5,-1.53,38.61,37.31,0.6,0.28,15.71,15.22,36.54,19.89,9.99,6.54,22.05,21.27,28.31,51.95,-1.22,25,13.38,26.25
1262,2025-26,Luke Kornet,30,SAS,1412,Key Rotation,Roll + Cut Big,Anchor Big,-1.18,-0.42,-2.33,-1.2,-0.32,-1,40.66,42.36,,0,3.59,15.22,0.31,3.98,20.97,22.23,52.34,64.37,,0,-1.26,0,12.23,0
1263,2019-20,Luke Kornet,24,CHI,559,Rotation,Stretch Big,Mobile Big,-0.94,-0.2,-2.2,-0.9,-0.08,-0.39,40.11,41.04,,0.06,8.85,34.96,0.66,11.14,51.63,57.87,39.83,51.54,,34.37,-0.69,20,38.09,22.49
1264,2017-18,Isaiah Hicks,23,NYK,239,Garbage Time,Post Scorer,Helper,-0.79,-0.26,-1.53,-0.84,-0.16,-0.61,39.72,38.39,1.08,0.15,17.98,27.68,9.1,14.56,39.11,44.91,33.39,26.54,45.4,42.24,-0.82,33.33,30.28,38.25
1265,2018-19,Isaiah Hicks,24,NYK,32,Too Few Games,Low Minute,Anchor Big,-0.37,0.03,-0.11,-0.39,0.03,-0.24,40.89,39.89,2.31,2.31,57.24,70.1,59.99,57.46,70.71,65.93,58.93,39.32,79.8,96.2,-0.2,66.67,66.42,96.23
1266,2017-18,Kadeem Allen,25,BOS,107,Garbage Time,Shot Creator,Point of Attack,-0.63,-0.03,-0.52,-0.61,-0.03,-0.37,40,40.06,,0,33.53,60.19,43.85,37.39,60.72,59.23,37.24,41.13,,0,-0.32,0,60.23,0
1267,2018-19,Kadeem Allen,26,NYK,416,Key Rotation,Slasher,Point of Attack,-0.1,-0.39,0.93,0.03,-0.31,-0.67,40.05,38.27,1.78,1.34,72.22,17.12,91.77,77.4,21.93,41.24,38.7,25.93,67.34,86.19,-0.75,34.09,34.55,43.53
1268,2019-20,Kadeem Allen,27,NYK,117,Garbage Time,Primary Ball Handler,Point of Attack,0.37,0.18,0.86,0.38,0.19,0.28,40.66,41.58,3.06,2.45,85.17,79.89,90.39,85.53,80.38,83.87,52.34,56.8,90.39,96.86,0.27,61.54,82.97,95.76
1269,2017-18,Jabari Bird,23,BOS,115,Garbage Time,Athletic Finisher,Chaser,-0.82,-0.15,-1.03,-0.74,-0.11,-0.63,39.71,39.48,,0,15.71,40.93,23.53,22.61,46.92,43.63,33.22,34.52,,0,-0.74,0,35.22,0
1270,2017-18,Chris Boucher,25,GSW,1,Too Few Games,Low Minute,Helper,-2.07,,,-1.75,,,40.28,39.86,,0,0.07,,,0.17,,,43.02,38.37,,0,,0,,0
1271,2025-26,Chris Boucher,33,BOS,94,Rotation,Low Minute,Helper,-0.8,-0.07,-1.43,-0.76,-0.07,-0.79,40.95,44.49,,0,17.2,53.19,11.6,20.8,53.66,33.55,60.09,84.74,,0,-0.77,0,33.43,0
1272,2018-19,Chris Boucher,26,TOR,163,Garbage Time,Stretch Big,Helper,-0.74,-0.09,-1.4,-0.69,-0.04,-0.35,40.05,39.14,,0,22.26,50.1,12.48,28.35,58.99,60.21,38.7,31.67,,0,-0.6,0,43.71,0
1273,2019-20,Chris Boucher,27,TOR,819,Garbage Time,Stretch Big,Anchor Big,-0.62,-0.04,-1.52,-0.61,0.02,0.01,40.1,39.59,0.53,0.04,34.8,58.48,9.36,37.39,69.33,75.73,39.61,35.86,26.22,32.47,-0.25,25,63.91,26.25
1274,2020-21,Chris Boucher,28,TOR,1453,Rotation,Stretch Big,Helper,-0.54,0.04,-1.51,-0.47,0.19,0.58,40.88,42.96,0.78,0.25,42.99,71.05,9.63,51.44,80.38,89.2,58.8,70.28,34.63,49.82,0.06,52.63,76.76,92.36
1275,2021-22,Chris Boucher,29,TOR,1690,Key Rotation,Stretch Big,Helper,-0.82,-0.28,-1.47,-1.04,-0.5,-1.72,37.77,39.19,0.56,0.09,15.71,25.75,10.65,6.11,9.99,3.91,17.93,32.16,27.01,36.98,-0.91,16,25.52,20.97
1276,2022-23,Chris Boucher,30,TOR,1523,Rotation,Stretch Big,Helper,-0.66,-0.16,-1.36,-0.71,-0.16,-0.33,44.4,43.51,1.08,0.22,30.37,39.74,13.52,26.05,39.11,61.16,96.91,75.39,45.4,47.78,-0.37,45,57.5,75.92
1277,2023-24,Chris Boucher,31,TOR,705,Rotation,Stretch Big,Low Activity,-0.68,-0.09,-1.19,-0.65,-0.02,0.09,41.71,43.13,0.53,0.05,28.35,50.1,18.19,32.55,62.9,78.44,76.57,71.86,26.22,33.3,-0.18,33.33,67.25,38.25
1278,2024-25,Chris Boucher,32,TOR,862,Rotation,Stationary Shooter,Low Activity,-0.34,0.12,-1.05,-0.36,0.17,0.5,41.65,44.45,1.12,0.39,59.17,77.09,22.83,59.41,79.57,87.91,75.52,84.66,46.74,58.22,0.26,50,82.71,85.91
1279,2019-20,Eric Mika,25,SAC,19,Too Few Games,Low Minute,Helper,-0.7,0.09,-1.45,-1.65,,,40.68,40.45,,0,26.29,74.98,11.12,0.95,,,52.94,45.29,,0,-0.05,0,72.73,0
1280,2017-18,Jacob Wiley,23,BRK,33,Too Few Games,Low Minute,Wing Stopper,-0.77,-0.04,-0.94,-0.74,-0.04,-0.42,40,39.86,,0,19.63,58.48,26.8,22.61,58.99,56.35,37.24,38.37,,0,-0.37,0,57.5,0
1281,2017-18,Mike James,27,PHO/NOP,686,Key Rotation,Primary Ball Handler,Point of Attack,0.43,-0.12,1.57,0.59,-0.07,-0.3,36.79,40.71,2.35,1.22,86.27,44.96,98.6,88.51,53.66,62.87,15.73,47.92,80.5,83.75,-0.33,30,59.52,33.22
1282,2020-21,Mike James,30,BRK,236,Garbage Time,Shot Creator,Point of Attack,0.2,-0.07,1.07,0.26,-0.06,-0.47,41.45,42.45,2.78,1.39,81.86,53.19,94.09,83.12,55.48,53.45,72.68,65.06,87.19,87.01,-0.45,34.62,52.93,44.66
1283,2017-18,Milos Teodosic,30,LAC,1134,Key Rotation,Primary Ball Handler,Chaser,-0.17,0.11,-0.01,-0.1,0.09,0.02,41.85,42.03,1.52,1.02,69.28,76.38,63.72,73.04,75.59,76.04,78.73,61.13,60.27,79.28,0.07,45.07,77.17,76.23
1284,2018-19,Milos Teodosic,31,LAC,150,Garbage Time,Secondary Ball Handler,Point of Attack,-0.36,0.02,0,-0.34,0.02,-0.19,41.02,39.7,0.93,0.93,57.82,68.68,64.24,60.48,69.33,68.39,61.98,36.76,40.05,77.05,-0.16,66.67,68.44,96.23
1285,2017-18,Tyler Cavanaugh,23,ATL,518,Rotation,Stretch Big,Helper,-0.56,0.17,-1.45,-0.82,-0.08,-0.35,41.37,41.43,0.78,0.07,41.25,79.39,11.12,15.89,51.63,60.21,70.44,55.52,34.63,35.39,0.46,50,87.01,85.91
1286,2018-19,Tyler Cavanaugh,24,UTA,39,Garbage Time,Low Minute,Helper,-0.72,-0.02,-1.33,-0.71,-0.04,-0.55,40.34,39.51,,0,24.46,62.22,14.14,26.05,58.99,48.42,44.92,35.01,,0,-0.39,0,56.53,0
1287,2022-23,Daniel Theis,30,IND,109,Too Few Games,Roll + Cut Big,Anchor Big,-0.72,-0.13,-2,-0.68,0.04,-0.5,41.64,45.41,,0,24.46,43.56,1.71,29.5,71.73,51.72,75.16,89.95,,0,-0.85,0,28.98,0
1288,2023-24,Daniel Theis,31,IND/LAC,1015,Rotation,Roll + Cut Big,Mobile Big,-0.98,-0.33,-2.46,-0.91,0,0.35,40.2,44.09,1.24,0.25,7.21,21.23,0.07,10.56,66.52,85.58,41.78,81.04,50.92,49.82,-0.98,100,22.19,97.76
1289,2024-25,Daniel Theis,32,NOP,621,Rotation,Roll + Cut Big,Anchor Big,-0.87,-0.23,-2.34,-1.02,-0.14,-0.57,40.97,44.53,0.99,0.35,12.19,31.02,0.28,6.65,42.02,47.3,60.75,85.12,41.97,56.17,-0.76,54.55,34.03,93.33
1290,2017-18,Daniel Theis,25,BOS,936,Rotation,Roll + Cut Big,Anchor Big,-0.77,-0.05,-1.88,-1,-0.14,-0.51,41.41,40.81,1.06,0.25,19.63,56.77,3.13,7.19,42.02,51.2,71.03,48.91,44.69,49.82,-0.18,54.55,67.25,93.33
1291,2018-19,Daniel Theis,26,BOS,908,Rotation,Roll + Cut Big,Mobile Big,-1.01,-0.28,-2.32,-0.95,-0.1,-0.37,39.2,37.32,0.88,0.04,6.47,25.75,0.35,8.84,48.44,59.23,27.19,21.32,38.22,32.47,-0.96,33.33,23.08,38.25
1292,2019-20,Daniel Theis,27,BOS,1566,Key Rotation,Roll + Cut Big,Anchor Big,-0.87,-0.18,-2.32,-0.91,-0.05,-0.26,41.69,42.43,1.13,0.02,12.19,37.44,0.35,10.56,57.52,64.9,76.3,64.96,47.09,31.22,-0.52,33.33,48.75,38.25
1293,2021-22,Daniel Theis,29,HOU/BOS,977,Key Rotation,Stretch Big,Mobile Big,-0.74,-0.11,-2.11,-0.9,-0.19,-0.67,40.97,43.82,1.13,0.04,22.26,46.39,1.09,11.14,35.35,41.24,60.75,78.54,47.09,32.47,-0.4,14.29,55.94,20.2
1294,2020-21,Daniel Theis,28,BOS/CHI,1601,Key Rotation,Stretch Big,Anchor Big,-0.52,0.12,-2.33,-0.87,-0.03,-0.04,43.22,48.38,1.8,0.18,45.11,77.09,0.31,12.59,60.72,74.3,93.16,97.64,67.83,44.86,0.13,72.73,79.16,97.21
1295,2024-25,Maxi Kleber,33,DAL,637,Rotation,Stationary Shooter,Wing Stopper,-0.64,-0.01,-1.32,-0.66,-0.01,-0.2,42.83,42.85,0.63,0.35,32.48,63.86,14.46,31.3,64.56,67.94,91.01,69.11,29.17,56.17,-0.18,60,67.25,95.01
1296,2025-26,Maxi Kleber,34,LAL,434,Rotation,Athletic Finisher,Mobile Big,-0.83,-0.13,-1.86,-0.73,-0.09,-0.36,40.79,45.91,0.76,0.17,15.15,43.56,3.61,23.66,50.01,59.72,56.64,92.16,33.82,43.98,-0.54,40,47.24,58.96
1297,2017-18,Maxi Kleber,26,DAL,1206,Rotation,Stretch Big,Helper,-0.69,0.05,-1.5,-0.78,-0.11,-0.33,40,43.32,0.85,0.19,27.25,71.73,9.93,18.96,46.92,61.16,37.24,73.81,37.09,45.55,0.23,35.29,81.95,46.02
1298,2018-19,Maxi Kleber,27,DAL,1502,Key Rotation,Stationary Shooter,Wing Stopper,-0.51,0.03,-0.76,-0.45,-0.01,-0.02,40.44,42.24,0.72,0.32,46.11,70.1,34.03,52.95,64.56,74.79,48.32,63.31,32.34,54.29,0.08,44.83,77.66,75.44
1299,2019-20,Maxi Kleber,28,DAL,1890,Key Rotation,Stationary Shooter,Helper,-0.71,-0.04,-1.34,-0.64,-0.11,-0.45,40.51,39.62,0.33,0.12,25.41,58.48,13.92,33.6,46.92,54.8,49.53,36.14,20.78,39.68,-0.23,37.5,65,51.61
1300,2020-21,Maxi Kleber,29,DAL,1341,Key Rotation,Stationary Shooter,Helper,-0.95,-0.23,-1.8,-0.92,-0.21,-0.65,41.67,39.9,0.3,0.16,8.46,31.02,4.37,10.17,32.71,42.41,76.11,39.67,20.29,43.27,-0.67,35.29,39.56,46.02
1301,2021-22,Maxi Kleber,30,DAL,1450,Key Rotation,Stationary Shooter,Helper,-1.02,-0.43,-1.38,-1.05,-0.47,-1.56,38.93,38.92,0.18,0.11,6.25,14.63,12.9,5.96,11.32,5.89,24.6,29.93,18.41,38.96,-1.44,16.67,8.2,20.98
1302,2022-23,Maxi Kleber,31,DAL,930,Key Rotation,Stationary Shooter,Mobile Big,-0.85,-0.12,-1.57,-0.8,-0.07,-0.23,42.95,44.33,0.28,0.12,13.68,44.96,8.28,17.45,53.66,66.35,91.77,83.2,19.87,39.68,-0.37,60,57.5,95.01
1303,2023-24,Maxi Kleber,32,DAL,871,Rotation,Stationary Shooter,Helper,-0.91,-0.3,-1.28,-0.74,-0.13,-0.41,41.03,43.48,0.37,0.29,10.22,23.69,15.56,22.61,43.63,56.89,62.24,75.17,21.68,52.49,-0.94,58.33,23.98,94.78
1304,2017-18,Antonio Blakeney,21,CHI,314,Rotation,Shot Creator,Low Activity,0.1,-0.28,0.62,0.12,-0.25,-0.62,40,38.15,2.73,2.02,79.27,25.75,84.54,79.74,27.85,44.14,37.24,25.21,86.45,94.68,-0.65,40.48,40.81,61.91
1305,2018-19,Antonio Blakeney,22,CHI,829,Rotation,Shot Creator,Low Activity,0.88,-0.05,1.83,0.93,-0.08,-0.33,37.04,40.56,3.92,2.64,91.67,56.77,99.48,92.23,51.63,61.16,16.2,46.31,95.83,97.6,-0.25,34.29,63.91,43.92
1306,2024-25,Torrey Craig,34,CHI/BOS,314,Garbage Time,Stationary Shooter,Helper,-0.62,-0.14,-0.4,-0.64,-0.15,-0.81,41,44.64,,0.12,34.8,42.38,48.57,33.6,40.66,32.24,61.26,85.93,,39.68,-0.7,33.33,37.35,38.25
1307,2020-21,Torrey Craig,30,MIL/PHO,803,Key Rotation,Stationary Shooter,Wing Stopper,-0.75,-0.38,-0.66,-0.73,-0.36,-1.29,40.4,40.96,0.66,0.38,21.5,17.74,38.01,23.66,17.89,11.65,46.96,50.59,30.23,57.66,-1.29,40,11.59,58.96
1308,2021-22,Torrey Craig,31,IND/PHO,1596,Rotation,Movement Shooter,Wing Stopper,-0.67,-0.31,-0.58,-0.69,-0.4,-1.3,39,45.53,0.84,0.33,29.38,22.91,41.43,28.35,15.13,11.36,25.08,90.43,36.85,54.81,-0.98,31.11,22.19,35.46
1309,2022-23,Torrey Craig,32,PHO,1948,Key Rotation,Stationary Shooter,Wing Stopper,-0.86,-0.46,-0.83,-0.8,-0.47,-1.38,40.45,40.07,0.65,0.19,12.98,12.99,31.37,17.45,11.32,9.3,48.47,41.48,29.88,45.55,-1.26,27.03,12.23,29.36
1310,2023-24,Torrey Craig,33,CHI,1049,Rotation,Stationary Shooter,Wing Stopper,-0.78,-0.27,-1.01,-0.65,-0.14,-0.39,41.83,40.64,0.43,0.14,18.67,26.66,24.16,32.55,42.02,57.87,78.5,47.2,23.33,41.39,-0.8,36.36,31.51,48.49
1311,2017-18,Torrey Craig,27,DEN,629,Rotation,Movement Shooter,Wing Stopper,-0.71,-0.03,-0.93,-0.78,-0.13,-0.48,41.25,38.45,0.3,0.06,25.41,60.19,27.27,18.96,43.63,52.79,67.74,26.97,20.29,34.37,-0.14,33.33,69.24,38.25
1312,2018-19,Torrey Craig,28,DEN,1503,Key Rotation,Stationary Shooter,Point of Attack,-0.67,-0.16,-0.66,-0.7,-0.26,-0.85,37.8,40.79,0.37,0.12,29.38,39.74,38.01,27.05,26.87,29.9,18.12,48.62,21.68,39.68,-0.5,27.78,49.85,30.28
1313,2019-20,Torrey Craig,29,DEN,1072,Rotation,Stationary Shooter,Point of Attack,-0.8,-0.25,-1.05,-0.83,-0.25,-0.94,39.97,36,0.28,0.11,17.2,28.55,22.83,15.23,27.85,25.11,36.95,17.06,19.87,38.96,-0.92,25,24.95,26.25
1314,2017-18,Matt Williams Jr.,24,MIA,11,Too Few Games,Low Minute,Chaser,-0.65,0.02,-0.68,-0.64,0.02,-0.15,40.28,40.44,,3.13,31.62,68.68,37.04,33.6,69.33,70.37,43.02,45.09,,98.81,-0.13,100,69.72,97.76
1315,2017-18,Derrick Walton Jr.,22,MIA,147,Garbage Time,Secondary Ball Handler,Point of Attack,-0.81,-0.16,-1.12,-0.8,-0.17,-0.82,39.04,39.48,0.26,0.26,16.5,39.74,20.32,17.45,37.99,31.59,25.5,34.52,19.48,50.69,-0.77,14.29,33.43,20.2
1316,2019-20,Derrick Walton Jr.,24,LAC/DET,248,Garbage Time,Stationary Shooter,Point of Attack,-0.45,0.06,-0.64,-0.44,0.06,0.1,41.03,40.45,0.86,0.57,51.2,72.68,38.77,53.76,73.49,78.7,62.24,45.29,37.45,65.48,0.07,50,77.17,85.91
1317,2021-22,Derrick Walton Jr.,26,DET,108,Too Few Games,Primary Ball Handler,Point of Attack,-0.77,-0.59,0.08,-0.81,-0.64,-0.97,39.97,41,0.33,0.33,19.63,7.71,67.23,16.67,6.06,23.73,36.95,51.06,20.78,54.81,-0.86,16.67,28.53,20.98
1318,2017-18,Gian Clavell,24,DAL,64,Too Few Games,Low Minute,Chaser,-0.77,-0.09,-0.97,-0.72,-0.07,-0.5,40,39.11,,0,19.63,50.1,25.61,24.98,53.66,51.72,37.24,31.29,,0,-0.53,0,47.93,0
1319,2017-18,Mangok Mathiang,25,CHO,20,Too Few Games,Low Minute,Anchor Big,-0.68,0,-0.99,-0.7,-0.02,-0.43,40.28,40.44,,0,28.35,65.88,24.81,27.05,62.9,55.76,43.02,45.09,,0,-0.26,0,63.41,0
1320,2017-18,Milton Doyle,24,BRK,125,Garbage Time,Shot Creator,Chaser,-0.3,-0.08,0.35,-0.29,-0.09,-0.46,40,39.88,,0,61.93,51.62,76.62,63.34,50.01,54.36,37.24,39.23,,0,-0.4,0,55.94,0
1321,2017-18,Antonius Cleveland,23,DAL/ATL,122,Garbage Time,Athletic Finisher,Helper,-0.54,-0.08,-0.73,-0.58,-0.08,-0.54,39.86,38.74,0.9,0.6,42.99,51.62,34.93,41.05,51.63,48.98,35.69,28.75,38.98,66.55,-0.5,28.57,49.85,30.96
1322,2019-20,Antonius Cleveland,25,DAL,46,Garbage Time,Low Minute,Chaser,-0.39,-0.07,-0.25,-0.42,-0.08,-0.71,40.39,40.07,,0.79,55.99,53.19,54.52,55.33,51.63,38.48,46.42,41.48,,73.03,-0.66,33.33,40.17,38.25
1323,2017-18,Ben Moore,22,IND,9,Too Few Games,Low Minute,Helper,-2.07,,,-1.75,,,40.28,39.86,,0,0.07,,,0.17,,,43.02,38.37,,0,,0,,0
1324,2025-26,Nigel Hayes,31,PHO,195,Garbage Time,Movement Shooter,Helper,-0.27,-0.12,-0.41,-0.4,-0.12,-0.86,40.64,44.85,2.15,0.98,63.79,44.96,48.18,56.72,45.31,29.36,52.09,87.09,76.03,78.35,-0.84,38.46,29.4,54.56
1325,2017-18,Nigel Hayes,23,LAL/TOR/SAC,122,Too Few Games,Versatile Big,Helper,-0.41,-0.05,-0.71,-0.58,-0.09,-0.48,40.93,39.68,2.01,1.34,54.42,56.77,35.81,41.05,50.01,52.79,59.58,36.5,72.94,86.19,-0.33,50,59.52,85.91
1326,2017-18,Jamel Artis,25,ORL,279,Garbage Time,Stationary Shooter,Low Activity,-0.16,0.06,-0.29,-0.23,-0.02,-0.26,39.61,40.7,1.9,0.95,69.77,72.68,52.91,66.89,62.9,64.9,31.92,47.79,70.51,77.51,-0.1,41.18,71.09,64.01
1327,2018-19,Troy Caupain,23,ORL,16,Too Few Games,Low Minute,Chaser,-0.28,0,0.17,-0.34,0,-0.32,40.48,40.46,4.69,4.69,63.17,65.88,70.85,60.48,66.52,61.68,48.99,45.54,98.08,99.81,-0.27,50,62.91,85.91
1328,2017-18,London Perrantes,23,CLE,66,Garbage Time,Low Minute,Point of Attack,-0.25,-0.08,0.41,-0.27,-0.09,-0.77,39.43,38.95,,0,65.03,51.62,78.38,64.68,50.01,34.63,29.39,30.12,,0,-0.68,0,38.75,0
1329,2017-18,Andrew White III,24,ATL,209,Garbage Time,Movement Shooter,Low Activity,-0.82,-0.24,-1,-0.73,-0.15,-0.57,38.77,40.05,0.69,0.34,15.71,29.76,24.47,23.66,40.66,47.3,23.4,40.97,31.36,55.63,-0.75,28.57,34.55,30.96
1330,2019-20,Naz Mitrou-Long,26,IND,47,Too Few Games,Low Minute,Point of Attack,-0.35,0.09,-0.27,-0.36,0.09,0.12,40.68,41.18,,2.34,58.62,74.98,53.71,59.41,75.59,79.36,52.94,52.87,,96.36,0.11,75,78.54,97.25
1331,2017-18,Naz Mitrou-Long,24,UTA,1,Too Few Games,Low Minute,Point of Attack,-2.07,,,-1.75,,,40.28,39.86,,0,0.07,,,0.17,,,43.02,38.37,,0,,0,,0
1332,2018-19,Naz Mitrou-Long,25,UTA,84,Garbage Time,Low Minute,Point of Attack,-0.54,-0.06,-0.32,-0.54,-0.07,-0.58,40.34,40.27,,0,42.99,54.8,51.63,45.02,53.66,46.76,44.92,43.37,,0,-0.52,0,48.75,0
1333,2018-19,Isaiah Briscoe,22,ORL,559,Rotation,Primary Ball Handler,Point of Attack,-0.36,-0.38,0.45,-0.28,-0.36,-1.01,37.76,36.98,0.92,0.79,57.82,17.74,79.66,64.05,17.89,21.67,17.89,19.97,39.7,73.03,-1.04,29.27,19.66,32.39
1334,2018-19,Amile Jefferson,25,ORL,68,Garbage Time,Low Minute,Helper,-0.56,-0.06,-0.74,-0.57,-0.06,-0.57,40.34,39.7,,0,41.25,54.8,34.72,42.04,55.48,47.3,44.92,36.76,,0,-0.5,0,49.85,0
1335,2019-20,Amile Jefferson,26,ORL,74,Garbage Time,Low Minute,Helper,-0.41,-0.05,-0.61,-0.4,-0.01,-0.21,40.39,40.43,,0.48,54.42,56.77,40.13,56.72,64.56,67.31,46.42,45.02,,62.18,-0.46,50,52.39,85.91
1336,2017-18,Jaylen Morris,22,ATL,98,Too Few Games,Low Minute,Wing Stopper,-0.41,-0.1,-0.33,-0.47,-0.1,-0.45,40.14,40.79,1.44,0,54.42,48.33,51.24,51.44,48.44,54.8,40.81,48.62,57.63,0,-0.41,0,55.13,0
1337,2018-19,Jaylen Morris,23,MIL,28,Too Few Games,Low Minute,Chaser,-0.54,-0.1,-0.68,-0.54,-0.06,-0.55,40.34,39.89,,0,42.99,48.33,37.04,45.02,55.48,48.42,44.92,39.32,,0,-0.63,0,42,0
1338,2021-22,Jaylen Morris,26,SAS,16,Too Few Games,Low Minute,Chaser,-0.54,-0.04,-0.45,-0.56,-0.04,-0.61,40.69,42.18,,0,42.99,58.48,46.48,43.06,58.99,44.91,53.8,62.4,,0,-0.54,0,47.24,0
1339,2019-20,Mychal Mulder,25,GSW,204,Too Few Games,Off Screen Shooter,Chaser,-0.05,0.54,-0.84,-0.03,0.56,0.49,41.52,40.8,0.9,0.36,74.48,88.35,30.83,75.42,88.99,87.75,73.83,48.76,38.98,56.67,0.48,66.67,87.36,96.23
1340,2020-21,Mychal Mulder,26,GSW,766,Rotation,Off Screen Shooter,Chaser,-0.89,-0.23,-1.34,-0.86,-0.24,-1.03,40.85,41.56,,0,11.24,31.02,13.92,13.25,28.99,20.74,58.28,56.6,,0,-0.94,0,23.98,0
1341,2021-22,Mychal Mulder,27,ORL/MIA,240,Garbage Time,Movement Shooter,Low Activity,-0.61,-0.2,-0.54,-0.63,-0.22,-0.87,40.25,40.79,0.3,0.15,35.92,34.96,43.32,34.75,31.31,28.99,42.57,48.62,20.29,42.24,-0.78,25,32.94,26.25
