Season,Player,NBA_ID,D-LEBRON,D_LEBRON_Rank,LEBRON,LEBRON_Rank,Minutes,O-LEBRON,O_LEBRON_Rank,player_name,year
2009-10,craig smith,200783,-0.07,198.5,-0.76,212.5,1232.0,-0.69,238.5,craig smith,2010
2009-10,d.j. augustin,201571,-0.64,298.0,-1.09,261.0,1472.0,-0.45,199.0,d.j. augustin,2010
2009-10,daequan cook,201161,-0.52,276.0,-1.81,357.5,691.0,-1.29,318.0,daequan cook,2010
2009-10,dahntay jones,2563,-0.53,279.0,-2.92,410.0,1892.0,-2.39,402.0,dahntay jones,2010
2009-10,dajuan summers,201969,-0.43,262.5,-2.09,376.0,405.0,-1.67,359.0,dajuan summers,2010
2009-10,damien wilkins,2863,0.18,155.0,-1.12,268.0,1585.0,-1.3,321.0,damien wilkins,2010
2009-10,dan gadzuric,2429,1.7,30.0,-0.7,205.0,314.0,-2.4,403.0,dan gadzuric,2010
2009-10,daniel gibson,200789,-0.64,298.0,-1.45,313.5,1068.0,-0.81,254.5,daniel gibson,2010
2009-10,danilo gallinari,201568,0.1,164.0,0.57,92.5,2747.0,0.47,99.5,danilo gallinari,2010
2009-10,danny granger,101122,0.46,111.0,2.99,19.0,2278.0,2.53,16.5,danny granger,2010
2009-10,danny green,201980,-0.98,347.0,-1.56,330.0,115.0,-0.58,220.0,danny green,2010
2009-10,dante cunningham,201967,0.31,134.5,-0.48,190.0,707.0,-0.79,249.0,dante cunningham,2010
2009-10,darius songaila,2443,-0.05,192.5,-2.38,390.0,1410.0,-2.33,399.0,darius songaila,2010
2009-10,darko milicic,2545,1.98,23.5,0.69,88.0,685.0,-1.29,318.0,darko milicic,2010
2009-10,darnell jackson,201616,-0.59,290.5,-2.57,396.5,122.0,-1.98,379.0,darnell jackson,2010
2009-10,darrell arthur,201589,0.28,138.5,-1.94,366.0,457.0,-2.22,396.5,darrell arthur,2010
2009-10,darren collison,201954,-2.28,422.0,-1.87,363.5,2109.0,0.42,104.0,darren collison,2010
2009-10,david andersen,2431,0.02,177.5,-0.95,240.0,891.0,-0.97,280.5,david andersen,2010
2009-10,david lee,101135,-1.13,363.5,-0.12,140.5,3019.0,1.01,64.5,david lee,2010
