Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2024-25,1641717,Cason Wallace,1610612760,OKC,21.0,Cason,1.2,2.1,0.579,0.5,1.1,0.45,0.2,0.4,0.571,0.2,0.7,0.25,0.2,0.7,0.25,0.4,1.5,0.296,0.0,0.0,0.0,0.3,1.3,0.25
2024-25,1629646,Charles Bassey,1610612759,SAS,24.0,Charles,1.5,2.3,0.667,0.4,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1631096,Chet Holmgren,1610612760,OKC,22.0,Chet,3.1,4.3,0.721,0.6,2.2,0.273,0.5,0.9,0.556,0.3,0.6,0.5,0.1,0.2,0.5,1.0,2.9,0.345,0.0,0.0,0.0,0.4,0.8,0.5
2024-25,1628449,Chris Boucher,1610612761,TOR,31.0,Chris,1.9,2.5,0.75,0.5,1.2,0.455,0.3,0.5,0.667,0.3,0.6,0.545,0.3,1.2,0.286,0.5,2.2,0.244,0.0,0.0,0.0,0.6,1.7,0.375
2024-25,1630537,Chris Duarte,1610612741,CHI,27.0,Chris,0.2,0.4,0.5,0.3,0.3,1.0,0.2,0.2,1.0,0.1,0.1,1.0,0.0,0.0,0.0,0.3,0.8,0.375,0.0,0.0,0.0,0.1,0.1,1.0
2024-25,1641753,Chris Livingston,1610612749,MIL,21.0,Chris,0.5,1.0,0.5,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-25,101108,Chris Paul,1610612759,SAS,39.0,Chris,0.3,0.4,0.857,0.7,0.9,0.722,0.7,1.4,0.481,0.1,0.3,0.167,0.2,0.3,0.5,1.7,4.4,0.381,0.0,0.1,0.0,0.2,0.6,0.333
2024-25,1631128,Christian Braun,1610612743,DEN,23.0,Christian,3.9,5.5,0.71,0.5,1.5,0.32,0.2,0.5,0.5,0.4,0.5,0.667,0.1,0.5,0.222,0.9,1.8,0.5,0.0,0.0,0.0,0.5,1.1,0.444
2024-25,1631132,Christian Koloko,1610612747,LAL,24.0,Christian,0.9,1.2,0.75,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2024-25,203991,Clint Capela,1610612737,ATL,30.0,Clint,3.8,5.8,0.655,1.0,2.2,0.463,0.1,0.2,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
