RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Transition Shot Creation,Avg Speed Offense,Avg Speed Defense,Movement Speed Rating,Offensive Transition Frequency Impact,Transition Frequency Impact,Perimeter Isolation Defense,Stable And 1s Per 75,Post Defense,Screen Assists Per 75 Possessions,Transition Shot Creation_percentile,Avg Speed Offense_percentile,Avg Speed Defense_percentile,Movement Speed Rating_percentile,Offensive Transition Frequency Impact_percentile,Transition Frequency Impact_percentile,Perimeter Isolation Defense_percentile,Stable And 1s Per 75_percentile,Post Defense_percentile,Screen Assists Per 75 Possessions_percentile,Finishing Talent,Screening Talent,Usage Rate,True Usage,Stable True Usage%,Defensive Playmaking,Finishing Talent_percentile,Screening Talent_percentile,Usage Rate_percentile,True Usage_percentile,Stable True Usage%_percentile,Defensive Playmaking_percentile
412,2015-16,Mario Hezonja,20,ORL,1413,Rotation,Off Screen Shooter,Low Activity,-0.56,4.99,4.18,0.26,-0.29,-0.21,-0.76,0.19,-1,0,50.25,92.96,83.23,82.66,23.11,27.53,29.84,25.48,12.96,0,-0.61,0.4,16.9,28.09,28.54,1.75,37.32,77.48,42.72,58.58,51.64,18.52
413,2016-17,Mario Hezonja,21,ORL,960,Rotation,Off Screen Shooter,Low Activity,0.04,4.53,4.09,-0.2,-0.13,-0.24,-0.7,0.27,0.03,0.48,72.8,43.77,71.41,20.85,36.09,25.83,33.24,44.06,70.2,62.08,-0.86,-0.04,18.8,28.61,28.88,3.76,18.23,57.54,57.74,60.09,53.25,83.92
414,2017-18,Mario Hezonja,22,ORL,1657,Key Rotation,Movement Shooter,Helper,0.39,4.63,3.95,-0.01,0,-0.11,-0.23,0.23,0.48,0.67,82.39,58.01,47.26,46.28,52.72,34.03,58.93,33.81,83.47,69.26,-0.18,-1.63,19.9,28.68,29,4.15,64.95,3.83,65.39,60.33,53.84,90.99
415,2019-20,Mario Hezonja,24,POR,871,Rotation,Movement Shooter,Wing Stopper,0.9,4.52,3.83,-0.12,0.46,-0.03,-0.3,0.24,0.2,0.65,91.51,42.04,25.62,30.63,86.78,40.97,55.38,36.28,76.28,68.78,-0.85,-0.16,13.9,21.52,21.56,3.4,18.96,51.07,19.75,31.79,15.88,74.77
416,2015-16,Alan Williams,23,PHO,68,Garbage Time,Low Minute,Helper,,4.53,3.93,-0.01,0.26,0.18,-0.73,0.36,-0.63,0,,43.77,43.39,46.28,77.37,73.22,31.59,69.69,31.86,0,-0.1,0.11,22.6,27.92,29.99,3.22,68.64,65.83,78.54,58.08,58.11,67.62
417,2016-17,Alan Williams,24,PHO,708,Rotation,Post Scorer,Anchor Big,-0.97,4.55,3.89,0.2,0.55,0.55,-1.31,0.6,0.46,4.98,28.67,47.02,35.68,76.33,89.4,87.46,8.56,94.2,83,94.56,-0.03,0.42,20.9,28.07,28.12,3.99,71.31,78.23,70.94,58.52,50,88.62
418,2017-18,Alan Williams,25,PHO,70,Too Few Games,Low Minute,Helper,,4.3,3.9,-0.24,-0.05,0.01,-0.12,0.38,-0.21,4.79,,16.89,37.29,17.03,45.69,59.84,63.74,74,59.33,93.84,-0.73,-0.48,17.5,31.18,32.04,3.59,28.42,34.12,47.97,68.42,66.45,80.36
419,2018-19,Alan Williams,26,BRK,26,Too Few Games,Low Minute,Helper,-1.14,4.63,3.71,0.09,0.14,0.19,-0.14,0.33,,0,19.4,58.01,12.15,62.17,68.88,73.87,62.89,60.87,,0,-0.57,0.35,25.5,37.52,36.18,2.93,40.1,75.53,88.46,83.56,78.86,53.83
420,2015-16,Bryce Dejean-Jones,23,NOP,279,Garbage Time,Movement Shooter,Chaser,-0.1,4.73,3.98,0.09,-0.13,-0.29,-0.62,0.24,-0.88,0,68.17,71.77,52.85,62.17,36.09,23.05,37.86,36.28,18.27,0,-0.57,2.09,14.1,21.32,22.32,1.99,40.1,98.82,21.14,31.06,19.69,22.88
421,2023-24,Royce O'Neale,30,BRK/PHO,1954,Key Rotation,Movement Shooter,Helper,-1.21,4.72,3.78,0.08,0.27,0.08,-0.33,0.05,-0.4,0.98,15.53,70.55,19.15,60.64,77.99,66.35,53.85,14.1,47.47,74.97,-1.25,-0.14,13.9,24.43,24.78,3.24,4.94,52.21,19.75,44.18,32.72,68.36
422,2024-25,Royce O'Neale,31,PHO,1837,Starter,Stationary Shooter,Wing Stopper,-0.83,4.55,3.84,0,-0.48,-0.25,0.04,0.09,-0.07,0.66,36.17,47.02,27.1,48.05,12.05,25.22,69.26,14.63,66.49,69.01,-1.3,0.46,15.5,26.01,24.37,3.25,4.45,79.26,31.16,51.08,30.84,68.81
423,2025-26,Royce O'Neale,32,PHO,2213,Starter,Movement Shooter,Wing Stopper,-1.19,4.59,3.75,-0.05,-0.22,-0.34,-0.19,0.06,0.58,0,16.56,52.57,15.88,40.17,28.39,20.49,60.58,14.14,85.58,0,-1.12,0.43,14.3,24.07,22.8,2.08,7.28,78.49,22.34,42.65,22.38,24.92
424,2017-18,Royce O'Neale,24,UTA,1149,Garbage Time,Stationary Shooter,Chaser,0.33,4.72,4.13,0.17,0.13,0.45,-0.17,0.28,0.18,0.17,80.76,70.55,77.56,72.87,67.82,84.38,61.5,46.45,75.51,41.97,-0.55,-0.38,14.6,25.52,25.78,3.21,41.93,38.99,24.53,48.91,38.15,67.16
425,2018-19,Royce O'Neale,25,UTA,1671,Key Rotation,Stationary Shooter,Wing Stopper,-0.38,4.79,3.96,0.24,-0.14,0.1,1.52,0.17,-0.72,0.37,57.61,78.5,49.13,80.57,34.99,67.94,94.9,22.04,26.74,55.43,-0.42,0.48,11,20.74,21.47,2.9,51.1,80.01,5.57,28.56,15.5,52.32
426,2019-20,Royce O'Neale,26,UTA,2049,Key Rotation,Stationary Shooter,Wing Stopper,-0.94,4.52,3.89,-0.03,0.2,0.64,2.03,0.11,0.58,0.96,30.2,42.04,35.68,43.35,73.44,89.92,97.69,15.56,85.58,74.75,-0.85,0.01,9.6,18.25,18.14,2.94,18.96,60.57,2.76,21.3,4.76,54.42
427,2020-21,Royce O'Neale,27,UTA,2241,Starter,Stationary Shooter,Wing Stopper,-0.82,4.69,3.92,0.14,0.24,0.43,2.85,0.07,-0.15,0.71,36.76,66.5,40.93,69.2,76.25,83.76,99.75,14.27,62.48,70.07,-0.59,-0.59,9.6,18.48,18.64,2.79,38.71,29.01,2.76,21.81,5.94,47.79
