RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shot Making,Midrange Shot Making,3PT Pull Up Talent,Midrange Pull Up Talent,Pull-Up Shooting Talent,Off-Ball Shot Making,Floater Talent,Putback Scoring Impact Per 75 Possessions,Passing Creation Quality,High Value Assists Per 75 Possessions,3PT Shot Making_percentile,Midrange Shot Making_percentile,3PT Pull Up Talent_percentile,Midrange Pull Up Talent_percentile,Pull-Up Shooting Talent_percentile,Off-Ball Shot Making_percentile,Floater Talent_percentile,Putback Scoring Impact Per 75 Possessions_percentile,Passing Creation Quality_percentile,High Value Assists Per 75 Possessions_percentile,Lob Passing Creation Rate,Perimeter Isolation Defense,Pickpocket Rating,Stable Recovered Blocks%,Passing Lane Defense,Off-Ball Chaser Defense,Ball Screen Navigation,Post Defense,Lob Passing Creation Rate_percentile,Perimeter Isolation Defense_percentile,Pickpocket Rating_percentile,Stable Recovered Blocks%_percentile,Passing Lane Defense_percentile,Off-Ball Chaser Defense_percentile,Ball Screen Navigation_percentile,Post Defense_percentile
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,0.65,1.6,1.34,2.42,2.3,0.23,1.47,0.11,0.67,9.67,90.64,96.89,95.92,98.27,97.95,79.38,95.53,89.79,89.73,99.57,1.27,2.41,1.04,56.11,1.32,1.38,-0.26,-1.62,99.49,98.98,95.99,17.47,34.14,94.06,49.48,1.52
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,1.29,1.64,2.72,2.14,2.81,0.2,1.12,0,0.45,9.29,96.68,97.03,98.9,97.82,98.9,77.87,93.43,21.65,85.7,99.36,0.79,0.9,1.1,57.21,5.46,-0.42,2.33,-0.79,98.19,88.65,96.83,32.28,96.66,44.58,98.31,22.95
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,-0.02,-0.46,0.32,-0.6,-0.31,-0.1,-0.66,0,-0.64,6.79,54.13,12.99,87.25,38.69,62.15,39.74,34.09,21.65,19.41,95.99,0.28,-0.24,0.98,58.32,0.81,-0.35,-1.09,-0.79,84.12,58.42,95.27,66.84,26.25,47.06,7.21,22.95
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,0.61,3.24,1.85,3.91,3.97,0.32,1.31,-0.03,0.61,7.15,89.99,99.33,97.65,99.68,99.71,82.88,94.52,18.71,88.82,96.93,0.74,-0.42,0.79,58.26,5,1.1,0.23,-0.98,97.87,49.35,90.9,64.58,94.79,90.42,66.3,13.91
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,0.59,2.47,1.31,2.97,2.77,0.24,-0.27,0,-0.64,8.75,89.63,98.6,95.82,99.09,98.83,79.76,65.91,21.65,19.41,99.02,0.61,-0.62,0.75,58.5,3.9,0.26,0.29,-0.71,96.53,37.86,89.49,76.25,86.12,67.92,68.25,27.21
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,-0.28,2.84,0.04,3.12,2.36,-0.03,1.38,0,-0.15,9.17,21.09,99.08,80.75,99.2,98.09,51.34,95.02,21.65,49.24,99.26,0.89,-0.16,0.91,56.38,4.18,-0.26,0.19,-1.02,98.75,61.94,93.94,19.33,89.34,50.34,65.16,12.21
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,0.26,0.65,-0.05,0.94,0.55,0.67,-0.54,0.07,-1.38,8.09,81.83,90.06,78.06,92.35,88.47,90.93,45.85,87.07,4.38,98.42,0.36,-0.87,0.92,58.42,3.73,1.38,-0.12,-0.2,89.47,24.66,94.17,73.16,83.69,94.06,54.16,59.83
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,0.35,0.31,1.28,0.16,0.67,0.13,-0.35,0,-1.7,8.86,84.71,83.71,95.72,80.87,90.2,73.89,60.85,21.65,2.12,99.1,0.32,-1.27,0.84,58,4.02,-0.46,-0.91,-1.54,86.92,9.45,92.45,55.68,87.42,43.39,17.21,1.96
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,-0.2,-0.44,-0.09,-0.25,-0.27,-0.3,-0.7,0,-0.53,3.66,27.78,14.01,76.3,65.74,64.59,20.27,30.18,21.65,23.78,76.38,0.28,1.12,0.51,58.01,4.13,0.12,1.83,-1.15,84.12,91.55,74.24,55.94,88.78,63.1,95.52,8.36
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,0.04,-0.13,0.35,0.27,0.26,0.02,0.67,0,0.45,5.19,68.44,43.56,87.76,83.38,83.55,64.46,89.45,21.65,85.7,88.95,0.46,-0.08,0.49,57.85,3.51,0.65,2.14,-0.71,93.48,65.18,72.03,51.47,80.45,79.88,97.43,27.21
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,-0.08,0.03,-0.26,0.25,0.02,-0.09,0.55,0,0.4,4.67,42.24,70.1,69.06,82.97,77.34,41.27,88.02,21.65,84.16,85.74,0.32,-0.4,0.28,56.67,2.47,0.2,1.65,-0.46,86.92,50.48,43.79,22.14,57.77,65.87,94.22,43.43
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,-0.92,-0.24,-0.39,-0.18,-0.42,-0.6,0.65,0,-0.03,4.39,2.05,29.76,60.32,69.3,53.91,6.74,89.23,21.65,64.32,83.21,0.27,0.93,0.44,57.3,0.78,0.44,0.81,-1.06,83.38,89.12,66.22,34.88,25.61,73.61,81.87,10.91
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.57,-0.12,-0.19,-0.29,-0.18,-0.42,0.73,-0.02,0.2,1.28,8.02,44.96,72.63,63.34,69.63,13.24,89.95,19.52,78,28.03,0.17,-1.18,0.5,57.3,0.5,-0.66,-0.55,-0.88,69.53,12.18,73.12,34.88,20.2,36.71,39.17,18.27
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-0.14,0.69,-0.61,0,-0.18,0.19,-0.56,0,-0.72,2.12,34.55,90.52,35.71,76.35,69.63,77.26,43.69,21.65,16.49,51.71,0.08,-1.36,0.27,58.57,2.08,-1.13,-0.95,0.32,35.93,7.34,42.24,79.29,47.48,20.65,14.82,79.74
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,0.33,0.11,-0.52,-0.82,-0.77,0.27,-0.68,-0.09,0.06,1.86,84.13,76.38,47.49,15.89,17.92,80.91,32.06,13.12,71.38,44.41,0.02,-0.96,0.2,57.52,0.78,-1.11,-0.9,0.81,3.35,20.49,32.45,42.08,25.61,21.46,18.01,89.2
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,0.62,0.16,-0.53,-0.75,-0.72,0.9,-0.44,-0.35,0.26,1.4,90.22,79.09,46.34,21.85,22.99,94.12,54.65,2.88,80.26,31.37,0.04,-1.42,0.3,57.75,2.27,-1.05,-0.88,-0.19,15.06,5.95,46.78,48.45,52.06,23.53,19.35,60.51
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,0.23,-0.28,-0.29,-0.54,-0.45,0.21,-0.56,0,-0.34,1.86,80.81,25.75,67.48,45.02,51.61,78.39,43.69,21.65,33.4,44.41,0.06,-0.3,0.23,56.48,1.58,-1.29,-1.06,-0.51,26.2,55.38,36.54,20.09,37.28,15.56,8.38,40.17
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,-0.2,0.93,0.01,1.37,1.06,-0.13,1.12,0,-0.66,6.7,27.78,92.94,79.96,95.31,93.67,35.87,93.43,21.65,18.48,95.63,0.43,1.03,0.35,56.36,2.27,2.41,2.32,-0.45,92.48,90.37,54.3,19.06,52.06,99.64,98.24,44.13
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.45,-0.23,-0.55,0.03,-0.37,-0.05,0.02,0,-0.64,5.65,12.19,31.02,43.64,77.4,57.63,47.39,77.17,21.65,19.41,91.5,0.11,1.17,0.66,56.29,0.47,0.14,2.61,-0.56,48.31,92.12,85.29,18.61,19.73,63.86,99.21,36.75
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,0.42,0.09,1.62,-0.12,0.77,-0.27,-0.43,0,0.13,0.95,86.47,74.98,97.05,72.11,91.35,22.18,55.38,21.65,75.47,21.81,0.06,-2.08,0.2,58.5,2.49,0.38,-0.22,-1.28,26.2,0.34,32.45,76.25,58.16,71.51,50.76,5.34
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,-0.07,-0.02,-0.49,-0.46,-0.8,0.06,-0.28,0,0.6,0.97,43.94,62.22,50.98,52.25,15.56,69.38,65.44,21.65,88.61,22.11,0.13,-1.65,0.18,56.71,1.98,0.77,0.12,-0.55,56.04,2.55,30.22,22.52,45.06,83.2,62.85,37.3
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.33,0.15,-0.23,-0.25,-0.29,-0.07,-0.04,-0.01,0,1.17,18.24,78.78,70.57,65.74,63.41,44.29,74.95,20.64,67.15,25.51,0.04,-0.36,0.25,57.18,0.72,-0.15,1.25,-1.05,15.06,52.51,39.36,31.48,24.54,54.44,89.44,11.26
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-0.05,-0.09,-0.04,-0.08,-0.1,-0.2,-0.23,0.13,0.47,2.24,47.71,50.1,78.45,73.56,73.19,28.47,67.72,90.92,86.2,54.69,0.09,-0.49,0,57.03,2.34,0.77,-0.13,-0.89,40.28,45.34,0,27.69,53.93,83.2,53.67,17.88
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,-0.03,,-0.5,-1.78,-0.72,,-1.34,0,-0.22,1.6,51.8,,50,0.05,22.99,,0.27,21.65,42.17,36.8,0.14,-0.22,0,57.12,4.79,1.93,0.76,-0.22,59.9,59.41,0,29.79,93.9,98.59,80.67,58.84
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.04,0.05,-0.9,-0.62,-0.63,-0.04,-1.25,0,0.2,4.55,49.8,71.73,19.08,36.21,32.72,49.42,3.4,21.65,78,84.54,0.31,-0.17,1.14,57.47,4.55,0.01,-0.1,-0.16,86.17,61.5,97.18,39.86,92.22,59.52,54.81,61.99
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,-0.38,0.4,-0.05,0.78,0.58,-0.21,1.16,0,-1.23,6,15.54,85.91,78.06,90.74,88.9,27.41,93.65,21.65,6.14,93.12,0.17,0.45,0.24,58.26,2.18,-0.35,0.13,-1.49,69.53,80.39,37.9,64.58,49.96,47.06,63.42,2.31
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,-0.24,0.34,0.6,0.81,0.93,-0.27,-0.65,0,-1.97,5.23,24.27,84.56,91.38,91.15,92.62,22.18,35.02,21.65,0.97,89.26,0.15,2.17,0.55,57.55,0.69,1.09,1.24,-0.93,63.57,98.28,77.74,42.7,23.89,90.18,89.25,16.05
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,,-0.61,-0.93,-0.54,-0.53,0.17,-1.45,0.16,-0.69,1.68,,7.09,16.71,45.02,44.16,76.19,0.07,92.45,17.49,39.1,0.05,-0.68,0.39,54.53,0.94,-1.05,-0.87,2.79,20.75,34.32,60.01,14.26,28.66,23.53,20.11,99.63
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,,0.05,-0.9,-0.47,-0.5,-0.11,-0.63,-0.03,-0.61,1.01,,71.73,19.08,51.44,47.38,38.18,36.95,18.71,20.7,22.81,0.04,-0.87,1.08,58.35,5.92,-1.3,-0.87,1.11,15.06,24.66,96.57,69.41,97.69,15.16,20.11,92.77
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.02,-0.48,-0.97,-1.18,-1.08,-0.48,-0.94,0.29,-0.37,1.29,54.13,12.04,10.85,4.15,4.11,10.34,16.16,96.15,31.5,28.33,0.02,-0.42,0.53,58.58,3.56,-1.13,-0.78,2.31,3.35,49.35,76.1,79.57,81.1,20.65,26.58,98.92
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-0.14,-0.42,-0.96,-0.89,-0.82,-0.21,-0.76,-0.52,-0.02,1.55,34.55,15.22,13.05,11.59,13.86,27.41,25.07,1.19,65.37,35.24,0.05,-0.68,0.66,56.8,4.79,-1.31,-1.26,-0.52,20.75,34.32,85.29,23.82,93.9,14.88,2.85,39.46
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-0.28,-0.41,-0.95,-0.86,-0.83,-0.73,-0.34,0.25,-1.01,1.42,21.09,15.84,14.88,13.25,13.03,3.93,61.44,95.42,9.32,31.81,0.03,0.06,0.58,57.81,4.71,-1.49,-0.95,1.63,8.63,69.87,80.06,50.18,93.41,9.99,14.82,96.38
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,,0.02,-0.9,-0.56,-0.58,0.44,-0.46,0.13,-0.03,2.76,,68.68,19.08,43.06,38.74,86.02,52.79,90.92,64.32,64.3,0.06,-1.15,0.31,58.22,1.97,-1.01,-0.8,-0.09,26.2,13.12,48.32,63.5,44.77,25.12,25.08,65.5
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,,-0.17,-0.93,-0.29,-0.3,-0.09,-0.34,-0.1,0.09,2.72,,38.56,16.71,63.34,62.8,41.27,61.44,11.89,73.33,63.59,0.03,-1.22,0.12,57.13,0.98,-1.04,-0.84,-0.41,8.63,10.79,25.8,30.35,29.63,23.98,22.47,46.89
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,0.03,0.09,-0.9,-0.35,-0.38,0.09,-0.71,-0.12,-0.65,1.12,67.08,74.98,19.08,59.92,56.92,71.75,29.47,10.34,19,24.67,0.04,-0.97,0.39,57.33,2.49,-0.94,-0.93,0.03,15.06,20.05,60.01,35.78,58.16,27.46,15.83,70.2
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,0.06,-0.39,-0.41,-0.74,-0.67,0.28,-0.91,-0.19,-1.51,1.68,70.67,17.12,58.7,22.61,28.37,81.25,17.42,6.64,3.47,39.1,0.02,-1.01,0.34,57.68,0.59,-0.39,-0.79,0.49,3.35,18.35,52.94,46.54,21.94,45.84,25.82,83.75
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,0.72,0.41,0.24,0.19,0.27,0.7,0.33,-0.01,0.96,1.47,91.53,86.13,85.77,81.6,83.82,91.51,84.92,20.64,93.5,32.81,0.11,-1.05,0.55,57.68,0.77,-0.27,-0.09,-0.78,48.31,16.65,77.74,46.54,25.42,49.94,55.21,23.54
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,1.19,-0.17,-0.3,-0.52,-0.51,1.01,-0.18,0.24,-0.23,0.92,96.17,38.56,66.91,46.87,46.24,95.15,69.57,95.2,41.25,21.49,0.03,-0.77,0.39,58.12,2.48,0.74,-0.17,-0.27,8.63,29.38,60.01,60.26,57.96,82.36,52.54,55.55
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-0.01,0.09,-0.38,-0.35,-0.48,0.02,0.32,0,0.48,1.28,57.78,74.98,61.29,59.92,49.29,64.46,84.72,21.65,86.4,28.03,0.03,-2.01,0.29,57.86,2.71,-0.1,-0.64,-0.71,8.63,0.44,45.34,51.7,63.46,55.97,35.03,27.21
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,,,-1.02,-1.53,-1.5,,-1.18,0,-0.15,0,,,3.54,2.56,1.9,,10.12,21.65,49.24,0,0.2,,0,57.38,0,,-1.58,,76.08,,0,36.57,0,,0.71,
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,0.75,-0.27,0.08,-0.69,-0.46,0.39,-0.47,0.05,0.73,1.38,92.13,26.66,81.94,28.35,50.8,84.99,52.08,85.31,90.46,30.72,0.07,-2.54,0.45,58.3,2.71,0.73,0.43,-1.32,31.08,0,67.58,66.44,63.46,82,72.63,4.59
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.11,-0.2,-0.49,-0.68,-0.68,-0.1,-0.59,0,-0.2,1.88,38.07,34.96,50.98,29.5,27.25,39.74,40.96,21.65,43.89,44.92,0.1,-0.93,1.07,58.29,4.05,0.09,-0.35,-0.3,44.41,21.8,96.33,65.97,87.82,62.19,46.03,53.84
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,0.03,0.08,-1.27,-0.76,-1.16,0.45,-0.52,-0.37,0.04,2.22,67.08,74.13,0.19,20.8,3.37,86.33,48.02,2.63,70.12,54.17,0.17,-0.14,0.46,57.78,3.23,-0.21,-0.91,0.55,69.53,62.89,68.55,49.44,75.63,51.9,17.21,84.88
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,0.09,-0.34,-0.47,-0.87,-0.83,-0.27,-0.74,-0.19,-0.54,1.38,73.61,20.47,53.28,12.59,13.03,22.18,26.93,6.64,23.27,30.72,0.05,-0.25,0.43,56.29,2.85,-1.11,-1.06,0.7,20.75,57.81,65.13,18.61,66.93,21.46,8.38,87.66
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,0.05,-0.14,-0.55,-0.8,-0.85,0.02,-0.76,-0.28,-0.96,1.68,69.6,42.38,43.64,17.45,11.68,64.46,25.07,4.06,10.35,39.1,0.06,-1.01,0.24,59.7,2.51,-1.35,-1.05,-0.17,26.2,18.35,37.9,95.68,58.6,13.82,9.04,61.6
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,0.13,-0.26,-0.45,-0.41,-0.52,-0.06,-0.62,-0.33,-0.86,0.99,76.19,27.68,55.15,55.94,45.24,45.88,38,3.28,13.03,22.53,0.01,-0.48,0.52,56.8,0.52,-0.25,-0.73,0.89,1.83,46,75.3,23.82,20.56,50.71,29.89,90.25
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.04,-0.29,-0.91,-0.96,-1.2,0.04,-1.17,-0.1,-1.84,1.3,49.8,24.85,18.94,8.55,3.11,67.32,11.93,11.89,1.48,28.63,0.09,0.08,0.58,57.54,3.22,-1.13,-0.67,0.08,40.28,70.4,80.06,42.49,75.49,20.65,33.43,71.93
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,0.11,-0.11,-0.31,-0.73,-0.71,0.09,-1.13,0,-0.2,0.76,75.03,46.39,66.06,23.66,24.17,71.75,12.19,21.65,43.89,19.77,0.1,-1.11,1.03,57.79,5.41,-1.39,-1.03,-0.65,44.41,14.48,95.86,49.59,96.49,12.94,9.88,30.64
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,-0.61,0.73,0.1,1,0.77,-0.64,0.82,0.04,0.12,4.63,6.95,90.92,82.35,92.96,91.35,5.76,90.84,84.27,74.84,85.21,0.23,0.28,0.81,57.45,1.22,1.1,1.82,-1.34,79.52,76.11,91.71,39.39,33.04,90.42,95.39,4.26
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,-0.31,-0.05,-0.02,0,0.05,-0.6,-0.11,0,-0.36,3.42,19.37,56.77,78.93,76.35,78.22,6.74,72.38,21.65,32.11,73.67,0.08,-0.35,0.64,56.87,3.89,1.34,0.3,-1.19,35.93,52.95,84.14,24.79,86,93.56,68.71,7.34
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,0.33,-0.62,0.87,0.07,0.51,0.03,0.72,0,1.3,5.81,84.13,6.85,93.58,78.42,87.97,65.99,89.88,21.65,96.05,92.21,0.52,-1.37,0.39,57.9,2.86,-0.51,-1.07,-0.77,94.97,6.93,60.01,52.83,67.07,41.86,7.9,23.99
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,0.06,-0.31,0.32,0.2,0.28,0.15,0.68,0,0.25,4.86,70.67,22.91,87.25,81.84,84.12,75.04,89.57,21.65,79.87,86.87,0.42,-1.88,0.33,57.5,3.5,0.4,-0.1,-1.29,92.25,0.76,51.54,41.23,80.25,72.39,54.81,5.18
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0.88,0.7,2.29,1.15,1.75,0.11,2.43,0,0.79,3.96,93.62,90.61,98.44,93.97,96.51,73.05,98.26,21.65,91.44,79.54,0.43,-1.01,0.31,56.46,3.68,0.44,0.68,-0.84,92.48,18.35,48.32,19.94,82.81,73.61,78.94,20.2
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,0.87,1.35,2.3,1.79,2.45,0.86,1.94,0.01,3.24,5.3,93.51,95.9,98.48,96.95,98.31,93.7,97.04,81.11,99.93,89.59,1.08,-1.45,0.27,57.55,3.23,-1.17,0.06,-1.32,99.26,5.25,42.24,42.7,75.63,19.29,60.81,4.59
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,0.57,1.13,1.45,2.26,2.41,0.21,4.53,-0.17,1.64,6.69,89.32,94.55,96.48,98.04,98.22,78.39,99.86,7.48,98.12,95.6,0.29,-2.44,0.27,57.58,2.42,-0.09,-1.07,-0.56,84.83,0.05,42.24,43.69,56.23,56.12,7.9,36.75
