RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Playmaking Talent,Touches Per 75,Playmaking Talent_percentile,Touches Per 75_percentile
896,2017-18,Alex Caruso,23,LAL,562,Rotation,Primary Ball Handler,Point of Attack,-0.14,70.73,70.17,80.38
897,2018-19,Alex Caruso,24,LAL,531,Key Rotation,Primary Ball Handler,Point of Attack,0.49,68.84,84.99,77.99
898,2019-20,Alex Caruso,25,LAL,1175,Rotation,Secondary Ball Handler,Point of Attack,0.05,61.02,76.17,66.36
899,2020-21,Alex Caruso,26,LAL,1216,Key Rotation,Primary Ball Handler,Point of Attack,0.11,77.74,77.9,88.04
900,2024-25,Alex Caruso,30,OKC,1041,Rotation,Stationary Shooter,Wing Stopper,0.01,62.89,75.1,69.73
901,2025-26,Alex Caruso,31,OKC,1020,Rotation,Stationary Shooter,Wing Stopper,-0.46,46.29,55.28,35.94
902,2021-22,Alex Caruso,27,CHI,1147,Starter,Primary Ball Handler,Point of Attack,0.46,66.98,84.35,75.55
903,2022-23,Alex Caruso,28,CHI,1575,Key Rotation,Stationary Shooter,Point of Attack,-0.09,65.16,72,73.07
904,2023-24,Alex Caruso,29,CHI,2040,Key Rotation,Stationary Shooter,Point of Attack,-0.04,67.47,73.62,76.23
905,2019-20,Josh Gray,26,NOP,23,Too Few Games,Low Minute,Chaser,-0.46,71.81,55.28,81.75
906,2017-18,Josh Gray,24,PHO,86,Too Few Games,Low Minute,Point of Attack,-0.18,88.86,68.58,96.33
907,2017-18,Myke Henry,25,MEM,378,Rotation,Movement Shooter,Chaser,-0.87,52.14,23.79,48.53
908,2019-20,David Nwaba,27,BRK,268,Garbage Time,Stationary Shooter,Helper,-0.83,28.54,27.1,16.08
909,2020-21,David Nwaba,28,HOU,679,Key Rotation,Athletic Finisher,Chaser,-0.4,35.92,59.04,19.9
910,2021-22,David Nwaba,29,HOU,609,Rotation,Athletic Finisher,Wing Stopper,-0.66,46.37,42.17,36.12
911,2016-17,David Nwaba,24,LAL,397,Key Rotation,Shot Creator,Wing Stopper,-0.77,33.19,32.73,17.92
912,2017-18,David Nwaba,25,CHI,1646,Key Rotation,Athletic Finisher,Chaser,-0.6,37.15,46.64,20.95
913,2018-19,David Nwaba,26,CLE,984,Rotation,Athletic Finisher,Helper,-0.71,41.65,37.89,26.88
914,2018-19,Alfonzo McKinnie,26,GSW,1003,Rotation,Stationary Shooter,Low Activity,-1.36,45.85,1.09,35.04
915,2020-21,Alfonzo McKinnie,28,LAL,258,Garbage Time,Stationary Shooter,Helper,-1.24,42.97,3,29.4
916,2017-18,Alfonzo McKinnie,25,TOR,53,Garbage Time,Low Minute,Chaser,-1.11,42.48,6.95,28.49
917,2021-22,Alfonzo McKinnie,29,CHI,206,Garbage Time,Stationary Shooter,Wing Stopper,-1.13,42.15,6.11,27.81
918,2019-20,Alfonzo McKinnie,27,CLE,593,Rotation,Stationary Shooter,Helper,-0.98,42.24,14.53,27.97
919,2018-19,Jordan Loyd,25,TOR,55,Garbage Time,Low Minute,Chaser,-0.73,67.8,36.44,76.69
920,2021-22,Gabe York,28,IND,21,Too Few Games,Low Minute,Wing Stopper,-0.36,44.39,60.94,32.22
921,2022-23,Gabe York,29,IND,56,Too Few Games,Low Minute,Chaser,-0.23,40.43,66.8,25.06
922,2021-22,Paris Bass,26,PHO,7,Too Few Games,Low Minute,Helper,,58.33,,61.27
923,2018-19,Mitchell Creek,26,BRK/MIN,47,Too Few Games,Low Minute,Helper,-0.61,42.09,45.89,27.72
924,2018-19,Markelle Fultz,20,PHI,427,Key Rotation,Slasher,Point of Attack,0.23,82.38,80.75,92
925,2019-20,Markelle Fultz,21,ORL,1996,Starter,Slasher,Point of Attack,0.57,79.37,86.23,89.52
926,2020-21,Markelle Fultz,22,ORL,215,Key Rotation,Slasher,Point of Attack,0.7,80.45,87.99,90.43
927,2021-22,Markelle Fultz,23,ORL,360,Key Rotation,Slasher,Point of Attack,1.11,86.87,92.24,95.16
928,2022-23,Markelle Fultz,24,ORL,1778,Starter,Slasher,Point of Attack,0.88,81.25,90.06,91.01
929,2023-24,Markelle Fultz,25,ORL,910,Key Rotation,Slasher,Point of Attack,0.17,69.97,79.49,79.45
930,2017-18,Markelle Fultz,19,PHI,253,Garbage Time,Slasher,Point of Attack,0.92,84.39,90.46,93.68
931,2024-25,Markelle Fultz,26,SAC,184,Garbage Time,Secondary Ball Handler,Point of Attack,-0.59,71.56,47.2,81.46
932,2017-18,Lonzo Ball,20,LAL,1780,Starter,Primary Ball Handler,Point of Attack,1.33,83.99,93.96,93.28
933,2018-19,Lonzo Ball,21,LAL,1423,Starter,Primary Ball Handler,Point of Attack,1.03,74.39,91.55,84.35
934,2019-20,Lonzo Ball,22,NOP,2025,Starter,Primary Ball Handler,Point of Attack,0.57,88.21,86.23,96.01
935,2020-21,Lonzo Ball,23,NOP,1747,Star,Primary Ball Handler,Point of Attack,0.65,87.52,87.46,95.62
936,2021-22,Lonzo Ball,24,CHI,1212,Star,Primary Ball Handler,Point of Attack,0.83,77.81,89.68,88.1
937,2024-25,Lonzo Ball,27,CHI,777,Key Rotation,Secondary Ball Handler,Point of Attack,-0.04,65.88,73.62,74.04
938,2025-26,Lonzo Ball,28,CLE,728,Key Rotation,Movement Shooter,Chaser,-0.02,77.63,74.26,87.92
939,2019-20,Josh Jackson,22,MEM,381,Rotation,Movement Shooter,Wing Stopper,-0.31,50.4,63.54,45.16
940,2017-18,Josh Jackson,20,PHO,1959,Starter,Secondary Ball Handler,Wing Stopper,0.19,53.09,80.06,50.95
941,2018-19,Josh Jackson,21,PHO,1976,Key Rotation,Secondary Ball Handler,Helper,0.06,57.76,76.48,60.19
942,2021-22,Josh Jackson,24,DET/SAC,830,Rotation,Movement Shooter,Helper,-0.7,57.35,38.8,59.35
943,2020-21,Josh Jackson,23,DET,1560,Key Rotation,Movement Shooter,Chaser,0.1,53.51,77.54,51.71
944,2017-18,De'Aaron Fox,20,SAC,2026,Starter,Slasher,Point of Attack,0.38,91.35,82.94,97.43
945,2018-19,De'Aaron Fox,21,SAC,2546,Starter,Slasher,Point of Attack,1.88,85.69,97.27,94.5
946,2019-20,De'Aaron Fox,22,SAC,1634,Star,Shot Creator,Point of Attack,1.17,88.1,92.7,95.91
947,2020-21,De'Aaron Fox,23,SAC,2036,Star,Shot Creator,Point of Attack,1.53,88.48,95.48,96.12
948,2021-22,De'Aaron Fox,24,SAC,2084,Star,Shot Creator,Point of Attack,0.96,82.55,90.92,92.13
949,2022-23,De'Aaron Fox,25,SAC,2435,Star,Shot Creator,Point of Attack,1.52,83.49,95.43,92.87
950,2023-24,De'Aaron Fox,26,SAC,2659,Star,Shot Creator,Point of Attack,1.48,81.77,95.01,91.37
951,2024-25,De'Aaron Fox,27,SAC/SAS,2241,Star,Shot Creator,Point of Attack,1.41,79.67,94.48,89.85
952,2025-26,De'Aaron Fox,28,SAS,2170,Star,Shot Creator,Point of Attack,1.49,58.1,95.26,60.85
953,2017-18,Jayson Tatum,19,BOS,2443,Starter,Shot Creator,Low Activity,-0.38,50.99,59.97,46.28
954,2018-19,Jayson Tatum,20,BOS,2455,Star,Shot Creator,Chaser,-0.08,53.18,72.24,51.11
955,2019-20,Jayson Tatum,21,BOS,2265,Star,Shot Creator,Helper,0.52,72.44,85.33,82.47
956,2020-21,Jayson Tatum,22,BOS,2290,Star,Shot Creator,Helper,1.15,79.99,92.53,90.09
957,2021-22,Jayson Tatum,23,BOS,2731,Star,Shot Creator,Helper,1.54,75.97,95.57,86.32
958,2022-23,Jayson Tatum,24,BOS,2732,Star,Shot Creator,Helper,1.07,74.41,91.91,84.4
959,2023-24,Jayson Tatum,25,BOS,2645,Star,Shot Creator,Helper,1.25,77.51,93.43,87.79
960,2024-25,Jayson Tatum,26,BOS,2624,Star,Shot Creator,Helper,1.53,86.46,95.48,94.95
961,2025-26,Jayson Tatum,27,BOS,522,Star,Shot Creator,Wing Stopper,1.59,4.3,95.86,14.75
962,2021-22,Malik Monk,23,LAL,2139,Starter,Movement Shooter,Chaser,0.31,57.83,81.85,60.29
963,2022-23,Malik Monk,24,SAC,1719,Key Rotation,Secondary Ball Handler,Low Activity,0.72,64.22,88.27,71.66
964,2023-24,Malik Monk,25,SAC,1872,Starter,Secondary Ball Handler,Low Activity,0.94,73.11,90.73,83.17
965,2024-25,Malik Monk,26,SAC,2054,Key Rotation,Primary Ball Handler,Chaser,0.9,73.03,90.29,83.08
966,2025-26,Malik Monk,27,SAC,1354,Key Rotation,Secondary Ball Handler,Chaser,-0.07,49.43,72.71,42.92
967,2017-18,Malik Monk,19,CHO,853,Rotation,Primary Ball Handler,Point of Attack,-0.2,62.77,67.98,69.49
968,2018-19,Malik Monk,20,CHO,1258,Rotation,Movement Shooter,Low Activity,-0.19,48.04,68.32,39.77
969,2019-20,Malik Monk,21,CHO,1169,Key Rotation,Movement Shooter,Low Activity,-0.05,54.9,73.38,54.4
970,2020-21,Malik Monk,22,CHO,878,Rotation,Movement Shooter,Chaser,-0.1,58.06,71.69,60.75
971,2017-18,Jonathan Isaac,20,ORL,535,Key Rotation,Stationary Shooter,Helper,-1.2,52.63,3.76,49.8
972,2018-19,Jonathan Isaac,21,ORL,1996,Starter,Stationary Shooter,Helper,-1.03,62.29,11.23,68.6
973,2019-20,Jonathan Isaac,22,ORL,980,Star,Athletic Finisher,Helper,-1.18,67.57,4.28,76.33
974,2022-23,Jonathan Isaac,25,ORL,124,Garbage Time,Post Scorer,Wing Stopper,-0.61,65.02,45.89,72.74
