RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,Finishing Talent_percentile,Rim Shot Creation_percentile,Drives Per 75 Possessions_percentile,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Paint Shooting Talent_percentile,Rim Makes Consistency_percentile,Stable Rim FG%_percentile,Contact Finish Rate_percentile,Rim Attempt Consistency_percentile,Rim FG%,Drive Foul Drawn Rate,Rim FG%_percentile,Drive Foul Drawn Rate_percentile
297,2024-25,Kevon Looney,28,GSW,1142,Rotation,Roll + Cut Big,Anchor Big,-0.55,0.52,1.29,-1.01,-1.94,-0.85,101.53,64.95,27.27,100.85,41.93,81.75,29.76,2.53,2.26,11.68,70.02,63.3,75.14,66.75,64.32,2.5,63.14,29.56
298,2025-26,Kevon Looney,29,NOP,283,Rotation,Athletic Finisher,Mobile Big,-0.12,0.05,0.63,0,-0.25,-0.88,99.78,65.26,0,101.07,67.67,67.05,23.15,60.92,55.75,10.16,55.85,65.74,0,69.23,61.11,20,51.47,96.01
299,2015-16,Rashad Vaughn,19,MIL,1001,Rotation,Off Screen Shooter,Low Activity,-1.29,-0.48,2.88,-0.75,-2.42,-0.88,83.01,48.49,16.67,93.19,4.62,42.25,44.48,5.52,0.64,10.16,4.57,14.09,40.78,16.38,30.61,5.33,19.18,47.68
300,2016-17,Rashad Vaughn,20,MIL,459,Rotation,Movement Shooter,Chaser,-0.82,-1.04,3.97,-0.21,-0.71,-0.31,84.65,60.44,0,90.17,21.45,15.76,53.2,32.34,30.49,62.15,5.75,31.29,0,9.26,58.62,2.08,43.64,27.9
301,2017-18,Rashad Vaughn,21,MIL/BRK/ORL,212,Garbage Time,Stationary Shooter,Low Activity,-0.7,-1.04,3.04,0.03,0.12,-0.58,75.99,61.89,0,83.54,30.84,15.76,45.89,64.93,71.8,38.74,1.89,39.74,0,2.81,50,5.88,25,51.99
302,2020-21,Christian Wood,25,HOU,1326,Star,Shot Creator,Mobile Big,1.19,-0.55,4.9,1.12,0.79,0.12,105.23,73.49,30.11,103.6,94.26,38.73,60.2,94.64,89.24,80.23,97.24,98.31,82.86,94.38,76.35,12.09,93.55,86.35
303,2021-22,Christian Wood,26,HOU,2094,Starter,Shot Creator,Mobile Big,1.02,0.08,5.14,0.85,0.66,-0.3,103.99,67.11,21.09,103.27,92.98,68.46,62,91.99,86.69,62.8,90.18,80.51,55.1,91.34,67.48,11,74.24,82.85
304,2023-24,Christian Wood,28,LAL,872,Rotation,Stationary Shooter,Low Activity,-0.02,-0.87,3.39,0.37,0.74,-0.54,99.46,71.17,23.26,99.35,71.72,22.94,48.82,82.9,88.19,42.98,53.33,95.65,61.87,51.99,75.29,13.58,92.47,89.82
305,2018-19,Christian Wood,23,MIL/NOP,250,Garbage Time,Shot Creator,Anchor Big,0.16,-0.1,3.81,-0.07,-0.32,-0.33,96.84,65.63,21.74,96.45,78.25,60.41,52.06,49.3,51.65,60.58,35.93,68.69,56.88,30.62,68.97,17.86,78.94,95.01
306,2015-16,Christian Wood,20,PHI,145,Garbage Time,Roll + Cut Big,Helper,-0.33,-0.76,0.49,-0.28,-1.28,-0.76,97.88,59.46,11.11,96.12,56.99,28.06,21.71,25.91,10.82,18.75,41.99,26.64,32.99,28.52,57.14,0,38.79,0
307,2016-17,Christian Wood,21,CHO,107,Garbage Time,Athletic Finisher,Helper,-0.23,-0.24,2.56,0,-0.53,-0.73,93.37,62.92,14.29,93.1,62.64,53.99,41.4,60.92,39.76,21.67,20.53,46.93,36.49,16.06,70.59,14.29,83.02,90.73
308,2022-23,Christian Wood,27,DAL,1738,Key Rotation,Shot Creator,Mobile Big,-0.1,-0.16,5.5,-0.25,-0.45,-0.22,103.35,67.37,29.27,102.85,68.64,57.61,64.08,28.13,44.24,67.4,85.48,82.73,81.01,87.5,67.53,14.68,74.39,91.9
309,2019-20,Christian Wood,24,DET,1325,Key Rotation,Athletic Finisher,Anchor Big,0.55,-0.18,4.01,0.24,0.19,-0.5,102.64,74.08,30,101.05,87.25,56.88,53.48,78.42,74.1,47.38,79.29,98.73,82.1,69.02,77.27,13.29,94.35,89.15
310,2017-18,Jordan Mickey,23,MIA,284,Garbage Time,Roll + Cut Big,Anchor Big,0.12,0.04,2.04,-0.05,-0.33,-0.43,98.55,62.09,33.33,98.3,77.18,66.74,36.83,52.47,51.08,53.06,46.25,41.14,86.9,43.13,60.42,6.67,49.3,57.98
311,2015-16,Jordan Mickey,21,BOS,57,Garbage Time,Low Minute,Anchor Big,-0.25,-0.4,1.28,-0.06,-0.89,-0.55,94.75,56.14,33.33,96.81,61.53,46.1,29.66,50.75,22.57,41.99,25.8,17.35,86.9,32.81,38.89,0,20.52,0
312,2016-17,Jordan Mickey,22,BOS,141,Garbage Time,Roll + Cut Big,Mobile Big,-0.35,-0.36,1.85,-0.22,-1.53,-0.8,89.47,59.02,40,95.69,55.75,48.22,35.14,31.09,6.48,15.56,11.37,24.93,93.87,26.45,52.17,28.57,29.13,98.47
313,2015-16,Rakeem Christmas,24,IND,6,Too Few Games,Low Minute,Helper,-0.7,-1.19,0,0.07,-0.35,-1.68,,61.38,0,,30.84,10.36,0,68.72,49.95,0.36,,36.59,0,,100,0,97.87,0
314,2016-17,Rakeem Christmas,25,IND,219,Garbage Time,Roll + Cut Big,Anchor Big,-0.49,-0.77,0.68,-0.28,-1.39,-0.88,93.2,57.79,7.69,94.4,45.99,27.52,23.64,25.91,8.43,10.16,20.02,21.03,30.47,20.97,50,25,25,97.82
315,2020-21,Rondae Hollis-Jefferson,26,POR,107,Garbage Time,Roll + Cut Big,Helper,-0.45,-0.53,1.74,-0.14,-0.71,-0.47,94.22,61.77,0,92.14,48.97,39.59,34.07,39.72,30.49,50.1,23.49,38.93,0,13.27,45.45,0,22.72,0
316,2019-20,Rondae Hollis-Jefferson,25,TOR,1122,Rotation,Roll + Cut Big,Helper,-1.37,-0.01,4.68,-1.84,-2.57,-0.75,101.34,56.26,21.74,99.92,3.89,64.39,58.66,0.3,0.28,19.74,68.27,17.6,56.88,57.52,53.97,11.81,31.89,85.74
317,2015-16,Rondae Hollis-Jefferson,21,BRK,615,Key Rotation,Athletic Finisher,Wing Stopper,-0.78,-0.26,5.19,-0.56,-1.24,-0.48,99.33,57.2,8.7,100.99,24.34,53.03,62.23,10.75,11.76,49.29,52.4,19.7,31.19,68.33,53.73,4.71,31.29,42.7
318,2016-17,Rondae Hollis-Jefferson,22,BRK,1761,Key Rotation,Shot Creator,Wing Stopper,-0.31,0.29,6.68,-0.51,-1,-0.5,101.4,56.63,18.55,100.91,58.12,75.5,70.72,12.31,19.02,47.38,68.81,18.25,46.77,67.43,55.48,14.16,34.98,90.67
