RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Rim Shot Making,Rim Shot Making Efficiency,Rim Shot Attempts Per 75 Possessions,Stable Rim FG%,Stable Short Midrange FG%,Floater Talent,Paint Shooting Talent,Paint Shot Making,Paint Shot Making Efficiency,Short Mid Range FG%,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Rim Shot Attempts Per 75 Possessions_percentile,Stable Rim FG%_percentile,Stable Short Midrange FG%_percentile,Floater Talent_percentile,Paint Shooting Talent_percentile,Paint Shot Making_percentile,Paint Shot Making Efficiency_percentile,Short Mid Range FG%_percentile,Rim FG%,Rim FG%_percentile
1928,2021-22,Lindell Wigginton,23,MIL,199,Garbage Time,Secondary Ball Handler,Point of Attack,-0.26,-0.9,4.22,63.69,41.11,-0.63,-0.48,0.13,-0.35,27.27,27.5,22.19,66.22,53.29,52.31,36.95,49.29,75.93,59.24,31.12,58.33,42.65
1929,2022-23,Lindell Wigginton,24,MIL,87,Too Few Games,Low Minute,Point of Attack,0.01,-0.29,3.71,66.76,44.83,-0.3,-0.26,0.09,-0.77,57.14,62.52,53.36,58.6,77.74,87.01,64.08,65.23,73.44,31.5,95.85,66.67,70.21
1930,2023-24,Lindell Wigginton,25,MIL,8,Too Few Games,Low Minute,Helper,0,-0.57,13.24,66.44,43.73,-1.25,-0.63,0,-0.64,0,60.92,37.57,99.74,75.21,77.3,3.4,32.72,62.96,40.1,0,66.67,70.21
1931,2019-20,Justin Wright-Foreman,22,UTA,45,Too Few Games,Low Minute,Chaser,0,-0.17,3.19,62.95,40.25,-0.12,0.04,0.14,-0.12,50,60.92,59.82,50.37,47.11,43.07,71.97,77.88,76.4,71.46,87.26,50,25
1932,2021-22,Bol Bol,22,DEN,81,Garbage Time,Low Minute,Helper,0.04,0.05,3.53,67.59,44.61,-0.03,-0.31,0.08,-0.26,63.64,65.9,69.54,55.66,84.03,85.67,75.39,62.15,72.7,64.44,97.51,87.5,97.61
1933,2022-23,Bol Bol,23,ORL,1505,Key Rotation,Athletic Finisher,Helper,1.44,2.68,4.46,78.45,45.74,0.16,0.01,1.11,0.27,47.06,96.62,99.81,69.89,99.93,91.5,81.14,77.03,94.68,83.56,81.81,83.15,96.93
1934,2023-24,Bol Bol,24,PHO,469,Rotation,Stationary Shooter,Helper,0.04,0.32,2.52,73.74,51.33,-0.13,-0.34,0.56,0.8,67.35,65.9,78.16,40,98.48,99.46,71.65,59.87,88.28,92.48,98.25,90.63,97.79
1935,2024-25,Bol Bol,25,PHO,448,Rotation,Stationary Shooter,Helper,-0.16,-0.54,1.68,69.69,52.74,-0.01,-0.35,0.46,0.56,72.73,37.39,39.01,27.75,92.08,99.71,76.02,59.11,86.28,89.49,98.45,80.95,96.49
1936,2019-20,Bol Bol,20,DEN,87,Too Few Games,Low Minute,Helper,0.06,0.01,3.92,65.18,40.06,-0.63,-0.55,0.24,-0.33,42.86,67.78,68.03,62.11,65.15,41.13,36.95,41.99,80.77,60.41,68.81,77.78,94.71
1937,2020-21,Bol Bol,21,DEN,160,Garbage Time,Movement Shooter,Helper,0,-0.05,2.46,66.86,40.92,-0.26,-0.14,0.01,-0.05,28.57,60.92,65.59,39.03,79.02,50.14,66.4,71.41,64.77,74.34,32.48,83.33,96.96
1938,2019-20,Zion Williamson,19,NOP,668,Starter,Post Scorer,Helper,1.62,0.76,15.79,62.56,39.91,-0.98,-0.79,-1.58,-1.02,40,97.35,88.52,99.88,44.38,39.84,15.1,16.15,0.28,18.62,59.2,62.3,55.63
1939,2020-21,Zion Williamson,20,NOP,2026,Star,Shot Creator,Low Activity,6.22,2.69,14.43,66.99,41.42,-0.3,0.88,2.59,0.96,40.76,100,99.83,99.83,79.99,55.36,64.08,92.13,99.18,94.2,62.78,67.24,73.59
1940,2022-23,Zion Williamson,22,NOP,956,Star,Shot Creator,Helper,5.11,2.46,12.89,68.85,41.42,0.12,0.91,1.96,0.58,38.83,99.97,99.77,99.73,89.56,55.36,79.99,92.52,98.04,89.73,56.21,69.3,80.01
1941,2023-24,Zion Williamson,23,NOP,2207,Star,Shot Creator,Helper,4.56,2.27,11.86,67.32,38.78,0.43,1.77,3.28,1.6,37.32,99.91,99.6,99.61,82.31,29.02,86.46,96.56,99.7,98.18,51.22,67.41,74.17
1942,2024-25,Zion Williamson,24,NOP,857,Key Rotation,Shot Creator,Wing Stopper,3.43,1.7,11.84,64.38,48.09,1.97,1.81,3.09,1.09,50,99.67,98.29,99.58,59.22,97.31,97.16,96.72,99.6,95.4,87.26,63.83,61.11
1943,2025-26,Zion Williamson,25,NOP,1841,Starter,Shot Creator,Helper,5.13,2.97,10.55,69.64,41.33,0.31,1.08,2.57,1.13,40.08,99.98,99.95,99.23,91.89,54.23,84.41,93.81,99.16,95.69,61.07,69.96,81.61
1944,2019-20,RJ Barrett,19,NYK,1704,Starter,Slasher,Chaser,-0.89,-0.94,6.87,55.47,31.71,-0.94,-1.58,-1.18,-2.58,25.55,3.48,20.83,92.51,16.53,14.16,16.16,0.81,0.89,0.16,29.89,53.58,31.05
1945,2020-21,RJ Barrett,20,NYK,2511,Starter,Slasher,Helper,-0.11,-0.29,6.1,56.74,36.39,-0.05,-0.85,-1.71,-1.7,33.62,43.57,53.36,87.25,18.55,18.02,74.7,11.68,0.12,3.47,42.37,55.39,34.88
1946,2021-22,RJ Barrett,21,NYK,2417,Starter,Secondary Ball Handler,Wing Stopper,-0.43,-0.51,6.79,56.72,33.39,-0.68,-1.12,-1.93,-1.93,30.04,16,40.68,92.1,18.48,14.5,32.06,3.59,0.09,1.77,35.18,55.25,34.49
1947,2022-23,RJ Barrett,22,NYK,2475,Starter,Secondary Ball Handler,Helper,1.19,0.97,6.4,60.28,40.41,0.6,-0.28,0.06,-1.09,39.25,95.23,92.06,89.43,30.3,44.76,88.69,64.05,70.98,15.72,57.56,59.15,45.37
1948,2023-24,RJ Barrett,23,NYK/TOR,1838,Starter,Slasher,Wing Stopper,1.65,0.99,7.19,66.55,40.83,0.78,-0.03,0.47,-0.49,39.58,97.44,92.39,93.77,76.72,49.2,90.49,75.66,86.49,50.16,58.35,66.58,70.2
1949,2024-25,RJ Barrett,24,TOR,1869,Starter,Primary Ball Handler,Helper,1.03,0.48,7.72,61.68,40.94,1.52,0.51,0.48,0.13,39.61,93.87,82.6,95.62,38.37,50.31,95.77,87.97,86.63,79.81,58.44,60.79,50.67
1950,2025-26,RJ Barrett,25,TOR,1697,Starter,Movement Shooter,Helper,0.95,0.66,5.96,68.89,43.58,1.42,0.57,1.36,0.57,43.22,92.96,86.69,86.25,89.76,75.92,95.29,88.76,96.05,89.65,70.48,69.31,80.03
1951,2019-20,Cam Reddish,20,ATL,1551,Starter,Movement Shooter,Chaser,-0.15,-0.33,3.2,56.06,37.79,-0.36,-0.58,-0.58,-1.01,35.48,38.63,51.08,50.48,17.17,23.25,60.17,38.74,7.79,19.01,46.33,52.11,29.1
1952,2020-21,Cam Reddish,21,ATL,750,Key Rotation,Movement Shooter,Wing Stopper,0.01,-0.16,3.49,63.61,36.6,-0.63,-1.28,-0.71,-2.22,23.4,62.52,60.41,55.04,52.36,18.64,36.95,2.89,4.53,0.68,27.64,63.01,58.25
1953,2023-24,Cam Reddish,24,LAL,984,Rotation,Stationary Shooter,Point of Attack,-0.45,-1.06,2.93,60.75,39.6,-0.74,-0.85,-0.33,-1.11,25.81,14.94,17.05,46.42,32.89,35.97,26.93,11.68,21.05,14.94,30.05,55.56,35.03
1954,2024-25,Cam Reddish,25,LAL,589,Rotation,Stationary Shooter,Point of Attack,-0.2,-0.59,1.9,66.55,42.36,-0.85,-0.89,-0.24,-1.07,28.57,33.35,36.36,30.77,76.72,64.37,19.92,9.65,28.81,16.52,32.48,66.67,70.21
