RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Points Over Expectation / 75,Stable eFG%,Overall Shot Making Efficiency,Overall Shot Making,Self-Created Shot Making Efficiency,Overall Shot Creation,Role Adjusted Stable eFG%,Points Over Expectation / 75_percentile,Stable eFG%_percentile,Overall Shot Making Efficiency_percentile,Overall Shot Making_percentile,Self-Created Shot Making Efficiency_percentile,Overall Shot Creation_percentile,Role Adjusted Stable eFG%_percentile
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,-0.36,48.98,-0.42,-0.18,-0.71,0.99,0.49,28.07,15.34,52.09,39.83,36.82,90.44,21.64
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,-0.14,50.42,-0.33,-0.08,-0.16,0.15,0.5,32.97,28.07,57.16,51.55,69.19,73.14,28.87
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,-0.31,46.12,-1.21,-0.75,-0.87,0.86,0.47,29.21,2.69,13.54,5.77,27.62,88.41,9.63
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-2.26,47.12,-1.51,-0.58,-0.35,-0.73,0.5,2.79,5.06,7.11,10.6,59.27,38.91,28.87
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,2.16,55.27,0.84,0.32,1.01,-1.4,0.53,98.22,80.19,91.07,81.41,94.75,7.62,54.54
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,1.08,54.44,0.55,0.22,-0.15,-1.66,0.54,92.19,72.47,86.08,78.75,69.69,1.96,63.82
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,2.03,56.79,0.56,0.32,-1.85,-1.51,0.56,97.89,89.27,86.24,81.41,2.64,4.71,79.24
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,0,51.41,0.05,0.04,-1.12,-1.19,0.51,36.38,38.22,73.58,70.06,16.26,16.06,36.69
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,0.11,50.94,0.11,0.19,0.3,0.79,0.51,76.66,33.35,75.28,77.53,83.75,87.1,36.69
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.02,48.14,-0.76,-0.52,-1.2,0.71,0.48,35.98,9.57,32.07,13.18,13.59,85.52,14.92
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,0.93,53.36,0.09,0.19,1.09,-0.63,0.55,90.54,61.36,74.7,77.53,95.42,43.88,72.35
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,0.57,53.09,-0.09,0.01,-0.2,-1.03,0.54,85.58,58.42,68.44,66.93,67.47,23.56,63.82
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.28,47.24,-0.51,-0.26,-0.14,-0.57,0.48,29.85,5.6,46.16,31.71,70.12,46.55,14.92
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,0.02,50.1,-0.53,-0.17,-0.08,-0.14,0.52,74.71,25.05,44.68,40.8,72.57,63.88,45.51
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,0,49.74,-0.54,-0.05,-0.72,-0.97,0.44,36.38,21.27,44.11,56.06,36.25,26.81,0.91
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,0,51.24,-0.64,-0.02,-0.71,-1.18,0.45,36.38,36.47,38.31,61.09,36.82,16.52,2.66
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,-0.47,47.46,-0.32,-0.14,-0.14,1.09,0.48,25.71,6.35,57.76,44.08,70.12,91.85,14.92
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,-0.83,45.74,-0.35,-0.11,0.03,0.97,0.46,18.51,1.98,55.84,47.64,76.36,90.17,5.44
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,-0.23,56.24,-0.03,0,-0.35,-1.31,0.58,31.14,86.51,70.65,65.14,59.27,10.5,88.94
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,0.39,53.76,-0.44,-0.13,-0.38,-0.87,0.56,82.15,65.63,50.71,45.25,57.44,31.78,79.24
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.85,54.05,-1.2,-0.4,0.07,-0.83,0.57,18.15,68.84,13.85,20.53,77.65,33.75,84.8
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-2.04,50.12,-1.27,-0.44,-1.24,-0.85,0.55,3.83,25.25,11.89,17.86,12.54,32.89,72.35
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-1.75,51.81,-1.64,-0.79,-0.55,-0.87,0.55,5.87,42.91,4.85,4.97,46.81,31.78,72.35
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,0.14,56.51,0.86,0.34,0.17,-0.58,0.58,77.12,87.92,91.2,82,80.55,46.04,88.94
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-0.42,51.99,-0.3,-0.12,-0.53,-0.19,0.53,26.75,45.08,58.74,46.53,47.97,61.89,54.54
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,1.41,54.33,0.31,0.06,-0.1,-0.23,0.56,94.91,71.35,80.61,71.33,71.85,60.39,79.24
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,0.62,53.04,0.17,0.06,-1.34,-0.59,0.55,86.39,57.73,76.74,71.33,9.73,45.53,72.35
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,0.64,51.57,0.84,0.73,0.48,-0.79,0.52,86.62,39.99,91.07,89.81,87.39,35.66,45.51
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,1.58,55.23,1.04,0.72,0.07,-1.22,0.56,96.08,79.84,93.33,89.59,77.65,14.38,79.24
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-0.63,48.78,-0.25,-0.08,-0.49,-1.01,0.52,22.2,13.96,61.14,51.55,50.6,24.62,45.51
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,0,53,,,,,0.48,36.38,57.12,,,,,14.92
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,1.81,51.69,0.61,0.46,0.71,-1.2,0.53,97.09,41.37,87.34,84.99,91.4,15.52,54.54
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.21,50.32,-0.78,-0.35,-0.9,-0.94,0.45,31.66,27.26,30.93,23.72,26.15,28.51,2.66
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-1.2,51.1,-0.35,-0.11,-1.66,-0.86,0.51,12.28,34.91,55.84,47.64,4.51,32.37,36.69
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-1.36,51.63,-0.86,-0.37,-0.83,-1.21,0.52,9.91,40.65,26.79,22.39,29.65,14.99,45.51
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-0.41,54.01,-0.45,-0.15,-1.05,-1.36,0.54,26.94,68.5,50.07,42.8,19.31,8.69,63.82
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-0.93,49.71,-0.82,-0.49,-1.22,-0.73,0.5,16.88,21.03,28.75,14.95,12.99,38.91,28.87
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.25,52.46,-0.53,-0.29,-1.27,-1.09,0.53,30.63,50.66,44.68,28.87,11.63,20.62,54.54
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,0,54.34,-0.21,0,-0.93,-1.48,0.48,36.38,71.45,62.96,65.14,24.47,5.34,14.92
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,-0.55,47.45,0.01,0.19,0.89,0.88,0.48,23.85,6.32,72.08,77.53,93.63,88.77,14.92
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,-1.11,48.93,-0.42,-0.2,0.46,0.15,0.49,13.65,14.94,52.09,37.41,86.97,73.14,21.64
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,-0.73,48.12,-0.17,-0.02,-0.33,1.37,0.46,20.33,9.43,64.95,61.09,60.42,95,5.44
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,-1.01,47.92,-0.41,-0.13,-0.97,1.09,0.47,15.75,8.42,52.62,45.25,22.52,91.85,9.63
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,2.9,51.04,1.1,1.12,1.46,1.23,0.5,99.44,34.36,94.08,93.86,97.73,93.57,28.87
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,1.61,50.68,1.11,1.58,0.89,1.43,0.51,96.25,30.67,94.18,96.46,93.63,95.54,36.69
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,1.27,47.85,0.74,0.94,0.67,2.01,0.47,93.94,7.9,89.45,92.26,90.94,99.12,9.63
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,0.39,48.61,0.46,0.61,-0.12,1.53,0.48,82.15,12.54,84.4,87.63,70.95,96.39,14.92
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,2.84,49.04,0.81,0.77,1.11,0.77,0.49,99.29,15.94,90.59,90.54,95.57,86.7,21.64
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,0.33,56.62,0.24,0.1,-0.16,-0.62,0.58,80.97,88.37,78.9,73.58,69.19,44.37,88.94
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,0.71,57.71,0.07,-0.03,-1.36,-1.06,0.58,87.64,92.68,74.16,59.2,9.41,22.18,88.94
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.48,54.16,-0.65,-0.24,-0.57,-0.93,0.56,25.32,69.67,37.85,33.53,45.52,29.04,79.24
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-1.03,52.96,-0.8,-0.22,-0.9,-1.04,0.56,15.29,56.67,29.79,35.57,26.15,22.9,79.24
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-1.24,52.6,-1.01,-0.37,-1.45,-1.13,0.56,11.61,52.34,20.16,22.39,7.72,18.68,79.24
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,0.27,55.33,0.41,0.44,0.52,-0.97,0.56,79.75,80.65,83.17,84.67,88.18,26.81,79.24
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,0.19,56.33,0.36,0.29,0.37,-0.87,0.57,78.28,86.96,81.73,80.69,85.08,31.78,84.8
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-1.39,51.84,-1.03,-0.55,-0.79,-0.98,0.52,9.62,43.37,19.53,11.99,32.08,26.17,45.51
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,-0.52,49.8,-0.99,-0.45,-1.32,-0.5,0.5,24.51,22.18,21.08,17.13,10.35,49.66,28.87
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,0,47.9,-1.38,-0.3,-1.12,-0.93,0.43,36.38,8.21,9.61,28.02,16.26,29.04,0.15
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,-0.84,49.98,-1.06,-0.35,-1.04,-0.33,0.5,18.34,23.77,18.58,23.72,19.69,56.57,28.87
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,1.14,53.62,0.94,0.54,0.18,-0.26,0.53,92.86,64.06,92.29,86.41,80.91,59.14,54.54
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,1.44,57.1,1.15,0.4,0.4,-0.27,0.54,95.2,90.76,94.61,83.77,85.58,58.78,63.82
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,-0.82,48.68,-1.05,-0.31,-0.48,-0.36,0.49,18.68,13.09,18.9,27,51.33,55.55,21.64
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,0.06,49.61,-0.75,-0.18,-1.07,-0.52,0.5,75.59,20.17,32.56,39.83,18.64,48.86,28.87
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,1.6,49.01,-0.7,-0.2,-0.69,-1.01,0.44,96.21,15.63,35.47,37.41,38.13,24.62,0.91
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,0,50,-0.5,-0.03,,-1.45,0.44,36.38,23.9,47.09,59.2,,6.12,0.91
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,0,50.47,-0.78,-0.02,-1.04,0.01,0.44,36.38,28.52,30.93,61.09,19.69,69.09,0.91
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,-0.25,49.13,0.01,0.06,-0.57,-0.68,0.5,30.63,16.57,72.08,71.33,45.52,41.39,28.87
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,0,54,,,,,0.5,36.38,68.37,,,,,28.87
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,0.29,56.37,0.62,0.35,0.7,0.6,0.58,80.13,87.19,87.53,82.26,91.23,83.62,88.94
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,0.85,57.4,0.17,0.13,-0.32,0.18,0.6,89.44,91.89,76.74,74.84,61.08,74.07,93.84
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,-0.49,50.72,1.02,1.33,0.9,1.26,0.51,25.13,31.11,93.08,95.08,93.8,93.98,36.69
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,-0.39,51.27,0.37,0.39,0.25,1.23,0.52,27.33,36.83,82,83.51,82.51,93.57,45.51
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,0.51,53.73,0.23,0.15,0.46,0.63,0.54,84.47,65.25,78.62,75.55,86.97,84.33,63.82
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,0.86,57.02,0.06,0.07,0.2,0.09,0.61,89.63,90.31,73.89,71.9,81.36,71.23,95.26
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,-1.98,45.6,-1.81,-1.06,-1.94,1.12,0.46,4.22,1.76,2.98,1.84,2,92.21,5.44
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,-0.24,49.83,-0.04,0.09,-0.03,1.2,0.5,30.89,22.57,70.26,73,74.4,93.3,28.87
98,2021-22,Emmanuel Mudiay,25,SAC,11,Too Few Games,Low Minute,Point of Attack,0,52.46,-0.33,-0.02,-0.56,-0.52,0.48,36.38,50.66,57.16,61.09,46.23,48.86,14.92
99,2019-20,Emmanuel Mudiay,23,UTA,850,Rotation,Slasher,Point of Attack,-0.3,51.6,-0.28,-0.08,-0.06,0.94,0.5,29.44,40.32,59.61,51.55,73.31,89.69,28.87
100,2015-16,Emmanuel Mudiay,19,DEN,2068,Starter,Slasher,Point of Attack,-2.97,42.12,-2.1,-1.85,-1.84,1.37,0.42,1.01,0.01,1.04,0.09,2.74,95,0
101,2016-17,Emmanuel Mudiay,20,DEN,1406,Key Rotation,Primary Ball Handler,Point of Attack,-1.94,44.95,-1.95,-1.26,-2.04,0.55,0.46,4.5,1,1.94,0.7,1.59,82.63,5.44
102,2019-20,Tyus Jones,23,MEM,1232,Key Rotation,Primary Ball Handler,Point of Attack,-0.12,51.9,0.61,0.38,0.83,0.55,0.51,33.42,44.03,87.34,83.21,92.92,82.63,36.69
103,2020-21,Tyus Jones,24,MEM,1222,Rotation,Primary Ball Handler,Point of Attack,0.25,50.29,-0.18,-0.07,0.55,0.39,0.51,79.31,27.07,64.51,52.99,88.66,79.31,36.69
104,2021-22,Tyus Jones,25,MEM,1549,Key Rotation,Primary Ball Handler,Point of Attack,0.05,52.52,0.69,0.46,0.44,0.4,0.51,75.31,51.5,88.65,84.99,86.47,79.6,36.69
105,2022-23,Tyus Jones,26,MEM,1940,Key Rotation,Primary Ball Handler,Low Activity,-0.61,52.9,0.38,0.3,0.83,0.26,0.52,22.62,55.92,82.26,80.95,92.92,76.3,45.51
106,2015-16,Tyus Jones,19,MIN,573,Rotation,Primary Ball Handler,Point of Attack,-2.01,45.99,-1.2,-0.47,-1.18,0.44,0.45,4.02,2.42,13.85,16.04,14.35,80.45,2.66
107,2016-17,Tyus Jones,20,MIN,774,Garbage Time,Secondary Ball Handler,Point of Attack,-0.24,49.85,-0.7,-0.27,-1.01,-0.05,0.49,30.89,22.66,35.47,30.81,20.86,67.08,21.64
108,2017-18,Tyus Jones,21,MIN,1467,Rotation,Primary Ball Handler,Point of Attack,0.14,52.37,-0.12,-0.05,-0.11,-0.2,0.52,77.12,49.7,67.06,56.06,71.45,61.48,45.51
109,2018-19,Tyus Jones,22,MIN,1560,Key Rotation,Primary Ball Handler,Point of Attack,-0.42,47.79,-0.66,-0.32,-0.67,0.69,0.48,26.75,7.62,37.36,25.98,39.39,85.2,14.92
110,2025-26,Tyus Jones,29,ORL/DAL/DEN,934,Rotation,Primary Ball Handler,Point of Attack,0,49.19,-1.58,-0.54,-0.41,-0.67,0.52,36.38,16.95,5.82,12.33,55.75,41.88,45.51
111,2024-25,Tyus Jones,28,PHO,2174,Starter,Primary Ball Handler,Point of Attack,0.41,56.3,0.19,0.18,-0.33,-0.44,0.55,82.57,86.84,77.44,77.02,60.42,52.23,72.35
112,2023-24,Tyus Jones,27,WAS,1933,Starter,Primary Ball Handler,Point of Attack,0.48,56.48,0.9,0.79,1.11,0.35,0.55,83.85,87.77,91.78,90.76,95.57,78.34,72.35
113,2015-16,Cliff Alexander,20,POR,36,Too Few Games,Low Minute,Anchor Big,0,50,-0.5,-0.03,-0.34,-1,0.45,36.38,23.9,47.09,59.2,59.89,24.97,2.66
114,2018-19,Justin Anderson,25,ATL,463,Garbage Time,Movement Shooter,Helper,0,50.39,-0.87,-0.24,-0.61,-0.51,0.5,36.38,27.91,26.3,33.53,42.9,49.32,28.87
115,2021-22,Justin Anderson,28,CLE/IND,316,Garbage Time,Movement Shooter,Helper,-1.4,50.62,-0.66,-0.28,-0.35,-1.11,0.53,9.47,30.05,37.36,29.72,59.27,19.48,54.54
116,2016-17,Justin Anderson,23,DAL/PHI,1227,Rotation,Movement Shooter,Wing Stopper,-0.33,49.59,-0.68,-0.31,-0.56,-0.68,0.51,28.79,20.09,36.46,27,46.23,41.39,36.69
117,2017-18,Justin Anderson,24,PHI,519,Rotation,Movement Shooter,Low Activity,-0.86,51.74,-0.85,-0.32,-1.25,-0.86,0.52,18,42.15,27.27,25.98,12.25,32.37,45.51
118,2019-20,Justin Anderson,26,BRK,107,Garbage Time,Stationary Shooter,Helper,-1.41,49.91,-1.03,-0.32,-0.51,-1.44,0.44,9.33,23.15,19.53,25.98,49.29,6.43,0.91
119,2015-16,Justin Anderson,22,DAL,647,Rotation,Movement Shooter,Chaser,-1.2,48.51,-1.25,-0.41,-0.57,-0.66,0.5,12.28,11.83,12.44,19.85,45.52,42.45,28.87
120,2015-16,Anthony Brown,23,LAL,599,Key Rotation,Movement Shooter,Chaser,-0.73,45.62,-1.52,-0.69,-1.35,-1.01,0.47,20.33,1.81,6.98,7.26,9.56,24.62,9.63
121,2017-18,Anthony Brown,25,MIN,4,Too Few Games,Low Minute,Chaser,0,52.5,-0.19,0.02,,-1.15,0.46,36.38,51.24,63.98,68.17,,17.86,5.44
122,2016-17,Anthony Brown,24,NOP/ORL,159,Garbage Time,Movement Shooter,Wing Stopper,-0.99,49.36,-1.19,-0.33,-0.39,-0.53,0.44,16.17,18.35,14.38,25.2,56.77,48.35,0.91
123,2015-16,Montrezl Harrell,22,HOU,379,Garbage Time,Post Scorer,Helper,0,54.59,-0.07,-0.03,-0.41,-0.77,0.57,36.38,73.97,69.22,59.2,55.75,36.82,84.8
124,2016-17,Montrezl Harrell,23,HOU,1064,Rotation,Roll + Cut Big,Mobile Big,1.53,60.2,0.5,0.25,0.2,-1.11,0.63,95.76,97.44,85.18,79.76,81.36,19.48,97.24
125,2017-18,Montrezl Harrell,24,LAC,1293,Rotation,Post Scorer,Mobile Big,1.79,60.57,1.15,0.67,1.48,0.16,0.62,97.01,97.87,94.61,88.72,97.79,73.48,96.33
126,2018-19,Montrezl Harrell,25,LAC,2158,Key Rotation,Post Scorer,Anchor Big,1.72,59.93,0.57,0.56,0.03,0,0.61,96.72,97.12,86.54,86.83,76.36,68.82,95.26
127,2019-20,Montrezl Harrell,26,LAC,1749,Star,Shot Creator,Anchor Big,1.45,57.04,0.35,0.44,-0.13,0.54,0.58,95.24,90.46,81.46,84.67,70.61,82.48,88.94
128,2020-21,Montrezl Harrell,27,LAL,1580,Key Rotation,Post Scorer,Mobile Big,1.7,60.2,0.7,0.5,0.56,0.05,0.62,96.62,97.44,88.74,85.73,88.94,70.36,96.33
129,2022-23,Montrezl Harrell,29,PHI,681,Rotation,Post Scorer,Anchor Big,0.26,57.5,-0.94,-0.31,-0.43,-0.37,0.61,79.57,92.18,23.21,27,54.26,55.19,95.26
130,2021-22,Montrezl Harrell,28,WAS/CHO,1640,Key Rotation,Post Scorer,Anchor Big,2.14,61.8,0.41,0.32,-0.43,-0.26,0.63,98.16,98.83,83.17,81.41,54.26,59.14,97.24
131,2016-17,Andrew Harrison,22,MEM,1474,Rotation,Shot Creator,Point of Attack,-1.44,42.85,-2.27,-0.99,-2.1,0.47,0.44,8.98,0.07,0.61,2.42,1.36,80.91,0.91
132,2017-18,Andrew Harrison,23,MEM,1326,Key Rotation,Primary Ball Handler,Point of Attack,0.21,49.01,-0.57,-0.28,-0.34,0.91,0.49,78.67,15.63,42.29,29.72,59.89,89.28,21.64
