RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,3PT Shooting Talent_percentile,3PT Shot Making_percentile,C&S 3PT Shot Making_percentile,3PT Pull Up Talent_percentile,3PT Pull Up Shot Making_percentile,3PT Pull Up Shot Creation_percentile,3PT Shot Creation_percentile,3PT Shot Making Efficiency_percentile,C&S 3PT Shot Making Efficiency_percentile,Stable FG3%_percentile,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,Stable C&S 3PT%_percentile,Stable ATB 3PT%_percentile,Stable Pull Up 3PT%_percentile,3PT Functional Versatility_percentile,Stable 3PTA Per 75_percentile,Off-Ball Gravity_percentile,Stable Corner 3PT%_percentile,3PT Attempt Rate_percentile
1795,2022-23,Duncan Robinson,28,MIA,690,Rotation,Off Screen Shooter,Low Activity,0.24,-0.15,-0.34,0.01,0.12,-1.74,-0.67,-0.45,-0.69,34.59,79.74,33.57,19.47,79.96,80.05,1.92,45.74,41.6,25.45,20.87,0,34.48,34.55,0.48,10.3,1.13,37.53,81.01,0,42.72,94.72,87.87,98.05,78.52,16.88,97.72
1796,2023-24,Duncan Robinson,29,MIA,1906,Key Rotation,Movement Shooter,Low Activity,1.76,1.48,0.69,1.48,1.36,-0.93,-0.12,1.48,0.89,38.68,97.05,97.62,93.74,96.65,98.25,42.94,71.44,97.32,91.38,95.2,0,37.61,36.26,1.43,9.25,2.74,40.07,70.07,0,96.38,99.35,98.67,95.19,98.09,87.97,93.51
1797,2024-25,Duncan Robinson,30,MIA,1786,Key Rotation,Off Screen Shooter,Low Activity,1.7,1.32,0.61,1.47,1.22,-0.93,-0.08,1.51,0.97,38.22,96.75,96.83,92.59,96.58,97.83,42.94,72.51,97.44,92.39,92.84,0,37.23,35.66,1.61,10.1,2.38,39.86,72.85,0,94.82,98.6,99.4,97.63,96.56,85.65,95.13
1798,2025-26,Duncan Robinson,31,DET,2066,Starter,Off Screen Shooter,Low Activity,1.72,1.47,1.23,0.35,0.52,-1.61,-0.64,1.57,1.59,39.47,96.87,97.59,97.95,87.76,93.5,5.12,47.82,97.84,97.53,97.61,38.82,38.91,33.66,1.32,9.35,2.65,39,76.79,98.24,99.13,76.12,98.25,95.53,97.78,59.49,96.6
1799,2019-20,Daryl Macon,24,MIA,14,Too Few Games,Low Minute,Point of Attack,-0.58,0,-0.14,-0.95,,,-0.98,-0.17,-0.14,36.11,38.2,61.14,52.06,14.88,,,15.07,61.88,60.73,65.81,0,34.87,33,-1.12,5.22,0.06,39.34,66.67,0,54,49.31,17.58,56.24,32.11,76.88,91.37
1800,2018-19,Daryl Macon,23,DAL,90,Too Few Games,Low Minute,Low Activity,0.11,0.09,-0.08,0.15,0.03,0.03,0.88,0.2,0.17,36.41,75.36,73.61,64.54,83.6,66.13,78.79,90.41,79.29,76.52,71.96,0,35.54,33.12,0.09,4.5,0.43,37.79,40.74,0,75.3,64.22,76.58,44.74,53.06,22.14,55.55
1801,2019-20,Kendrick Nunn,24,MIA,1962,Starter,Primary Ball Handler,Point of Attack,0.09,-0.21,-0.51,0.74,0.37,0.55,0.4,-0.47,-0.89,35.41,74.61,26.79,9.95,92.7,90.87,89.71,83.39,40.1,18.12,41.95,0,35.41,34.04,0.12,7.35,0.5,36.84,42.78,0,73.02,88.58,77.56,84.02,55.87,7.74,59.6
1802,2020-21,Kendrick Nunn,25,MIA,1650,Starter,Primary Ball Handler,Point of Attack,0.48,0.3,0.61,-0.45,-0.57,0.14,0.14,0.17,0.84,37.64,85.17,83.17,92.59,55.15,4.22,81.93,78.2,78.58,90.7,88.99,0,37.73,32.4,0.43,7.3,1.64,37.27,48.63,0,96.75,29.28,86.84,83.68,89.59,12.36,70.14
1803,2022-23,Kendrick Nunn,27,LAL/WAS,963,Rotation,Secondary Ball Handler,Point of Attack,0.42,-0.05,-0.33,0.83,0.26,0.55,0.8,-0.29,-0.91,35.73,83.9,47.71,20.29,93.38,87.2,89.71,89.54,52.7,17.38,51.15,0,35.34,35.04,0.39,8.19,0.2,37.85,49.56,0,71.92,97.08,85.8,90.5,41.35,24.48,71.47
1804,2018-19,Yuta Watanabe,24,MEM,174,Garbage Time,Movement Shooter,Helper,-0.69,-0.24,-0.32,-0.56,-0.05,-1.19,-0.82,-0.82,-0.75,34.55,31.14,24.27,21.32,42.37,39.84,27.65,33.88,22.02,22.93,19.93,0,34.11,32.79,-1.02,3.46,-0.3,37.31,31.37,0,35.2,38.29,24.42,30.83,9.6,12.89,39.31
1805,2019-20,Yuta Watanabe,25,MEM,105,Garbage Time,Athletic Finisher,Helper,-0.63,0,-0.13,-0.64,-0.01,-1.37,-1.05,-0.2,-0.11,36.05,35.07,61.14,55.13,32.09,53.08,15.52,9.25,59.72,62.62,64.35,0,34.96,32.89,-0.73,3,0.37,39.12,23.53,0,58.12,42.63,41.44,25.48,50.08,71.97,28.2
1806,2023-24,Yuta Watanabe,29,PHO/MEM,464,Rotation,Movement Shooter,Low Activity,-0.53,-0.38,-0.42,-0.69,-0.09,-1.5,-0.95,-1.27,-1.13,35.03,41.57,15.54,14.36,27.18,30.81,9.97,18.3,9.47,11.14,33.28,0,35.28,33.56,-1.23,6.7,-0.25,36.96,73.28,0,70.8,74.35,10.69,77.2,11.49,8.66,95.29
1807,2020-21,Yuta Watanabe,26,TOR,723,Rotation,Movement Shooter,Helper,-0.33,0.04,-0.05,-0.57,-0.01,-1.37,-0.92,-0.05,-0.03,37.81,54.81,68.44,68.49,40.81,53.08,15.52,22.29,69.46,67.92,90.38,0,37.99,34.1,-0.46,4.56,0.53,37.19,50,0,97.66,89.36,55.64,45.57,57.11,11.35,71.87
1808,2021-22,Yuta Watanabe,27,TOR,445,Garbage Time,Stationary Shooter,Helper,-0.26,-0.05,-0.12,-0.75,-0.05,-1.68,-1.02,-0.31,-0.16,34.8,58.77,47.71,57.22,23.61,39.84,3.18,11.48,51.25,59.45,25.71,0,33.38,32.68,-0.85,6.39,0.49,38.33,57.25,0,23.07,34.88,34.16,72.95,55.35,40.33,82.83
1809,2022-23,Yuta Watanabe,28,BRK,928,Rotation,Stationary Shooter,Helper,0.24,0.53,0.55,-0.76,-0.11,-1.55,-0.98,1.18,1.55,39.02,79.74,88.56,91.42,23.32,27.41,7.15,15.07,95.3,97.37,96.51,0,35.29,33.56,-0.04,5.25,1.16,42.54,58.19,0,70.96,74.35,72.47,56.7,79.5,98.63,83.95
1810,2018-19,Johnathan Williams,23,LAL,372,Rotation,Roll + Cut Big,Mobile Big,-0.93,0,-0.11,-0.96,,,-1.31,-0.12,-0.1,35.71,16.37,61.14,59.47,13.05,,,1.27,65.13,63.2,49.47,0,34.87,32.89,-1.16,0.37,-0.14,37.79,1.82,0,54,42.63,14.96,7.6,16.69,22.14,12.32
1811,2019-20,Johnathan Williams,24,WAS,180,Garbage Time,Athletic Finisher,Mobile Big,-0.98,-0.01,-0.14,-0.95,,,-1.29,-0.25,-0.22,35.71,13.96,57.78,52.06,14.88,,,1.69,56.22,54.8,49.47,0,34.87,32.89,-1.16,0.76,0.21,38.78,5.88,0,54,42.63,14.96,10.72,42.01,52.02,15.72
1812,2018-19,Joe Chealey,23,CHO,8,Too Few Games,Low Minute,Point of Attack,-2.04,,,-0.96,,,,,,36,2.42,,,13.05,,,,,,59.16,0,35,33,,3.1,0.05,38,0,0,59.36,49.31,,26.34,31.3,28.01,0
1813,2019-20,Joe Chealey,24,CHO,33,Too Few Games,Low Minute,Chaser,-0.61,-0.07,-0.2,-0.95,,,-1.01,-0.52,-0.51,35.42,36.27,43.94,35.63,14.88,,,12.26,37.14,35.08,42.17,0,34.87,33,-1.1,4.66,-0.3,38.36,57.14,0,54,49.31,18.95,47.5,9.6,41.23,82.52
1814,2018-19,Emanuel Terry,22,PHO/MIA,23,Too Few Games,Low Minute,Anchor Big,-2.04,,,-0.96,,,,,,36,2.42,,,13.05,,,,,,59.16,0,35,33,,1.79,-0.2,38,0,0,59.36,49.31,,16.39,13.69,28.01,0
1815,2021-22,Emanuel Terry,25,PHO,18,Too Few Games,Low Minute,Anchor Big,-2.09,,,-1.02,,,,,,35,1.61,,,3.54,,,,,,30.54,0,34,33,,2.27,0.03,38,0,0,32.55,49.31,,19.54,29.25,28.01,0
1816,2019-20,Ryan Broekhoff,29,DAL,180,Garbage Time,Off Screen Shooter,Helper,0.41,0.1,-0.05,-0.44,0.01,-1.03,-0.63,0.11,0.13,36.56,83.72,74.52,68.49,56.04,61.13,36.84,48.49,76.5,75.13,74.79,0,35.57,33,-0.23,9.64,0.44,38.88,86.44,0,75.92,49.31,66.13,96.58,53.45,56.63,98.79
