RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,3PT Shooting Talent_percentile,3PT Shot Making_percentile,C&S 3PT Shot Making_percentile,3PT Pull Up Talent_percentile,3PT Pull Up Shot Making_percentile,3PT Pull Up Shot Creation_percentile,3PT Shot Creation_percentile,3PT Shot Making Efficiency_percentile,C&S 3PT Shot Making Efficiency_percentile,Stable FG3%_percentile,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,Stable C&S 3PT%_percentile,Stable ATB 3PT%_percentile,Stable Pull Up 3PT%_percentile,3PT Functional Versatility_percentile,Stable 3PTA Per 75_percentile,Off-Ball Gravity_percentile,Stable Corner 3PT%_percentile,3PT Attempt Rate_percentile
3655,2025-26,Curtis Jones,24,DEN,36,Garbage Time,Low Minute,Point of Attack,0.09,-0.02,-0.15,0.04,-0.01,-0.45,0.24,-0.23,-0.2,35.82,74.61,54.13,48.09,80.75,53.08,64.38,80.29,57.62,56.51,52.96,36.54,34.35,32.68,0.28,15.28,0.28,37.79,66.67,86.98,39.94,34.88,82.96,99.97,45.75,22.14,91.37
3656,2025-26,Miles Kelly,23,DAL,134,Garbage Time,Movement Shooter,Chaser,-0.13,-0.12,-0.24,-1.06,,,-1.01,-0.58,-0.62,35.32,65.44,36.92,30.16,0.46,,,12.26,33.82,28.95,39.84,36.25,33.75,33,-0.8,8.38,-0.24,38.7,75,85.63,28.14,49.31,37.13,91.57,11.87,50.04,95.85
3657,2025-26,Jahmai Mashack,23,MEM,587,Key Rotation,Athletic Finisher,Helper,-1.06,-0.68,-0.58,-0.6,-0.28,-0.51,-0.44,-1.5,-1.25,33.48,10.75,5.3,7.32,37,13.18,62.08,58.43,5.31,8.84,7.3,36.28,34.75,32.57,-1.2,4.63,0,36.53,38.46,85.83,51.08,32.29,12.31,47.05,25.9,5.51,51.21
3658,2025-26,Ryan Nembhard,22,DAL,1102,Rotation,Primary Ball Handler,Point of Attack,-0.33,-0.13,-0.16,-0.05,-0.08,-0.15,0.23,-0.48,-0.38,35.84,54.81,35.69,44.26,78.06,33.07,73.81,80.07,39.45,43.15,53.75,36.92,35.55,33.82,0.06,4.47,1.06,36.86,34.62,89.01,75.47,79.93,75.58,44.39,76.62,7.84,44.83
3659,2025-26,Yanic Konan Niederhauser,22,LAC,424,Rotation,Roll + Cut Big,Mobile Big,-1,-0.02,-0.14,-1.06,,,-1.22,-0.29,-0.3,35.68,12.93,54.13,52.06,0.46,,,3.1,52.7,49.17,48.59,36.68,34.85,33,-1.24,0.62,0.11,37.79,5,87.71,53.25,49.31,9.98,9.89,35.6,22.14,15.23
3660,2025-26,Lachlan Olbrich,22,CHI,282,Garbage Time,Roll + Cut Big,Mobile Big,-0.95,-0.18,-0.3,-0.68,0.02,-1.59,-1.09,-1,-1.13,34.15,15.4,30.23,23.6,28.03,63.81,5.61,7.07,15.98,11.14,13.35,36.68,34.59,33.11,-1.49,2.57,-0.35,37.58,24.68,87.71,45.23,62.76,2.89,21.8,7.97,17.74,29.39
3661,2025-26,Will Richard,23,GSW,1354,Key Rotation,Movement Shooter,Point of Attack,-0.64,-0.42,-0.3,-0.74,-0.34,-0.98,-0.64,-1.04,-0.65,34.83,34.44,13.44,23.6,24.02,10.4,40.13,47.82,14.96,27.34,26.23,37.36,33.81,31.84,-0.8,5.65,0.77,37.51,61.27,92.08,29.01,18.81,37.13,62.43,66.99,16.17,87.32
3662,2025-26,Chris Youngblood,23,OKC/POR,183,Garbage Time,Movement Shooter,Chaser,0.23,-0.06,-0.18,-0.58,-0.01,-1.37,-0.77,-0.54,-0.49,35.51,79.27,45.72,39.4,39.61,53.08,15.52,38.07,36,36.08,44.57,36.22,34.79,32.9,-0.64,10.51,0.33,37.32,85.71,85.54,51.9,46.42,46.35,98.36,48.19,13.12,98.57
3663,2025-26,Drake Powell,20,BRK,1294,Key Rotation,Movement Shooter,Chaser,-0.9,-0.7,-0.7,-0.39,-0.16,-0.44,-0.33,-1.67,-1.65,32.58,17.89,4.77,4.46,60.32,21.91,64.66,63.87,3.55,3.33,2.43,34.24,32.37,32.71,-0.9,5.29,0.03,36,50.84,78.68,16.73,37.12,31.35,57.2,29.25,3.04,74.37
3664,2025-26,Brooks Barnhizer,23,OKC,289,Garbage Time,Stationary Shooter,Helper,-0.68,-0.08,-0.18,-0.52,-0.02,-0.98,-0.67,-0.56,-0.5,35.38,31.75,42.24,39.4,47.49,49.41,40.13,45.74,34.82,35.54,41.2,36.53,34.48,33,-0.87,3.21,0.2,38.11,33.8,86.93,42.72,49.31,32.93,27.56,41.35,34.91,43.5
3665,2025-26,Taelon Peter,23,IND,455,Rotation,Movement Shooter,Chaser,0.02,-0.19,-0.25,-0.24,-0.05,-0.67,-0.45,-0.63,-0.58,34.91,72.07,29.04,29,70.09,39.84,55.55,57.91,31.12,31.29,28.5,35.8,35.35,32.9,-0.42,9.55,0.5,36.16,79.11,82.52,72.06,46.42,57.22,96.31,55.87,3.75,97.25
3666,2025-26,LJ Cryer,24,GSW,292,Rotation,Off Screen Shooter,Chaser,0.96,0.14,-0.05,0.73,0.08,0.08,0.71,0.14,0.06,36.94,91.94,76.86,68.49,92.62,76.32,80.2,88.32,77.48,72.37,80.69,37.1,37.03,33.11,1.03,11.71,0.97,37.92,80.34,90.7,93.9,62.76,95.93,99.46,73.87,26.15,97.53
3667,2025-26,Chris Manon,24,LAL,37,Garbage Time,Low Minute,Point of Attack,-0.81,-0.03,-0.17,-1.06,,,-1.14,-0.36,-0.38,35.56,23.46,51.8,41.74,0.46,,,5.19,47.7,43.15,45.65,36.86,34.74,33,-1.28,3.91,-0.15,38,50,88.59,49.69,49.31,7.95,36.23,15.94,28.01,71.87
3668,2018-19,Vince Carter,42,ATL,1330,Rotation,Movement Shooter,Helper,0.94,0.7,0.57,0.09,0.18,-0.5,-0.32,1.03,1.04,37.65,91.6,91.33,91.86,82.08,83.91,62.55,64.29,94.03,93.34,89.08,0,36.06,33.52,0.24,8.2,1.53,39.91,67.52,0,85.47,73.54,81.98,90.57,87.53,86.13,92.19
3669,2019-20,Vince Carter,43,ATL,876,Rotation,Movement Shooter,Helper,-0.16,-0.34,-0.53,-0.08,0.15,-0.93,-0.46,-1,-1.32,33.36,63.86,17.66,9.06,76.83,82.08,42.94,57.47,15.98,7.37,6.35,0,33.06,33.53,-0.81,8.04,-0.15,37.65,66.45,0,20.36,73.72,36.67,89.64,15.94,19.44,91.25
3670,2015-16,Vince Carter,39,MEM,1005,Rotation,Movement Shooter,Helper,0.24,0.07,-0.04,-0.06,0.04,-0.4,-0.24,0,-0.03,34.96,79.74,71.91,69.53,77.66,68.81,66.13,67.54,71.74,67.92,29.52,0,34.93,31.15,-0.08,6.32,0.66,37.63,49.27,0,57.35,12.38,71.29,71.97,62.59,19.1,71.12
3671,2016-17,Vince Carter,40,MEM,1800,Starter,Movement Shooter,Helper,0.8,0.71,0.71,-0.18,-0.08,-0.56,-0.3,0.85,1.1,37.01,90.05,91.44,94.05,73.12,33.07,60.21,65.2,92,93.92,82.43,0,36.66,32.58,0.63,6.43,0.68,38,60.41,0,91.47,32.9,90.58,73.54,63.29,28.01,86.35
3672,2017-18,Vince Carter,41,SAC,1026,Key Rotation,Movement Shooter,Low Activity,0.11,0.13,0.24,-0.67,-0.28,-1.16,-0.59,0.07,0.55,35.41,75.36,76.19,84.12,28.99,13.18,29.31,50.94,74.81,86.06,41.95,0,35.09,31.6,-0.21,6.15,0.95,37.96,58.3,0,66.29,16.23,66.93,69.66,73.07,27.09,84.05
3673,2015-16,Dirk Nowitzki,37,DAL,2364,Starter,Versatile Big,Helper,0.36,0.42,0.39,-0.56,0.04,-1.83,-0.9,0.37,0.39,36.08,82.62,86.47,88.18,42.37,68.81,1.01,24.61,83.86,82.76,65.13,0,36.43,30.97,-0.55,5.5,1.89,36.59,30.76,0,89.54,7.35,51.29,60.23,92.99,5.89,38.09
3674,2016-17,Dirk Nowitzki,38,DAL,1424,Key Rotation,Versatile Big,Helper,0.2,0.32,0.47,-1.02,-0.41,-1.84,-0.88,0.27,0.68,36.83,78.45,83.79,90.03,3.54,8.08,0.86,27.04,81.1,88.73,78.86,0,36.16,32.17,-0.6,5.57,0.31,38.96,30.83,0,86.61,25.34,48.58,61.27,47.26,58.83,38.28
3675,2017-18,Dirk Nowitzki,39,DAL,1900,Key Rotation,Versatile Big,Helper,1.13,1.12,1.25,-0.95,-0.18,-2.24,-0.92,1.44,1.76,38.88,93.57,95.57,98.1,14.88,19.91,0.02,22.29,97.17,98.23,95.94,0,37.88,32.4,-0.07,6.65,1.71,40.2,44.46,0,97.34,29.28,71.6,76.42,90.69,89.36,62.73
3676,2018-19,Dirk Nowitzki,40,DAL,795,Rotation,Versatile Big,Helper,-0.11,-0.39,-0.51,-0.56,0.01,-1.8,-0.91,-0.89,-0.96,33.81,66.66,14.96,9.95,42.37,61.13,1.35,23.58,19.42,15.43,10.01,0,33.37,33.12,-1.26,9.37,0.6,37.51,54.52,0,22.88,64.22,8.85,95.58,60.09,16.17,79.93
3677,2015-16,Paul Pierce,38,LAC,1230,Rotation,Shot Creator,Helper,-0.2,-0.45,-0.56,-0.36,0.03,-1.2,-0.67,-0.86,-0.96,33,61.88,12.19,7.9,62.76,66.13,26.68,45.74,20.28,15.43,4.03,0,33.71,30.89,-0.82,7.4,-0.16,35.9,60.96,0,27.46,5.71,36.09,84.41,15.45,2.56,86.97
3678,2016-17,Paul Pierce,39,LAC,277,Garbage Time,Stationary Shooter,Helper,-0.07,0.02,-0.04,-0.67,-0.1,-1.61,-0.84,-0.1,0.15,35.83,68.28,65.69,69.53,28.99,29.23,5.12,31.86,66.47,75.88,53.55,0,34.48,32.68,-0.54,5.75,0.8,39.68,61.43,0,42.72,34.88,51.84,63.84,68.09,83.27,87.45
3679,2015-16,Nazr Mohammed,38,OKC,19,Too Few Games,Low Minute,Anchor Big,-1.61,,,-0.93,,,,,,35,6.11,,,16.71,,,,,,30.54,0,35,31,,1.54,0.1,38,0,0,59.36,7.61,,14.98,34.85,28.01,0
3680,2015-16,Elton Brand,36,PHI,225,Garbage Time,Roll + Cut Big,Anchor Big,-0.77,0,-0.14,-0.93,,,-1.3,-0.09,-0.13,34.86,25.76,61.14,52.06,16.71,,,1.61,67.16,61.26,26.9,0,35,31,-1.07,0.38,-0.11,37.79,1.39,0,59.36,7.61,20.89,7.75,18.33,22.14,11.64
3681,2015-16,Andre Miller,39,MIN/SAS,461,Garbage Time,Shot Creator,Point of Attack,-0.67,0.04,-0.08,-0.58,0,-1.51,-1.17,-0.02,0.02,34.68,32.46,68.44,64.54,39.61,57.95,9.45,4.48,70.71,70.54,22.62,0,34.84,30.6,-0.85,0.8,0.63,37.79,7.55,0,52.9,2.96,34.16,10.94,61.41,22.14,16.66
3682,2015-16,Jason Terry,38,HOU,1258,Rotation,Movement Shooter,Chaser,0.14,-0.19,-0.38,0.15,0.17,-0.35,-0.37,-0.43,-0.66,35.33,76.73,29.04,16.67,83.6,83.26,67.65,61.82,42.91,26.83,39.99,0,34.9,31.41,-0.64,7.62,0.37,37.51,69.41,0,56.78,14.71,46.35,86.29,50.08,16.17,93.04
3683,2016-17,Jason Terry,39,MIL,1365,Rotation,Movement Shooter,Chaser,0.3,0.44,0.27,-0.19,0.15,-1.03,-0.59,0.75,0.67,38.77,81.23,86.78,85.09,72.63,82.08,36.84,50.94,90.64,88.6,95.49,0,37.97,33.43,0.06,4.85,0.91,38.68,70.37,0,97.63,71.41,75.58,50.45,71.92,49.69,93.69
3684,2017-18,Jason Terry,40,MIL,814,Rotation,Movement Shooter,Chaser,-0.42,-0.24,-0.31,-0.47,-0.03,-1.02,-0.76,-0.78,-0.79,35.61,49.42,24.27,22.51,53.28,45.89,37.39,38.79,23.74,21.26,47.22,0,34.19,32.9,-0.75,5.27,0.49,39.07,74.68,0,36.83,46.42,40.24,56.97,55.35,71.25,95.72
3685,2015-16,Metta World Peace,36,LAL,590,Rotation,Shot Creator,Wing Stopper,-0.1,-0.18,-0.26,-0.24,-0.01,-1.04,-0.38,-0.45,-0.48,33.96,66.98,30.23,28.01,70.09,53.08,36.21,61.12,41.6,36.71,11.34,0,34.22,30.89,-0.54,5.51,-0.19,37.1,47.46,0,37.35,5.71,51.84,60.34,14.12,10.12,68.13
3686,2016-17,Metta World Peace,37,LAL,160,Garbage Time,Shot Creator,Helper,0.23,-0.13,-0.23,-0.23,-0.02,-0.59,-0.12,-0.78,-0.71,34.33,79.27,35.69,31.33,70.57,49.41,58.69,71.44,23.74,24.65,16.07,0,34.18,32.68,-0.55,8.58,-0.1,37.8,55.88,0,36.69,34.88,51.29,92.53,18.94,23.56,81.4
3687,2015-16,Manu Ginobili,38,SAS,1134,Key Rotation,Secondary Ball Handler,Chaser,0.54,0.31,0.38,-0.02,-0.22,-0.1,0.23,0.4,0.81,36.74,86.21,83.48,88,78.93,16.87,75.35,80.07,84.46,90.34,77.54,0,35.65,30.66,0.47,5.89,1.22,39.9,41.15,0,77.51,3.46,87.56,65.82,81.06,85.84,56.18
3688,2016-17,Manu Ginobili,39,SAS,1291,Key Rotation,Secondary Ball Handler,Chaser,0.64,0.42,0.14,0.54,0.35,0.16,0.25,0.56,0.31,37.55,88.12,86.47,80.53,90.62,90.36,82.35,80.54,87.41,80.55,88.16,0,37.45,33.89,0.48,6.43,0.87,37.53,51.71,0,95.62,81.29,87.87,73.54,70.68,16.88,75.66
3689,2017-18,Manu Ginobili,40,SAS,1299,Rotation,Secondary Ball Handler,Low Activity,-0.1,-0.25,-0.15,-0.04,-0.28,0.07,0.47,-0.69,-0.38,34.82,66.98,23.5,48.09,78.45,13.18,79.9,84.53,27.98,43.15,26.06,0,34.4,31.63,-0.09,5.52,0.8,37.99,41.47,0,41.2,16.54,70.98,60.49,68.09,27.9,56.78
3690,2015-16,Andrea Bargnani,30,BRK,634,Rotation,Athletic Finisher,Mobile Big,-0.68,-0.1,-0.21,-0.93,,,-0.89,-0.47,-0.55,33.99,31.75,39.43,34.25,16.71,,,25.88,40.1,32.97,11.58,0,34.09,31,-1.2,1.03,-0.24,38,5.73,0,34.68,7.61,12.31,12.16,11.87,28.01,15.68
3691,2015-16,LaMarcus Aldridge,30,SAS,2261,Star,Post Scorer,Helper,-0.9,-0.25,-0.34,-0.48,0.03,-1.24,-0.93,-0.94,-1.01,32.83,17.89,23.5,19.47,52.27,66.13,23.07,20.89,17.79,13.82,3.37,0,34.12,30.9,-1.09,0.3,0.23,36.19,1.53,0,35.57,5.87,19.67,6.87,43.26,3.9,11.86
3692,2016-17,LaMarcus Aldridge,31,SAS,2335,Star,Post Scorer,Helper,-0.5,0.17,0.09,-0.6,0.06,-1.88,-0.94,0.23,0.21,36.95,43.79,78.2,78.66,37,73.43,0.63,19.35,80.14,77.82,80.9,0,35.48,33.11,-0.42,0.96,0.58,39.51,5.34,0,74.39,62.76,57.22,11.78,59.34,80.52,15.43
3693,2017-18,LaMarcus Aldridge,32,SAS,2509,Star,Post Scorer,Anchor Big,-0.94,-0.26,-0.36,-0.61,0.04,-1.7,-0.88,-0.81,-0.94,34.17,15.83,22.71,18.04,35.71,68.81,2.66,27.04,22.51,16.23,13.69,0,32.9,32.9,-1.17,1.44,0.75,39.7,6.83,0,19.23,46.42,14.42,14.42,66.28,83.66,16.3
3694,2018-19,LaMarcus Aldridge,33,SAS,2687,Star,Post Scorer,Anchor Big,-0.86,-0.13,-0.17,-0.48,-0.06,-0.87,-0.65,-0.69,-0.61,34.2,20.65,35.69,41.74,52.27,36.82,45.76,47.08,27.98,29.53,14.16,0,33.6,32.47,-1.13,0.6,0.35,37.72,3.18,0,25.74,30.18,16.78,9.65,49.27,20.61,13.74
3695,2019-20,LaMarcus Aldridge,34,SAS,1754,Star,Post Scorer,Anchor Big,-0.13,0.33,0.13,-0.15,0.26,-1.06,-0.77,0.38,0.17,37.12,65.44,84.13,80.13,74.19,87.2,35.24,38.07,84,76.52,83.99,0,36.31,33.54,-0.55,3.29,0.79,38.85,19.8,0,88.46,73.9,51.29,28.85,67.65,56.15,24.79
3696,2020-21,LaMarcus Aldridge,35,SAS/BRK,674,Key Rotation,Post Scorer,Anchor Big,-0.23,0.16,0.03,-0.51,0.04,-1.36,-0.91,0.03,0.01,37.43,60.43,77.77,75.17,48.85,68.81,16.09,23.58,73.32,69.99,87.09,0,36.48,34.1,-0.79,4.35,0.34,39.08,27.03,0,90.04,89.36,37.82,42.53,48.78,71.41,32.55
3697,2021-22,LaMarcus Aldridge,36,BRK,1050,Rotation,Post Scorer,Mobile Big,-0.93,-0.13,-0.2,-0.72,-0.03,-1.55,-1.05,-0.56,-0.49,34.27,16.37,35.69,35.63,24.93,45.89,7.15,9.25,34.82,36.08,15.23,0,33.71,32.89,-1.18,1.65,0.19,37.32,10.04,0,27.46,42.63,13.76,15.71,40.57,13.12,18.29
3698,2015-16,Randy Foye,32,DEN/OKC,1641,Rotation,Secondary Ball Handler,Chaser,-0.5,-0.8,-0.98,0.42,0.11,0.26,0.36,-1.5,-2,32.46,43.79,3.45,1.08,88.9,79.21,84.27,82.63,5.31,1.41,2.17,0,32.93,31.43,-0.82,5.79,0,35.93,51.87,0,19.35,14.84,36.09,64.31,25.9,2.66,75.91
3699,2016-17,Randy Foye,33,BRK,1284,Key Rotation,Secondary Ball Handler,Chaser,-0.19,-0.43,-0.34,-0.01,-0.29,0.39,0.64,-0.96,-0.74,34.64,62.32,13.11,19.47,79.23,12.59,86.65,87.16,17.21,23.24,21.81,0,33.52,32.6,-0.37,5.63,0.17,39.53,62.46,0,24.97,33.87,59.82,62.2,39.42,80.87,88.2
3700,2015-16,Rudy Gay,29,SAC,2379,Starter,Shot Creator,Wing Stopper,-0.38,-0.22,-0.45,0.18,0.26,-0.18,-0.28,-0.44,-0.71,34.73,52.18,25.84,12.64,84.24,87.2,73.05,65.94,42.38,24.65,24.44,0,34.08,31.34,-0.54,3.26,0.4,38.34,21.35,0,34.4,14.2,51.84,28.24,51.79,40.54,26.17
3701,2016-17,Rudy Gay,30,SAC,1013,Star,Shot Creator,Wing Stopper,0.25,0.4,0.33,-0.22,-0.05,-0.56,-0.26,0.3,0.44,36.37,80.09,85.93,86.64,71.23,39.84,60.21,66.87,81.88,83.75,71.28,0,35.6,32.92,0,4.22,0.96,38.71,25.57,0,76.54,48.16,73.8,40.49,73.54,50.87,30.69
3702,2017-18,Rudy Gay,31,SAS,1231,Key Rotation,Shot Creator,Helper,-0.56,-0.24,-0.36,-0.19,0.05,-0.59,-0.43,-0.73,-0.9,34.48,39.39,24.27,18.04,72.63,71.3,58.69,58.9,26.04,17.68,18.68,0,34.12,32.72,-0.79,3.66,0.32,37.89,21.97,0,35.57,37.37,37.82,32.84,47.65,25.54,26.75
3703,2018-19,Rudy Gay,32,SAS,1842,Star,Shot Creator,Wing Stopper,0.12,0.47,0.15,0.21,0.47,-0.65,-0.58,0.7,0.25,37.82,75.78,87.32,80.73,85,92.75,56.37,51.56,89.74,78.96,90.44,0,35.5,34.33,-0.19,3.7,0.52,40.41,24.66,0,74.69,92.8,67.47,33.4,56.7,91.16,29.36
3704,2019-20,Rudy Gay,33,SAS,1461,Key Rotation,Shot Creator,Helper,-0.39,-0.23,-0.58,0.25,0.43,-0.5,-0.54,-0.66,-1.26,34.88,51.35,25.19,7.32,85.95,92.3,62.55,53.59,29.56,8.64,28,0,34.93,34.52,-0.82,5.33,-0.39,36.86,36.91,0,57.35,94.43,36.09,57.83,6.96,7.84,48.5
3705,2020-21,Rudy Gay,34,SAS,1358,Key Rotation,Movement Shooter,Wing Stopper,0.42,0.35,0.28,-0.12,0.03,-0.51,-0.39,0.41,0.47,37.6,83.9,84.71,85.31,75.2,66.13,62.08,60.65,84.6,84.32,88.56,0,37.82,33.82,-0.1,7.45,1.19,37,44.27,0,97.11,79.93,70.64,84.83,80.31,9.26,62.21
3706,2021-22,Rudy Gay,35,UTA,1038,Rotation,Movement Shooter,Helper,0.15,0.1,-0.07,-0.08,0.12,-0.75,-0.41,0.03,-0.1,34.76,77.01,74.52,66.04,76.83,80.05,51.83,59.68,73.32,63.2,25,0,33.85,33.04,-0.34,7.27,0.6,37.67,53.56,0,29.67,62.11,61.18,83.41,60.09,19.94,78.57
3707,2022-23,Rudy Gay,36,UTA,816,Rotation,Shot Creator,Helper,-0.85,-0.67,-0.79,-0.43,-0.01,-1.22,-0.72,-1.95,-2.18,32.3,21.45,5.5,3.17,56.89,53.08,24.99,42.4,1.69,0.79,1.63,0,31.97,33.86,-1.27,5.72,-0.62,37.42,45.3,0,15.39,80.4,8.29,63.4,3.08,14.84,64.31
3708,2015-16,JJ Redick,31,LAC,2097,Starter,Off Screen Shooter,Chaser,3.02,2.85,2.75,0.44,0.48,-1.35,-0.39,2.86,3.24,42.93,99.51,99.78,99.91,89.34,92.94,16.74,60.65,99.85,99.93,99.91,0,40.89,32.63,1.87,7.46,4.65,43.52,47.84,0,99.93,34.26,99.75,84.92,99.85,99.55,68.89
3709,2016-17,JJ Redick,32,LAC,2198,Starter,Off Screen Shooter,Chaser,2.43,2.2,1.72,0.99,0.96,-1.43,-0.33,2.14,2.11,40.58,98.85,99.4,99.32,94.35,96.86,13.33,63.87,99.37,98.96,99.18,0,39.41,34.42,1.53,7.93,3.74,40.95,52.58,0,99.44,93.58,99.07,88.73,99.56,94.36,76.93
3710,2019-20,JJ Redick,35,NOP,1581,Key Rotation,Off Screen Shooter,Low Activity,2.92,2.59,1.8,1.61,1.4,-1,-0.2,2.96,2.7,41.8,99.41,99.64,99.43,97.02,98.46,38.61,68.92,99.91,99.67,99.77,0,39.92,35.88,2.1,8.61,4.53,42.64,62.92,0,99.68,98.93,99.89,92.67,99.83,98.74,88.6
3711,2017-18,JJ Redick,33,PHI,2116,Starter,Off Screen Shooter,Chaser,2.48,2.07,1.91,0.72,0.41,-0.77,0,1.96,2.39,39.9,98.97,99.15,99.52,92.55,91.8,50.91,74.61,99.04,99.49,98.38,0,38.54,33.55,1.34,7.79,2.87,41.38,52.33,0,98.66,74.2,98.35,87.68,98.56,96.01,76.51
3712,2018-19,JJ Redick,34,PHI,2379,Key Rotation,Off Screen Shooter,Low Activity,2.33,2.04,1.76,0.97,0.8,-1.45,-0.35,1.75,2.07,38.62,98.68,99.11,99.41,94.16,95.87,12.25,62.93,98.33,98.92,94.87,0,37.66,34.07,1.07,8.92,2.75,39.55,58.91,0,96.54,88.82,96.35,94.11,98.1,81.14,84.79
3713,2020-21,JJ Redick,36,NOP/DAL,723,Rotation,Off Screen Shooter,Low Activity,0.45,0.21,0.04,0.15,0.12,-1.25,-0.38,0.22,0.14,37.03,84.56,79.92,75.81,83.6,80.05,22.35,61.12,79.91,75.43,82.65,0,36.04,34.34,0.75,8.81,2.29,39.35,66.67,0,85.22,92.91,92.49,93.69,96.07,77.82,91.37
3714,2015-16,Thabo Sefolosha,31,ATL,1758,Key Rotation,Stationary Shooter,Wing Stopper,-0.68,-0.33,-0.44,-0.42,0.04,-1.21,-0.82,-0.88,-0.99,34.71,31.75,18.24,13.14,57.74,68.81,25.85,33.88,19.71,14.53,23.47,0,32.98,31.07,-1.15,2.67,-0.15,39.51,33.15,0,19.64,11.77,15.64,22.74,15.94,80.52,41.94
3715,2016-17,Thabo Sefolosha,32,ATL,1596,Key Rotation,Movement Shooter,Wing Stopper,-0.69,-0.28,-0.32,-0.53,-0.06,-1.19,-0.84,-0.71,-0.66,35.39,31.14,21.09,21.32,46.34,36.82,27.65,31.86,27.19,26.83,41.36,0,35,32.68,-0.79,2.83,-0.03,37.58,30.38,0,59.36,34.88,37.82,24.11,23.87,17.74,37.5
3716,2019-20,Thabo Sefolosha,35,HOU,436,Garbage Time,Stationary Shooter,Helper,-0.61,-0.24,-0.33,-0.51,-0.01,-1.14,-0.84,-1.09,-1.1,34.5,36.27,24.27,20.29,48.85,53.08,30.54,31.86,13.51,11.8,19.03,0,33.17,33,-1.31,4.33,-0.18,39.31,59.34,0,21.3,49.31,6.64,42.2,14.61,76.37,85.29
3717,2017-18,Thabo Sefolosha,33,UTA,806,Rotation,Stationary Shooter,Wing Stopper,-0.51,-0.18,-0.3,-0.37,0.04,-0.82,-0.72,-0.56,-0.68,36.54,43.21,30.23,23.6,62,68.81,48.12,42.4,34.82,25.82,74.27,0,34.25,33.22,-0.9,3.97,0.54,40.35,35,0,38.16,66.07,31.35,37.19,57.52,90.63,45.55
3718,2018-19,Thabo Sefolosha,34,UTA,609,Rotation,Stationary Shooter,Low Activity,-0.09,0.18,0.02,-0.39,0.08,-1.32,-0.82,0.37,0.27,37.85,67.5,78.65,74.46,60.32,76.32,18.26,33.88,83.86,79.58,90.59,0,35.71,33.43,-0.5,4.68,0.67,39.38,52.35,0,78.38,71.41,53.71,47.99,62.95,78.66,76.6
3719,2020-21,Rajon Rondo,34,ATL/LAC,769,Rotation,Primary Ball Handler,Chaser,0.09,0.1,-0.02,0.24,0.04,0.33,0.77,0.08,0.07,37.93,74.61,74.52,71.34,85.77,68.81,85.7,89.08,75.23,72.75,91.06,0,36.66,34.6,0.15,4.34,0.65,39.69,41.4,0,91.47,95.08,78.69,42.36,62.1,83.44,56.63
3720,2018-19,Rajon Rondo,32,LAL,1369,Starter,Primary Ball Handler,Chaser,-0.11,-0.11,-0.38,0.55,0.28,0.6,0.94,-0.31,-0.73,35.97,66.66,38.07,16.67,90.76,87.96,90.45,90.97,51.25,23.66,58.29,0,35.95,34.22,-0.02,3.66,0.42,36.47,32.87,0,83.04,91.25,73.09,32.84,52.67,5.15,41.46
3721,2019-20,Rajon Rondo,33,LAL,984,Key Rotation,Primary Ball Handler,Chaser,-0.36,-0.4,-0.21,-0.25,-0.44,0.35,0.73,-1.08,-0.52,34.91,53.35,14.42,34.25,69.53,7.28,86.06,88.61,13.64,34.53,28.5,0,34.28,32.49,-0.46,4.62,0.75,38.45,38.11,0,38.66,31.16,55.64,46.81,66.28,43.38,50.61
3722,2017-18,Rajon Rondo,31,NOP,1705,Key Rotation,Primary Ball Handler,Point of Attack,-0.95,-0.69,-0.89,0.15,0.14,-0.09,0.06,-1.52,-2.04,34.98,15.4,5.02,1.67,83.6,81.51,75.66,76.19,5.02,1.21,30.01,0,35.63,34.09,-0.81,3.14,0.42,36,30.36,0,77.21,89.15,36.67,26.66,52.67,3.04,37.45
3723,2015-16,Rajon Rondo,29,SAC,2537,Starter,Slasher,Point of Attack,-0.32,-0.16,-0.28,0.11,0.1,0.08,0.19,-0.39,-0.55,35.61,55.52,32.43,25.93,82.58,78.28,80.2,79.34,45.36,32.97,47.22,0,34.34,31.69,-0.15,2.4,0.95,39.33,21.74,0,39.68,16.89,68.87,20.55,73.07,76.66,26.55
3724,2016-17,Rajon Rondo,30,CHI,1843,Starter,Slasher,Point of Attack,-0.45,-0.14,-0.01,-0.58,-0.38,-0.28,-0.28,-0.46,-0.03,36.56,47.12,34.55,72.17,39.61,9.03,70.01,65.94,40.81,67.92,74.79,0,34.57,32.2,-0.42,2.73,1.11,39.92,23.71,0,44.87,25.83,57.22,23.19,78.01,86.46,28.45
