provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_team,away_team,over_odds,under_odds,updated_at,period,event_date,question
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-94,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,94.5,LAL,HOU,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 94.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-118,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,118.5,LAL,HOU,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 118.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-115,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,115.5,LAL,HOU,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 115.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-112,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,112.5,LAL,HOU,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 112.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-109,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,109.5,LAL,HOU,178,-178,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 109.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-106,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,106.5,LAL,HOU,122,-122,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 106.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-103,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,103.5,LAL,HOU,-117,117,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 103.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-100,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,100.5,LAL,HOU,-167,167,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 100.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-98,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,98.5,DET,ORL,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 98.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-95,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,95.5,DET,ORL,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 95.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-119,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,119.5,DET,ORL,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 119.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-116,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,116.5,DET,ORL,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 116.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-113,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,113.5,DET,ORL,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 113.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-110,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,110.5,DET,ORL,167,-167,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 110.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-107,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,107.5,DET,ORL,115,-115,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 107.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-104,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,104.5,DET,ORL,-127,127,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 104.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22ORLDET,KXNBA2HTOTAL-26APR22ORLDET-101,nba,Orlando vs Detroit: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,101.5,DET,ORL,-186,186,2026-04-20T14:35:00.791435Z,,2026-04-23T02:00:00Z,"If the teams in the game collectively score more than 101.5 points in the 2nd Half of the Orlando vs Detroit professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HSPREAD-26APR22PHXOKC,KXNBA2HSPREAD-26APR22PHXOKC-PHX9,nba,Will Phoenix win the 2H by over 9.5 points?,kalshi,Kalshi,prediction_market,nba,game_winner,winner,,9.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If Phoenix wins the 2nd Half by more than 9.5 points in the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HSPREAD-26APR22PHXOKC,KXNBA2HSPREAD-26APR22PHXOKC-PHX6,nba,Will Phoenix win the 2H by over 6.5 points?,kalshi,Kalshi,prediction_market,nba,game_winner,winner,,6.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If Phoenix wins the 2nd Half by more than 6.5 points in the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HSPREAD-26APR22PHXOKC,KXNBA2HSPREAD-26APR22PHXOKC-PHX3,nba,Will Phoenix win the 2H by over 3.5 points?,kalshi,Kalshi,prediction_market,nba,game_winner,winner,,3.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If Phoenix wins the 2nd Half by more than 3.5 points in the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HSPREAD-26APR22PHXOKC,KXNBA2HSPREAD-26APR22PHXOKC-PHX24,nba,Will Phoenix win the 2H by over 24.5 points?,kalshi,Kalshi,prediction_market,nba,game_winner,winner,,24.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If Phoenix wins the 2nd Half by more than 24.5 points in the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
