poll_id,sport,content_text,market_family,poll_player_name,poll_stat,poll_line,poll_home_team,poll_away_team,book,book_display_name,book_category,book_player_name,book_stat,book_line,book_home_team,book_away_team,book_over_odds,book_under_odds,updated_at,match_score,match_reasons
341459,mlb,Gleyber Torres · 0.5 hits + runs + RBIs,player_over_under,gleyber torres,hitsrunsrbis,0.5,bos,det,kalshi,Kalshi,prediction_market,gleyber torres,hitsrunsrbis,2.5,bos,det,102,-102,2026-04-20T13:03:00.790465+00:00,105.0,sport+market | same game | same player | same stat | line diff=2.00 | two-way odds
341459,mlb,Gleyber Torres · 0.5 hits + runs + RBIs,player_over_under,gleyber torres,hitsrunsrbis,0.5,bos,det,kalshi,Kalshi,prediction_market,gleyber torres,hitsrunsrbis,3.5,bos,det,102,-102,2026-04-20T13:03:00.790465+00:00,105.0,sport+market | same game | same player | same stat | line diff=3.00 | two-way odds
341459,mlb,Gleyber Torres · 0.5 hits + runs + RBIs,player_over_under,gleyber torres,hitsrunsrbis,0.5,bos,det,kalshi,Kalshi,prediction_market,gleyber torres,hitsrunsrbis,4.5,bos,det,102,-102,2026-04-20T13:03:00.790465+00:00,105.0,sport+market | same game | same player | same stat | line diff=4.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,4.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,120.0,sport+market | same game | same player | same stat | line diff=0.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,5.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,110.0,sport+market | same game | same player | same stat | line diff=1.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,3.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,110.0,sport+market | same game | same player | same stat | line diff=1.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,6.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,105.0,sport+market | same game | same player | same stat | line diff=2.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,2.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,105.0,sport+market | same game | same player | same stat | line diff=2.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,7.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,105.0,sport+market | same game | same player | same stat | line diff=3.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,8.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,105.0,sport+market | same game | same player | same stat | line diff=4.00 | two-way odds
341458,mlb,Sonny Gray · 4.5 Ks,player_over_under,sonny gray,strikeouts,4.5,bos,det,kalshi,Kalshi,prediction_market,sonny gray,strikeouts,9.5,bos,det,19900,-19900,2026-04-20T01:43:00.790904+00:00,105.0,sport+market | same game | same player | same stat | line diff=5.00 | two-way odds
