Source Site: DraftKings
Coverage: 3 game(s)
Selected Slates:
  29272 | Classic | 2026-04-20 19:00:00 | 3/3 game(s)

Gabe Vincent: Adjusted RTG = 316.47, Adjusted FP = 42.24, Base FP = 10.56, Multiplier = 4.000, Rating = 79.12, Salary = $3200, Team = ATL, Pos = PG/G/UTIL
Jonas Valanciunas: Adjusted RTG = 591.84, Adjusted FP = 39.66, Base FP = 10.72, Multiplier = 3.700, Rating = 159.96, Salary = $3200, Team = DEN, Pos = C/UTIL
Jordan Clarkson: Adjusted RTG = 332.89, Adjusted FP = 38.52, Base FP = 9.63, Multiplier = 4.000, Rating = 83.22, Salary = $3200, Team = NYK, Pos = SG/SF/G/F/UTIL
Mouhamed Gueye: Adjusted RTG = 184.70, Adjusted FP = 37.60, Base FP = 9.40, Multiplier = 4.000, Rating = 46.18, Salary = $3500, Team = ATL, Pos = PF/F/C/UTIL
Dennis Schroder: Adjusted RTG = 500.03, Adjusted FP = 33.43, Base FP = 11.94, Multiplier = 2.800, Rating = 178.58, Salary = $3400, Team = CLE, Pos = PG/G/UTIL
Mike Conley: Adjusted RTG = 537.74, Adjusted FP = 31.12, Base FP = 7.78, Multiplier = 4.000, Rating = 134.43, Salary = $3100, Team = MIN, Pos = PG/G/UTIL
Jaylon Tyson: Adjusted RTG = 86.93, Adjusted FP = 25.72, Base FP = 10.29, Multiplier = 2.500, Rating = 34.77, Salary = $3300, Team = CLE, Pos = SF/PF/F/UTIL
Kyle Anderson: Adjusted RTG = 341.56, Adjusted FP = 25.48, Base FP = 6.37, Multiplier = 4.000, Rating = 85.39, Salary = $3300, Team = MIN, Pos = PF/F/C/UTIL
Spencer Jones: Adjusted RTG = 23.96, Adjusted FP = 23.24, Base FP = 5.81, Multiplier = 4.000, Rating = 5.99, Salary = $3100, Team = DEN, Pos = PF/F/UTIL
Bones Hyland: Adjusted RTG = 84.00, Adjusted FP = 18.80, Base FP = 5.08, Multiplier = 3.700, Rating = 22.70, Salary = $3400, Team = MIN, Pos = PG/SG/G/UTIL
Tim Hardaway: Adjusted RTG = 0.00, Adjusted FP = 17.24, Base FP = 17.24, Multiplier = 1.000, Rating = 0.00, Salary = $4000, Team = DEN, Pos = SG/SF/G/F/UTIL
Zaccharie Risacher: Adjusted RTG = 504.26, Adjusted FP = 7.70, Base FP = 2.20, Multiplier = 3.500, Rating = 144.07, Salary = $3100, Team = ATL, Pos = SG/SF/G/F/UTIL
KJ Simpson: Adjusted RTG = 214.48, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 53.62, Salary = $3000, Team = DEN, Pos = PG/G/UTIL
Dillon Jones: Adjusted RTG = 137.65, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 34.41, Salary = $3000, Team = NYK, Pos = C/UTIL
Zyon Pullin: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = MIN, Pos = PG/G/UTIL
Terrence Shannon: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 1.000, Rating = 0.00, Salary = $3000, Team = MIN, Pos = SG/SF/G/F/UTIL
Alijah Martin: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = TOR, Pos = SG/G/UTIL
Jamison Battle: Adjusted RTG = 273.18, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 68.30, Salary = $3000, Team = TOR, Pos = PF/F/UTIL
Nae'Qwan Tomlin: Adjusted RTG = 1.29, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.32, Salary = $3000, Team = CLE, Pos = PF/F/UTIL
Jonathan Mogbo: Adjusted RTG = 364.86, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 91.21, Salary = $3000, Team = TOR, Pos = PF/F/C/UTIL
Curtis Jones: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = DEN, Pos = PG/G/UTIL
Chucky Hepburn: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = TOR, Pos = PG/G/UTIL
Enrique Freeman: Adjusted RTG = 35.15, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 8.79, Salary = $3000, Team = MIN, Pos = PF/F/C/UTIL
Asa Newell: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = ATL, Pos = PF/F/C/UTIL
Rocco Zikarsky: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = MIN, Pos = C/UTIL
Pacome Dadiet: Adjusted RTG = 22.40, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 5.60, Salary = $3000, Team = NYK, Pos = SG/SF/G/F/UTIL
Joan Beringer: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = MIN, Pos = C/UTIL
Mohamed Diawara: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = NYK, Pos = PF/F/C/UTIL
Riley Minix: Adjusted RTG = 0.60, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.15, Salary = $3000, Team = CLE, Pos = SF/F/UTIL
Kevin McCullar: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 1.000, Rating = 0.00, Salary = $3000, Team = NYK, Pos = SF/F/UTIL
Ariel Hukporti: Adjusted RTG = 43.23, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 10.81, Salary = $3000, Team = NYK, Pos = C/UTIL
Keshon Gilbert: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = ATL, Pos = PG/G/UTIL
Tyler Kolek: Adjusted RTG = 95.89, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 23.97, Salary = $3000, Team = NYK, Pos = PG/G/UTIL
Peyton Watson: Adjusted RTG = 260.15, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 2.400, Rating = 108.40, Salary = $4200, Team = DEN, Pos = SF/PF/F/UTIL
Tristan Enaruna: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = CLE, Pos = SF/F/UTIL
Olivier Sarr: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = CLE, Pos = C/UTIL
Garrett Temple: Adjusted RTG = 58.97, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 14.74, Salary = $3000, Team = TOR, Pos = SG/SF/G/F/UTIL
Joe Ingles: Adjusted RTG = 22.24, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 5.56, Salary = $3000, Team = MIN, Pos = PF/F/UTIL
Zeke Nnaji: Adjusted RTG = 165.89, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 41.47, Salary = $3000, Team = DEN, Pos = C/UTIL
Buddy Hield: Adjusted RTG = 588.91, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 147.23, Salary = $3000, Team = ATL, Pos = SF/F/UTIL
A.J. Lawson: Adjusted RTG = 152.81, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 38.20, Salary = $3100, Team = TOR, Pos = SG/SF/G/F/UTIL
Jose Alvarado: Adjusted RTG = 425.47, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 3.700, Rating = 114.99, Salary = $3000, Team = NYK, Pos = PG/G/UTIL
Jock Landale: Adjusted RTG = 114.52, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 2.800, Rating = 40.90, Salary = $3000, Team = ATL, Pos = C/UTIL
Tyus Jones: Adjusted RTG = 713.78, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 178.44, Salary = $3000, Team = DEN, Pos = PG/G/UTIL
Thomas Bryant: Adjusted RTG = 339.07, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 84.77, Salary = $3000, Team = CLE, Pos = C/UTIL
Tony Bradley: Adjusted RTG = 48.09, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 12.02, Salary = $3000, Team = ATL, Pos = C/UTIL
Corey Kispert: Adjusted RTG = 401.10, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 100.27, Salary = $3000, Team = ATL, Pos = SG/SF/G/F/UTIL
Larry Nance: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 1.000, Rating = 0.00, Salary = $3000, Team = CLE, Pos = C/UTIL
Christian Koloko: Adjusted RTG = 89.66, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 22.42, Salary = $3000, Team = ATL, Pos = C/UTIL
RayJ Dennis: Adjusted RTG = 25.83, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 6.46, Salary = $3000, Team = ATL, Pos = PG/G/UTIL
Keaton Wallace: Adjusted RTG = 147.68, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 36.92, Salary = $3000, Team = ATL, Pos = PG/G/UTIL
David Roddy: Adjusted RTG = 110.38, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 27.59, Salary = $3000, Team = DEN, Pos = SF/F/UTIL
Jeremy Sochan: Adjusted RTG = 466.80, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 116.70, Salary = $3000, Team = NYK, Pos = SF/PF/F/UTIL
Trayce Jackson-Davis: Adjusted RTG = 372.80, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 93.20, Salary = $3000, Team = TOR, Pos = C/UTIL
Jaylen Clark: Adjusted RTG = 131.39, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 32.85, Salary = $3000, Team = MIN, Pos = SG/SF/G/F/UTIL
Trey Jemison: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 1.000, Rating = 0.00, Salary = $3000, Team = NYK, Pos = C/UTIL
Craig Porter: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 1.000, Rating = 0.00, Salary = $3000, Team = CLE, Pos = PG/G/UTIL
Julian Phillips: Adjusted RTG = 263.80, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 65.95, Salary = $3000, Team = MIN, Pos = SF/PF/F/UTIL
Gradey Dick: Adjusted RTG = 424.08, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 106.02, Salary = $3000, Team = TOR, Pos = SG/SF/G/F/UTIL
Julian Strawther: Adjusted RTG = 355.96, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 88.99, Salary = $3000, Team = DEN, Pos = SG/SF/G/F/UTIL
Jalen Pickett: Adjusted RTG = 181.59, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 45.40, Salary = $3000, Team = DEN, Pos = PG/SG/G/UTIL
DaRon Holmes: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 1.000, Rating = 0.00, Salary = $3000, Team = DEN, Pos = C/UTIL
Tyrese Proctor: Adjusted RTG = 0.00, Adjusted FP = 0.00, Base FP = 0.00, Multiplier = 4.000, Rating = 0.00, Salary = $3000, Team = CLE, Pos = PG/SG/G/UTIL
