provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_team,away_team,over_odds,under_odds,updated_at,period,event_date,question
kalshi,KXMLBTB-26APR201110DETBOS,KXMLBTB-26APR201110DETBOS-BOSWCONTRERAS40-3,mlb,Willson Contreras: 3+ total bases?,kalshi,Kalshi,prediction_market,mlb,player_over_under,totalbases,Willson Contreras,2.5,BOS,DET,326,-326,2026-04-20T13:01:00.792987Z,,2026-04-20T18:10:00Z,"If Willson Contreras records 3+ total bases in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSWABREU52-2,mlb,Wilyer Abreu: 2+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Wilyer Abreu,1.5,BOS,DET,-127,127,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Wilyer Abreu records 2+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSWABREU52-1,mlb,Wilyer Abreu: 1+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Wilyer Abreu,0.5,BOS,DET,-19900,19900,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Wilyer Abreu records 1+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSWCONTRERAS40-2,mlb,Willson Contreras: 2+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Willson Contreras,1.5,BOS,DET,-122,122,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Willson Contreras records 2+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSWCONTRERAS40-1,mlb,Willson Contreras: 1+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Willson Contreras,0.5,BOS,DET,-19900,19900,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Willson Contreras records 1+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-DETRGREENE31-2,mlb,Riley Greene: 2+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Riley Greene,1.5,BOS,DET,-100,-100,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Riley Greene records 2+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-DETRGREENE31-1,mlb,Riley Greene: 1+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Riley Greene,0.5,BOS,DET,277,-277,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Riley Greene records 1+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-DETMVIERLING8-1,mlb,Matt Vierling: 1+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Matt Vierling,0.5,BOS,DET,-19900,19900,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Matt Vierling records 1+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSMYOSHIDA7-2,mlb,Masataka Yoshida: 2+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Masataka Yoshida,1.5,BOS,DET,182,-182,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Masataka Yoshida records 2+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSMYOSHIDA7-1,mlb,Masataka Yoshida: 1+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Masataka Yoshida,0.5,BOS,DET,-113,113,2026-04-20T12:59:00.790854Z,,2026-04-20T18:10:00Z,"If Masataka Yoshida records 1+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
