player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,RequestedPlayType,QueryPlayType,stats_shot3Percent
Reggie,Perry,Reggie Perry,615ba9bde771e94fc0bc4790,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,2,,1,2,2.0,,0,0,0,,,0,0,0,,0,0,0,2,0,2,1.0,0,0,1,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Tacko,Fall,Tacko Fall,615d0923e771e94fc00a6b99,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,14,,1,0,0.0,,0,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,0,1,6120261cea4488c9fd5c57c5,,ISO,ISO,
Derrick,White,Derrick White,6207231107c7bd5c29e1e6a8,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,49,0.04046242774566474,21,22,1.0476190476190477,37,7,7,14,0.5,0.5714285714285714,5,7,12,0.4166666666666667,2,0,2,6,2,8,0.75,0,4,11,3,6120261cea4488c9fd5c57c5,,ISO,ISO,1.0
Cam,Reddish,Cam Reddish,61ea2165df8a6a3c115b13bf,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,15,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Jevon,Carter,Jevon Carter,615a2ab8e771e94fc0ad829d,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,50,0.04048582995951417,10,8,0.8,175,2,7,9,0.2222222222222222,0.3333333333333333,0,5,5,0.0,2,2,4,2,0,2,1.0,0,0,3,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.5
Justin,James,Justin James,616a371be771e94fc06d1255,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,1,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Isaac,Okoro,Isaac Okoro,5fd57d3a5fe05a0e9f5ac60b,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,74,0.04318936877076412,26,17,0.6538461538461539,226,5,13,18,0.2777777777777778,0.2777777777777778,5,11,16,0.3125,0,2,2,7,3,10,0.7,0,4,10,3,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Mason,Plumlee,Mason Plumlee,615dd267e771e94fc0302667,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,76,0.01953125,10,4,0.4,267,1,6,7,0.14285714285714285,0.14285714285714285,1,6,7,0.14285714285714285,0,0,0,2,3,5,0.4,1,3,3,1,6120261cea4488c9fd5c57c5,,ISO,ISO,
Cat,Barber,Cat Barber,61c76f8adf8a6a3c119ba756,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,3,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Jevon,Carter,Jevon Carter,621afd1825a534888553547b,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,31,,4,2,0.5,,1,3,4,0.25,0.25,1,1,2,0.5,0,2,2,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Robert,Williams III,Robert Williams III,5baed881aeda719939cdf96a,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,81,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Dennis,Schroder,Dennis Schroder,615baa6de771e94fc0c84824,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,51,0.15721649484536082,122,112,0.9180327868852459,109,40,55,95,0.42105263157894735,0.4368421052631579,37,50,87,0.42528735632183906,3,5,8,29,6,35,0.8285714285714286,3,18,55,11,6120261cea4488c9fd5c57c5,,ISO,ISO,0.375
Collin,Sexton,Collin Sexton,5bb3fa2aaeda719939fe9b75,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,15,0.09652509652509653,25,24,0.96,80,8,11,19,0.42105263157894735,0.4473684210526316,7,7,14,0.5,1,4,5,7,2,9,0.7777777777777778,1,5,12,2,6120261cea4488c9fd5c57c5,,ISO,ISO,0.2
Isaiah,Joe,Isaiah Joe,5fd979f65fe05a0e9f63ab7f,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,66,,5,6,1.2,,2,2,4,0.5,0.5,2,0,2,1.0,0,2,2,2,0,2,1.0,0,0,3,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
