player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_possessions,stats_points,stats_ppp,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent,stats_timePercent,stats_pppRank
Bruce,Brown,Bruce Brown,5fd6bffd5fe05a0e9f57ebed,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,81,2,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,0,0,0,0,0,0,1,6120261cea4488c9fd5c57c5,,OffScreen,,,
Dennis,Schroder,Dennis Schroder,615baa6de771e94fc0c84824,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,51,21,22,1.0476190476190477,7,9,16,0.4375,0.5625,3,4,7,0.42857142857142855,4,5,9,0.4444444444444444,4,2,6,0,1,10,2,6120261cea4488c9fd5c57c5,,OffScreen,0.6666666666666666,0.027061855670103094,71
Rodney,McGruder,Rodney McGruder,5fd42b7d5fe05a0e9f828cbf,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,53,14,16,1.1428571428571428,6,6,12,0.5,0.6666666666666666,2,1,3,0.6666666666666666,4,5,9,0.4444444444444444,0,0,0,0,0,6,2,6120261cea4488c9fd5c57c5,,OffScreen,,0.05166051660516605,37
Gabe,Vincent,Gabe Vincent,5e168fa07455336e8768ce1e,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,90,41,47,1.146341463414634,17,19,36,0.4722222222222222,0.625,6,2,8,0.75,11,17,28,0.39285714285714285,2,1,3,1,2,18,4,6120261cea4488c9fd5c57c5,,OffScreen,0.6666666666666666,0.04963680387409201,36
Gorgui,Dieng,Gorgui Dieng,615baae0e771e94fc0d00134,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,52,1,3,3.0,1,0,1,1.0,1.5,0,0,0,,1,0,1,1.0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Caris,LeVert,Caris LeVert,620476f4df8a6a3c1134ecaf,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,21,12,10,0.8333333333333334,4,5,9,0.4444444444444444,0.5,3,4,7,0.42857142857142855,1,1,2,0.5,1,1,2,0,1,5,2,6120261cea4488c9fd5c57c5,,OffScreen,0.5,0.03773584905660377,163
Marvin,Bagley III,Marvin Bagley III,620b0ef207c7bd5c29495f8b,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,18,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Isaiah,Livers,Isaiah Livers,615e4bcfe771e94fc0e9eaf2,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,19,6,3,0.5,1,4,5,0.2,0.3,0,1,1,0.0,1,3,4,0.25,0,0,0,0,0,1,1,6120261cea4488c9fd5c57c5,,OffScreen,,,
Mychal,Mulder,Mychal Mulder,5d9d3cc97455336e87fb9d55,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,2,1,0,0.0,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Luka,Garza,Luka Garza,615e4bcfe771e94fc0e9eae5,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,36,3,4,1.3333333333333333,2,1,3,0.6666666666666666,0.6666666666666666,2,1,3,0.6666666666666666,0,0,0,,0,0,0,0,0,2,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Julius,Randle,Julius Randle,5d9be6e17455336e875c33e5,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,75,61,42,0.6885245901639344,15,35,50,0.3,0.36,9,13,22,0.4090909090909091,6,22,28,0.21428571428571427,6,2,8,0,3,19,7,6120261cea4488c9fd5c57c5,,OffScreen,0.75,0.035280508964719494,201
Jalen,Smith,Jalen Smith,62071b7a07c7bd5c29bff546,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,22,1,0,0.0,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Corey,Kispert,Corey Kispert,615d0e4fe771e94fc0255ab8,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,81,49,35,0.7142857142857143,13,33,46,0.2826086956521739,0.3695652173913043,5,13,18,0.2777777777777778,8,20,28,0.2857142857142857,1,0,1,1,1,13,3,6120261cea4488c9fd5c57c5,,OffScreen,1.0,0.07967479674796749,198
Svi,Mykhailiuk,Svi Mykhailiuk,615ba9bde771e94fc0bc4785,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,64,26,17,0.6538461538461539,5,16,21,0.23809523809523808,0.2857142857142857,3,6,9,0.3333333333333333,2,10,12,0.16666666666666666,5,0,5,0,2,7,3,6120261cea4488c9fd5c57c5,,OffScreen,1.0,0.07854984894259819,204
