player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Rui,Hachimura,Rui Hachimura,5d9be6e17455336e875c33f8,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,42,0.09480812641083522,42,56,1.3333333333333333,158,22,12,34,0.6470588235294118,0.6470588235294118,22,12,34,0.6470588235294118,0,0,0,12,2,14,0.8571428571428571,2,8,28,2,6120261cea4488c9fd5c57c5,,Cut
Greg,Monroe,Greg Monroe,61d903c7df8a6a3c1184fa20,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,2,,2,4,2.0,,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,0,0,0,,0,0,2,0,6120261cea4488c9fd5c57c5,,Cut
Justin,Robinson,Justin Robinson,615d0caee771e94fc01cac31,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,22,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,Cut
Gordon,Hayward,Gordon Hayward,5fd582355fe05a0e9f6d194d,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,50,0.06241872561768531,48,66,1.375,120,28,13,41,0.6829268292682927,0.6829268292682927,28,13,41,0.6829268292682927,0,0,0,10,1,11,0.9090909090909091,3,7,32,3,6120261cea4488c9fd5c57c5,,Cut
Bradley,Beal,Bradley Beal,544580d2300969b132fd4897,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,44,0.045105566218809984,47,76,1.6170212765957446,11,33,8,41,0.8048780487804879,0.8048780487804879,33,8,41,0.8048780487804879,0,0,0,10,2,12,0.8333333333333334,4,8,37,2,6120261cea4488c9fd5c57c5,,Cut
Rodney,Hood,Rodney Hood,615d0caee771e94fc01cac24,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,40,,4,8,2.0,,3,0,3,1.0,1.0,3,0,3,1.0,0,0,0,2,0,2,1.0,0,1,4,0,6120261cea4488c9fd5c57c5,,Cut
Greg,Monroe,Greg Monroe,55a494fe1e31501db44135d5,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,5,,5,2,0.4,,1,3,4,0.25,0.25,1,3,4,0.25,0,0,0,0,0,0,,0,0,1,1,6120261cea4488c9fd5c57c5,,Cut
Kyle,Kuzma,Kyle Kuzma,615d0e4fe771e94fc0255ab5,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,70,0.05263157894736842,66,94,1.4242424242424243,82,43,15,58,0.7413793103448276,0.7413793103448276,43,15,58,0.7413793103448276,0,0,0,8,4,12,0.6666666666666666,2,6,48,3,6120261cea4488c9fd5c57c5,,Cut
KZ,Okpala,KZ Okpala,5d9d3cc97455336e87fb9d5f,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,25,0.14285714285714285,16,17,1.0625,339,8,6,14,0.5714285714285714,0.5714285714285714,8,6,14,0.5714285714285714,0,0,0,1,1,2,0.5,0,1,9,1,6120261cea4488c9fd5c57c5,,Cut
Jordan,Nwora,Jordan Nwora,5fd589be5fe05a0e9f893fa2,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,75,0.02358490566037736,15,20,1.3333333333333333,158,9,3,12,0.75,0.75,9,3,12,0.75,0,0,0,2,0,2,1.0,0,1,10,2,6120261cea4488c9fd5c57c5,,Cut
Malik,Fitts,Malik Fitts,621846dc25a5348885fe7bdf,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,17,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,Cut
Jerami,Grant,Jerami Grant,5fd42b7d5fe05a0e9f828cae,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,51,0.030114226375908618,29,43,1.4827586206896552,51,15,8,23,0.6521739130434783,0.6521739130434783,15,8,23,0.6521739130434783,0,0,0,13,1,14,0.9285714285714286,2,8,21,0,6120261cea4488c9fd5c57c5,,Cut
Freddie,Gillespie,Freddie Gillespie,61c3e561df8a6a3c11b353a2,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,9,,9,11,1.2222222222222223,,5,3,8,0.625,0.625,5,3,8,0.625,0,0,0,1,1,2,0.5,0,0,6,0,6120261cea4488c9fd5c57c5,,Cut
Marcus,Smart,Marcus Smart,544580cc300969b132fd451e,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,94,0.026119402985074626,35,47,1.3428571428571427,151,21,10,31,0.6774193548387096,0.6774193548387096,21,10,31,0.6774193548387096,0,0,0,5,3,8,0.625,2,5,23,1,6120261cea4488c9fd5c57c5,,Cut
Tristan,Thompson,Tristan Thompson,62184e9725a534888531241a,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,28,0.23741007194244604,33,41,1.2424242424242424,234,18,10,28,0.6428571428571429,0.6428571428571429,18,10,28,0.6428571428571429,0,0,0,5,2,7,0.7142857142857143,1,4,20,2,6120261cea4488c9fd5c57c5,,Cut
Lou,Williams,Lou Williams,605eb3aa5fe05a0e9ff08f7e,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,58,,6,8,1.3333333333333333,,4,1,5,0.8,0.8,4,1,5,0.8,0,0,0,0,0,0,,0,0,4,1,6120261cea4488c9fd5c57c5,,Cut
Victor,Oladipo,Victor Oladipo,605e9b145fe05a0e9fe8a9bc,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,23,,8,9,1.125,,4,3,7,0.5714285714285714,0.5714285714285714,4,3,7,0.5714285714285714,0,0,0,1,1,2,0.5,0,1,5,0,6120261cea4488c9fd5c57c5,,Cut
Moritz,Wagner,Moritz Wagner,608a09b1e6c2413bc44b3c59,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,67,0.16081330868761554,87,130,1.4942528735632183,47,47,21,68,0.6911764705882353,0.6911764705882353,47,21,68,0.6911764705882353,0,0,0,36,5,41,0.8780487804878049,9,25,62,3,6120261cea4488c9fd5c57c5,,Cut
Saddiq,Bey,Saddiq Bey,5fd42b7d5fe05a0e9f828cab,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,84,0.024229074889867842,33,48,1.4545454545454546,65,19,9,28,0.6785714285714286,0.6785714285714286,19,9,28,0.6785714285714286,0,0,0,10,0,10,1.0,2,5,23,1,6120261cea4488c9fd5c57c5,,Cut
Robin,Lopez,Robin Lopez,615baa58e771e94fc0c6c466,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,39,0.14695340501792115,41,52,1.2682926829268293,218,23,14,37,0.6216216216216216,0.6216216216216216,23,14,37,0.6216216216216216,0,0,0,6,3,9,0.6666666666666666,3,6,25,1,6120261cea4488c9fd5c57c5,,Cut
Jalen,Suggs,Jalen Suggs,615baa58e771e94fc0c6c47d,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,51,0.02518891687657431,20,28,1.4,96,13,4,17,0.7647058823529411,0.7647058823529411,13,4,17,0.7647058823529411,0,0,0,2,2,4,0.5,0,2,15,1,6120261cea4488c9fd5c57c5,,Cut
David,Duke Jr.,David Duke Jr.,615a2ab8e771e94fc0ad82b1,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,25,,9,14,1.5555555555555556,,5,2,7,0.7142857142857143,0.7142857142857143,5,2,7,0.7142857142857143,0,0,0,4,0,4,1.0,0,2,7,0,6120261cea4488c9fd5c57c5,,Cut
Mitchell,Robinson,Mitchell Robinson,5bb2a77eaeda719939f791fa,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,73,0.19838056680161945,98,142,1.4489795918367347,67,67,16,83,0.8072289156626506,0.8072289156626506,67,16,83,0.8072289156626506,0,0,0,8,15,23,0.34782608695652173,3,13,73,5,6120261cea4488c9fd5c57c5,,Cut
Montrezl,Harrell,Montrezl Harrell,62071ad507c7bd5c29bd1b9e,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,26,0.18067226890756302,43,64,1.4883720930232558,48,26,9,35,0.7428571428571429,0.7428571428571429,26,9,35,0.7428571428571429,0,0,0,12,6,18,0.6666666666666666,6,12,31,2,6120261cea4488c9fd5c57c5,,Cut
Omer,Yurtseven,Omer Yurtseven,60b05108569beabf90f950fc,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,70,0.23387096774193547,87,94,1.0804597701149425,330,44,31,75,0.5866666666666667,0.5866666666666667,44,31,75,0.5866666666666667,0,0,0,6,4,10,0.6,2,6,48,8,6120261cea4488c9fd5c57c5,,Cut
