player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_possessions,stats_points,stats_ppp,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_timePercent,stats_pppRank,stats_ftPercent
Taj,Gibson,Taj Gibson,5d9be6e17455336e875c33d0,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,56,14,19,1.3571428571428572,7,2,9,0.7777777777777778,0.7777777777777778,7,2,9,0.7777777777777778,0,0,0,5,1,6,0,3,10,2,6120261cea4488c9fd5c57c5,,PostUp,0.05555555555555555,4,0.8333333333333334
Myles,Turner,Myles Turner,55a494fe1e31501db44135d1,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,46,62,72,1.1612903225806452,27,21,48,0.5625,0.5625,27,21,48,0.5625,0,0,0,18,8,26,4,12,36,3,6120261cea4488c9fd5c57c5,,PostUp,0.11588785046728972,16,0.6923076923076923
Isaiah,Jackson,Isaiah Jackson,615d00e0e771e94fc0d2927b,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,40,18,11,0.6111111111111112,3,7,10,0.3,0.3,3,7,10,0.3,0,0,0,5,5,10,0,4,8,3,6120261cea4488c9fd5c57c5,,PostUp,0.05806451612903226,164,0.5
Gordon,Hayward,Gordon Hayward,5fd582355fe05a0e9f6d194d,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,50,50,48,0.96,13,23,36,0.3611111111111111,0.3611111111111111,13,23,36,0.3611111111111111,0,0,0,22,2,24,2,6,24,3,6120261cea4488c9fd5c57c5,,PostUp,0.06501950585175553,70,0.9166666666666666
Deni,Avdija,Deni Avdija,5fd6bffd5fe05a0e9f57ebc7,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,85,20,25,1.25,8,7,15,0.5333333333333333,0.5333333333333333,8,7,15,0.5333333333333333,0,0,0,9,2,11,3,4,12,1,6120261cea4488c9fd5c57c5,,PostUp,0.026917900403768506,11,0.8181818181818182
DeAndre,Jordan,DeAndre Jordan,6226c14c25a5348885c778d6,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,18,4,2,0.5,1,2,3,0.3333333333333333,0.3333333333333333,1,2,3,0.3333333333333333,0,0,0,0,2,2,0,0,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,0.0
Kevin,Durant,Kevin Durant,5d97fb317455336e872883e9,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,63,155,172,1.1096774193548387,63,49,112,0.5625,0.5625,63,49,112,0.5625,0,0,0,46,2,48,4,17,85,21,6120261cea4488c9fd5c57c5,,PostUp,0.09270334928229665,24,0.9583333333333334
Chris,Boucher,Chris Boucher,5bb00804aeda719939187859,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,86,9,10,1.1111111111111112,4,2,6,0.6666666666666666,0.6666666666666666,4,2,6,0.6666666666666666,0,0,0,2,3,5,1,3,6,1,6120261cea4488c9fd5c57c5,,PostUp,,,0.4
Markieff,Morris,Markieff Morris,615baa5fe771e94fc0c75d3c,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,23,40,36,0.9,16,16,32,0.5,0.5,16,16,32,0.5,0,0,0,4,1,5,1,3,18,6,6120261cea4488c9fd5c57c5,,PostUp,0.2185792349726776,103,0.8
Montrezl,Harrell,Montrezl Harrell,615d0e4fe771e94fc0255abf,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,50,109,115,1.055045871559633,38,36,74,0.5135135135135135,0.5135135135135135,38,36,74,0.5135135135135135,0,0,0,39,14,53,7,28,59,12,6120261cea4488c9fd5c57c5,,PostUp,0.19022687609075042,42,0.7358490566037735
Oshae,Brissett,Oshae Brissett,606935125fe05a0e9fd5b988,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,71,1,2,2.0,0,0,0,,,0,0,0,,0,0,0,2,0,2,0,1,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,1.0
Cody,Martin,Cody Martin,5d9a87a67455336e87b9df7c,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,76,5,0,0.0,0,3,3,0.0,0.0,0,3,3,0.0,0,0,0,0,2,2,0,1,0,1,6120261cea4488c9fd5c57c5,,PostUp,,,0.0
Nicolas,Claxton,Nicolas Claxton,5d97fb317455336e8728840f,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,55,8,7,0.875,2,4,6,0.3333333333333333,0.3333333333333333,2,4,6,0.3333333333333333,0,0,0,3,1,4,0,2,4,0,6120261cea4488c9fd5c57c5,,PostUp,,,0.75
Paul,Reed,Paul Reed,5fd979f65fe05a0e9f63ab8c,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,54,2,2,1.0,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,2,2,0,1,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,0.0
