player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Seth,Curry,Seth Curry,5fd979f65fe05a0e9f63ab76,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,48,0.3273001508295626,217,211,0.9723502304147466,57,87,97,184,0.47282608695652173,0.5353260869565217,64,60,124,0.5161290322580645,23,37,60,0.38333333333333336,14,2,16,0.875,3,6,93,27,6120261cea4488c9fd5c57c5,,PandRBallHandler
Kyle,Guy,Kyle Guy,615d0923e771e94fc00a6b9c,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,1,,4,5,1.25,,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,,1,1,2,0.5,0,0,3,1,6120261cea4488c9fd5c57c5,,PandRBallHandler
Derrick,Jones Jr.,Derrick Jones Jr.,615d0923e771e94fc00a6bd9,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,58,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Justin,Anderson,Justin Anderson,61c3f077df8a6a3c11db6a15,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,3,,1,3,3.0,,1,0,1,1.0,1.5,0,0,0,,1,0,1,1.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
DeAndre',Bembry,DeAndre' Bembry,615a2ab8e771e94fc0ad8282,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,51,0.04240282685512368,12,6,0.5,329,3,9,12,0.25,0.25,3,9,12,0.25,0,0,0,,0,0,0,,0,0,3,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Tobias,Harris,Tobias Harris,5c5e3ba985d07ba97643717f,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,86,0.15098314606741572,215,229,1.0651162790697675,21,97,89,186,0.521505376344086,0.543010752688172,89,80,169,0.5266272189349113,8,9,17,0.47058823529411764,27,5,32,0.84375,6,18,110,16,6120261cea4488c9fd5c57c5,,PandRBallHandler
Solomon,Hill,Solomon Hill,5fd42b555fe05a0e9f820886,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,16,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Kyle,Guy,Kyle Guy,61cfc32cdf8a6a3c11fb886d,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,19,0.24096385542168675,20,9,0.45,338,3,9,12,0.25,0.2916666666666667,2,5,7,0.2857142857142857,1,4,5,0.2,2,1,3,0.6666666666666666,0,1,4,7,6120261cea4488c9fd5c57c5,,PandRBallHandler
Josh,Jackson,Josh Jackson,5fd42b7d5fe05a0e9f828cb6,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,43,0.1178082191780822,43,32,0.7441860465116279,253,13,17,30,0.43333333333333335,0.4666666666666667,11,15,26,0.4230769230769231,2,2,4,0.5,4,0,4,1.0,0,2,15,11,6120261cea4488c9fd5c57c5,,PandRBallHandler
LaMarcus,Aldridge,LaMarcus Aldridge,606284c35fe05a0e9f1649da,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,50,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
