player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Markieff,Morris,Markieff Morris,615baa5fe771e94fc0c75d3c,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,23,0.1092896174863388,20,21,1.05,155,8,6,14,0.5714285714285714,0.5714285714285714,8,5,13,0.6153846153846154,0,1,1,0.0,5,0,5,1.0,1,3,10,4,6120261cea4488c9fd5c57c5,,PandRRollMan
Isaiah,Stewart,Isaiah Stewart,5fd42b7d5fe05a0e9f828ccc,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,75,0.1609907120743034,104,104,1.0,170,42,48,90,0.4666666666666667,0.5,36,34,70,0.5142857142857142,6,14,20,0.3,14,5,19,0.7368421052631579,5,10,49,7,6120261cea4488c9fd5c57c5,,PandRRollMan
Bradley,Beal,Bradley Beal,544580d2300969b132fd4897,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,44,,9,11,1.2222222222222223,,5,1,6,0.8333333333333334,0.9166666666666666,4,0,4,1.0,1,1,2,0.5,0,2,2,0.0,0,1,5,2,6120261cea4488c9fd5c57c5,,PandRRollMan
Collin,Sexton,Collin Sexton,5bb3fa2aaeda719939fe9b75,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,15,,2,1,0.5,,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,1,1,2,0.5,0,1,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Cade,Cunningham,Cade Cunningham,615e4bcfe771e94fc0e9eab4,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,64,0.008975317875841436,12,18,1.5,7,8,2,10,0.8,0.9,6,0,6,1.0,2,2,4,0.5,0,1,1,0.0,1,1,8,2,6120261cea4488c9fd5c57c5,,PandRRollMan
Tristan,Thompson,Tristan Thompson,62071b7a07c7bd5c29bff54e,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,4,0.36363636363636365,12,10,0.8333333333333334,237,5,6,11,0.45454545454545453,0.45454545454545453,5,6,11,0.45454545454545453,0,0,0,,0,2,2,0.0,0,1,5,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Johnny,OBryant,Johnny OBryant,544580de300969b132fd50c7,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,2,,2,5,2.5,,2,0,2,1.0,1.25,1,0,1,1.0,1,0,1,1.0,0,0,0,,0,0,2,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Ed,Davis,Ed Davis,6170afeee771e94fc0c8eb59,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,31,,4,6,1.5,,3,1,4,0.75,0.75,3,1,4,0.75,0,0,0,,0,0,0,,0,0,3,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Vernon,Carey Jr.,Vernon Carey Jr.,5fd582355fe05a0e9f6d193f,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,7,,2,2,1.0,,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Tyler,Herro,Tyler Herro,5d9d3cc97455336e87fb9d4a,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,86,0.005858230814294083,10,10,1.0,170,4,5,9,0.4444444444444444,0.5555555555555556,2,3,5,0.4,2,2,4,0.5,0,0,0,,0,0,4,1,6120261cea4488c9fd5c57c5,,PandRRollMan
