player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent
Javonte,Smart,Javonte Smart,615baa5fe771e94fc0c75d5a,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,9,0.29411764705882354,20,23,1.15,84,9,11,20,0.45,0.55,5,2,7,0.7142857142857143,4,9,13,0.3076923076923077,1,0,1,1,1,9,0,6120261cea4488c9fd5c57c5,,SpotUp,1.0
Arnoldas,Kulboka,Arnoldas Kulboka,615dd267e771e94fc0302622,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,3,,1,0,0.0,,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,SpotUp,
Marvin,Bagley III,Marvin Bagley III,620b0ef207c7bd5c29495f8b,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,18,0.20987654320987653,51,41,0.803921568627451,428,14,31,45,0.3111111111111111,0.3888888888888889,7,11,18,0.3888888888888889,7,20,27,0.25925925925925924,6,4,10,0,5,18,1,6120261cea4488c9fd5c57c5,,SpotUp,0.6
Hamidou,Diallo,Hamidou Diallo,604d73a85fe05a0e9f307ffc,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,62,0.2829912023460411,193,156,0.8082901554404145,426,63,110,173,0.36416184971098264,0.4190751445086705,44,46,90,0.4888888888888889,19,64,83,0.2289156626506024,11,9,20,2,10,71,11,6120261cea4488c9fd5c57c5,,SpotUp,0.55
Derrick,Walton Jr.,Derrick Walton Jr.,5e5350487455336e87263ce7,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,3,0.2564102564102564,10,9,0.9,366,3,6,9,0.3333333333333333,0.5,0,0,0,,3,6,9,0.3333333333333333,0,0,0,0,0,3,1,6120261cea4488c9fd5c57c5,,SpotUp,
Bobby,Portis,Bobby Portis,5fd589be5fe05a0e9f893fab,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,84,0.26366001734605377,304,302,0.993421052631579,254,110,179,289,0.3806228373702422,0.5173010380622838,31,39,70,0.44285714285714284,79,140,219,0.3607305936073059,3,2,5,0,2,112,13,6120261cea4488c9fd5c57c5,,SpotUp,0.6
Tim,Frazier,Tim Frazier,61c3e561df8a6a3c11b35358,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,10,0.2833333333333333,17,11,0.6470588235294118,489,4,13,17,0.23529411764705882,0.3235294117647059,1,6,7,0.14285714285714285,3,7,10,0.3,0,0,0,0,0,4,0,6120261cea4488c9fd5c57c5,,SpotUp,
David,Johnson,David Johnson,615ba9bde771e94fc0bc4780,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,5,,5,3,0.6,,1,2,3,0.3333333333333333,0.5,0,0,0,,1,2,3,0.3333333333333333,0,0,0,0,0,1,2,6120261cea4488c9fd5c57c5,,SpotUp,
Aaron,Henry,Aaron Henry,615ba9bde771e94fc0bc472d,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,10,,9,5,0.5555555555555556,,2,5,7,0.2857142857142857,0.35714285714285715,1,3,4,0.25,1,2,3,0.3333333333333333,0,0,0,0,0,2,2,6120261cea4488c9fd5c57c5,,SpotUp,
Svi,Mykhailiuk,Svi Mykhailiuk,615ba9bde771e94fc0bc4785,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,64,0.2990936555891239,99,84,0.8484848484848485,407,28,59,87,0.3218390804597701,0.4540229885057471,5,8,13,0.38461538461538464,23,51,74,0.3108108108108108,5,1,6,0,3,31,9,6120261cea4488c9fd5c57c5,,SpotUp,0.8333333333333334
