player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Cole,Anthony,Cole Anthony,5fd42b555fe05a0e9f82085a,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,69,0.20581113801452786,255,260,1.0196078431372548,354,84,113,197,0.4263959390862944,0.49746192893401014,56,58,114,0.49122807017543857,28,55,83,0.3373493975903614,64,6,70,0.9142857142857143,7,35,115,27,6120261cea4488c9fd5c57c5,,Transition
RJ,Barrett,RJ Barrett,5d9be6e17455336e875c33c8,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,74,0.20739348370927319,331,367,1.108761329305136,272,132,116,248,0.532258064516129,0.5745967741935484,111,82,193,0.5751295336787565,21,34,55,0.38181818181818183,82,41,123,0.6666666666666666,12,64,179,27,6120261cea4488c9fd5c57c5,,Transition
Marcus,Garrett,Marcus Garrett,615baa5fe771e94fc0c75d1f,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,15,,3,4,1.3333333333333333,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,,2,1,3,0.6666666666666666,1,2,2,1,6120261cea4488c9fd5c57c5,,Transition
Danny,Green,Danny Green,5fd979f65fe05a0e9f63ab7a,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,77,0.21341463414634146,105,103,0.9809523809523809,386,35,57,92,0.3804347826086957,0.5489130434782609,4,2,6,0.6666666666666666,31,55,86,0.36046511627906974,2,2,4,0.5,2,3,36,12,6120261cea4488c9fd5c57c5,,Transition
Tyler,Herro,Tyler Herro,5d9d3cc97455336e87fb9d4a,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,86,0.14938488576449913,255,268,1.0509803921568628,333,99,109,208,0.47596153846153844,0.5697115384615384,60,39,99,0.6060606060606061,39,70,109,0.3577981651376147,31,5,36,0.8611111111111112,1,14,116,30,6120261cea4488c9fd5c57c5,,Transition
Matt,Thomas,Matt Thomas,615d0923e771e94fc00a6be5,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,44,0.12790697674418605,22,16,0.7272727272727273,494,3,16,19,0.15789473684210525,0.23684210526315788,0,1,1,0.0,3,15,18,0.16666666666666666,7,0,7,1.0,0,0,6,0,6120261cea4488c9fd5c57c5,,Transition
Markieff,Morris,Markieff Morris,615baa5fe771e94fc0c75d3c,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,23,0.08743169398907104,16,20,1.25,115,9,7,16,0.5625,0.625,7,2,9,0.7777777777777778,2,5,7,0.2857142857142857,0,1,1,0.0,1,1,9,0,6120261cea4488c9fd5c57c5,,Transition
David,Johnson,David Johnson,615ba9bde771e94fc0bc4780,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,5,,2,0,0.0,,0,2,2,0.0,0.0,0,0,0,,0,2,2,0.0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,Transition
Aaron,Nesmith,Aaron Nesmith,5fd979f65fe05a0e9f63ab68,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,71,0.17266187050359713,48,49,1.0208333333333333,354,17,18,35,0.4857142857142857,0.5428571428571428,13,6,19,0.6842105263157895,4,12,16,0.25,11,5,16,0.6875,3,8,23,7,6120261cea4488c9fd5c57c5,,Transition
Lauri,Markkanen,Lauri Markkanen,615d0923e771e94fc00a6b9f,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,68,0.17770419426048564,161,224,1.391304347826087,46,84,60,144,0.5833333333333334,0.7083333333333334,48,24,72,0.6666666666666666,36,36,72,0.5,20,1,21,0.9523809523809523,5,13,92,9,6120261cea4488c9fd5c57c5,,Transition
