provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_spread,away_spread,home_team,away_team,over_odds,under_odds,draw_odds,extra_outcomes,updated_at,period,event_date,question
draftkings,34093814,0QA331439106#588469315_13L84240Q1-642495299Q20,mlb,Aaron Judge Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Aaron Judge,2.5,,,NY Yankees,BAL Orioles,9900,-9900,,,2026-05-04T23:05:00.0000000Z,,2026-05-04T23:05:00.0000000Z,3+
draftkings,34093820,0QA331461262#588579944_13L84240Q1-446308922Q20,mlb,Juan Soto Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Juan Soto,0.5,,,COL Rockies,NY Mets,225,-225,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,1+
draftkings,34093820,0QA331461262#588579964_13L84240Q1475630076Q20,mlb,Juan Soto Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Juan Soto,1.5,,,COL Rockies,NY Mets,1760,-1760,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,2+
draftkings,34093820,0QA331461262#588579979_13L84240Q1-642495299Q20,mlb,Juan Soto Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Juan Soto,2.5,,,COL Rockies,NY Mets,10000,-10000,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,3+
draftkings,34093819,0QA331449918#588514184_13L84240Q1-446308922Q20,mlb,Shohei Ohtani Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Shohei Ohtani,0.5,,,HOU Astros,LA Dodgers,223,-223,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,1+
draftkings,34093819,0QA331449918#588514230_13L84240Q1475630076Q20,mlb,Shohei Ohtani Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Shohei Ohtani,1.5,,,HOU Astros,LA Dodgers,1720,-1720,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,2+
draftkings,34093819,0QA331449918#588514329_13L84240Q1-642495299Q20,mlb,Shohei Ohtani Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Shohei Ohtani,2.5,,,HOU Astros,LA Dodgers,10000,-10000,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,3+
draftkings,34093813,0QA331467984#588615847_13L84240Q1-446308922Q20,mlb,Junior Caminero Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Junior Caminero,0.5,,,TB Rays,TOR Blue Jays,277,-277,,,2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,1+
draftkings,34093813,0QA331467984#588615867_13L84240Q1475630076Q20,mlb,Junior Caminero Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Junior Caminero,1.5,,,TB Rays,TOR Blue Jays,2500,-2500,,,2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,2+
draftkings,34093820,0QA331461200#588580189_13L84240Q1-446308922Q20,mlb,MJ Melendez Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,MJ Melendez,0.5,,,COL Rockies,NY Mets,294,-294,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,1+
draftkings,34093820,0QA331461200#588580276_13L84240Q1475630076Q20,mlb,MJ Melendez Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,MJ Melendez,1.5,,,COL Rockies,NY Mets,2500,-2500,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,2+
