Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
2025-26,1631213,Tyrese Martin,1610612751,BKN,F,26.0,25,25,0.345,1.44,2.72,0.529,0.622,-0.093
2025-26,1642869,Noah Penda,1610612753,ORL,G-F,20.0,14,11,0.437,1.64,2.71,0.605,0.626,-0.021
2025-26,1629750,Javonte Green,1610612765,DET,G,32.0,27,27,0.367,1.63,2.7,0.603,0.63,-0.027
2025-26,1629640,Keldon Johnson,1610612759,SAS,F-G,26.0,27,26,0.351,1.63,2.7,0.603,0.634,-0.032
2025-26,203935,Marcus Smart,1610612747,LAL,G,31.0,18,16,0.265,1.72,2.67,0.646,0.628,0.018
2025-26,1642879,Ben Saraf,1610612751,BKN,G,19.0,12,12,0.386,2.08,2.67,0.781,0.622,0.159
2025-26,1631115,Orlando Robinson,1610612753,ORL,C,25.0,3,2,0.533,2.33,2.67,0.875,0.6,0.275
2025-26,1642285,Cam Spencer,1610612763,MEM,G,25.0,27,22,0.373,1.81,2.67,0.681,0.627,0.053
2025-26,1631288,Jamal Cain,1610612753,ORL,F,26.0,3,3,0.571,1.67,2.67,0.625,0.551,0.074
2025-26,1642874,Danny Wolf,1610612751,BKN,F,21.0,11,9,0.363,1.55,2.64,0.586,0.656,-0.069
2025-26,1627747,Caris LeVert,1610612765,DET,G,31.0,22,21,0.31,1.77,2.64,0.672,0.607,0.065
2025-26,1641767,Ben Sheppard,1610612754,IND,G,24.0,22,21,0.297,1.86,2.64,0.707,0.629,0.078
2025-26,1630551,Justin Champagnie,1610612764,WAS,G-F,24.0,22,15,0.397,1.77,2.64,0.672,0.658,0.015
2025-26,1642854,Asa Newell,1610612737,ATL,F,20.0,16,13,0.506,1.69,2.63,0.643,0.638,0.004
2025-26,202685,Jonas Valančiūnas,1610612743,DEN,C,33.0,27,25,0.368,1.48,2.63,0.563,0.623,-0.06
2025-26,1642352,Keshad Johnson,1610612748,MIA,F,24.0,8,6,0.488,1.25,2.63,0.476,0.625,-0.149
2025-26,1629004,Svi Mykhailiuk,1610612762,UTA,G-F,28.0,26,22,0.266,1.65,2.62,0.632,0.628,0.005
2025-26,1629018,Gary Trent Jr.,1610612749,MIL,G,26.0,28,23,0.338,1.57,2.61,0.603,0.617,-0.014
2025-26,1630692,Jordan Goodwin,1610612756,PHX,G,27.0,25,22,0.359,1.68,2.6,0.646,0.628,0.018
2025-26,203501,Tim Hardaway Jr.,1610612743,DEN,G-F,33.0,27,23,0.29,1.7,2.59,0.657,0.606,0.051
2025-26,1641796,Pelle Larsson,1610612748,MIA,G,24.0,23,18,0.294,1.48,2.57,0.576,0.615,-0.039
2025-26,203937,Kyle Anderson,1610612762,UTA,F-G,32.0,9,8,0.383,2.33,2.56,0.913,0.657,0.256
