Season,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
2013-14,Players,202343,Elliot Williams,Elliot,1610612755,PHI,25.0,5,0,5,0.0,8.88,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,2,-22,2.0,0,0,2.0,286,355,157,355,292,245,278,83,177,196,177,233,243,233,252,309,330,246,234,193,128,1,156,276,274,392,332,180,12,319
2013-14,Players,1882,Elton Brand,Elton,1610612737,ATL,35.0,18,9,9,0.5,16.62,0,1,0.0,0,0,0.0,0,0,0.0,3,4,7,1,4,1,0,0,4,0,0,26,8.9,1,0,10.0,148,59,226,42,247,305,306,305,177,250,177,233,243,233,74,148,130,179,48,99,128,1,226,276,321,53,254,122,12,236
2013-14,Players,202683,Enes Freedom,Enes,1610612762,UTA,22.0,23,3,20,0.13,45.91166666666667,6,14,0.429,0,0,0.0,0,0,0.0,2,5,7,2,1,1,0,1,9,0,12,-77,25.4,14,0,23.0,97,205,387,336,147,126,135,151,177,250,177,233,243,233,107,123,130,138,157,99,128,264,347,276,154,429,176,16,12,177
2013-14,Players,202339,Eric Bledsoe,Eric,1610612756,PHX,24.0,17,7,10,0.412,54.775,15,34,0.441,3,13,0.231,10,14,0.714,0,8,8,12,6,3,0,2,4,9,43,21,73.6,3,0,72.0,158,97,231,111,118,36,45,142,60,37,142,37,33,158,252,79,112,13,24,21,128,344,226,36,41,66,45,77,12,48
2013-14,Players,201569,Eric Gordon,Eric,1610612740,NOP,25.0,27,9,18,0.333,83.09333333333333,14,38,0.368,6,12,0.5,8,10,0.8,3,8,11,0,3,3,1,5,7,8,42,2,64.2,0,0,67.0,55,59,370,171,39,42,32,202,22,45,28,52,55,120,74,79,80,246,75,21,59,416,303,45,42,163,61,180,12,54
2013-14,Players,101141,Ersan Ilyasova,Ersan,1610612749,MIL,27.0,15,3,12,0.2,48.526666666666664,3,12,0.25,1,2,0.5,5,5,1.0,6,4,10,1,2,2,0,2,6,4,12,-18,29.5,2,0,28.0,187,205,263,287,136,177,150,262,106,168,28,87,108,1,25,148,92,179,100,49,128,344,275,102,154,378,162,101,12,154
2013-14,Players,203095,Evan Fournier,Evan,1610612743,DEN,21.0,13,1,12,0.077,26.733333333333334,3,14,0.214,2,10,0.2,3,3,1.0,1,2,3,2,2,2,0,0,3,4,11,-12,21.6,0,0,22.0,206,284,263,352,206,177,135,286,84,64,145,125,149,1,157,207,212,138,100,49,128,1,199,102,165,346,187,180,12,180
2013-14,Players,202323,Evan Turner,Evan,1610612754,IND,25.0,26,14,12,0.538,69.265,18,41,0.439,1,4,0.25,11,15,0.733,4,12,16,6,9,2,0,7,10,9,48,28,73.2,5,0,75.0,63,10,263,39,70,25,30,144,106,127,129,34,28,156,52,37,43,55,10,49,128,424,377,36,30,47,46,51,12,40
2013-14,Players,101128,Francisco Garcia,Francisco,1610612745,HOU,32.0,8,4,4,0.5,18.403333333333332,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,4,1,3,19,3.0,0,0,4.0,258,177,133,42,238,245,253,218,106,141,89,233,243,233,252,309,330,246,234,193,128,1,226,202,258,72,312,180,12,299
2013-14,Players,203539,Gal Mekel,Gal,1610612742,DAL,26.0,2,0,2,0.0,0.37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,355,355,66,355,404,305,353,305,177,250,177,233,243,233,252,309,330,246,234,193,128,1,1,276,321,254,364,180,12,365
2013-14,Players,202066,Garrett Temple,Garrett,1610612764,WAS,28.0,16,3,13,0.188,5.885,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,2,1,0,-14,2.7,0,0,2.0,174,205,282,304,320,305,306,305,177,250,177,233,243,233,157,309,278,179,234,193,128,264,156,202,321,360,318,180,12,319
2013-14,Players,202390,Gary Neal,Gary,1610612766,CHA,29.0,11,3,8,0.273,21.595,1,5,0.2,1,3,0.333,6,6,1.0,1,1,2,4,0,0,0,0,2,4,9,5,17.4,0,0,16.0,221,205,207,225,225,245,221,287,106,141,89,71,96,1,157,246,241,82,234,193,128,1,156,102,187,131,212,180,12,206
2013-14,Players,201588,George Hill,George,1610612754,IND,28.0,20,9,11,0.45,57.08,8,21,0.381,2,10,0.2,4,7,0.571,2,6,8,7,2,1,0,2,14,6,22,7,43.1,0,0,41.0,121,59,247,90,101,90,89,192,84,64,145,100,84,195,107,108,112,46,100,99,128,344,411,68,104,121,106,180,12,108
2013-14,Players,101123,Gerald Green,Gerald,1610612756,PHX,28.0,26,6,20,0.231,71.46333333333334,6,32,0.188,1,20,0.05,10,10,1.0,0,9,9,1,5,1,2,1,9,5,23,-24,39.3,0,0,40.0,63,124,387,273,64,126,51,291,106,16,176,37,55,1,252,68,102,179,33,99,29,264,347,83,96,398,116,180,12,112
2013-14,Players,201945,Gerald Henderson,Gerald,1610612766,CHA,26.0,35,13,22,0.371,109.685,19,45,0.422,5,10,0.5,8,8,1.0,3,12,15,4,1,2,1,1,15,6,51,16,83.0,0,0,81.0,9,18,405,150,9,22,26,162,30,64,28,52,72,1,74,37,47,82,157,49,59,264,416,68,26,85,35,180,12,32
2013-14,Players,2222,Gerald Wallace,Gerald,1610612738,BOS,31.0,18,2,16,0.111,27.531666666666666,3,5,0.6,1,2,0.5,2,2,1.0,1,2,3,3,1,1,0,1,6,2,9,-10,19.1,0,0,18.0,148,236,332,344,204,177,221,54,106,168,28,149,166,1,157,207,212,102,157,99,128,264,275,154,187,332,198,180,12,197
2013-14,Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,19.0,16,2,14,0.125,43.90833333333333,2,4,0.5,0,1,0.0,4,9,0.444,1,3,4,2,0,1,0,0,1,5,8,-14,18.8,0,0,16.0,174,236,297,337,153,203,232,83,177,196,177,100,65,225,157,181,194,138,234,99,128,1,97,83,196,360,200,180,12,206
2013-14,Players,203540,Gigi Datome,Gigi,1610612765,DET,26.0,1,0,1,0.0,0.26666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,389,355,17,355,409,305,353,305,177,250,177,233,243,233,252,309,330,246,234,193,128,1,1,276,321,222,364,180,12,365
2013-14,Players,201175,Glen Davis,Glen,1610612746,LAC,28.0,17,3,14,0.176,63.598333333333336,11,32,0.344,2,6,0.333,5,7,0.714,4,11,15,4,6,3,0,3,9,7,29,-17,56.0,1,0,56.0,158,205,297,310,84,61,51,215,84,99,89,87,84,158,52,46,47,82,24,21,128,383,347,58,69,373,79,122,12,71
2013-14,Players,203318,Glen Rice,Glen,1610612764,WAS,23.0,3,0,3,0.0,1.6416666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,3.0,0,0,2.0,327,355,100,355,377,305,306,305,177,196,177,233,243,233,252,309,330,246,234,99,128,1,97,276,321,185,312,180,12,319
2013-14,Players,201609,Goran Dragic,Goran,1610612756,PHX,28.0,29,9,20,0.31,85.32666666666667,13,35,0.371,0,6,0.0,4,10,0.4,3,8,11,9,6,6,0,2,10,9,30,-15,68.7,3,0,62.0,32,59,387,207,37,48,40,200,177,99,177,100,55,226,74,79,80,26,24,5,128,344,377,36,66,367,56,77,12,62
2013-14,Players,202330,Gordon Hayward,Gordon,1610612762,UTA,24.0,29,10,19,0.345,63.38,11,24,0.458,3,8,0.375,9,11,0.818,0,4,4,10,5,5,0,0,8,8,34,-34,63.8,5,0,61.0,32,46,379,169,86,61,79,134,60,78,79,44,47,114,252,148,194,20,33,9,128,1,323,45,55,413,64,51,12,64
2013-14,Players,203476,Gorgui Dieng,Gorgui,1610612750,MIN,24.0,4,1,3,0.25,6.308333333333334,1,3,0.333,0,0,0.0,0,0,0.0,3,0,3,0,0,1,0,0,1,1,2,-7,8.6,3,0,7.0,302,284,100,242,317,245,253,218,177,250,177,233,243,233,74,309,212,246,234,99,128,1,97,202,274,308,256,77,12,260
2013-14,Players,202328,Greg Monroe,Greg,1610612765,DET,24.0,26,4,22,0.154,45.325,7,17,0.412,0,0,0.0,7,11,0.636,3,3,6,0,0,0,1,3,2,7,21,-21,31.2,11,0,29.0,63,177,405,329,150,105,106,166,177,250,177,61,47,182,74,181,147,246,234,193,59,383,156,58,109,387,145,24,12,147
2013-14,Players,201880,Greg Stiemsma,Greg,1610612740,NOP,28.0,9,4,5,0.444,11.538333333333334,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,0,1,0,1,0,2,0,0,-1,5.6,0,0,5.0,241,177,157,91,269,305,353,305,177,250,177,233,243,233,107,246,212,246,157,193,59,1,156,276,321,200,288,180,12,286
2013-14,Players,202349,Greivis Vasquez,Greivis,1610612761,TOR,27.0,18,7,11,0.389,56.413333333333334,11,24,0.458,3,12,0.25,2,2,1.0,0,4,4,8,4,1,0,1,9,2,27,24,42.8,0,0,44.0,148,97,247,133,106,61,79,134,60,45,129,149,166,1,252,148,194,38,48,99,128,264,347,154,73,57,109,180,12,100
2013-14,Players,202970,Gustavo Ayon,Gustavo,1610612737,ATL,29.0,1,1,0,1.0,0.18333333333333332,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,389,284,1,1,417,305,353,305,177,250,177,233,243,233,252,309,330,246,234,193,128,1,1,276,321,222,364,180,12,365
2013-14,Players,203084,Harrison Barnes,Harrison,1610612744,GSW,22.0,26,11,15,0.423,56.835,4,9,0.444,1,2,0.5,4,4,1.0,2,5,7,2,2,3,1,0,9,2,13,36,34.4,1,0,31.0,63,37,317,105,102,156,170,138,106,168,28,100,123,1,107,123,130,138,100,21,59,1,347,154,145,29,136,122,12,141
2013-14,Players,203156,Henry Sims,Henry,1610612755,PHI,24.0,7,0,7,0.0,13.636666666666667,1,2,0.5,0,0,0.0,0,2,0.0,1,2,3,0,0,0,1,0,1,2,2,-18,8.6,2,0,7.0,268,355,187,355,260,245,278,83,177,250,177,233,166,233,157,207,212,246,234,193,59,1,97,154,274,378,256,101,12,260
2013-14,Players,200756,Hilton Armstrong,Hilton,1610612744,GSW,29.0,1,1,0,1.0,0.38333333333333336,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1,0,0.0,389,284,1,1,403,305,353,305,177,250,177,233,243,233,252,309,330,246,234,193,128,1,1,276,321,157,364,122,12,365
2013-14,Players,203138,Hollis Thompson,Hollis,1610612755,PHI,23.0,12,2,10,0.167,15.388333333333334,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,1,0,0,0,2,1,3,-21,3.2,0,0,5.0,214,236,231,314,253,245,253,218,106,168,28,233,243,233,252,246,278,246,157,193,128,1,156,202,258,387,308,180,12,286
2013-14,Players,203546,Ian Clark,Ian,1610612762,UTA,23.0,1,0,1,0.0,0.035,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0.0,389,355,17,355,427,305,353,305,177,250,177,233,243,233,252,309,330,246,234,193,128,1,1,276,321,200,364,180,12,365
2013-14,Players,101133,Ian Mahinmi,Ian,1610612754,IND,27.0,2,2,0,1.0,2.195,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,0,2,1,7,2.2,0,0,2.0,355,236,1,1,367,305,353,305,177,250,177,187,166,201,252,246,278,246,234,193,128,1,1,154,309,121,330,180,12,319
2013-14,Players,202697,Iman Shumpert,Iman,1610612752,NYK,24.0,20,5,15,0.25,50.80833333333333,6,9,0.667,3,5,0.6,6,8,0.75,4,4,8,1,1,3,0,0,9,5,21,7,40.1,0,0,39.0,121,147,317,242,130,126,170,40,60,114,21,71,72,139,52,148,112,179,157,21,128,1,347,83,109,121,113,180,12,116
2013-14,Players,203477,Isaiah Canaan,Isaiah,1610612745,HOU,23.0,3,0,3,0.0,7.65,0,3,0.0,0,1,0.0,1,2,0.5,1,1,2,2,0,0,1,1,1,1,1,-5,9.4,0,0,7.0,327,355,100,355,302,305,253,305,177,196,177,187,166,201,157,246,241,138,234,193,59,264,97,202,309,283,247,180,12,260
2013-14,Players,202738,Isaiah Thomas,Isaiah,1610612758,SAC,25.0,27,7,20,0.259,83.49666666666667,21,49,0.429,7,19,0.368,15,16,0.938,3,4,7,12,10,7,0,4,9,13,64,-25,101.4,3,1,104.0,55,97,387,241,38,14,22,151,15,21,82,15,24,80,74,148,130,13,6,3,128,403,347,19,16,401,16,77,3,16
2013-14,Players,202397,Ish Smith,Ish,1610612756,PHX,25.0,10,3,7,0.3,10.506666666666666,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,0,0,-17,0.2,0,0,1.0,231,205,187,211,275,305,278,305,177,196,177,233,243,233,252,246,278,246,157,193,128,1,156,276,321,373,361,180,12,346
2013-14,Players,200826,J.J. Barea,J.J.,1610612750,MIN,30.0,16,3,13,0.188,29.641666666666666,2,14,0.143,0,8,0.0,1,1,1.0,0,5,5,5,0,0,0,1,6,2,5,-5,18.5,1,0,15.0,174,205,282,304,193,203,135,297,177,78,177,187,218,1,252,123,170,67,234,193,128,264,275,154,224,283,203,122,12,215
2013-14,Players,201581,JJ Hickson,JJ,1610612743,DEN,25.0,15,3,12,0.2,42.4,7,12,0.583,0,2,0.0,2,2,1.0,1,15,16,2,4,1,1,1,8,2,16,-19,40.2,8,0,38.0,187,205,263,287,157,105,150,58,177,168,177,149,166,1,157,20,43,138,48,99,59,264,323,154,133,384,112,34,12,118
