Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
2025-26,203076,Anthony Davis,1610612742,DAL,10,5,5,29.3,40.1,39.3,3.2,0.0,0.2,4.0,7.4,3.4,0.08,0.085
2025-26,1630162,Anthony Edwards,1610612750,MIN,19,13,6,34.2,44.9,59.3,3.9,0.3,1.2,7.1,10.1,5.4,0.087,0.121
2025-26,1630264,Anthony Gill,1610612764,WAS,9,0,9,3.6,2.3,2.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2025-26,1641810,Antonio Reeves,1610612766,CHA,5,1,4,10.0,6.4,6.0,0.4,0.0,0.2,1.0,1.2,0.6,0.063,0.094
2025-26,1630574,Ariel Hukporti,1610612752,NYK,14,10,4,7.3,5.6,4.6,0.4,0.1,0.1,1.1,1.1,0.6,0.077,0.103
2025-26,1642854,Asa Newell,1610612737,ATL,15,11,4,8.5,7.1,6.3,0.4,0.1,0.1,0.9,1.1,0.5,0.056,0.075
2025-26,1641709,Ausar Thompson,1610612765,DET,19,14,5,27.8,34.4,35.8,3.1,0.5,0.3,5.8,8.7,3.9,0.09,0.115
2025-26,1630559,Austin Reaves,1610612747,LAL,19,14,5,36.6,52.8,63.4,6.8,0.3,0.8,10.6,16.6,7.9,0.13,0.151
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,19,8,11,27.8,35.9,40.4,3.1,0.4,0.7,5.9,8.7,4.1,0.085,0.114
2025-26,1628389,Bam Adebayo,1610612748,MIA,16,9,7,30.5,31.4,33.3,2.7,0.1,0.3,4.1,6.9,3.1,0.086,0.1
2025-26,1631248,Baylor Scheierman,1610612738,BOS,19,13,6,12.4,10.3,7.2,0.8,0.2,0.3,1.7,2.3,1.2,0.077,0.117
2025-26,1642879,Ben Saraf,1610612751,BKN,12,3,9,16.9,29.7,31.5,2.8,0.2,0.4,4.5,7.4,3.4,0.096,0.115
2025-26,1641767,Ben Sheppard,1610612754,IND,22,4,18,24.9,33.5,28.6,2.0,0.2,0.3,4.1,5.1,2.5,0.058,0.073
2025-26,1631097,Bennedict Mathurin,1610612754,IND,12,4,8,32.7,37.9,44.1,2.3,0.3,0.3,4.8,6.6,3.0,0.062,0.079
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,12,2,10,27.1,27.2,27.3,3.0,0.3,0.3,4.5,8.3,3.7,0.11,0.135
2025-26,202687,Bismack Biyombo,1610612759,SAS,8,5,3,7.2,7.4,3.8,0.4,0.0,0.0,0.5,1.1,0.4,0.051,0.051
2025-26,1631104,Blake Wesley,1610612757,POR,6,4,2,16.3,28.7,29.2,3.2,0.3,0.2,5.5,9.2,3.7,0.11,0.128
2025-26,1626171,Bobby Portis,1610612749,MIL,24,10,14,21.8,30.6,25.2,1.4,0.0,0.1,2.7,3.5,1.5,0.045,0.049
2025-26,1641752,Bobi Klintman,1610612765,DET,6,5,1,8.8,8.7,6.7,0.7,0.0,0.0,1.0,1.5,0.7,0.077,0.077
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,10,2,8,25.4,32.0,31.7,3.2,0.3,0.9,5.8,9.0,4.4,0.1,0.138
2025-26,1630538,Bones Hyland,1610612750,MIN,14,10,4,8.5,15.0,15.8,1.3,0.1,0.0,1.6,3.1,1.4,0.086,0.09
2025-26,203078,Bradley Beal,1610612746,LAC,6,2,4,20.2,18.5,24.3,1.7,0.2,0.0,2.7,4.5,1.8,0.09,0.099
2025-26,1642382,Branden Carlson,1610612760,OKC,15,14,1,8.9,8.3,6.6,0.7,0.0,0.0,0.9,1.8,0.7,0.088,0.088
2025-26,1641764,Brandin Podziemski,1610612744,GSW,24,12,12,27.7,44.5,45.8,2.9,0.4,0.9,6.8,8.3,4.2,0.065,0.094
2025-26,1627742,Brandon Ingram,1610612761,TOR,24,15,9,33.8,32.3,41.7,3.8,0.2,0.6,7.3,9.7,4.5,0.116,0.139
2025-26,1641706,Brandon Miller,1610612766,CHA,7,4,3,25.7,31.4,37.7,2.9,0.1,0.3,5.6,7.3,3.3,0.091,0.105
2025-26,1630314,Brandon Williams,1610612742,DAL,23,8,15,21.6,34.3,39.6,4.1,0.3,0.4,7.4,10.8,4.9,0.12,0.143
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,21,7,14,16.1,12.9,15.4,1.2,0.1,0.2,2.1,3.0,1.6,0.092,0.122
2025-26,1642355,Bronny James,1610612747,LAL,13,8,5,9.5,11.8,12.3,1.6,0.2,0.1,2.4,3.9,1.8,0.136,0.149
2025-26,201572,Brook Lopez,1610612746,LAC,18,5,13,14.1,10.3,13.4,0.5,0.0,0.1,1.1,1.5,0.6,0.049,0.054
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,16,15,1,7.5,6.9,5.0,0.4,0.0,0.1,1.3,1.3,0.5,0.063,0.072
2025-26,1628971,Bruce Brown,1610612743,DEN,22,16,6,23.6,26.5,24.8,1.9,0.3,0.3,3.1,5.1,2.4,0.07,0.091
2025-26,1631121,Bryce McGowens,1610612740,NOP,14,1,13,17.0,13.9,14.5,1.5,0.2,0.1,1.9,3.9,1.9,0.108,0.133
2025-26,1642267,Bub Carrington,1610612764,WAS,22,3,19,25.7,41.4,38.5,4.2,0.3,0.3,6.9,10.1,4.8,0.102,0.115
2025-26,1627741,Buddy Hield,1610612744,GSW,24,12,12,18.7,24.3,23.0,1.7,0.3,0.2,3.0,4.8,2.1,0.068,0.086
2025-26,203468,CJ McCollum,1610612764,WAS,22,3,19,30.0,36.4,45.9,3.4,0.4,0.7,6.3,9.0,4.5,0.092,0.124
2025-26,1630595,Cade Cunningham,1610612765,DET,20,15,5,36.3,66.3,79.8,9.4,1.3,1.7,17.9,24.3,12.3,0.141,0.186
2025-26,1631216,Caleb Houstan,1610612737,ATL,8,5,3,5.4,4.1,4.8,0.3,0.1,0.0,1.1,0.8,0.4,0.061,0.091
2025-26,1631126,Caleb Love,1610612757,POR,15,5,10,17.9,21.8,25.3,1.9,0.2,0.2,2.9,4.7,2.2,0.086,0.101
2025-26,1628997,Caleb Martin,1610612742,DAL,22,8,14,9.1,7.8,6.3,0.9,0.1,0.1,1.7,2.6,1.1,0.111,0.14
2025-26,1642353,Cam Christie,1610612746,LAC,16,3,13,11.5,13.3,13.4,0.6,0.0,0.5,1.4,1.5,1.1,0.042,0.085
2025-26,1642285,Cam Spencer,1610612763,MEM,23,10,13,20.8,37.7,41.7,3.8,0.5,0.6,8.3,9.5,4.8,0.1,0.128
2025-26,1630560,Cam Thomas,1610612751,BKN,8,1,7,28.3,31.0,47.5,2.6,0.1,0.5,7.3,6.9,3.3,0.085,0.105
2025-26,1641715,Cam Whitmore,1610612764,WAS,21,3,18,16.9,10.5,14.3,0.7,0.0,0.0,1.4,1.8,0.7,0.068,0.068
2025-26,1629661,Cameron Johnson,1610612743,DEN,21,15,6,29.6,25.8,26.5,2.2,0.2,0.3,3.8,5.7,2.7,0.087,0.105
2025-26,1627747,Caris LeVert,1610612765,DET,18,14,4,20.4,26.0,29.1,2.8,0.3,0.2,5.3,7.1,3.3,0.109,0.126
2025-26,1642868,Carter Bryant,1610612759,SAS,17,13,4,7.9,5.0,4.9,0.1,0.0,0.1,0.4,0.1,0.1,0.012,0.024
2025-26,1641717,Cason Wallace,1610612760,OKC,22,21,1,28.3,30.0,27.2,2.4,0.3,0.4,5.4,6.3,3.1,0.08,0.103
2025-26,1642907,Cedric Coward,1610612763,MEM,23,10,13,27.2,39.5,31.0,2.7,0.2,0.7,4.9,6.7,3.6,0.068,0.091
2025-26,1629646,Charles Bassey,1610612763,MEM,2,0,2,15.3,12.0,5.0,1.0,0.0,0.0,1.5,2.5,1.0,0.083,0.083
2025-26,1642404,Chaz Lanier,1610612765,DET,13,12,1,10.3,6.0,7.8,0.8,0.2,0.0,0.9,1.9,0.9,0.128,0.154
2025-26,1631096,Chet Holmgren,1610612760,OKC,19,19,0,29.3,27.5,24.0,1.7,0.1,0.2,2.9,4.2,2.0,0.063,0.073
2025-26,1628449,Chris Boucher,1610612738,BOS,8,3,5,11.3,9.6,7.1,0.4,0.0,0.1,0.6,1.1,0.5,0.039,0.052
2025-26,1641753,Chris Livingston,1610612739,CLE,3,2,1,5.8,4.7,5.3,0.3,0.0,0.0,0.3,0.7,0.3,0.071,0.071
2025-26,1643024,Chris Mañon,1610612747,LAL,2,1,1,3.5,2.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.2
2025-26,101108,Chris Paul,1610612746,LAC,16,4,12,14.2,26.1,27.1,3.3,0.3,0.3,6.8,9.1,3.9,0.127,0.151
2025-26,1642959,Chris Youngblood,1610612760,OKC,17,17,0,5.2,2.8,3.1,0.2,0.0,0.1,0.3,0.6,0.4,0.083,0.125
2025-26,1631128,Christian Braun,1610612743,DEN,11,9,2,29.6,32.3,32.0,3.0,0.5,0.3,4.6,8.1,3.8,0.093,0.118
2025-26,1631132,Christian Koloko,1610612747,LAL,2,1,1,3.2,4.0,3.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.125
2025-26,1642935,Chucky Hepburn,1610612761,TOR,1,0,1,4.9,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,203991,Clint Capela,1610612745,HOU,20,14,6,11.9,11.9,6.7,0.5,0.1,0.1,1.1,1.3,0.6,0.038,0.05
2025-26,1629632,Coby White,1610612741,CHI,6,2,4,30.0,35.7,51.2,6.2,0.2,1.0,10.0,16.7,7.3,0.173,0.206
2025-26,1628998,Cody Martin,1610612754,IND,4,0,4,13.8,14.3,10.8,0.5,0.3,0.3,1.8,1.8,1.0,0.035,0.07
2025-26,1642262,Cody Williams,1610612762,UTA,12,4,8,12.4,7.1,7.1,0.5,0.0,0.1,0.9,1.3,0.6,0.071,0.082
2025-26,1641732,Colby Jones,1610612765,DET,1,0,1,6.8,8.0,6.0,2.0,1.0,0.0,4.0,5.0,3.0,0.25,0.375
2025-26,1630175,Cole Anthony,1610612749,MIL,22,9,13,15.9,27.2,31.9,4.1,0.5,0.4,7.0,11.0,5.0,0.15,0.185
2025-26,1631221,Collin Gillespie,1610612756,PHX,23,13,10,26.9,43.3,46.5,4.9,0.3,0.7,7.8,12.6,5.9,0.112,0.137
2025-26,1642867,Collin Murray-Boyles,1610612761,TOR,19,11,8,18.0,20.8,17.2,1.3,0.1,0.2,2.6,3.3,1.5,0.061,0.071
2025-26,1629012,Collin Sexton,1610612766,CHA,21,6,15,25.2,37.3,48.4,4.2,0.4,0.4,7.2,11.0,5.0,0.114,0.135
2025-26,1642843,Cooper Flagg,1610612742,DAL,24,9,15,33.7,42.3,39.5,3.3,0.0,0.4,7.0,8.3,3.7,0.077,0.088
2025-26,1630557,Corey Kispert,1610612764,WAS,17,2,15,19.9,16.8,15.9,1.7,0.1,0.1,2.4,4.4,1.9,0.101,0.112
2025-26,1641854,Craig Porter Jr.,1610612739,CLE,22,13,9,17.2,25.5,22.6,2.3,0.2,0.4,5.1,6.1,3.0,0.091,0.116
2025-26,1642938,Curtis Jones,1610612743,DEN,2,2,0,1.6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1626156,D'Angelo Russell,1610612742,DAL,21,7,14,20.3,35.1,37.7,4.3,0.7,0.5,7.7,11.7,5.5,0.123,0.156
2025-26,1641747,DaRon Holmes II,1610612743,DEN,2,2,0,2.2,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631342,Daeqwon Plowden,1610612758,SAC,1,0,1,14.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,1631207,Dalen Terry,1610612741,CHI,12,5,7,10.6,13.7,11.7,1.3,0.0,0.4,3.0,3.6,1.8,0.098,0.128
2025-26,1642261,Dalton Knecht,1610612747,LAL,19,14,5,15.8,12.6,12.9,0.6,0.1,0.1,1.2,1.8,0.8,0.05,0.067
2025-26,1629655,Daniel Gafford,1610612742,DAL,15,4,11,22.9,19.5,14.9,1.3,0.1,0.1,1.9,3.2,1.5,0.065,0.075
2025-26,1642450,Daniss Jenkins,1610612765,DET,18,14,4,18.1,28.9,32.7,3.5,0.3,0.4,6.3,9.1,4.3,0.121,0.148
2025-26,1642874,Danny Wolf,1610612751,BKN,9,3,6,15.7,22.9,23.2,1.8,0.3,0.7,4.6,4.7,2.8,0.078,0.121
2025-26,203967,Dario Šarić,1610612758,SAC,3,1,2,9.2,6.7,5.3,0.7,0.0,0.3,0.7,1.7,1.0,0.1,0.15
2025-26,1629636,Darius Garland,1610612739,CLE,9,4,5,28.3,40.1,47.7,6.2,0.3,0.4,12.1,15.3,6.9,0.155,0.172
2025-26,1642357,David Jones Garcia,1610612759,SAS,10,6,4,6.7,8.9,9.9,1.8,0.0,0.3,1.8,4.0,2.0,0.202,0.225
2025-26,1630558,Davion Mitchell,1610612748,MIA,21,13,8,30.0,59.4,58.3,7.6,0.8,1.5,13.1,20.7,9.9,0.128,0.167
2025-26,1630549,Day'Ron Sharpe,1610612751,BKN,22,6,16,16.2,21.0,18.2,1.8,0.0,0.0,3.0,4.6,1.9,0.084,0.089
2025-26,1628368,De'Aaron Fox,1610612759,SAS,14,9,5,32.9,52.1,64.9,6.5,0.9,1.3,12.1,18.1,8.6,0.125,0.166
2025-26,1629631,De'Andre Hunter,1610612739,CLE,21,12,9,28.8,29.2,31.4,2.5,0.4,0.6,5.2,6.6,3.4,0.085,0.117
2025-26,1629001,De'Anthony Melton,1610612744,GSW,1,0,1,21.1,30.0,36.0,3.0,0.0,0.0,6.0,7.0,3.0,0.1,0.1
2025-26,201599,DeAndre Jordan,1610612740,NOP,2,0,2,11.7,13.0,12.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.077
2025-26,201942,DeMar DeRozan,1610612758,SAC,23,6,17,33.0,23.4,34.4,3.5,0.1,0.6,6.4,9.2,4.2,0.15,0.178
2025-26,1629731,Dean Wade,1610612739,CLE,23,13,10,22.2,20.2,15.6,1.6,0.1,0.2,2.8,4.4,2.0,0.08,0.097
2025-26,1629028,Deandre Ayton,1610612747,LAL,20,14,6,29.4,29.4,22.9,0.9,0.0,0.1,2.3,2.0,0.9,0.029,0.031
2025-26,1630166,Deni Avdija,1610612757,POR,23,9,14,34.5,60.1,64.9,6.2,0.6,1.1,13.9,17.1,7.8,0.103,0.13
2025-26,203471,Dennis Schröder,1610612758,SAC,18,5,13,29.2,54.9,58.3,6.0,0.7,0.5,8.9,15.7,7.2,0.109,0.131
2025-26,1641726,Dereck Lively II,1610612742,DAL,7,3,4,16.5,19.7,13.3,1.9,0.6,0.3,2.4,5.0,2.7,0.094,0.138
2025-26,1642852,Derik Queen,1610612740,NOP,24,3,21,24.5,35.7,29.4,3.6,0.3,0.3,5.3,9.1,4.2,0.102,0.117
2025-26,1627884,Derrick Jones Jr.,1610612746,LAC,13,4,9,24.9,20.8,20.6,1.1,0.0,0.2,1.6,2.6,1.2,0.052,0.059
2025-26,1628401,Derrick White,1610612738,BOS,22,13,9,33.0,58.8,57.5,5.3,0.3,0.5,9.4,13.3,6.1,0.09,0.104
2025-26,1630217,Desmond Bane,1610612753,ORL,23,14,9,33.0,40.3,47.3,4.5,0.4,0.6,7.3,11.7,5.5,0.112,0.137
2025-26,1626164,Devin Booker,1610612756,PHX,22,13,9,34.7,40.5,61.2,6.7,0.6,1.4,13.8,18.4,8.6,0.165,0.213
2025-26,1642269,Devin Carter,1610612758,SAC,8,1,7,8.1,9.8,9.6,1.1,0.0,0.0,2.0,2.8,1.1,0.115,0.115
2025-26,1630170,Devin Vassell,1610612759,SAS,22,15,7,32.7,33.9,37.3,2.4,0.2,0.6,4.2,5.8,3.2,0.07,0.094
2025-26,1628415,Dillon Brooks,1610612756,PHX,17,10,7,31.4,25.6,36.9,1.9,0.3,0.4,3.2,4.8,2.5,0.074,0.099
2025-26,1627734,Domantas Sabonis,1610612758,SAC,11,2,9,33.2,53.2,41.6,3.7,0.5,0.6,6.5,9.2,4.9,0.07,0.092
2025-26,1631230,Dominick Barlow,1610612755,PHI,13,8,5,26.5,26.9,21.8,2.2,0.1,0.3,2.8,5.5,2.5,0.08,0.094
2025-26,1642270,Donovan Clingan,1610612757,POR,21,9,12,25.2,24.3,18.2,1.7,0.1,0.1,2.7,4.1,2.0,0.069,0.08
2025-26,1628378,Donovan Mitchell,1610612739,CLE,23,13,10,34.3,45.7,60.0,5.5,0.8,1.2,11.8,14.7,7.4,0.12,0.163
2025-26,1628978,Donte DiVincenzo,1610612750,MIN,23,15,8,31.3,42.6,38.4,3.7,0.4,0.5,5.5,9.3,4.5,0.086,0.106
2025-26,203926,Doug McDermott,1610612758,SAC,1,0,1,7.8,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-26,1642962,Drake Powell,1610612751,BKN,16,5,11,19.2,21.9,21.2,2.1,0.1,0.4,4.4,6.2,2.6,0.094,0.117
2025-26,203110,Draymond Green,1610612744,GSW,20,10,10,28.1,60.3,49.8,5.5,0.7,0.8,10.0,14.8,6.9,0.09,0.114
2025-26,1629234,Drew Eubanks,1610612758,SAC,23,6,17,15.3,11.4,10.4,0.3,0.0,0.0,0.7,0.9,0.4,0.031,0.034
2025-26,1641809,Drew Peterson,1610612766,CHA,4,0,4,13.3,13.8,10.0,0.5,0.0,0.0,1.5,1.3,0.5,0.036,0.036
2025-26,1631166,Drew Timme,1610612747,LAL,2,1,1,3.9,6.0,3.5,1.5,0.0,0.0,1.5,3.5,1.5,0.25,0.25
2025-26,1630696,Dru Smith,1610612748,MIA,22,13,9,17.1,28.5,28.1,2.9,0.2,0.3,4.8,7.7,3.4,0.102,0.12
2025-26,1629130,Duncan Robinson,1610612765,DET,21,17,4,31.7,27.5,27.3,1.9,0.3,0.2,3.4,4.8,2.4,0.067,0.087
2025-26,1641871,Duop Reath,1610612757,POR,18,9,9,7.6,6.2,5.8,0.2,0.0,0.2,0.6,0.6,0.4,0.036,0.063
2025-26,203939,Dwight Powell,1610612742,DAL,20,7,13,10.9,10.6,7.6,0.9,0.1,0.1,1.3,2.4,1.1,0.085,0.104
2025-26,1642928,Dylan Cardwell,1610612758,SAC,3,1,2,10.8,6.0,6.3,0.0,0.3,0.0,0.7,0.3,0.3,0.0,0.056
2025-26,1642844,Dylan Harper,1610612759,SAS,12,9,3,21.5,30.9,38.1,3.8,0.5,0.7,7.3,10.2,4.9,0.121,0.159
2025-26,1630700,Dyson Daniels,1610612737,ATL,25,14,11,33.9,52.6,48.0,5.8,0.5,0.8,9.7,14.8,7.0,0.11,0.134
2025-26,1630604,E.J. Liddell,1610612751,BKN,7,1,6,4.6,3.4,3.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2025-26,1642856,Egor Dëmin,1610612751,BKN,21,6,15,23.0,41.4,38.6,3.7,0.4,0.5,8.4,10.8,4.6,0.089,0.11
2025-26,1641989,Elijah Harkless,1610612762,UTA,7,2,5,9.4,5.6,5.3,0.7,0.0,0.0,1.1,1.9,0.7,0.128,0.128
2025-26,1641801,Emanuel Miller,1610612741,CHI,4,0,4,7.2,6.0,6.3,1.0,0.0,0.0,0.0,2.0,1.0,0.167,0.167
2025-26,201569,Eric Gordon,1610612755,PHI,5,3,2,11.3,11.6,11.4,0.6,0.0,0.0,1.0,1.2,0.6,0.052,0.052
2025-26,1630679,Ethan Thompson,1610612754,IND,3,1,2,14.8,14.7,13.7,1.3,0.0,0.0,2.0,3.3,1.3,0.091,0.091
2025-26,1630596,Evan Mobley,1610612739,CLE,24,13,11,34.1,49.2,42.6,4.0,0.3,0.4,8.4,10.8,4.8,0.082,0.097
2025-26,1630532,Franz Wagner,1610612753,ORL,23,14,9,34.5,39.1,44.3,3.8,0.6,0.4,7.1,10.0,4.8,0.097,0.122
2025-26,1641713,GG Jackson,1610612763,MEM,8,4,4,6.8,7.4,7.4,0.3,0.0,0.0,1.1,0.5,0.3,0.034,0.034
2025-26,1629216,Gabe Vincent,1610612747,LAL,11,8,3,22.6,19.8,20.4,1.8,0.0,0.1,2.5,4.1,1.9,0.092,0.096
2025-26,202066,Garrett Temple,1610612761,TOR,4,3,1,4.1,7.0,5.5,0.3,0.0,0.0,0.3,0.5,0.3,0.036,0.036
2025-26,1629726,Garrison Mathews,1610612754,IND,8,3,5,13.3,12.4,10.3,0.5,0.0,0.0,1.1,1.3,0.5,0.04,0.04
2025-26,203914,Gary Harris,1610612749,MIL,15,5,10,13.0,11.1,8.1,1.2,0.1,0.0,1.7,3.5,1.3,0.108,0.12
2025-26,1627780,Gary Payton II,1610612744,GSW,23,11,12,12.7,19.7,14.8,1.7,0.0,0.1,2.8,4.5,1.9,0.086,0.095
2025-26,1629018,Gary Trent Jr.,1610612749,MIL,24,10,14,27.5,14.4,20.2,1.8,0.0,0.3,2.3,4.2,2.1,0.125,0.148
2025-26,203507,Giannis Antetokounmpo,1610612749,MIL,17,9,8,29.1,43.4,50.2,6.1,0.3,1.1,11.5,17.4,7.5,0.141,0.172
2025-26,1629048,Goga Bitadze,1610612753,ORL,22,14,8,17.1,18.4,12.4,1.5,0.0,0.0,1.9,3.5,1.5,0.081,0.084
2025-26,1641711,Gradey Dick,1610612761,TOR,24,15,9,16.4,10.3,12.8,0.7,0.0,0.2,1.4,1.7,0.9,0.065,0.089
2025-26,1628960,Grayson Allen,1610612756,PHX,15,8,7,31.3,38.8,43.0,3.9,0.7,0.3,7.7,10.8,4.9,0.101,0.125
2025-26,1627824,Guerschon Yabusele,1610612752,NYK,21,15,6,10.1,8.6,8.2,0.4,0.0,0.0,0.5,1.1,0.5,0.05,0.056
2025-26,1630611,Gui Santos,1610612744,GSW,17,8,9,8.7,11.8,10.5,0.5,0.1,0.1,1.1,1.4,0.7,0.045,0.06
2025-26,203084,Harrison Barnes,1610612759,SAS,22,15,7,30.9,26.9,24.0,2.3,0.2,0.1,3.6,6.0,2.6,0.084,0.098
2025-26,1631127,Harrison Ingram,1610612759,SAS,3,2,1,3.6,3.3,1.7,0.0,0.0,0.3,0.3,1.0,0.7,0.0,0.2
2025-26,1630529,Herbert Jones,1610612740,NOP,16,2,14,30.3,35.1,29.2,2.3,0.2,0.2,3.7,5.8,2.7,0.066,0.077
2025-26,1642864,Hugo González,1610612738,BOS,18,11,7,11.8,9.2,7.4,0.6,0.0,0.1,1.4,1.6,0.7,0.06,0.072
2025-26,1630621,Hunter Dickinson,1610612740,NOP,1,0,1,4.7,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,1642282,Hunter Sallis,1610612755,PHI,6,3,3,4.2,8.3,9.3,0.7,0.2,0.3,1.3,2.2,1.2,0.08,0.14
2025-26,1641816,Hunter Tyson,1610612743,DEN,8,7,1,3.5,5.4,3.8,0.4,0.0,0.0,0.6,1.0,0.4,0.07,0.07
2025-26,1630193,Immanuel Quickley,1610612761,TOR,24,15,9,32.3,55.2,60.3,6.3,0.5,0.8,10.6,15.5,7.6,0.113,0.137
2025-26,1642403,Isaac Jones,1610612765,DET,4,2,2,4.6,1.5,0.8,0.3,0.0,0.3,0.0,0.5,0.5,0.167,0.333
2025-26,1630171,Isaac Okoro,1610612741,CHI,15,8,7,24.8,16.6,17.3,1.6,0.1,0.1,2.5,4.0,1.8,0.096,0.108
2025-26,1642268,Isaiah Collier,1610612762,UTA,14,5,9,21.4,47.9,46.9,5.4,0.8,0.4,12.1,14.8,6.6,0.113,0.137
2025-26,1642384,Isaiah Crawford,1610612745,HOU,2,1,1,2.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1628392,Isaiah Hartenstein,1610612760,OKC,19,18,1,27.8,41.0,28.1,3.4,0.3,0.2,5.9,8.1,3.8,0.082,0.092
