Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
2024-25,1629026,Kenrich Williams,1610612760,OKC,69,58,11,1132.0,62,153,0.405,185,61,149,0.409,0.605
2024-25,203484,Kentavious Caldwell-Pope,1610612753,ORL,77,38,39,2279.0,101,276,0.366,296,94,263,0.357,0.536
2024-25,1631165,Keon Ellis,1610612758,SAC,80,39,41,1948.0,119,269,0.442,352,114,263,0.433,0.654
2024-25,1630553,Keon Johnson,1610612751,BKN,79,25,54,1925.0,107,314,0.341,319,105,308,0.341,0.508
2024-25,1642352,Keshad Johnson,1610612748,MIA,16,10,6,98.0,2,6,0.333,6,2,6,0.333,0.5
2024-25,1630556,Kessler Edwards,1610612742,DAL,40,17,23,608.0,24,55,0.436,70,22,51,0.431,0.636
2024-25,201142,Kevin Durant,1610612756,PHX,62,33,29,2265.0,168,352,0.477,471,135,296,0.456,0.669
2024-25,1628989,Kevin Huerter,1610612741,CHI,69,39,30,1679.0,99,302,0.328,295,97,298,0.326,0.488
2024-25,1628995,Kevin Knox II,1610612744,GSW,14,11,3,84.0,3,14,0.214,9,3,14,0.214,0.321
2024-25,201567,Kevin Love,1610612748,MIA,23,13,10,251.0,21,60,0.35,61,19,55,0.345,0.508
2024-25,1641755,Kevin McCullar Jr.,1610612752,NYK,4,4,0,29.0,0,1,0.0,0,0,1,0.0,0.0
2024-25,1629645,Kevin Porter Jr.,1610612749,MIL,75,43,32,1482.0,23,69,0.333,66,20,65,0.308,0.478
2024-25,1626172,Kevon Looney,1610612744,GSW,76,45,31,1142.0,10,31,0.323,22,2,4,0.5,0.355
2024-25,1641718,Keyonte George,1610612762,UTA,67,13,54,2108.0,91,248,0.367,270,88,241,0.365,0.544
2024-25,203114,Khris Middleton,1610612764,WAS,37,18,19,843.0,28,70,0.4,79,23,63,0.365,0.564
2024-25,1630165,Killian Hayes,1610612751,BKN,6,1,5,162.0,7,17,0.412,21,7,16,0.438,0.618
2024-25,202691,Klay Thompson,1610612742,DAL,72,33,39,1965.0,187,448,0.417,548,174,410,0.424,0.612
2024-25,1641738,Kobe Brown,1610612746,LAC,40,25,15,272.0,6,24,0.25,18,6,24,0.25,0.375
2024-25,1641723,Kobe Bufkin,1610612737,ATL,10,6,4,124.0,3,14,0.214,9,3,14,0.214,0.321
2024-25,1627739,Kris Dunn,1610612746,LAC,74,45,29,1783.0,68,207,0.329,204,68,205,0.332,0.493
2024-25,1631200,Kris Murray,1610612757,POR,69,31,38,1040.0,24,104,0.231,71,23,102,0.225,0.341
2024-25,204001,Kristaps Porziņģis,1610612738,BOS,42,30,12,1210.0,111,252,0.44,322,100,234,0.427,0.639
2024-25,203937,Kyle Anderson,1610612748,MIA,61,30,31,1002.0,25,66,0.379,70,20,54,0.37,0.53
2024-25,1642271,Kyle Filipowski,1610612762,UTA,72,13,59,1522.0,74,210,0.352,218,70,202,0.347,0.519
2024-25,1628398,Kyle Kuzma,1610612749,MIL,65,25,40,1936.0,73,231,0.316,217,71,222,0.32,0.47
2024-25,200768,Kyle Lowry,1610612755,PHI,35,14,21,659.0,21,64,0.328,63,21,63,0.333,0.492
2024-25,1630283,Kylor Kelley,1610612740,NOP,11,3,8,126.0,1,3,0.333,2,,,,0.333
2024-25,202681,Kyrie Irving,1610612742,DAL,50,28,22,1804.0,68,154,0.442,199,63,144,0.438,0.646
2024-25,1642273,Kyshawn George,1610612764,WAS,68,15,53,1802.0,91,263,0.346,272,90,261,0.345,0.517
2024-25,1630163,LaMelo Ball,1610612766,CHA,47,16,31,1504.0,82,221,0.371,244,80,218,0.367,0.552
2024-25,1630205,Lamar Stevens,1610612763,MEM,17,7,10,156.0,7,24,0.292,21,7,24,0.292,0.438
2024-25,1629013,Landry Shamet,1610612752,NYK,50,30,20,762.0,52,121,0.43,156,52,117,0.444,0.645
2024-25,1626204,Larry Nance Jr.,1610612737,ATL,24,10,14,463.0,36,79,0.456,105,33,74,0.446,0.665
2024-25,1628374,Lauri Markkanen,1610612762,UTA,47,9,38,1476.0,129,377,0.342,386,128,366,0.35,0.512
2024-25,2544,LeBron James,1610612747,LAL,70,44,26,2444.0,97,226,0.429,280,86,205,0.42,0.619
2024-25,1631159,Leonard Miller,1610612750,MIN,13,11,2,32.0,0,4,0.0,0,0,4,0.0,0.0
2024-25,1631311,Lester Quinones,1610612740,NOP,13,3,10,183.0,10,28,0.357,30,10,28,0.357,0.536
2024-25,1641857,Liam Robbins,1610612749,MIL,13,8,5,57.0,0,2,0.0,0,0,2,0.0,0.0
2024-25,1630322,Lindy Waters III,1610612765,DET,52,27,25,778.0,52,157,0.331,154,50,151,0.331,0.49
2024-25,1629022,Lonnie Walker IV,1610612755,PHI,20,3,17,477.0,33,85,0.388,98,32,84,0.381,0.576
2024-25,1628366,Lonzo Ball,1610612741,CHI,35,16,19,777.0,50,153,0.327,149,49,151,0.325,0.487
2024-25,1629652,Luguentz Dort,1610612760,OKC,71,57,14,2073.0,153,360,0.425,455,149,353,0.422,0.632
2024-25,1629029,Luka Dončić,1610612747,LAL,50,31,19,1769.0,51,130,0.392,147,45,122,0.369,0.565
2024-25,1630568,Luka Garza,1610612750,MIN,39,28,11,219.0,12,39,0.308,34,10,35,0.286,0.436
2024-25,1628379,Luke Kennard,1610612763,MEM,65,37,28,1472.0,96,205,0.468,283,91,194,0.469,0.69
2024-25,1628436,Luke Kornet,1610612738,BOS,73,53,20,1361.0,2,4,0.5,4,0,1,0.0,0.5
2024-25,1631247,Luke Travers,1610612739,CLE,12,10,2,88.0,0,7,0.0,0,0,7,0.0,0.0
2024-25,1630644,Mac McClung,1610612753,ORL,2,1,1,10.0,0,1,0.0,0,0,1,0.0,0.0
2024-25,1630201,Malachi Flynn,1610612766,CHA,4,2,2,44.0,1,4,0.25,3,1,4,0.25,0.375
2024-25,1631103,Malaki Branham,1610612759,SAS,47,18,29,427.0,27,65,0.415,81,27,64,0.422,0.623
2024-25,1627763,Malcolm Brogdon,1610612764,WAS,24,6,18,564.0,13,36,0.361,39,13,35,0.371,0.542
2024-25,1642502,Malevy Leons,1610612760,OKC,6,6,0,21.0,0,1,0.0,0,0,1,0.0,0.0
2024-25,1627736,Malik Beasley,1610612765,DET,82,44,38,2283.0,245,568,0.431,735,245,568,0.431,0.647
2024-25,1628370,Malik Monk,1610612758,SAC,65,36,29,2054.0,86,251,0.343,258,86,248,0.347,0.514
2024-25,1630699,MarJon Beauchamp,1610612752,NYK,35,19,16,156.0,4,14,0.286,12,4,14,0.286,0.429
2024-25,1630542,Marcus Bagley,1610612755,PHI,10,1,9,253.0,5,28,0.179,14,4,27,0.148,0.25
2024-25,1630585,Marcus Garrett,1610612766,CHA,4,1,3,79.0,3,7,0.429,9,3,7,0.429,0.643
2024-25,1631204,Marcus Sasser,1610612765,DET,57,30,27,811.0,21,61,0.344,61,19,56,0.339,0.5
2024-25,203935,Marcus Smart,1610612764,WAS,34,17,17,680.0,37,108,0.343,110,36,105,0.343,0.509
2024-25,1631109,Mark Williams,1610612766,CHA,44,9,35,1171.0,12,38,0.316,24,0,3,0.0,0.316
2024-25,1628365,Markelle Fultz,1610612758,SAC,21,9,12,184.0,5,9,0.556,14,4,7,0.571,0.778
2024-25,202693,Markieff Morris,1610612747,LAL,15,7,8,164.0,10,34,0.294,29,9,31,0.29,0.426
2024-25,1628963,Marvin Bagley III,1610612763,MEM,31,7,24,265.0,3,25,0.12,9,3,19,0.158,0.18
2024-25,1630222,Mason Jones,1610612758,SAC,10,4,6,45.0,1,7,0.143,3,1,7,0.143,0.214
2024-25,203486,Mason Plumlee,1610612756,PHX,74,33,41,1300.0,0,6,0.0,0,0,1,0.0,0.0
2024-25,1641824,Matas Buzelis,1610612741,CHI,80,39,41,1511.0,90,249,0.361,268,88,244,0.361,0.538
2024-25,1629680,Matisse Thybulle,1610612757,POR,15,8,7,312.0,19,43,0.442,56,18,42,0.429,0.651
2024-25,1630346,Matt Ryan,1610612752,NYK,19,14,5,68.0,5,17,0.294,15,5,15,0.333,0.441
2024-25,1631108,Max Christie,1610612742,DAL,78,40,38,2127.0,108,267,0.404,324,108,266,0.406,0.607
2024-25,1629622,Max Strus,1610612739,CLE,50,39,11,1273.0,100,244,0.41,300,100,244,0.41,0.615
2024-25,1628467,Maxi Kleber,1610612747,LAL,34,18,16,637.0,12,48,0.25,35,11,46,0.239,0.365
2024-25,1641721,Maxwell Lewis,1610612751,BKN,28,9,19,328.0,14,35,0.4,42,14,34,0.412,0.6
2024-25,1630695,Micah Potter,1610612762,UTA,38,10,28,705.0,33,98,0.337,97,31,95,0.326,0.495
2024-25,1629008,Michael Porter Jr.,1610612743,DEN,77,47,30,2593.0,155,381,0.407,458,148,354,0.418,0.601
2024-25,1628969,Mikal Bridges,1610612752,NYK,82,51,31,3036.0,176,444,0.396,500,148,398,0.372,0.563
2024-25,201144,Mike Conley,1610612750,MIN,71,44,27,1756.0,71,164,0.433,213,71,162,0.438,0.649
2024-25,1628970,Miles Bridges,1610612766,CHA,64,16,48,2029.0,90,258,0.349,267,87,252,0.345,0.517
2024-25,1630540,Miles McBride,1610612752,NYK,64,39,25,1593.0,78,197,0.396,234,78,193,0.404,0.594
2024-25,1641936,Miles Norris,1610612738,BOS,3,2,1,35.0,2,7,0.286,6,2,7,0.286,0.429
2024-25,1629011,Mitchell Robinson,1610612752,NYK,17,10,7,290.0,0,0,,0,,,,
2024-25,1628964,Mo Bamba,1610612740,NOP,32,19,13,413.0,16,57,0.281,47,15,54,0.278,0.412
2024-25,1628420,Monté Morris,1610612756,PHX,45,21,24,571.0,29,73,0.397,85,27,70,0.386,0.582
2024-25,1629021,Moritz Wagner,1610612753,ORL,30,18,12,564.0,27,75,0.36,81,27,74,0.365,0.54
2024-25,1629650,Moses Brown,1610612742,DAL,13,5,8,119.0,1,2,0.5,2,,,,0.5
2024-25,1630541,Moses Moody,1610612744,GSW,74,45,29,1649.0,110,306,0.359,330,110,298,0.369,0.539
2024-25,1631243,Mouhamed Gueye,1610612737,ATL,33,15,18,533.0,24,86,0.279,69,21,79,0.266,0.401
2024-25,1631217,Moussa Diabaté,1610612766,CHA,71,15,56,1241.0,5,16,0.313,10,0,5,0.0,0.313
2024-25,1626167,Myles Turner,1610612754,IND,72,44,28,2174.0,188,437,0.43,519,143,356,0.402,0.594
2024-25,1642368,N'Faly Dante,1610612745,HOU,4,0,4,51.0,0,0,,0,,,,
2024-25,1641772,Nae'Qwan Tomlin,1610612739,CLE,5,4,1,63.0,2,7,0.286,6,2,7,0.286,0.429
2024-25,1630230,Naji Marshall,1610612742,DAL,69,32,37,1919.0,62,192,0.323,182,58,187,0.31,0.474
2024-25,1631466,Nate Williams,1610612745,HOU,20,14,6,147.0,6,24,0.25,18,6,24,0.25,0.375
2024-25,1629675,Naz Reid,1610612750,MIN,80,47,33,2200.0,143,383,0.373,426,140,375,0.373,0.556
2024-25,1629674,Neemias Queta,1610612738,BOS,62,46,16,863.0,4,10,0.4,8,0,3,0.0,0.4
2024-25,1629651,Nic Claxton,1610612751,BKN,70,20,50,1882.0,22,69,0.319,48,4,19,0.211,0.348
2024-25,1630208,Nick Richards,1610612756,PHX,57,17,40,1256.0,15,27,0.556,30,0,1,0.0,0.556
2024-25,1641733,Nick Smith Jr.,1610612766,CHA,60,14,46,1369.0,77,229,0.336,231,77,225,0.342,0.504
2024-25,1629638,Nickeil Alexander-Walker,1610612750,MIN,82,49,33,2073.0,128,300,0.427,381,125,294,0.425,0.635
2024-25,201587,Nicolas Batum,1610612746,LAC,78,47,31,1367.0,89,201,0.443,264,86,193,0.446,0.657
2024-25,203999,Nikola Jokić,1610612743,DEN,70,46,24,2571.0,141,289,0.488,388,106,234,0.453,0.671
2024-25,1631107,Nikola Jović,1610612748,MIA,46,21,25,1156.0,72,193,0.373,215,71,190,0.374,0.557
2024-25,202696,Nikola Vučević,1610612741,CHI,73,34,39,2278.0,180,421,0.428,487,127,318,0.399,0.578
2024-25,1641730,Noah Clowney,1610612751,BKN,46,11,35,1042.0,81,240,0.338,243,81,240,0.338,0.506
2024-25,1626181,Norman Powell,1610612746,LAC,60,39,21,1958.0,113,249,0.454,334,108,239,0.452,0.671
2024-25,1628384,OG Anunoby,1610612752,NYK,74,45,29,2706.0,144,376,0.383,427,139,367,0.379,0.568
2024-25,1630167,Obi Toppin,1610612754,IND,79,48,31,1545.0,101,264,0.383,301,99,259,0.382,0.57
2024-25,1630534,Ochai Agbaji,1610612761,TOR,64,19,45,1739.0,93,235,0.396,279,93,234,0.397,0.594
2024-25,1641765,Olivier-Maxence Prosper,1610612742,DAL,52,27,25,584.0,14,51,0.275,40,12,44,0.273,0.392
2024-25,1630168,Onyeka Okongwu,1610612737,ATL,74,35,39,2064.0,52,155,0.335,152,48,146,0.329,0.49
2024-25,1631115,Orlando Robinson,1610612761,TOR,44,23,21,770.0,25,67,0.373,67,17,49,0.347,0.5
2024-25,1631131,Oscar Tshiebwe,1610612762,UTA,14,3,11,255.0,1,5,0.2,2,,,,0.2
2024-25,1629052,Oshae Brissett,1610612755,PHI,6,1,5,142.0,4,16,0.25,12,4,16,0.25,0.375
2024-25,1642345,Oso Ighodaro,1610612756,PHX,61,25,36,1046.0,12,30,0.4,24,0,0,,0.4
2024-25,1631172,Ousmane Dieng,1610612760,OKC,37,30,7,405.0,23,60,0.383,67,21,57,0.368,0.558
2024-25,200782,P.J. Tucker,1610612752,NYK,3,1,2,58.0,3,5,0.6,9,3,5,0.6,0.9
2024-25,1629023,P.J. Washington,1610612742,DAL,57,31,26,1835.0,73,181,0.403,217,71,178,0.399,0.599
2024-25,1628408,PJ Dozier,1610612750,MIN,9,7,2,35.0,2,3,0.667,6,2,3,0.667,1.0
2024-25,1641790,PJ Hall,1610612743,DEN,19,12,7,66.0,3,8,0.375,8,2,7,0.286,0.5
2024-25,1642359,Pacôme Dadiet,1610612752,NYK,18,14,4,111.0,7,19,0.368,20,6,18,0.333,0.526
2024-25,1631094,Paolo Banchero,1610612753,ORL,46,21,25,1582.0,34,101,0.337,99,31,91,0.341,0.49
