Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,203468,CJ McCollum,1610612764,WAS,25,4,21,760.0,465,1415,604,109.6,4.65,4.24,0.329,16,0,11,0.75,0.0,0.818
2025-26,1630595,Cade Cunningham,1610612765,DET,23,17,6,830.0,624,2242,981,183.0,4.9,4.43,0.278,32,25,39,0.625,0.48,0.59
2025-26,1631216,Caleb Houstan,1610612737,ATL,8,5,3,43.0,20,54,43,1.2,1.31,0.47,0.37,2,0,4,1.0,0.0,0.0
2025-26,1631126,Caleb Love,1610612757,POR,18,6,12,322.0,145,599,294,33.0,3.3,2.95,0.242,4,0,4,0.5,0.0,1.0
2025-26,1628997,Caleb Martin,1610612742,DAL,22,8,14,200.0,27,227,109,10.5,2.78,2.15,0.119,2,0,10,0.0,0.0,0.0
2025-26,1642353,Cam Christie,1610612746,LAC,17,3,14,188.0,74,315,162,15.3,2.91,2.33,0.235,2,0,12,1.0,0.0,0.75
2025-26,1642285,Cam Spencer,1610612763,MEM,26,12,14,565.0,313,1301,705,76.4,3.52,3.18,0.241,9,0,18,0.667,0.0,0.944
2025-26,1630560,Cam Thomas,1610612751,BKN,8,1,7,226.0,171,444,277,30.6,4.14,3.67,0.385,2,2,2,0.0,0.0,1.0
2025-26,1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,193,432,244,19.8,2.75,2.35,0.447,8,2,48,1.25,2.0,1.0
2025-26,1629661,Cameron Johnson,1610612743,DEN,25,19,6,772.0,293,949,608,34.4,2.18,1.45,0.309,14,0,28,1.143,0.0,1.143
2025-26,1627747,Caris LeVert,1610612765,DET,21,16,5,436.0,197,772,433,49.3,3.83,3.33,0.255,10,1,15,0.8,0.0,1.067
2025-26,1642868,Carter Bryant,1610612759,SAS,19,15,4,151.0,50,162,88,6.2,2.28,1.33,0.309,4,0,12,0.0,0.0,0.667
2025-26,1641717,Cason Wallace,1610612760,OKC,26,24,2,722.0,215,996,479,48.5,2.92,2.4,0.216,16,0,20,0.5,0.0,0.3
2025-26,1642907,Cedric Coward,1610612763,MEM,27,13,14,731.0,362,1486,735,64.8,2.62,1.88,0.244,12,4,70,0.917,1.25,0.914
2025-26,1629646,Charles Bassey,1610612763,MEM,2,0,2,31.0,7,34,15,0.7,1.24,0.41,0.206,3,0,10,0.333,0.0,0.5
2025-26,1642404,Chaz Lanier,1610612765,DET,13,12,1,133.0,43,125,109,3.7,1.78,0.96,0.344,1,0,1,0.0,0.0,0.0
2025-26,1631096,Chet Holmgren,1610612760,OKC,23,22,1,664.0,434,1004,558,37.2,2.22,1.12,0.432,52,24,124,0.654,0.75,1.073
2025-26,1628449,Chris Boucher,1610612738,BOS,8,3,5,91.0,18,105,57,2.9,1.68,0.48,0.171,2,0,7,1.0,0.0,1.143
2025-26,1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,9,21,13,0.7,2.08,1.86,0.429,0,0,0,0.0,0.0,0.0
2025-26,1643024,Chris Mañon,1610612747,LAL,2,1,1,7.0,0,6,1,0.3,3.0,2.5,0.0,0,0,0,0.0,0.0,0.0
2025-26,101108,Chris Paul,1610612746,LAC,16,4,12,228.0,47,510,207,42.1,4.96,4.26,0.092,6,3,4,0.0,0.0,0.0
2025-26,1642959,Chris Youngblood,1610612760,OKC,19,19,0,107.0,35,97,64,2.8,1.76,0.96,0.361,1,0,2,3.0,0.0,1.0
2025-26,1631128,Christian Braun,1610612743,DEN,11,9,2,325.0,125,489,279,19.2,2.35,1.5,0.256,19,0,47,0.947,0.0,0.979
2025-26,1631132,Christian Koloko,1610612747,LAL,2,1,1,6.0,0,8,4,0.3,2.44,1.13,0.0,0,0,1,0.0,0.0,0.0
2025-26,1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,0,31,12,1.7,3.37,3.58,0.0,0,0,0,0.0,0.0,0.0
2025-26,203991,Clint Capela,1610612745,HOU,23,15,8,258.0,84,340,200,8.4,1.48,0.38,0.247,22,2,100,0.455,0.0,0.72
2025-26,1629632,Coby White,1610612741,CHI,10,4,6,293.0,220,570,274,38.3,4.03,3.51,0.386,1,1,2,3.0,0.0,1.5
2025-26,1628998,Cody Martin,1610612754,IND,4,0,4,55.0,7,73,33,2.9,2.37,1.88,0.096,1,0,2,0.0,0.0,0.0
2025-26,1642262,Cody Williams,1610612762,UTA,14,5,9,180.0,40,160,92,5.4,2.02,1.26,0.25,3,0,5,1.333,0.0,1.2
2025-26,1641732,Colby Jones,1610612765,DET,1,0,1,7.0,2,11,4,0.5,2.87,2.18,0.182,0,0,0,0.0,0.0,0.0
2025-26,1630175,Cole Anthony,1610612749,MIL,24,10,14,388.0,171,919,288,83.7,5.46,5.26,0.186,1,0,9,0.0,0.0,0.444
2025-26,1631221,Collin Gillespie,1610612756,PHX,27,15,12,747.0,354,1561,680,102.9,3.96,3.88,0.227,11,0,26,0.182,0.0,0.308
2025-26,1642867,Collin Murray-Boyles,1610612761,TOR,23,13,10,402.0,154,610,388,15.4,1.52,0.55,0.252,42,1,93,0.5,0.0,0.559
2025-26,1629012,Collin Sexton,1610612766,CHA,21,6,15,530.0,326,1152,475,99.0,5.15,5.0,0.283,8,0,13,0.625,0.0,1.154
2025-26,1642843,Cooper Flagg,1610612742,DAL,27,11,16,924.0,502,1754,814,99.3,3.4,2.66,0.286,29,14,53,0.586,0.429,0.792
2025-26,1630557,Corey Kispert,1610612764,WAS,17,2,15,338.0,152,418,237,11.8,1.7,1.0,0.364,2,0,9,0.0,0.0,1.222
2025-26,1641854,Craig Porter Jr.,1610612739,CLE,25,14,11,411.0,126,783,343,39.1,3.0,2.36,0.161,16,0,36,0.5,0.0,0.389
2025-26,1642938,Curtis Jones,1610612743,DEN,2,2,0,3.0,2,6,3,0.7,6.62,6.83,0.333,0,0,1,0.0,0.0,2.0
2025-26,1626156,D'Angelo Russell,1610612742,DAL,22,8,14,437.0,240,1087,442,76.4,4.21,3.65,0.221,1,1,10,0.0,2.0,0.6
2025-26,1641747,DaRon Holmes II,1610612743,DEN,2,2,0,4.0,3,5,1,0.1,1.37,0.0,0.6,0,0,0,0.0,0.0,0.0
