Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,DEF_WS_RAW,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK
2025-26,1630559,Austin Reaves,Austin,1610612747,LAL,27.0,21,15,6,0.714,36.9,113.5,4.8,0.127,0.187,1.0,0.171,0.2,0.063,13.7,10.0,12.5,37.1,0.112,0.11166421944829559,164,43,173,87,3,261,60,212,238,94,296,303,374,472,442,485,478,61
2025-26,1630245,Ayo Dosunmu,Ayo,1610612741,CHI,25.0,20,8,12,0.4,27.8,117.9,2.3,0.077,0.119,0.6,0.118,0.3,0.094,10.3,10.1,8.9,31.7,0.049,0.049254129187571834,191,222,377,315,130,400,233,405,410,289,396,248,311,356,443,373,407,278
2025-26,1628389,Bam Adebayo,Bam,1610612748,MIA,28.0,19,10,9,0.526,30.8,108.0,7.5,0.229,0.335,1.0,0.184,0.9,0.383,9.6,8.2,10.2,32.1,0.14,0.13967630995531127,217,176,275,240,78,122,9,26,32,102,261,52,75,330,350,436,411,25
2025-26,1631248,Baylor Scheierman,Baylor,1610612738,BOS,25.0,21,14,7,0.667,11.9,110.2,1.5,0.114,0.2,0.5,0.263,0.1,0.061,2.8,4.2,2.1,11.1,0.048,0.047522909736971014,164,73,216,112,361,177,339,256,212,320,104,377,377,71,159,63,125,284
2025-26,1642879,Ben Saraf,Ben,1610612751,BKN,19.0,12,3,9,0.25,16.9,116.0,1.2,0.076,0.121,0.7,0.258,0.3,0.176,7.2,5.1,6.9,20.5,0.04,0.039931170724436325,344,377,275,398,287,345,381,410,407,237,106,248,205,229,202,288,264,315
2025-26,1641767,Ben Sheppard,Ben,1610612754,IND,24.0,22,4,18,0.182,24.9,114.1,3.3,0.125,0.187,0.6,0.189,0.1,0.049,9.9,7.6,8.1,26.5,0.072,0.07183711370757988,127,339,474,435,175,281,151,219,240,255,252,340,387,342,327,349,344,174
2025-26,1631097,Bennedict Mathurin,Bennedict,1610612754,IND,23.0,13,5,8,0.385,32.9,116.6,4.8,0.142,0.215,0.8,0.154,0.2,0.032,10.6,9.3,9.4,34.2,0.07,0.06963161245740648,328,313,251,321,50,364,63,170,176,195,330,330,405,380,406,397,441,188
2025-26,1641731,Bilal Coulibaly,Bilal,1610612764,WAS,21.0,12,2,10,0.167,27.1,121.4,3.5,0.121,0.194,1.3,0.288,1.0,0.273,13.5,8.6,8.6,31.3,0.02,0.020439766627204783,344,412,312,438,140,450,127,233,223,64,74,42,127,470,371,367,404,415
2025-26,202687,Bismack Biyombo,Bismack,1610612759,SAS,33.0,8,5,3,0.625,7.2,136.4,0.5,0.093,0.174,0.4,0.25,0.1,1.0,3.8,2.8,2.8,10.0,-0.025,-0.024997831994982338,398,313,82,138,427,490,448,341,270,360,117,348,1,100,89,90,101,487
2025-26,1631104,Blake Wesley,Blake,1610612757,POR,22.0,6,4,2,0.667,16.3,111.8,2.0,0.13,0.214,1.7,0.4,0.2,0.125,9.0,5.7,5.7,16.7,0.061,0.06117569264210008,423,339,57,112,296,218,265,201,179,16,18,320,269,312,229,229,209,224
2025-26,1626171,Bobby Portis,Bobby,1610612749,MIL,30.0,26,11,15,0.423,21.9,116.0,4.7,0.201,0.323,0.5,0.141,0.1,0.065,7.7,5.8,6.2,21.8,0.05,0.05045531098271756,1,145,433,305,213,347,65,52,42,327,358,363,370,256,237,249,281,270
2025-26,1641752,Bobi Klintman,Bobi,1610612765,DET,22.0,6,5,1,0.833,8.8,113.6,1.8,0.196,0.289,0.3,0.125,0.0,0.0,3.7,2.5,4.0,7.7,0.028,0.02780721096117554,423,313,20,36,406,266,289,59,80,368,384,416,416,96,75,145,78,380
2025-26,203992,Bogdan Bogdanović,Bogdan,1610612746,LAC,33.0,11,2,9,0.182,25.3,111.2,3.1,0.112,0.185,0.7,0.178,0.1,0.036,10.5,8.3,8.2,23.3,0.09,0.09028598183293633,357,412,275,435,169,199,168,267,249,210,275,380,404,375,353,355,306,118
2025-26,1630538,Bones Hyland,Bones,1610612750,MIN,25.0,15,10,5,0.667,9.0,108.1,0.9,0.1,0.152,0.5,0.28,0.0,0.0,3.3,2.1,2.8,8.8,0.043,0.04289262549970608,296,176,144,112,402,123,412,312,323,325,82,416,416,90,61,94,87,303
2025-26,203078,Bradley Beal,Bradley,1610612746,LAC,32.0,6,2,4,0.333,20.2,128.5,0.5,0.025,0.041,0.5,0.136,0.0,0.0,9.5,7.0,6.7,19.3,-0.025,-0.024805798718168775,423,412,109,346,238,481,448,481,481,299,365,416,416,327,292,277,241,487
2025-26,1642382,Branden Carlson,Branden,1610612760,OKC,26.0,17,16,1,0.941,10.0,110.0,1.7,0.152,0.236,0.1,0.111,0.6,0.556,2.7,2.2,3.6,9.4,0.04,0.04035259296379256,254,26,20,25,388,171,306,140,145,441,404,109,24,69,63,133,97,315
2025-26,1641764,Brandin Podziemski,Brandin,1610612744,GSW,22.0,25,13,12,0.52,27.7,107.2,4.0,0.137,0.209,1.2,0.231,0.2,0.086,11.7,9.0,8.6,29.4,0.134,0.13424679628233588,11,100,377,245,134,105,105,179,192,67,161,292,333,425,397,370,381,35
2025-26,1627742,Brandon Ingram,Brandon,1610612761,TOR,28.0,26,15,11,0.577,34.1,115.2,5.1,0.153,0.237,0.9,0.144,0.5,0.197,13.4,10.0,10.4,36.4,0.086,0.08585428690425555,1,43,349,194,28,320,46,137,144,144,350,124,186,468,441,445,471,127
2025-26,1641706,Brandon Miller,Brandon,1610612766,CHA,23.0,8,4,4,0.5,26.1,117.2,1.9,0.07,0.112,0.8,0.207,1.1,0.346,8.9,8.8,7.6,28.8,0.052,0.05197286702475353,398,339,109,248,151,385,283,428,421,202,195,32,85,308,381,322,373,259
2025-26,1630314,Brandon Williams,Brandon,1610612742,DAL,26.0,23,8,15,0.348,21.6,108.9,1.8,0.082,0.127,1.4,0.311,0.2,0.085,6.3,6.4,6.7,24.3,0.094,0.09435545338985904,99,222,433,342,220,136,291,387,390,45,53,281,336,196,266,276,313,101
2025-26,1641729,Brice Sensabaugh,Brice,1610612762,UTA,22.0,22,7,15,0.318,15.6,122.6,1.8,0.112,0.179,0.7,0.231,0.2,0.129,7.6,6.5,5.1,16.0,0.007,0.007055344976696441,127,244,433,358,308,457,292,266,257,234,162,309,266,249,269,201,193,454
2025-26,1642355,Bronny James,Bronny,1610612747,LAL,21.0,14,8,6,0.571,8.9,110.3,0.4,0.043,0.063,0.6,0.31,0.1,0.091,5.4,2.4,2.3,10.3,0.035,0.03501899344351953,314,222,173,198,403,179,466,473,475,251,54,401,321,164,70,69,105,342
2025-26,201572,Brook Lopez,Brook,1610612746,LAC,37.0,19,5,14,0.263,14.1,116.8,1.5,0.102,0.175,0.3,0.105,0.8,0.533,6.7,5.4,5.8,12.5,0.03,0.029553399947983415,217,313,413,394,330,371,328,301,268,382,413,62,30,213,218,238,150,366
2025-26,1642964,Brooks Barnhizer,Brooks,1610612760,OKC,23.0,17,16,1,0.941,7.7,117.0,1.6,0.184,0.284,0.2,0.15,0.1,0.182,3.9,2.2,2.5,6.6,0.015,0.015452189404319099,254,26,20,25,425,381,316,82,85,422,335,361,200,105,63,82,60,430
2025-26,1628971,Bruce Brown,Bruce,1610612743,DEN,29.0,24,18,6,0.75,23.6,116.0,2.7,0.108,0.162,0.8,0.25,0.3,0.111,8.8,6.4,7.6,22.3,0.055,0.055073565507157446,45,9,173,58,195,342,200,280,300,160,117,248,289,305,262,322,288,242
2025-26,1631121,Bryce McGowens,Bryce,1610612740,NOP,23.0,16,2,14,0.125,18.2,121.2,1.9,0.107,0.173,0.5,0.151,0.3,0.19,5.8,6.5,5.6,19.6,0.016,0.01575698680369677,275,412,413,459,267,446,275,284,273,299,334,248,191,179,269,224,248,427
2025-26,1642267,Bub Carrington,Bub,1610612764,WAS,20.0,22,3,19,0.136,25.7,127.5,3.0,0.114,0.188,0.5,0.132,0.1,0.027,12.9,9.8,10.5,30.8,-0.025,-0.024724941512672672,127,377,482,455,164,479,170,258,237,331,373,380,408,458,431,448,396,487
2025-26,1627741,Buddy Hield,Buddy,1610612744,GSW,32.0,25,13,12,0.52,18.8,114.6,1.9,0.098,0.162,0.9,0.221,0.1,0.045,9.5,7.2,6.3,22.7,0.052,0.051918543519899385,11,100,377,245,258,302,277,322,299,138,175,392,392,326,308,258,296,259
2025-26,203468,CJ McCollum,CJ,1610612764,WAS,34.0,22,3,19,0.136,30.0,123.9,2.5,0.078,0.126,0.7,0.172,0.3,0.076,13.9,11.1,11.5,34.5,0.002,0.0019170247922069355,127,377,482,455,88,470,212,397,392,210,293,239,360,480,466,476,445,467
2025-26,1630595,Cade Cunningham,Cade,1610612765,DET,24.0,21,16,5,0.762,36.4,109.8,4.9,0.127,0.189,1.5,0.218,0.8,0.179,12.9,11.3,10.8,30.9,0.148,0.14809321471455508,164,26,144,55,5,169,55,213,232,33,179,66,204,460,470,460,397,18
2025-26,1631216,Caleb Houstan,Caleb,1610612737,ATL,22.0,8,5,3,0.625,5.4,112.0,0.1,0.029,0.043,0.1,0.125,0.1,0.25,2.4,1.0,1.6,5.8,0.019,0.018601758841902273,398,313,82,138,449,221,482,479,480,435,384,348,138,60,21,45,49,419
2025-26,1631126,Caleb Love,Caleb,1610612757,POR,24.0,17,5,12,0.294,18.2,117.2,2.0,0.101,0.169,0.4,0.137,0.0,0.0,7.7,6.1,7.1,21.1,0.037,0.03655769959895846,254,313,377,375,266,388,265,304,282,348,364,416,416,257,246,296,267,331
2025-26,1628997,Caleb Martin,Caleb,1610612742,DAL,30.0,22,8,14,0.364,9.1,105.9,1.0,0.101,0.162,0.5,0.303,0.1,0.125,4.0,2.8,3.6,11.4,0.05,0.05034760944291927,127,222,413,329,401,91,391,306,301,331,62,340,269,107,91,130,130,270
2025-26,1642353,Cam Christie,Cam,1610612746,LAC,20.0,16,3,13,0.188,11.5,104.4,1.8,0.131,0.209,0.4,0.24,0.1,0.125,4.6,3.9,4.0,8.9,0.063,0.06307706954604979,275,377,393,431,368,71,299,199,194,360,141,348,269,128,141,145,90,214
2025-26,1642285,Cam Spencer,Cam,1610612763,MEM,25.0,24,11,13,0.458,21.2,111.3,1.9,0.09,0.131,0.8,0.211,0.1,0.038,7.8,6.3,6.2,21.3,0.077,0.07669765384524019,45,145,393,288,225,203,283,352,379,160,190,388,401,258,259,252,270,158
2025-26,1630560,Cam Thomas,Cam,1610612751,BKN,24.0,8,1,7,0.125,28.3,125.6,1.0,0.037,0.065,0.5,0.118,0.1,0.091,10.5,10.0,11.1,35.0,-0.012,-0.012032527129023238,398,444,216,459,123,477,391,476,474,299,398,348,321,371,438,468,454,481
2025-26,1641715,Cam Whitmore,Cam,1610612764,WAS,21.0,21,3,18,0.143,16.9,124.0,1.9,0.102,0.176,0.7,0.268,0.4,0.186,8.2,6.9,6.5,20.3,0.001,0.0006656413536305524,164,377,474,451,289,471,287,302,266,219,98,173,197,285,289,263,261,471
2025-26,1629661,Cameron Johnson,Cameron,1610612743,DEN,29.0,23,17,6,0.739,30.1,115.1,2.6,0.081,0.123,0.7,0.163,0.3,0.12,10.3,8.9,9.0,31.0,0.077,0.07659527940659058,99,16,173,73,87,317,209,389,398,229,314,247,278,353,388,379,400,158
2025-26,1627747,Caris LeVert,Caris,1610612765,DET,31.0,18,14,4,0.778,20.4,112.3,1.4,0.063,0.097,0.6,0.2,0.5,0.184,8.2,7.1,5.2,19.9,0.07,0.06976863135399385,232,73,109,48,236,227,349,448,451,267,210,127,199,278,303,205,253,188
2025-26,1642868,Carter Bryant,Carter,1610612759,SAS,20.0,18,14,4,0.778,7.9,105.2,1.3,0.149,0.238,0.2,0.143,0.1,0.133,2.1,2.9,1.3,6.4,0.043,0.04347403757390764,232,73,109,48,420,79,353,148,141,406,351,364,259,48,99,34,58,303
2025-26,1641717,Cason Wallace,Cason,1610612760,OKC,22.0,24,23,1,0.958,27.8,100.2,2.4,0.077,0.117,2.3,0.352,0.3,0.074,8.8,6.6,5.6,21.6,0.19,0.19019311138385642,45,2,20,21,132,38,227,402,414,2,31,248,363,305,276,228,274,5
2025-26,1642907,Cedric Coward,Cedric,1610612763,MEM,22.0,24,11,13,0.458,27.1,107.4,4.8,0.161,0.229,0.6,0.144,0.3,0.129,10.4,8.3,7.7,25.7,0.132,0.1318214624473552,45,145,393,288,139,109,58,116,153,280,348,193,266,361,354,331,330,40
2025-26,1629646,Charles Bassey,Charles,1610612763,MEM,25.0,2,0,2,0.0,15.3,112.9,4.0,0.258,0.4,0.5,0.167,0.5,0.2,10.5,5.0,6.5,18.0,0.053,0.05275490550434924,470,475,57,475,310,239,100,10,9,299,300,127,180,371,192,264,220,253
2025-26,1642404,Chaz Lanier,Chaz,1610612765,DET,23.0,13,12,1,0.923,10.3,113.9,0.6,0.056,0.093,0.3,0.105,0.0,0.0,3.3,4.4,4.0,10.0,0.031,0.03130291787805076,328,125,20,30,382,270,441,460,456,384,413,416,416,88,164,145,101,360
2025-26,1631096,Chet Holmgren,Chet,1610612760,OKC,23.0,21,21,0,1.0,28.7,100.6,6.5,0.216,0.311,0.6,0.094,1.5,0.492,9.1,7.0,6.2,22.8,0.193,0.19286762359385243,164,5,1,1,116,39,21,40,56,263,423,16,50,319,300,256,297,3
2025-26,1628449,Chris Boucher,Chris,1610612738,BOS,32.0,8,3,5,0.375,11.3,108.7,2.0,0.154,0.314,0.6,0.294,0.9,0.538,3.1,5.3,4.1,9.5,0.05,0.050030364999104265,398,377,144,325,370,133,265,133,50,257,71,56,29,82,212,156,98,270
2025-26,1641753,Chris Livingston,Chris,1610612739,CLE,22.0,3,2,1,0.667,5.8,86.8,1.0,0.176,0.231,0.3,0.333,0.0,0.0,1.7,0.0,2.7,7.3,0.063,0.0629513686528866,458,412,20,112,444,13,391,95,152,368,35,416,416,32,1,86,72,214
2025-26,1643024,Chris Mañon,Chris,1610612747,LAL,24.0,2,1,1,0.5,3.5,114.3,1.0,0.222,0.5,0.0,0.0,0.5,1.0,3.0,2.5,1.5,2.0,0.009,0.009321886770022214,470,444,20,248,478,288,391,30,2,452,452,127,1,76,75,39,9,448
2025-26,101108,Chris Paul,Chris,1610612746,LAC,40.0,16,4,12,0.25,14.2,116.6,1.4,0.101,0.159,0.7,0.216,0.0,0.0,6.4,4.8,5.2,12.6,0.031,0.03052389687185238,275,339,377,398,329,367,351,306,308,232,182,416,416,203,179,206,151,360
2025-26,1642959,Chris Youngblood,Chris,1610612760,OKC,23.0,19,19,0,1.0,5.6,106.8,0.8,0.123,0.19,0.1,0.1,0.0,0.0,1.6,0.8,2.4,4.6,0.027,0.027082445369479763,217,6,1,1,447,99,422,225,229,451,416,416,416,31,18,76,40,389
2025-26,1631128,Christian Braun,Christian,1610612743,DEN,24.0,11,9,2,0.818,29.6,107.4,2.7,0.088,0.13,0.8,0.15,0.3,0.15,10.1,7.3,7.4,30.7,0.141,0.1405460519686785,357,188,57,38,96,111,194,361,380,168,335,239,240,350,315,313,395,24
2025-26,1631132,Christian Koloko,Christian,1610612747,LAL,25.0,2,1,1,0.5,3.2,121.4,0.5,0.125,0.333,0.0,0.0,0.0,0.0,2.0,2.5,1.0,5.0,0.003,0.002544304415781836,470,444,20,248,482,449,448,217,33,452,452,416,416,40,75,18,43,464
2025-26,1642935,Chucky Hepburn,Chucky,1610612761,TOR,22.0,2,0,2,0.0,6.6,120.7,0.5,0.067,0.143,0.5,0.5,0.0,0.0,3.0,3.5,3.0,7.0,0.007,0.006719329304467837,470,475,57,475,437,441,448,440,352,299,7,416,416,76,121,99,64,454
2025-26,203991,Clint Capela,Clint,1610612745,HOU,31.0,21,15,6,0.714,11.7,112.9,2.1,0.185,0.283,0.4,0.257,0.8,0.533,4.9,4.0,3.9,11.4,0.036,0.03587674883522095,164,43,173,87,365,243,251,80,87,340,109,74,30,144,151,142,132,337
2025-26,1629632,Coby White,Coby,1610612741,CHI,25.0,7,2,5,0.286,29.2,117.9,2.4,0.071,0.121,0.6,0.16,0.0,0.0,11.4,12.9,9.6,32.0,0.053,0.052747326657454296,414,412,144,380,102,401,220,425,408,283,317,416,416,416,494,407,409,253
2025-26,1628998,Cody Martin,Cody,1610612754,IND,30.0,4,0,4,0.0,13.8,99.2,3.3,0.183,0.277,1.0,0.364,0.5,0.182,6.0,6.0,3.3,11.5,0.102,0.1024522272646288,446,475,109,475,336,32,155,84,94,102,27,127,200,183,241,114,133,86
2025-26,1642262,Cody Williams,Cody,1610612762,UTA,21.0,13,4,9,0.308,12.1,120.7,0.7,0.06,0.09,0.2,0.115,0.2,0.133,7.2,4.3,3.8,12.3,0.012,0.012055009234093502,328,339,275,364,357,442,432,455,458,404,399,330,259,228,161,137,147,442
2025-26,1641732,Colby Jones,Colby,1610612765,DET,23.0,1,0,1,0.0,6.8,53.3,4.0,0.4,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.142,0.14227469766710502,492,475,20,475,432,2,100,2,2,452,452,416,416,40,52,52,28,22
