Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
2024-25,203992,Bogdan Bogdanović,1610612737,ATL,17,9,8,25.6,0.8,2.4,0.325,1.9,0.4,1.4,0.261,0.4
2024-25,1629626,Bol Bol,1610612756,PHX,8,0,8,6.2,0.8,1.3,0.6,1.5,0.0,0.4,0.0,0.6
2024-25,1630538,Bones Hyland,1610612746,LAC,16,6,10,11.0,1.2,3.4,0.345,3.4,1.0,2.6,0.381,0.491
2024-25,203078,Bradley Beal,1610612756,PHX,28,14,14,33.1,2.2,5.5,0.4,5.1,0.6,1.9,0.346,0.458
2024-25,1642382,Branden Carlson,1610612760,OKC,9,9,0,3.9,0.1,0.1,1.0,0.2,0.0,0.0,,1.0
2024-25,1641764,Brandin Podziemski,1610612744,GSW,30,15,15,24.2,1.1,3.0,0.371,2.6,0.4,1.5,0.289,0.444
2024-25,1630527,Brandon Boston,1610612740,NOP,37,6,31,24.4,1.5,4.0,0.367,3.3,0.4,1.4,0.255,0.412
2024-25,1629634,Brandon Clarke,1610612763,MEM,37,24,13,18.7,0.1,0.2,0.5,0.2,0.0,0.0,,0.5
2024-25,1627742,Brandon Ingram,1610612740,NOP,18,5,13,33.1,4.1,9.6,0.424,8.8,0.7,2.3,0.31,0.462
2024-25,1641706,Brandon Miller,1610612766,CHA,26,7,19,34.3,2.0,6.6,0.308,5.2,1.2,3.8,0.303,0.395
2024-25,1630314,Brandon Williams,1610612742,DAL,10,6,4,6.6,0.2,0.6,0.333,0.4,0.0,0.3,0.0,0.333
2024-25,1641729,Brice Sensabaugh,1610612762,UTA,29,7,22,17.8,1.1,2.4,0.449,2.8,0.7,1.5,0.455,0.594
2024-25,1642355,Bronny James,1610612747,LAL,9,6,3,2.4,0.1,0.4,0.25,0.2,0.0,0.2,0.0,0.25
2024-25,201572,Brook Lopez,1610612749,MIL,37,20,17,31.7,0.3,0.9,0.333,0.6,0.0,0.1,0.2,0.348
2024-25,1628971,Bruce Brown,1610612761,TOR,7,1,6,17.6,0.3,0.7,0.4,0.6,0.0,0.0,,0.4
2024-25,1628981,Bruno Fernando,1610612761,TOR,17,2,15,8.6,0.0,0.1,0.0,0.0,,,,0.0
2024-25,1631121,Bryce McGowens,1610612757,POR,3,0,3,2.9,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1627741,Buddy Hield,1610612744,GSW,39,19,20,23.5,0.8,2.8,0.275,2.1,0.6,2.2,0.271,0.381
2024-25,203468,CJ McCollum,1610612740,NOP,27,6,21,33.5,2.7,8.0,0.335,6.6,1.3,4.1,0.306,0.414
2024-25,1630595,Cade Cunningham,1610612765,DET,36,20,16,35.5,3.4,7.9,0.426,8.2,1.5,4.0,0.375,0.521
2024-25,1631216,Caleb Houstan,1610612753,ORL,28,14,14,11.1,0.1,0.4,0.4,0.4,0.1,0.2,0.4,0.5
2024-25,1628997,Caleb Martin,1610612755,PHI,31,12,19,30.4,0.7,1.9,0.35,1.4,0.0,0.5,0.071,0.358
2024-25,1642353,Cam Christie,1610612746,LAC,1,0,1,17.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-25,1629629,Cam Reddish,1610612747,LAL,29,14,15,18.6,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
2024-25,1642285,Cam Spencer,1610612763,MEM,10,8,2,12.1,0.2,0.7,0.286,0.5,0.1,0.3,0.333,0.357
2024-25,1630560,Cam Thomas,1610612751,BKN,19,8,11,32.3,3.8,9.2,0.414,9.4,1.8,4.8,0.38,0.514
2024-25,1641715,Cam Whitmore,1610612745,HOU,20,14,6,15.1,0.8,2.4,0.333,2.1,0.5,1.7,0.265,0.427
2024-25,1629661,Cameron Johnson,1610612751,BKN,32,13,19,32.6,1.5,3.5,0.42,3.8,0.8,2.0,0.422,0.54
2024-25,1626166,Cameron Payne,1610612752,NYK,35,24,11,15.2,0.9,2.3,0.388,2.4,0.6,1.5,0.404,0.519
2024-25,1627747,Caris LeVert,1610612739,CLE,32,29,3,24.1,0.9,2.0,0.431,2.4,0.6,1.3,0.476,0.585
2024-25,1642267,Carlton Carrington,1610612764,WAS,38,6,32,30.2,1.7,3.9,0.439,4.2,0.8,2.1,0.372,0.537
2024-25,1641717,Cason Wallace,1610612760,OKC,37,31,6,27.2,0.3,1.0,0.324,0.8,0.1,0.4,0.25,0.378
2024-25,1629646,Charles Bassey,1610612759,SAS,26,14,12,10.4,0.0,0.1,0.0,0.0,,,,0.0
2024-25,1631096,Chet Holmgren,1610612760,OKC,10,8,2,26.5,0.7,1.6,0.438,1.7,0.3,0.4,0.75,0.531
2024-25,1628449,Chris Boucher,1610612761,TOR,35,9,26,17.6,0.3,0.6,0.409,0.5,0.0,0.2,0.125,0.432
2024-25,1630537,Chris Duarte,1610612741,CHI,15,4,11,4.8,0.1,0.5,0.25,0.4,0.1,0.5,0.25,0.375
2024-25,1641753,Chris Livingston,1610612749,MIL,3,3,0,2.0,0.0,0.0,,0.0,,,,
2024-25,101108,Chris Paul,1610612759,SAS,38,19,19,29.1,2.4,5.6,0.43,6.1,1.2,3.3,0.379,0.54
2024-25,1631128,Christian Braun,1610612743,DEN,37,22,15,33.1,0.3,0.7,0.423,0.8,0.2,0.4,0.429,0.538
2024-25,1631132,Christian Koloko,1610612747,LAL,21,14,7,9.6,0.0,0.0,1.0,0.1,0.0,0.0,,1.0
2024-25,203991,Clint Capela,1610612737,ATL,38,19,19,22.9,0.0,0.0,0.0,0.0,,,,0.0
2024-25,1629632,Coby White,1610612741,CHI,36,16,20,32.7,1.9,5.3,0.354,4.9,1.2,3.4,0.347,0.468
2024-25,1628998,Cody Martin,1610612766,CHA,34,8,26,25.7,0.6,1.9,0.333,1.5,0.2,0.7,0.333,0.397
2024-25,1642262,Cody Williams,1610612762,UTA,23,5,18,20.7,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0
2024-25,1641732,Colby Jones,1610612758,SAC,22,10,12,5.4,0.1,0.4,0.375,0.3,0.0,0.0,1.0,0.438
2024-25,1630175,Cole Anthony,1610612753,ORL,38,22,16,15.2,0.9,2.6,0.371,2.2,0.3,0.8,0.387,0.433
2024-25,1631306,Cole Swider,1610612765,DET,2,0,2,6.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-25,1630658,Colin Castleton,1610612763,MEM,10,9,1,4.6,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
2024-25,1631221,Collin Gillespie,1610612756,PHX,1,1,0,3.4,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
2024-25,1629012,Collin Sexton,1610612762,UTA,38,10,28,28.8,2.0,4.8,0.42,5.0,1.0,2.3,0.42,0.522
2024-25,1630557,Corey Kispert,1610612764,WAS,33,5,28,26.7,0.6,1.5,0.38,1.5,0.4,1.0,0.364,0.5
2024-25,202709,Cory Joseph,1610612753,ORL,24,12,12,7.3,0.2,0.6,0.286,0.4,0.1,0.3,0.333,0.357
2024-25,1641854,Craig Porter Jr.,1610612739,CLE,22,18,4,8.1,0.2,0.5,0.4,0.5,0.1,0.2,0.4,0.5
2024-25,1642385,Cui Yongxi,1610612751,BKN,5,2,3,2.1,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1626156,D'Angelo Russell,1610612751,BKN,32,17,15,26.0,1.7,4.3,0.397,4.3,0.9,2.3,0.384,0.5
2024-25,1630618,D.J. Carton,1610612761,TOR,4,1,3,8.3,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1629610,DaQuan Jeffries,1610612766,CHA,8,1,7,19.0,0.5,0.6,0.8,1.3,0.3,0.4,0.667,1.0
2024-25,1630227,Daishen Nix,1610612750,MIN,3,3,0,4.4,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1630625,Dalano Banton,1610612757,POR,29,8,21,15.6,0.5,1.4,0.366,1.2,0.2,0.5,0.429,0.439
2024-25,1631207,Dalen Terry,1610612741,CHI,36,15,21,13.3,0.0,0.1,0.333,0.1,0.0,0.0,,0.333
2024-25,1642261,Dalton Knecht,1610612747,LAL,37,20,17,21.7,0.7,1.3,0.542,1.6,0.2,0.4,0.538,0.615
2024-25,203081,Damian Lillard,1610612749,MIL,30,16,14,36.2,3.7,8.8,0.418,9.3,2.0,5.4,0.368,0.532
2024-25,1627814,Damion Lee,1610612756,PHX,8,1,7,6.0,0.3,0.6,0.4,0.5,0.0,0.1,0.0,0.4
2024-25,1629655,Daniel Gafford,1610612742,DAL,37,20,17,19.7,0.0,0.0,1.0,0.1,,,,1.0
2024-25,1628464,Daniel Theis,1610612740,NOP,30,6,24,15.1,0.2,0.3,0.5,0.3,0.0,0.0,0.0,0.5
2024-25,1642450,Daniss Jenkins,1610612765,DET,3,1,2,2.7,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0
2024-25,203967,Dario Šarić,1610612743,DEN,12,5,7,14.4,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
2024-25,1641727,Dariq Whitehead,1610612751,BKN,5,1,4,6.1,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1629636,Darius Garland,1610612739,CLE,37,32,5,30.2,3.0,6.8,0.444,7.5,1.5,3.8,0.387,0.554
2024-25,1630561,David Duke Jr.,1610612759,SAS,1,0,1,8.2,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1631223,David Roddy,1610612737,ATL,21,7,14,12.9,0.1,0.3,0.429,0.4,0.1,0.2,0.4,0.571
2024-25,1630558,Davion Mitchell,1610612761,TOR,35,9,26,24.3,0.3,1.1,0.282,0.9,0.2,0.7,0.32,0.385
2024-25,1630549,Day'Ron Sharpe,1610612751,BKN,17,4,13,16.9,0.1,0.3,0.2,0.1,0.0,0.1,0.0,0.2
2024-25,1628368,De'Aaron Fox,1610612758,SAC,36,17,19,37.2,3.7,8.4,0.434,8.4,1.0,3.1,0.336,0.495
2024-25,1629631,De'Andre Hunter,1610612737,ATL,27,16,11,27.8,1.4,3.1,0.435,3.3,0.5,1.3,0.412,0.518
2024-25,1629001,De'Anthony Melton,1610612751,BKN,6,4,2,20.2,0.5,1.8,0.273,1.5,0.5,1.7,0.3,0.409
2024-25,201599,DeAndre Jordan,1610612743,DEN,26,17,9,11.2,0.0,0.0,,0.0,,,,
2024-25,201942,DeMar DeRozan,1610612758,SAC,34,18,16,35.6,4.3,9.4,0.456,8.6,0.1,0.6,0.19,0.462
2024-25,1629731,Dean Wade,1610612739,CLE,29,27,2,22.7,0.0,0.2,0.2,0.1,0.0,0.2,0.2,0.3
2024-25,1629028,Deandre Ayton,1610612757,POR,28,9,19,30.0,0.6,1.1,0.533,1.1,0.0,0.0,,0.533
2024-25,1627749,Dejounte Murray,1610612740,NOP,23,5,18,33.3,2.7,7.7,0.352,6.1,0.7,2.6,0.271,0.398
2024-25,1626153,Delon Wright,1610612749,MIL,24,13,11,15.7,0.1,0.5,0.167,0.2,0.0,0.5,0.091,0.208
2024-25,1630166,Deni Avdija,1610612757,POR,38,13,25,28.0,0.6,1.2,0.468,1.4,0.3,0.6,0.435,0.574
2024-25,203471,Dennis Schröder,1610612744,GSW,37,14,23,31.5,2.1,4.6,0.45,4.9,0.7,2.0,0.347,0.526
2024-25,1641726,Dereck Lively II,1610612742,DAL,31,19,12,24.7,0.0,0.0,,0.0,,,,
2024-25,1627884,Derrick Jones Jr.,1610612746,LAC,36,20,16,24.1,0.1,0.6,0.095,0.1,0.0,0.2,0.125,0.119
2024-25,1628401,Derrick White,1610612738,BOS,37,27,10,34.0,1.5,4.2,0.368,4.0,0.9,3.0,0.297,0.474
2024-25,1630217,Desmond Bane,1610612763,MEM,31,18,13,29.2,1.6,4.3,0.376,4.1,0.9,2.8,0.31,0.477
2024-25,1626164,Devin Booker,1610612756,PHX,33,18,15,36.6,3.9,9.5,0.417,9.1,1.2,4.0,0.298,0.479
2024-25,1642269,Devin Carter,1610612758,SAC,5,5,0,14.4,0.6,2.4,0.25,1.6,0.4,1.6,0.25,0.333
2024-25,1630170,Devin Vassell,1610612759,SAS,23,11,12,29.2,2.4,5.9,0.407,5.5,0.7,2.0,0.362,0.47
2024-25,1628415,Dillon Brooks,1610612745,HOU,35,24,11,32.0,1.3,3.1,0.413,3.0,0.4,1.0,0.4,0.477
2024-25,1641794,Dillon Jones,1610612760,OKC,26,22,4,8.1,0.0,0.3,0.143,0.1,0.0,0.2,0.0,0.143
2024-25,1627734,Domantas Sabonis,1610612758,SAC,36,19,17,36.0,0.2,0.5,0.421,0.5,0.0,0.0,1.0,0.447
2024-25,1631230,Dominick Barlow,1610612737,ATL,7,2,5,4.3,0.0,0.1,0.0,0.0,0.0,0.0,,0.0
2024-25,1642270,Donovan Clingan,1610612757,POR,30,11,19,16.5,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
2024-25,1628378,Donovan Mitchell,1610612739,CLE,36,31,5,31.4,3.6,9.0,0.396,9.3,2.2,5.5,0.397,0.519
2024-25,1628978,Donte DiVincenzo,1610612750,MIN,39,21,18,26.1,0.7,2.0,0.354,2.1,0.6,1.9,0.333,0.513
2024-25,1627827,Dorian Finney-Smith,1610612747,LAL,26,9,17,27.8,0.1,0.3,0.286,0.2,0.0,0.1,0.333,0.357
2024-25,203926,Doug McDermott,1610612758,SAC,25,13,12,8.7,0.2,0.5,0.333,0.4,0.1,0.3,0.375,0.458
2024-25,203110,Draymond Green,1610612744,GSW,33,17,16,28.6,0.2,0.5,0.4,0.5,0.1,0.2,0.667,0.533
2024-25,1629234,Drew Eubanks,1610612762,UTA,29,8,21,14.5,0.2,0.3,0.5,0.4,0.0,0.0,1.0,0.55
2024-25,1641809,Drew Peterson,1610612738,BOS,11,9,2,9.9,0.5,0.6,0.714,1.2,0.3,0.5,0.6,0.929
2024-25,1630696,Dru Smith,1610612748,MIA,14,8,6,19.2,0.1,0.7,0.2,0.4,0.1,0.4,0.333,0.3
2024-25,1629130,Duncan Robinson,1610612748,MIA,36,18,18,23.0,1.1,2.8,0.404,3.3,1.0,2.4,0.425,0.591
2024-25,1641871,Duop Reath,1610612757,POR,17,5,12,6.5,0.1,0.1,1.0,0.2,0.1,0.1,1.0,1.5
2024-25,203939,Dwight Powell,1610612742,DAL,30,17,13,7.6,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1630700,Dyson Daniels,1610612737,ATL,34,17,17,33.4,0.4,1.4,0.292,1.0,0.2,0.6,0.333,0.365
2024-25,1630604,E.J. Liddell,1610612741,CHI,6,2,4,5.1,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
2024-25,203901,Elfrid Payton,1610612740,NOP,7,0,7,20.5,1.0,2.7,0.368,2.0,0.0,0.1,0.0,0.368
2024-25,1641989,Elijah Harkless,1610612762,UTA,2,1,1,14.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0
2024-25,1642402,Enrique Freeman,1610612754,IND,18,5,13,7.5,0.0,0.1,0.0,0.0,0.0,0.0,,0.0
2024-25,201569,Eric Gordon,1610612755,PHI,26,8,18,17.2,0.2,0.5,0.357,0.5,0.1,0.4,0.2,0.429
2024-25,1630596,Evan Mobley,1610612739,CLE,36,31,5,30.5,0.4,1.0,0.351,0.8,0.1,0.4,0.25,0.405
2024-25,1630532,Franz Wagner,1610612753,ORL,25,16,9,33.2,2.0,5.9,0.333,5.0,1.0,3.2,0.321,0.422
2024-25,1627832,Fred VanVleet,1610612745,HOU,36,24,12,35.7,2.5,7.1,0.35,6.3,1.3,4.3,0.308,0.444
2024-25,1629216,Gabe Vincent,1610612747,LAL,33,18,15,19.0,0.5,1.4,0.319,1.1,0.2,0.8,0.25,0.394
2024-25,202066,Garrett Temple,1610612761,TOR,12,3,9,4.2,0.1,0.3,0.25,0.2,0.0,0.2,0.0,0.25
2024-25,1629726,Garrison Mathews,1610612737,ATL,29,13,16,18.7,0.3,1.1,0.29,0.9,0.2,0.9,0.28,0.403
2024-25,203914,Gary Harris,1610612753,ORL,20,12,8,16.3,0.1,0.3,0.333,0.3,0.1,0.2,0.5,0.5
2024-25,1627780,Gary Payton II,1610612744,GSW,28,15,13,13.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
2024-25,1629018,Gary Trent Jr.,1610612749,MIL,34,20,14,24.5,1.0,2.4,0.415,2.4,0.4,1.1,0.417,0.506
2024-25,1627777,Georges Niang,1610612739,CLE,38,33,5,20.2,0.3,0.6,0.455,0.7,0.1,0.3,0.385,0.568
2024-25,203507,Giannis Antetokounmpo,1610612749,MIL,31,17,14,34.9,2.3,5.2,0.435,4.6,0.1,0.5,0.2,0.444
2024-25,1629048,Goga Bitadze,1610612753,ORL,36,22,14,24.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1641711,Gradey Dick,1610612761,TOR,34,6,28,30.7,1.2,3.5,0.345,2.8,0.4,1.5,0.25,0.399
2024-25,1629684,Grant Williams,1610612766,CHA,16,6,10,29.9,0.6,1.6,0.346,1.4,0.3,0.8,0.308,0.423
2024-25,1628960,Grayson Allen,1610612756,PHX,29,17,12,23.8,0.3,0.9,0.37,1.0,0.3,0.7,0.4,0.519
2024-25,1627824,Guerschon Yabusele,1610612755,PHI,37,15,22,25.3,0.1,0.2,0.333,0.1,0.0,0.1,0.25,0.417
2024-25,1630611,Gui Santos,1610612744,GSW,15,7,8,8.3,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
2024-25,203084,Harrison Barnes,1610612759,SAS,38,19,19,28.0,0.2,0.6,0.333,0.4,0.1,0.3,0.182,0.381
2024-25,1631127,Harrison Ingram,1610612759,SAS,1,0,1,6.8,0.0,0.0,,0.0,,,,
2024-25,1629312,Haywood Highsmith,1610612748,MIA,36,19,17,25.6,0.2,0.3,0.7,0.5,0.1,0.1,0.8,0.9
2024-25,1630529,Herbert Jones,1610612740,NOP,20,5,15,32.4,0.2,0.7,0.308,0.4,0.0,0.2,0.0,0.308
2024-25,1641816,Hunter Tyson,1610612743,DEN,27,16,11,8.1,0.1,0.3,0.222,0.1,0.0,0.2,0.0,0.222
2024-25,1630193,Immanuel Quickley,1610612761,TOR,9,1,8,28.5,2.2,5.1,0.435,5.6,1.1,3.0,0.37,0.543
2024-25,1642403,Isaac Jones,1610612758,SAC,21,10,11,8.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2024-25,1630171,Isaac Okoro,1610612739,CLE,26,23,3,20.1,0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.6
2024-25,1642268,Isaiah Collier,1610612762,UTA,30,8,22,19.7,0.2,1.1,0.152,0.4,0.1,0.6,0.158,0.197
2024-25,1642384,Isaiah Crawford,1610612758,SAC,2,2,0,3.3,0.0,0.0,,0.0,,,,
2024-25,1628392,Isaiah Hartenstein,1610612760,OKC,23,21,2,29.7,0.1,0.3,0.25,0.2,0.0,0.0,,0.25
2024-25,1630543,Isaiah Jackson,1610612754,IND,5,1,4,16.8,0.0,0.0,,0.0,,,,
2024-25,1630198,Isaiah Joe,1610612760,OKC,36,31,5,20.5,0.7,2.4,0.299,2.0,0.5,1.8,0.302,0.408
2024-25,1630191,Isaiah Stewart,1610612765,DET,36,18,18,21.1,0.0,0.1,0.25,0.1,0.0,0.0,0.0,0.25
2024-25,1631209,Isaiah Wong,1610612766,CHA,10,1,9,14.3,0.8,2.3,0.348,1.8,0.2,0.8,0.25,0.391
2024-25,1627826,Ivica Zubac,1610612746,LAC,38,21,17,32.1,0.0,0.1,0.333,0.1,,,,0.333
2024-25,1631120,JD Davison,1610612738,BOS,5,5,0,4.7,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
2024-25,1630550,JT Thor,1610612739,CLE,7,6,1,4.7,0.3,0.3,1.0,0.6,0.0,0.0,,1.0
2024-25,1629630,Ja Morant,1610612763,MEM,23,15,8,28.3,0.8,3.7,0.214,1.9,0.3,2.0,0.178,0.262
2024-25,1642266,Ja'Kobe Walter,1610612761,TOR,24,5,19,18.9,0.5,1.3,0.387,1.0,0.0,0.3,0.125,0.403
2024-25,1631095,Jabari Smith Jr.,1610612745,HOU,33,22,11,30.9,0.8,2.2,0.342,1.6,0.1,0.6,0.158,0.363
2024-25,1631133,Jabari Walker,1610612757,POR,26,6,20,9.8,0.0,0.1,0.0,0.0,0.0,0.0,,0.0
2024-25,1629098,Jack McVeigh,1610612745,HOU,6,5,1,3.6,0.2,0.5,0.333,0.3,0.0,0.2,0.0,0.333
2024-25,1631210,Jacob Toppin,1610612752,NYK,13,10,3,3.0,0.1,0.2,0.5,0.2,0.0,0.1,0.0,0.5
2024-25,1630702,Jaden Hardy,1610612742,DAL,31,18,13,15.9,0.6,1.8,0.339,1.4,0.2,0.7,0.273,0.393
2024-25,1631093,Jaden Ivey,1610612765,DET,30,14,16,29.9,1.8,4.8,0.375,4.4,0.8,2.3,0.348,0.458
2024-25,1630183,Jaden McDaniels,1610612750,MIN,39,21,18,30.0,0.6,1.5,0.424,1.5,0.2,0.5,0.389,0.483
2024-25,1630531,Jaden Springer,1610612738,BOS,16,12,4,4.1,0.0,0.1,0.0,0.0,0.0,0.0,,0.0
2024-25,203109,Jae Crowder,1610612758,SAC,6,2,4,14.8,0.0,0.0,,0.0,0.0,0.0,,
