Season,PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2024-25,1631232,Keion Brooks Jr.,1610612740,NOP,24.0,14,10,0.376,19,41,0.463,0.463,0.358,19,39,0.487,0.018,0,2,0.0
2024-25,203939,Dwight Powell,1610612742,DAL,33.0,55,22,0.656,27,40,0.675,0.675,0.656,27,40,0.675,0.0,0,0,
2024-25,202704,Reggie Jackson,1610612755,PHI,35.0,31,19,0.301,19,40,0.475,0.513,0.256,16,34,0.471,0.045,3,6,0.5
2024-25,1628365,Markelle Fultz,1610612758,SAC,26.0,21,18,0.597,17,40,0.425,0.425,0.597,17,40,0.425,0.0,0,0,
2024-25,1631221,Collin Gillespie,1610612756,PHX,25.0,33,17,0.253,15,40,0.375,0.388,0.215,14,34,0.412,0.038,1,6,0.167
2024-25,1628964,Mo Bamba,1610612740,NOP,26.0,32,24,0.348,25,39,0.641,0.641,0.339,25,38,0.658,0.009,0,1,0.0
2024-25,1631119,Jaylin Williams,1610612760,OKC,22.0,47,25,0.176,20,39,0.513,0.526,0.163,19,36,0.528,0.014,1,3,0.333
2024-25,1630692,Jordan Goodwin,1610612747,LAL,26.0,29,17,0.271,17,39,0.436,0.449,0.25,16,36,0.444,0.021,1,3,0.333
2024-25,1631209,Isaiah Wong,1610612766,CHA,24.0,20,16,0.371,12,39,0.308,0.308,0.371,12,39,0.308,0.0,0,0,
2024-25,201145,Jeff Green,1610612745,HOU,38.0,32,19,0.306,23,37,0.622,0.649,0.24,21,29,0.724,0.066,2,8,0.25
2024-25,1629618,Jalen Pickett,1610612743,DEN,25.0,49,19,0.2,20,36,0.556,0.583,0.178,18,32,0.563,0.022,2,4,0.5
2024-25,1641721,Maxwell Lewis,1610612751,BKN,22.0,28,15,0.333,12,36,0.333,0.347,0.287,11,31,0.355,0.046,1,5,0.2
2024-25,1629650,Moses Brown,1610612742,DAL,25.0,13,9,0.714,22,35,0.629,0.629,0.714,22,35,0.629,0.0,0,0,
2024-25,1641798,Jaylen Martin,1610612764,WAS,21.0,16,12,0.459,15,34,0.441,0.441,0.459,15,34,0.441,0.0,0,0,
2024-25,203458,Alex Len,1610612747,LAL,31.0,46,18,0.524,22,33,0.667,0.667,0.524,22,33,0.667,0.0,0,0,
2024-25,1628981,Bruno Fernando,1610612761,TOR,26.0,17,13,0.673,19,33,0.576,0.576,0.673,19,33,0.576,0.0,0,0,
2024-25,1629684,Grant Williams,1610612766,CHA,26.0,16,13,0.268,16,33,0.485,0.5,0.228,15,28,0.536,0.041,1,5,0.2
2024-25,1641816,Hunter Tyson,1610612743,DEN,24.0,51,19,0.275,15,33,0.455,0.455,0.242,15,29,0.517,0.033,0,4,0.0
2024-25,1641738,Kobe Brown,1610612746,LAC,25.0,40,20,0.431,17,31,0.548,0.548,0.417,17,30,0.567,0.014,0,1,0.0
2024-25,1630542,Marcus Bagley,1610612755,PHI,23.0,10,9,0.435,18,30,0.6,0.6,0.42,18,29,0.621,0.014,0,1,0.0
2024-25,1630695,Micah Potter,1610612762,UTA,27.0,38,17,0.222,16,30,0.533,0.533,0.17,16,23,0.696,0.052,0,7,0.0
2024-25,1641720,Jalen Hood-Schifino,1610612755,PHI,21.0,15,12,0.306,12,30,0.4,0.417,0.265,11,26,0.423,0.041,1,4,0.25
2024-25,201567,Kevin Love,1610612748,MIA,36.0,23,15,0.261,10,30,0.333,0.333,0.226,10,26,0.385,0.035,0,4,0.0
2024-25,202709,Cory Joseph,1610612753,ORL,33.0,50,20,0.188,16,29,0.552,0.552,0.182,16,28,0.571,0.006,0,1,0.0
2024-25,1631169,Josh Minott,1610612750,MIN,22.0,46,22,0.322,16,29,0.552,0.552,0.3,16,27,0.593,0.022,0,2,0.0
2024-25,1630531,Jaden Springer,1610612762,UTA,22.0,43,18,0.311,14,28,0.5,0.5,0.311,14,28,0.5,0.0,0,0,
2024-25,1629680,Matisse Thybulle,1610612757,POR,28.0,15,13,0.318,14,28,0.5,0.518,0.307,13,27,0.481,0.011,1,1,1.0
2024-25,1631216,Caleb Houstan,1610612753,ORL,22.0,58,24,0.147,9,28,0.321,0.339,0.084,8,16,0.5,0.063,1,12,0.083
2024-25,1631311,Lester Quinones,1610612740,NOP,24.0,13,7,0.346,14,27,0.519,0.537,0.282,13,22,0.591,0.064,1,5,0.2
2024-25,1631466,Nate Williams,1610612745,HOU,26.0,20,9,0.435,14,27,0.519,0.519,0.435,14,27,0.519,0.0,0,0,
2024-25,1631172,Ousmane Dieng,1610612760,OKC,21.0,37,17,0.216,13,27,0.481,0.481,0.208,13,26,0.5,0.008,0,1,0.0
2024-25,1642277,Johnny Furphy,1610612754,IND,20.0,50,14,0.293,10,27,0.37,0.37,0.261,10,24,0.417,0.033,0,3,0.0
2024-25,1630538,Bones Hyland,1610612750,MIN,24.0,24,16,0.229,10,27,0.37,0.407,0.169,8,20,0.4,0.059,2,7,0.286
2024-25,1629669,Jaylen Nowell,1610612740,NOP,25.0,8,7,0.356,8,26,0.308,0.308,0.356,8,26,0.308,0.0,0,0,
2024-25,1628396,Tony Bradley,1610612754,IND,27.0,14,7,0.556,16,25,0.64,0.64,0.556,16,25,0.64,0.0,0,0,
2024-25,203967,Dario Šarić,1610612743,DEN,31.0,16,11,0.446,11,25,0.44,0.44,0.429,11,24,0.458,0.018,0,1,0.0
2024-25,1630574,Ariel Hukporti,1610612752,NYK,23.0,25,13,0.774,15,24,0.625,0.625,0.774,15,24,0.625,0.0,0,0,
2024-25,203914,Gary Harris,1610612753,ORL,30.0,48,20,0.18,13,24,0.542,0.604,0.135,10,18,0.556,0.045,3,6,0.5
