Season,PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2013-14,203197,Diante Garrett,1610612762,UTA,25.0,71,46,0.359,38,90,0.422,0.6,0.068,6,17,0.353,0.291,32,73,0.438
2013-14,201160,Jason Smith,1610612740,NOP,28.0,31,29,0.341,44,89,0.494,0.494,0.341,44,89,0.494,0.0,0,0,
2013-14,101139,CJ Miles,1610612739,CLE,27.0,51,40,0.226,44,89,0.494,0.68,0.036,11,14,0.786,0.19,33,75,0.44
2013-14,201579,Roy Hibbert,1610612754,IND,27.0,81,51,0.123,43,87,0.494,0.5,0.12,42,85,0.494,0.003,1,2,0.5
2013-14,201578,Marreese Speights,1610612744,GSW,26.0,78,51,0.208,29,87,0.333,0.362,0.153,24,64,0.375,0.055,5,23,0.217
2013-14,202700,Donatas Motiejunas,1610612745,HOU,23.0,62,44,0.316,26,87,0.299,0.408,0.047,7,13,0.538,0.269,19,74,0.257
2013-14,201947,Earl Clark,1610612752,NYK,26.0,54,38,0.35,35,86,0.407,0.564,0.065,8,16,0.5,0.285,27,70,0.386
2013-14,708,Kevin Garnett,1610612751,BKN,38.0,53,41,0.251,38,85,0.447,0.447,0.242,38,82,0.463,0.009,0,3,0.0
2013-14,101135,David Lee,1610612744,GSW,31.0,68,50,0.098,36,85,0.424,0.424,0.098,36,85,0.424,0.0,0,0,
2013-14,2557,Luke Ridnour,1610612766,CHA,33.0,60,43,0.272,30,85,0.353,0.447,0.112,14,35,0.4,0.16,16,50,0.32
2013-14,202730,Lavoy Allen,1610612754,IND,25.0,65,47,0.287,31,83,0.373,0.386,0.242,29,70,0.414,0.045,2,13,0.154
2013-14,965,Derek Fisher,1610612760,OKC,39.0,81,43,0.232,36,82,0.439,0.634,0.028,4,10,0.4,0.203,32,72,0.444
2013-14,101162,Marcin Gortat,1610612764,WAS,30.0,80,52,0.104,42,81,0.519,0.525,0.103,41,80,0.513,0.001,1,1,1.0
2013-14,101128,Francisco Garcia,1610612745,HOU,32.0,55,40,0.286,32,80,0.4,0.581,0.018,3,5,0.6,0.268,29,75,0.387
2013-14,1733,Al Harrington,1610612764,WAS,34.0,33,28,0.421,31,80,0.388,0.531,0.079,8,15,0.533,0.342,23,65,0.354
2013-14,201978,Chase Budinger,1610612750,MIN,26.0,41,33,0.328,29,80,0.363,0.5,0.07,7,17,0.412,0.258,22,63,0.349
2013-14,201564,O.J. Mayo,1610612749,MIL,26.0,51,38,0.16,28,80,0.35,0.438,0.052,14,26,0.538,0.108,14,54,0.259
2013-14,203145,Kent Bazemore,1610612747,LAL,24.0,67,35,0.239,34,79,0.43,0.589,0.055,9,18,0.5,0.185,25,61,0.41
2013-14,101122,Danny Granger,1610612746,LAC,31.0,41,36,0.272,33,79,0.418,0.576,0.045,8,13,0.615,0.228,25,66,0.379
2013-14,201959,Taj Gibson,1610612741,CHI,29.0,82,47,0.097,44,78,0.564,0.564,0.092,44,74,0.595,0.005,0,4,0.0
2013-14,2405,Amar'e Stoudemire,1610612752,NYK,31.0,65,40,0.145,38,76,0.5,0.5,0.145,38,76,0.5,0.0,0,0,
