Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2025-26,1628398,Kyle Kuzma,1610612749,MIL,30.0,24,25.9,4.08,2.83,1.25,1.0,0.0,0.33,0.79,0.08,0.13,0.21,0.4,0.6,0.08,0.71,0.79,0.79,0.46,0.105,0.895,1.0,0.579
2025-26,200768,Kyle Lowry,1610612755,PHI,39.0,2,10.5,0.5,0.5,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642273,Kyshawn George,1610612764,WAS,21.0,20,31.5,6.35,3.6,2.75,3.0,0.15,0.55,1.35,0.25,0.25,0.5,0.5,0.5,0.05,0.45,0.5,0.5,0.15,0.1,0.9,1.0,0.3
2025-26,1630163,LaMelo Ball,1610612766,CHA,24.0,15,29.4,2.07,1.13,0.93,1.87,0.0,0.4,1.0,0.33,0.4,0.73,0.455,0.545,0.0,0.33,0.33,0.33,0.27,0.0,1.0,1.0,0.8
2025-26,1642950,Lachlan Olbrich,1610612741,CHI,21.0,3,10.0,1.67,1.0,0.67,0.0,0.0,1.0,2.0,0.33,0.0,0.33,1.0,0.0,0.0,0.67,0.67,0.67,0.33,0.0,1.0,1.0,0.5
2025-26,1629013,Landry Shamet,1610612752,NYK,28.0,14,22.2,4.43,2.14,2.29,1.86,0.0,0.71,1.64,0.14,0.07,0.21,0.667,0.333,0.0,0.43,0.43,0.43,0.14,0.0,1.0,1.0,0.333
2025-26,1626204,Larry Nance Jr.,1610612739,CLE,32.0,15,15.7,1.87,1.13,0.73,1.73,0.07,0.67,1.53,0.33,0.07,0.4,0.833,0.167,0.2,0.27,0.47,0.47,0.27,0.429,0.571,1.0,0.571
2025-26,1628374,Lauri Markkanen,1610612762,UTA,28.0,22,35.1,6.05,4.32,1.73,1.68,0.0,1.18,2.86,0.23,0.27,0.5,0.455,0.545,0.14,0.45,0.59,0.59,0.41,0.231,0.769,1.0,0.692
2025-26,2544,LeBron James,1610612747,LAL,40.0,7,33.1,2.14,1.14,1.0,1.14,0.0,0.43,0.86,0.14,0.29,0.43,0.333,0.667,0.0,0.57,0.57,0.57,0.43,0.0,1.0,1.0,0.75
2025-26,1631159,Leonard Miller,1610612750,MIN,22.0,5,5.6,1.2,0.8,0.4,1.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,1.0,1.0,0.0
2025-26,1642862,Liam McNeeley,1610612766,CHA,20.0,16,14.2,2.75,1.63,1.13,0.25,0.0,0.19,0.38,0.06,0.0,0.06,1.0,0.0,0.06,0.19,0.25,0.25,0.13,0.25,0.75,1.0,0.5
2025-26,1630322,Lindy Waters III,1610612759,SAS,28.0,9,8.2,0.67,0.22,0.44,0.22,0.0,0.56,1.11,0.11,0.11,0.22,0.5,0.5,0.0,0.33,0.33,0.33,0.22,0.0,1.0,1.0,0.667
2025-26,1628366,Lonzo Ball,1610612739,CLE,28.0,18,23.5,2.83,1.56,1.28,2.33,0.0,0.67,1.61,0.17,0.39,0.56,0.3,0.7,0.17,0.5,0.67,0.67,0.5,0.25,0.75,1.0,0.75
2025-26,1629652,Luguentz Dort,1610612760,OKC,26.0,15,29.1,4.2,1.27,2.93,1.8,0.07,0.53,1.27,0.27,0.07,0.33,0.8,0.2,0.2,0.27,0.47,0.47,0.27,0.429,0.571,1.0,0.571
2025-26,1629029,Luka Dončić,1610612747,LAL,26.0,17,37.0,3.88,1.71,2.18,2.94,0.35,0.12,0.24,0.24,0.59,0.82,0.286,0.714,0.0,0.18,0.18,0.18,0.12,0.0,1.0,1.0,0.667
2025-26,1630568,Luka Garza,1610612738,BOS,26.0,19,13.1,4.0,3.42,0.58,0.95,0.11,1.95,4.68,0.37,0.05,0.42,0.875,0.125,0.79,1.11,1.89,1.89,0.84,0.417,0.583,1.0,0.444
2025-26,1628379,Luke Kennard,1610612737,ATL,29.0,22,20.7,2.09,0.95,1.14,1.41,0.0,0.36,0.91,0.14,0.05,0.18,0.75,0.25,0.05,0.23,0.27,0.27,0.09,0.167,0.833,1.0,0.333
2025-26,1628436,Luke Kornet,1610612759,SAS,30.0,14,24.9,10.21,8.64,1.57,0.86,0.07,4.79,11.29,0.14,0.0,0.14,1.0,0.0,1.0,0.86,1.86,1.86,1.57,0.538,0.462,1.0,0.846
2025-26,1631247,Luke Travers,1610612739,CLE,24.0,9,9.8,1.67,1.33,0.33,1.11,0.0,0.22,0.56,0.22,0.22,0.44,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1630644,Mac McClung,1610612754,IND,26.0,2,15.8,3.5,2.5,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631103,Malaki Branham,1610612764,WAS,22.0,8,9.5,1.75,1.0,0.75,0.38,0.0,0.25,0.75,0.25,0.13,0.38,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1628370,Malik Monk,1610612758,SAC,27.0,20,24.2,2.6,1.6,1.0,1.5,0.05,0.5,1.1,0.25,0.25,0.5,0.5,0.5,0.05,0.15,0.2,0.15,0.0,0.25,0.75,1.0,0.0
2025-26,203935,Marcus Smart,1610612747,LAL,31.0,14,26.8,3.07,1.29,1.79,3.57,0.29,0.57,1.43,0.36,0.29,0.64,0.556,0.444,0.0,0.43,0.43,0.43,0.14,0.0,1.0,1.0,0.333
2025-26,1641813,Mark Sears,1610612749,MIL,23.0,4,4.9,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631109,Mark Williams,1610612756,PHX,23.0,19,24.9,8.89,6.16,2.74,2.58,0.0,2.63,6.05,0.32,0.26,0.58,0.545,0.455,0.26,1.26,1.53,1.47,1.11,0.172,0.828,0.966,0.724
2025-26,1628963,Marvin Bagley III,1610612764,WAS,26.0,18,17.8,4.83,3.5,1.33,1.0,0.22,3.0,7.17,0.44,0.11,0.56,0.8,0.2,0.39,0.5,0.89,0.89,0.83,0.438,0.563,1.0,0.938
2025-26,203486,Mason Plumlee,1610612766,CHA,35.0,9,10.1,3.33,2.22,1.11,0.44,0.11,1.44,3.11,0.33,0.0,0.33,1.0,0.0,0.33,0.22,0.56,0.56,0.44,0.6,0.4,1.0,0.8
2025-26,1641824,Matas Buzelis,1610612741,CHI,21.0,23,28.6,7.7,5.17,2.52,1.3,0.04,0.48,1.22,0.22,0.3,0.52,0.417,0.583,0.09,0.26,0.35,0.26,0.26,0.25,0.75,0.75,0.75
2025-26,1629680,Matisse Thybulle,1610612757,POR,28.0,4,12.2,0.75,0.5,0.25,4.75,0.25,0.25,0.5,0.0,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631108,Max Christie,1610612742,DAL,22.0,25,28.9,4.24,2.72,1.52,0.88,0.0,0.88,1.88,0.04,0.2,0.24,0.167,0.833,0.0,0.12,0.12,0.12,0.08,0.0,1.0,1.0,0.667
2025-26,1628467,Maxi Kleber,1610612747,LAL,33.0,10,12.1,3.0,2.2,0.8,0.9,0.0,0.7,1.6,0.1,0.1,0.2,0.5,0.5,0.2,0.4,0.6,0.6,0.2,0.333,0.667,1.0,0.333
2025-26,1642875,Maxime Raynaud,1610612758,SAC,22.0,15,16.4,4.53,3.27,1.27,0.6,0.0,2.67,6.33,0.2,0.2,0.4,0.5,0.5,0.33,0.6,0.93,0.93,0.67,0.357,0.643,1.0,0.714
2025-26,1642877,Micah Peavy,1610612740,NOP,24.0,19,17.1,2.11,1.05,1.05,1.47,0.0,0.16,0.37,0.21,0.21,0.42,0.5,0.5,0.16,0.32,0.47,0.42,0.21,0.333,0.667,1.0,0.5
2025-26,1629008,Michael Porter Jr.,1610612751,BKN,27.0,19,32.8,2.68,1.68,1.0,2.05,0.0,0.95,2.21,0.21,0.42,0.63,0.333,0.667,0.32,0.47,0.79,0.79,0.63,0.4,0.6,1.0,0.8
2025-26,1628969,Mikal Bridges,1610612752,NYK,29.0,23,34.4,5.26,3.39,1.87,3.0,0.0,0.3,0.7,0.17,0.17,0.35,0.5,0.5,0.0,0.65,0.65,0.61,0.17,0.0,1.0,0.933,0.267
2025-26,201144,Mike Conley,1610612750,MIN,38.0,21,19.7,2.67,1.38,1.29,1.0,0.0,0.33,0.86,0.24,0.19,0.43,0.556,0.444,0.0,0.1,0.1,0.1,0.0,0.0,1.0,1.0,0.0
2025-26,1628970,Miles Bridges,1610612766,CHA,27.0,24,34.7,6.5,3.54,2.96,1.67,0.0,0.5,1.33,0.38,0.17,0.54,0.692,0.308,0.17,0.46,0.63,0.63,0.38,0.267,0.733,1.0,0.6
2025-26,1642939,Miles Kelly,1610612742,DAL,22.0,1,9.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2025-26,1630540,Miles McBride,1610612752,NYK,25.0,20,27.0,3.95,2.25,1.7,1.4,0.0,0.6,1.4,0.25,0.25,0.5,0.5,0.5,0.0,0.25,0.25,0.2,0.0,0.0,1.0,0.8,0.0
2025-26,1629011,Mitchell Robinson,1610612752,NYK,27.0,15,17.6,3.93,2.13,1.8,1.6,0.0,2.33,5.13,0.47,0.07,0.53,0.875,0.125,1.8,1.33,3.13,3.13,2.47,0.574,0.426,1.0,0.787
2025-26,1642885,Mohamed Diawara,1610612752,NYK,20.0,8,5.1,1.13,0.63,0.5,0.38,0.0,0.13,0.38,0.13,0.0,0.13,1.0,0.0,0.25,0.0,0.25,0.25,0.13,1.0,0.0,1.0,0.5
2025-26,1628420,Monte Morris,1610612754,IND,30.0,5,12.5,1.6,0.6,1.0,1.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1630541,Moses Moody,1610612744,GSW,23.0,22,24.8,3.5,2.55,0.95,2.59,0.09,0.14,0.27,0.32,0.41,0.73,0.438,0.563,0.05,0.32,0.41,0.36,0.14,0.111,0.778,1.0,0.375
2025-26,1631243,Mouhamed Gueye,1610612737,ATL,23.0,25,17.2,4.16,2.44,1.72,1.68,0.0,0.52,1.32,0.24,0.32,0.56,0.429,0.571,0.12,0.96,1.08,1.08,0.44,0.111,0.889,1.0,0.407
2025-26,1630619,Moussa Cisse,1610612742,DAL,23.0,17,10.6,4.18,3.18,1.0,0.88,0.0,1.29,2.94,0.18,0.18,0.35,0.5,0.5,0.35,0.53,0.88,0.88,0.59,0.4,0.6,1.0,0.667
2025-26,1631217,Moussa Diabaté,1610612766,CHA,23.0,23,22.4,6.22,4.13,2.09,1.26,0.0,1.7,3.78,0.61,0.22,0.83,0.737,0.263,1.26,1.22,2.48,2.48,1.83,0.509,0.491,1.0,0.737
2025-26,1626167,Myles Turner,1610612749,MIL,29.0,25,28.7,8.12,6.32,1.8,1.92,0.0,2.2,5.52,0.12,0.16,0.28,0.429,0.571,0.24,1.36,1.6,1.6,1.0,0.15,0.85,1.0,0.625
2025-26,1642066,Myron Gardner,1610612748,MIA,24.0,1,4.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642368,N'Faly Dante,1610612737,ATL,24.0,4,3.9,1.0,1.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0,1.0,1.0
2025-26,1641772,Nae'Qwan Tomlin,1610612739,CLE,24.0,15,18.1,3.13,1.8,1.33,2.73,0.0,0.4,0.93,0.2,0.13,0.33,0.6,0.4,0.27,0.33,0.6,0.6,0.4,0.444,0.556,1.0,0.667
