Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1630314,Brandon Williams,1610612742,DAL,G,26.0,26,24,0.356,0.96,3.0,0.321,0.37,-0.049
2025-26,1631111,Wendell Moore Jr.,1610612765,DET,G,24.0,3,3,0.474,0.0,3.0,0.0,0.356,-0.356
2025-26,1627752,Taurean Prince,1610612749,MIL,F,31.0,8,8,0.414,1.38,3.0,0.458,0.359,0.099
2025-26,1641757,Jordan Miller,1610612746,LAC,G,25.0,6,6,0.419,1.0,3.0,0.333,0.352,-0.019
2025-26,1630170,Devin Vassell,1610612759,SAS,G-F,25.0,27,26,0.313,1.22,2.96,0.413,0.378,0.035
2025-26,1642856,Egor Dëmin,1610612751,BKN,G,19.0,24,23,0.326,1.17,2.96,0.394,0.367,0.028
2025-26,1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,27,26,0.222,0.93,2.96,0.313,0.369,-0.056
2025-26,1641772,Nae'Qwan Tomlin,1610612739,CLE,F,25.0,19,17,0.483,1.11,2.95,0.375,0.343,0.032
2025-26,1642272,Jared McCain,1610612755,PHI,G,21.0,18,17,0.387,0.94,2.94,0.321,0.357,-0.036
2025-26,1631165,Keon Ellis,1610612758,SAC,G,25.0,26,24,0.367,0.92,2.92,0.316,0.367,-0.052
2025-26,1631119,Jaylin Williams,1610612760,OKC,F,23.0,25,20,0.323,0.96,2.92,0.329,0.327,0.001
2025-26,1641744,Zach Edey,1610612763,MEM,C,23.0,11,10,0.241,1.36,2.91,0.469,0.368,0.101
2025-26,1629012,Collin Sexton,1610612766,CHA,G,26.0,21,21,0.399,1.05,2.9,0.361,0.362,-0.001
2025-26,1630543,Isaiah Jackson,1610612754,IND,F,23.0,28,28,0.305,0.89,2.89,0.309,0.356,-0.047
2025-26,1627936,Alex Caruso,1610612760,OKC,G,31.0,19,18,0.423,1.0,2.89,0.345,0.367,-0.022
2025-26,1642382,Branden Carlson,1610612760,OKC,C,26.0,16,16,0.438,1.19,2.88,0.413,0.302,0.111
2025-26,1642363,Nique Clifford,1610612758,SAC,G,23.0,24,21,0.371,0.92,2.88,0.319,0.365,-0.046
2025-26,201144,Mike Conley,1610612750,MIN,G,38.0,24,23,0.379,1.04,2.88,0.362,0.361,0.002
2025-26,1642269,Devin Carter,1610612758,SAC,G,23.0,8,7,0.5,1.13,2.88,0.391,0.388,0.003
2025-26,201587,Nicolas Batum,1610612746,LAC,G-F,37.0,26,23,0.387,1.38,2.85,0.486,0.37,0.116
2025-26,1631243,Mouhamed Gueye,1610612737,ATL,F,23.0,29,27,0.39,0.86,2.83,0.305,0.337,-0.032
