Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
2025-26,1641709,Ausar Thompson,1610612765,DET,19,14,5,27.8,1.9,1.2,0.7,0.639,3.7,0.514,0.2,0.545,5.7,3.9,1.1,2.9,0.267,6.4,0.615,0.2,0.636,6.3,5.8,2.3,3.6,0.387,9.7,0.6,0.4,0.627,6.1
2025-26,1630559,Austin Reaves,1610612747,LAL,19,14,5,36.6,0.7,0.3,0.5,0.357,2.1,0.359,0.1,0.378,12.2,4.8,1.2,3.6,0.253,7.6,0.628,0.5,0.669,8.2,5.5,1.5,4.1,0.267,9.5,0.58,0.6,0.618,8.7
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,18,8,10,28.3,0.4,0.1,0.3,0.286,1.5,0.259,0.1,0.269,12.1,2.4,0.4,1.9,0.186,4.4,0.544,0.3,0.589,10.2,2.8,0.6,2.2,0.2,5.7,0.49,0.4,0.526,10.4
2025-26,1628389,Bam Adebayo,1610612748,MIA,16,9,7,30.5,1.5,0.9,0.6,0.625,3.5,0.429,0.1,0.444,7.9,7.3,1.9,5.4,0.265,10.7,0.684,1.0,0.755,6.0,8.8,2.9,5.9,0.326,13.6,0.647,1.1,0.705,6.3
2025-26,1631248,Baylor Scheierman,1610612738,BOS,15,10,5,14.2,0.5,0.2,0.3,0.375,1.8,0.296,0.1,0.308,7.5,2.0,0.7,1.3,0.333,3.8,0.526,0.6,0.625,8.0,2.5,0.9,1.7,0.342,5.2,0.487,0.7,0.559,7.9
2025-26,1642879,Ben Saraf,1610612751,BKN,9,2,7,15.6,0.6,0.3,0.2,0.6,1.3,0.417,0.0,0.417,5.9,1.6,0.4,1.1,0.286,2.8,0.56,0.2,0.609,8.2,2.1,0.8,1.3,0.368,4.0,0.528,0.2,0.559,7.6
2025-26,1641767,Ben Sheppard,1610612754,IND,22,4,18,24.9,0.8,0.3,0.5,0.333,2.0,0.419,0.1,0.45,13.7,3.3,0.6,2.6,0.194,4.7,0.699,0.5,0.774,8.8,4.1,0.9,3.2,0.222,6.3,0.652,0.6,0.72,9.8
2025-26,1631097,Bennedict Mathurin,1610612754,IND,12,4,8,32.7,0.9,0.5,0.4,0.545,3.0,0.306,0.3,0.344,7.6,4.7,1.1,3.6,0.232,6.8,0.691,0.6,0.757,7.7,5.6,1.6,4.0,0.284,9.4,0.593,0.9,0.657,7.7
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,12,2,10,27.1,0.5,0.3,0.2,0.667,2.3,0.214,0.2,0.231,3.9,3.5,0.9,2.6,0.262,6.1,0.575,0.3,0.6,7.7,4.0,1.3,2.8,0.313,8.2,0.49,0.4,0.516,7.2
2025-26,202687,Bismack Biyombo,1610612759,SAS,6,5,1,7.6,0.3,0.2,0.2,0.5,1.3,0.25,0.2,0.286,6.6,0.7,0.2,0.5,0.25,2.7,0.25,0.3,0.286,4.2,1.0,0.3,0.7,0.333,3.7,0.273,0.5,0.316,5.0
2025-26,1631104,Blake Wesley,1610612757,POR,5,3,2,17.7,0.4,0.0,0.4,0.0,1.6,0.25,0.0,0.25,18.8,2.4,0.0,2.4,0.0,3.2,0.75,0.0,0.75,8.1,2.8,0.0,2.8,0.0,4.8,0.583,0.0,0.583,9.6
2025-26,1626171,Bobby Portis,1610612749,MIL,24,10,14,21.8,1.1,0.6,0.5,0.538,2.8,0.382,0.0,0.388,8.0,4.6,1.4,3.3,0.297,7.7,0.6,0.6,0.653,5.5,5.7,2.0,3.7,0.343,10.2,0.561,0.7,0.601,5.9
2025-26,1641752,Bobi Klintman,1610612765,DET,4,3,1,10.6,1.3,0.8,0.5,0.6,2.8,0.455,0.0,0.455,10.4,2.8,0.8,2.0,0.273,4.0,0.688,0.5,0.786,5.4,4.0,1.5,2.5,0.375,6.3,0.64,0.5,0.696,6.9
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,9,2,7,25.9,0.3,0.0,0.3,0.0,1.4,0.231,0.2,0.273,29.3,3.2,0.4,2.8,0.138,6.3,0.509,1.0,0.604,8.8,3.6,0.4,3.1,0.125,7.7,0.464,1.2,0.552,10.7
2025-26,1630538,Bones Hyland,1610612750,MIN,10,8,2,9.8,0.2,0.1,0.1,0.5,0.4,0.5,0.0,0.5,10.9,1.3,0.3,1.0,0.231,2.1,0.619,0.2,0.684,10.8,1.5,0.4,1.1,0.267,2.4,0.625,0.2,0.682,10.8
2025-26,203078,Bradley Beal,1610612746,LAC,5,2,3,20.3,0.4,0.2,0.2,0.5,0.8,0.5,0.0,0.5,12.4,0.6,0.0,0.6,0.0,1.8,0.333,0.0,0.333,9.0,1.0,0.2,0.8,0.2,2.6,0.385,0.0,0.385,10.4
2025-26,1642382,Branden Carlson,1610612760,OKC,11,10,1,10.8,0.6,0.4,0.3,0.571,1.7,0.368,0.1,0.389,6.6,2.0,0.2,1.8,0.091,3.5,0.564,0.5,0.647,4.2,2.6,0.5,2.1,0.207,5.0,0.527,0.5,0.592,4.8
2025-26,1641764,Brandin Podziemski,1610612744,GSW,23,12,11,27.6,0.7,0.3,0.3,0.467,1.8,0.357,0.1,0.385,13.0,4.1,0.8,3.3,0.202,6.1,0.667,0.7,0.758,6.7,4.7,1.1,3.6,0.239,7.9,0.599,0.9,0.673,7.6
2025-26,1627742,Brandon Ingram,1610612761,TOR,23,14,9,34.0,0.8,0.5,0.3,0.579,2.2,0.38,0.0,0.388,7.9,5.3,1.6,3.7,0.301,7.3,0.728,0.3,0.755,6.8,6.2,2.1,4.1,0.338,9.3,0.664,0.3,0.686,6.9
2025-26,1641706,Brandon Miller,1610612766,CHA,5,3,2,28.0,0.4,0.2,0.2,0.5,1.0,0.4,0.0,0.4,7.7,2.6,0.6,2.0,0.231,5.2,0.5,0.6,0.565,5.7,3.0,0.8,2.2,0.267,6.2,0.484,0.6,0.536,6.0
2025-26,1630314,Brandon Williams,1610612742,DAL,20,8,12,23.1,0.7,0.3,0.5,0.357,2.0,0.35,0.2,0.378,13.9,2.1,0.2,1.9,0.095,4.3,0.488,0.3,0.525,8.2,2.8,0.5,2.4,0.161,6.2,0.452,0.5,0.487,9.6
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,18,7,11,17.2,0.8,0.4,0.3,0.571,2.0,0.389,0.2,0.424,11.0,2.2,0.6,1.7,0.25,3.2,0.69,0.1,0.714,6.9,3.0,1.0,2.0,0.333,5.1,0.593,0.3,0.628,8.0
2025-26,1642355,Bronny James,1610612747,LAL,6,3,3,13.5,0.7,0.5,0.2,0.75,1.0,0.667,0.2,0.8,10.4,0.8,0.0,0.8,0.0,3.0,0.278,0.2,0.294,8.7,1.5,0.5,1.0,0.333,4.0,0.375,0.3,0.409,9.4
2025-26,201572,Brook Lopez,1610612746,LAC,14,5,9,15.0,0.3,0.2,0.1,0.75,0.7,0.4,0.0,0.4,4.7,2.1,1.2,0.9,0.586,3.9,0.527,0.3,0.569,5.1,2.4,1.4,0.9,0.606,4.6,0.516,0.3,0.55,5.1
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,14,14,0,8.3,0.4,0.2,0.1,0.5,1.3,0.333,0.0,0.333,6.6,1.9,0.1,1.8,0.038,2.6,0.722,0.2,0.788,6.3,2.3,0.3,1.9,0.125,3.6,0.64,0.2,0.681,6.4
2025-26,1628971,Bruce Brown,1610612743,DEN,22,16,6,23.6,1.0,0.3,0.7,0.318,2.3,0.44,0.1,0.458,10.4,2.8,0.4,2.4,0.131,4.0,0.701,0.4,0.772,7.6,3.8,0.7,3.1,0.181,6.0,0.624,0.5,0.675,8.3
2025-26,1631121,Bryce McGowens,1610612740,NOP,10,1,9,22.0,0.3,0.3,0.0,1.0,1.2,0.25,0.1,0.273,10.2,2.3,0.4,1.9,0.174,4.1,0.561,0.5,0.639,7.3,2.6,0.7,1.9,0.269,5.3,0.491,0.6,0.553,7.6
2025-26,1642267,Bub Carrington,1610612764,WAS,21,2,19,25.9,0.4,0.0,0.4,0.0,1.0,0.4,0.0,0.4,15.5,3.2,0.4,2.8,0.119,4.8,0.663,0.4,0.72,7.6,3.6,0.4,3.2,0.107,5.6,0.641,0.4,0.688,8.4
2025-26,1627741,Buddy Hield,1610612744,GSW,20,12,8,19.5,0.8,0.4,0.5,0.438,2.6,0.314,0.1,0.327,10.7,2.2,0.5,1.7,0.233,3.9,0.551,0.4,0.606,5.9,3.0,0.9,2.1,0.288,6.2,0.48,0.5,0.518,7.2
2025-26,203468,CJ McCollum,1610612764,WAS,21,3,18,29.7,0.6,0.1,0.5,0.167,1.7,0.343,0.0,0.343,13.6,2.6,0.4,2.2,0.145,4.5,0.579,0.1,0.591,9.2,3.2,0.5,2.7,0.149,6.0,0.532,0.1,0.54,10.0
2025-26,1630595,Cade Cunningham,1610612765,DET,20,15,5,36.3,1.5,0.6,0.9,0.4,2.9,0.526,0.0,0.526,10.6,5.0,1.1,3.9,0.22,8.4,0.599,0.6,0.645,8.2,6.5,1.7,4.8,0.262,10.9,0.596,0.6,0.631,8.8
2025-26,1631216,Caleb Houstan,1610612737,ATL,4,3,1,8.8,1.0,0.8,0.3,0.75,1.8,0.571,0.0,0.571,11.1,0.3,0.3,0.0,1.0,0.5,0.5,0.0,0.5,14.5,1.3,1.0,0.3,0.8,2.3,0.556,0.0,0.556,11.8
2025-26,1631126,Caleb Love,1610612757,POR,12,5,7,19.3,0.8,0.3,0.6,0.3,1.8,0.476,0.0,0.476,14.9,2.7,0.5,2.1,0.188,3.5,0.762,0.1,0.78,7.9,3.5,0.8,2.7,0.214,5.2,0.677,0.1,0.689,9.6
2025-26,1628997,Caleb Martin,1610612742,DAL,17,6,11,9.8,0.6,0.1,0.6,0.091,1.3,0.5,0.1,0.524,9.7,1.3,0.3,1.0,0.227,2.4,0.55,0.2,0.595,8.9,1.9,0.4,1.6,0.182,3.5,0.55,0.2,0.589,9.2
2025-26,1642353,Cam Christie,1610612746,LAC,13,3,10,12.5,0.6,0.3,0.3,0.5,1.5,0.421,0.0,0.421,7.3,2.2,0.4,1.8,0.179,3.8,0.56,0.3,0.609,7.3,2.8,0.7,2.1,0.25,5.2,0.529,0.3,0.563,7.3
2025-26,1642285,Cam Spencer,1610612763,MEM,20,8,12,21.3,0.3,0.1,0.2,0.333,0.8,0.4,0.1,0.429,11.4,2.1,0.3,1.9,0.119,3.2,0.656,0.5,0.778,9.1,2.4,0.4,2.1,0.146,4.0,0.608,0.6,0.706,9.4
2025-26,1630560,Cam Thomas,1610612751,BKN,7,0,7,31.5,0.4,0.0,0.4,0.0,1.7,0.25,0.1,0.273,18.9,1.1,0.4,0.7,0.375,3.9,0.296,0.4,0.333,8.2,1.6,0.4,1.1,0.273,5.6,0.282,0.6,0.314,11.1
2025-26,1641715,Cam Whitmore,1610612764,WAS,16,2,14,18.8,1.2,0.5,0.7,0.421,3.1,0.388,0.0,0.388,6.4,2.4,0.5,1.9,0.205,3.5,0.696,0.2,0.736,6.7,3.6,1.0,2.6,0.276,6.2,0.586,0.2,0.604,6.6
2025-26,1629661,Cameron Johnson,1610612743,DEN,21,15,6,29.6,0.8,0.3,0.5,0.412,1.8,0.447,0.0,0.459,10.2,2.6,0.7,1.9,0.259,4.6,0.563,0.8,0.684,8.6,3.4,1.0,2.4,0.296,6.2,0.542,0.9,0.628,9.0
2025-26,1627747,Caris LeVert,1610612765,DET,16,12,4,20.8,0.3,0.2,0.1,0.6,1.0,0.313,0.0,0.313,11.0,1.6,0.4,1.2,0.24,2.8,0.568,0.4,0.658,8.9,1.9,0.6,1.3,0.3,3.7,0.508,0.4,0.566,9.2
2025-26,1642868,Carter Bryant,1610612759,SAS,14,10,4,7.6,0.4,0.4,0.1,0.833,0.7,0.6,0.0,0.6,4.3,1.6,0.6,1.1,0.348,2.6,0.622,0.4,0.719,5.4,2.1,0.9,1.1,0.448,3.3,0.63,0.4,0.707,5.2
2025-26,1641717,Cason Wallace,1610612760,OKC,20,19,1,28.6,0.9,0.4,0.5,0.471,2.1,0.415,0.1,0.436,10.9,2.6,0.4,2.2,0.157,4.5,0.567,0.4,0.622,9.1,3.4,0.8,2.6,0.235,6.5,0.523,0.5,0.567,9.5
2025-26,1642907,Cedric Coward,1610612763,MEM,23,10,13,27.2,1.3,0.8,0.4,0.6,3.6,0.366,0.2,0.39,7.3,4.9,1.0,3.9,0.205,8.1,0.602,1.4,0.727,5.5,6.2,1.8,4.3,0.289,11.2,0.55,1.6,0.643,5.8
2025-26,1629646,Charles Bassey,1610612763,MEM,2,0,2,15.3,3.5,1.5,2.0,0.429,5.0,0.7,0.0,0.7,5.6,4.0,1.0,3.0,0.25,8.5,0.471,1.5,0.571,5.1,7.5,2.5,5.0,0.333,13.5,0.556,1.5,0.625,5.3
2025-26,1642404,Chaz Lanier,1610612765,DET,7,6,1,15.4,0.9,0.3,0.6,0.333,1.6,0.545,0.0,0.545,15.5,1.1,0.0,1.1,0.0,3.3,0.348,0.7,0.444,14.2,2.0,0.3,1.7,0.143,4.4,0.452,0.7,0.538,14.8
2025-26,1631096,Chet Holmgren,1610612760,OKC,19,19,0,29.3,1.5,1.2,0.4,0.759,4.6,0.333,0.3,0.354,6.2,6.5,1.9,4.5,0.293,10.5,0.618,1.4,0.715,4.5,8.0,3.1,4.9,0.382,14.6,0.547,1.7,0.618,4.9
2025-26,1628449,Chris Boucher,1610612738,BOS,6,2,4,12.5,0.3,0.2,0.2,0.5,2.0,0.167,0.0,0.167,7.2,2.7,1.0,1.7,0.375,4.7,0.571,0.2,0.593,5.0,3.0,1.2,1.8,0.389,6.3,0.474,0.2,0.486,5.2
2025-26,1641753,Chris Livingston,1610612739,CLE,1,0,1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.333,5.0,0.6,2.0,1.0,7.8,3.0,1.0,2.0,0.333,5.0,0.6,2.0,1.0,7.8
2025-26,1643024,Chris Mañon,1610612747,LAL,2,1,1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.5,0.667,0.0,0.667,11.1,1.0,0.5,0.5,0.5,1.5,0.667,0.0,0.667,11.1
2025-26,101108,Chris Paul,1610612746,LAC,15,4,11,14.2,0.4,0.1,0.3,0.167,0.6,0.667,0.1,0.75,11.0,1.5,0.3,1.1,0.227,2.4,0.611,0.1,0.629,8.5,1.9,0.4,1.5,0.214,2.9,0.636,0.1,0.667,9.1
2025-26,1642959,Chris Youngblood,1610612760,OKC,8,8,0,6.7,0.3,0.1,0.1,0.5,0.4,0.667,0.0,0.667,6.3,1.5,0.1,1.4,0.083,1.9,0.8,0.1,0.857,11.7,1.8,0.3,1.5,0.143,2.3,0.778,0.1,0.824,11.0
2025-26,1631128,Christian Braun,1610612743,DEN,11,9,2,29.6,1.6,0.8,0.8,0.5,2.8,0.581,0.0,0.581,10.1,2.7,0.4,2.4,0.133,5.1,0.536,0.7,0.625,8.4,4.4,1.2,3.2,0.271,7.8,0.558,0.7,0.615,9.0
2025-26,1631132,Christian Koloko,1610612747,LAL,1,0,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.333,0.0,0.333,2.3,1.0,0.0,1.0,0.0,3.0,0.333,0.0,0.333,2.3
2025-26,1642935,Chucky Hepburn,1610612761,TOR,1,0,1,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,13.9,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,13.9
2025-26,203991,Clint Capela,1610612745,HOU,18,14,4,12.6,2.9,1.9,1.0,0.66,4.8,0.609,0.2,0.631,4.9,2.5,1.1,1.4,0.444,4.2,0.6,0.5,0.682,4.8,5.4,3.1,2.4,0.561,8.7,0.624,0.7,0.676,4.9
2025-26,1629632,Coby White,1610612741,CHI,6,2,4,30.0,0.3,0.0,0.3,0.0,1.2,0.286,0.0,0.286,31.1,2.7,0.3,2.3,0.125,4.8,0.552,0.0,0.552,9.3,3.0,0.3,2.7,0.111,6.0,0.5,0.0,0.5,11.7
2025-26,1628998,Cody Martin,1610612754,IND,4,0,4,13.8,0.3,0.3,0.0,1.0,2.0,0.125,0.3,0.143,4.3,3.3,1.0,2.3,0.308,6.3,0.52,0.5,0.565,6.5,3.5,1.3,2.3,0.357,8.3,0.424,0.8,0.467,6.4
2025-26,1642262,Cody Williams,1610612762,UTA,7,2,5,14.7,0.4,0.1,0.3,0.333,1.6,0.273,0.1,0.3,11.6,1.0,0.1,0.9,0.143,2.1,0.467,0.0,0.467,7.9,1.4,0.3,1.1,0.2,3.7,0.385,0.1,0.4,9.0
2025-26,1641732,Colby Jones,1610612765,DET,1,0,1,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.5,4.0,1.0,0.0,1.0,7.6,4.0,2.0,2.0,0.5,4.0,1.0,0.0,1.0,7.6
2025-26,1630175,Cole Anthony,1610612749,MIL,18,8,10,18.4,0.4,0.2,0.3,0.375,1.4,0.32,0.0,0.32,12.8,2.7,0.4,2.3,0.163,3.9,0.69,0.1,0.7,8.1,3.2,0.6,2.6,0.193,5.3,0.6,0.1,0.606,8.8
