Metric,RawValue
Guarded Shooting Talent,Guarded Shooting Talent *
Guarded Stable Post Up PPP,Guarded Stable Post Up PPP *
Guarded USG%,Guarded USG% *
Guarded Wing%,Guarded Wing% *
Matchup Difficulty,Matchup Difficulty *
Padded Guarded O-LEBRON,Padded Guarded O-LEBRON *
Padded Guarded Usage%,Padded Guarded Usage% *
BPM LA-RAPM,BPM LA-RAPM *
BPM,BPM *
D-BPM LA-RAPM,D-BPM LA-RAPM *
D-DPM,D-DPM *
D-DRIP,D-DRIP *
D-EBRON,D-EBRON *
D-LEBRON,D-LEBRON *
D-LEBRON Box Impact,D-LEBRON Box Impact *
D-LEBRON Vs Role Average,D-LEBRON Vs Role Average *
DPM,DPM *
DRIP,DRIP *
D-BPM,D-BPM *
Defensive Impact Luck,Defensive Impact Luck *
Defensive Playmaking,Defensive Playmaking *
Defensive Portability,Defensive Portability  *
Defensive RAPTOR,Defensive RAPTOR *
EBRON,EBRON *
Luck-Adjusted RAPM,Luck-Adjusted RAPM *
Luck-Adjusted DRAPM,Luck-Adjusted DRAPM *
Luck-Adjusted ORAPM,Luck-Adjusted ORAPM *
LEBRON,LEBRON *
LEBRON Box Impact,LEBRON Box Impact *
LEBRON Contract Value,LEBRON Contract Value *
LEBRON Defensive Points Saved,LEBRON Defensive Points Saved *
LEBRON Offensive Points Added,LEBRON Offensive Points Added *
LEBRON Salary Over Expected,LEBRON Salary Over Expected *
LEBRON Vs Role Average,LEBRON Vs Role Average *
LEBRON WAR,LEBRON WAR *
Multi-Year D-LEBRON,Multi-Year D-LEBRON *
Multi-Year LEBRON,Multi-Year LEBRON *
Multi-Year O-LEBRON,Multi-Year O-LEBRON *
O-BPM LA-RAPM,O-BPM LA-RAPM *
O-DPM,O-DPM *
O-DRIP,O-DRIP *
O-EBRON,O-EBRON *
O-LEBRON,O-LEBRON *
O-LEBRON Box Impact,O-LEBRON Box Impact *
O-LEBRON Vs Role Average,O-LEBRON Vs Role Average *
O-BPM,O-BPM *
Offensive Impact Luck,Offensive Impact Luck *
Offensive Optimization,Offensive Optimization *
Offensive Portability,Offensive Portability *
Offensive RAPTOR,Offensive RAPTOR *
Offensive Talent,Offensive Talent *
Portability,Portability *
Predictive D-LEBRON,Predictive D-LEBRON *
Predictive LEBRON,Predictive LEBRON *
Predictive O-LEBRON,Predictive O-LEBRON *
RAPTOR,RAPTOR *
RAPTOR WAR,RAPTOR WAR *
Stable On-Court DRtg,Stable On-Court DRtg *
Stable On-Court Net Rating,Stable On-Court Net Rating *
Stable On-Court ORtg,Stable On-Court ORtg *
Time Decay D-RAPM,Time Decay D-RAPM *
Time Decay LA-DRAPM,Time Decay LA-DRAPM *
Time Decay LA-ORAPM,Time Decay LA-ORAPM *
Time Decay LA-RAPM,Time Decay LA-RAPM *
Time Decay O-RAPM,Time Decay O-RAPM *
Time Decay RAPM,Time Decay RAPM *
Total Impact Luck,Total Impact Luck *
VORP,VORP *
delta DRIP,delta DRIP *
3PTM Per 75 Possessions,3PTM Per 75 Possessions *
3PT Pull Up FGA Per 75,3PT Pull Up FGA Per 75 *
3PT Pull Up FGM Per 75,3PT Pull Up FGM Per 75 *
Assists Per 75 Possessions,Assists Per 75 Possessions *
Cut Scoring Impact Per 75,Cut Scoring Impact Per 75
DraftKings Fantasy Points Per 75 Possessions,DraftKings Fantasy Points Per 75 Possessions *
Midrange FGA Per 75,Midrange FGA Per 75 *
Midrange FGM Per 75,Midrange FGM Per 75 *
Midrange Pull Up FGA Per 75,Midrange Pull Up FGA Per 75 *
Midrange Pull Up FGM Per 75,Midrange Pull Up FGM Per 75 *
Off-Screen Impact Per 75,Off-Screen Impact Per 75
Personal Fouls Per 75 Possessions,Personal Fouls Per 75 Possessions *
Points Per 75 Possessions,Points Per 75 Possessions *
Rebounds Per 75 Possessions,Rebounds Per 75 Possessions *
Stable 2PTA Per 75,Stable 2PTA Per 75 *
Stable 3-Second Violations Per 75,Stable 3-Second Violations Per 75
Stable 3PTA Per 75,Stable 3PTA Per 75 *
Stable And 1s Per 75,Stable And 1s Per 75 *
Stable Assists Per 75,Stable Assists Per 75 *
Stable Bad Pass Steals Per 75,Stable Bad Pass Steals Per 75 *
Stable Blocks Per 75,Stable Blocks Per 75 *
Stable Charge Fouls Drawn Per 75,Stable Charge Fouls Drawn Per 75 *
Stable Charge Fouls Per 75,Stable Charge Fouls Per 75 *
Stable Defensive 3-Second Violations Per 75,Stable Defensive 3-Second Violations Per 75 *
Stable Defensive Rebounds Per 75,Stable Defensive Rebounds Per 75 *
Stable FGA Per 75,Stable FGA Per 75 *
Stable FTA Per 75,Stable FTA Per 75 *
Stable Fouls Drawn Per 75,Stable Fouls Drawn Per 75 *
Stable Fouls Per 75,Stable Fouls Per 75 *
Stable Loose Ball Fouls Drawn Per 75,Stable Loose Ball Fouls Drawn Per 75 *
Stable Loose Ball Fouls Per 75,Stable Loose Ball Fouls Per 75 *
Stable Lost Ball Steals Per 75,Stable Lost Ball Steals Per 75 *
Stable Non Shooting Fouls Drawn Per 75,Stable Non Shooting Fouls Drawn Per 75 *
Stable Non Shooting Penalty Non Take Fouls Drawn Per 75,Stable Non Shooting Penalty Non Take Fouls Drawn Per 75 *
Stable Non Shooting Penalty Non Take Fouls Per 75,Stable Non Shooting Penalty Non Take Fouls Per 75 *
Stable Offensive Fouls Drawn Per 75,Stable Offensive Fouls Drawn Per 75 *
Stable Offensive Fouls Per 75,Stable Offensive Fouls Per 75 *
Stable Offensive Goaltends Per 75,Stable Offensive Goaltends Per 75 *
Stable Offensive Rebounds Per 75,Stable Offensive Rebounds Per 75 *
Stable Plus Minus Per 75,Stable Plus Minus Per 75 *
Stable Points Per 75,Stable Points Per 75 *
Stable Putback Points Per 75,Stable Putback Points Per 75
Stable Rebounds Per 75,Stable Rebounds Per 75 *
Stable Recovered Blocks Per 75,Stable Recovered Blocks Per 75 *
Stable Recovered Blocks%,Stable Recovered Blocks% *
Stable Shooting Fouls Drawn Per 75,Stable Shooting Fouls Drawn Per 75
Stable Shooting Fouls Per 75,Stable Shooting Fouls Per 75 *
Stable Steals Per 75,Stable Steals Per 75 *
Stable TOV Per 75,Stable TOV Per 75 *
Stable Travels Per 75,Stable Travels Per 75 *
Turnovers Per 75 Possessions,Turnovers Per 75 Possessions *
Assisted Openness Rating,Assisted Openness Rating *
Effective FG%,Effective FG% *
Free Throw Percentage,Free Throw Percentage *
Half Court Openness Rating,Half Court Openness Rating *
Half Court Shooting Talent,Half Court Shooting Talent *
Half Court Shot Creation,Half Court Shot Creation *
Half Court Shot Making,Half Court Shot Making *
Half Court Shot Making Efficiency,Half Court Shot Making Efficiency *
Half Court Shot Quality,Half Court Shot Quality *
Isolation Shooting Talent,Isolation Shooting Talent *
Isolation Shot Making,Isolation Shot Making *
Isolation Shot Making Efficiency,Isolation Shot Making Efficiency *
Isolation Shot Quality,Isolation Shot Quality *
Off-Ball Shot Making,Off-Ball Shot Making *
Off-Ball Shot Making Efficiency,Off-Ball Shot Making Efficiency *
Off-Ball Shot Quality,Off-Ball Shot Quality *
Overall Openness Rating,Overall Openness Rating *
Overall Shooting Talent,Overall Shooting Talent *
Overall Shot Creation,Overall Shot Creation *
Overall Shot Making,Overall Shot Making *
Overall Shot Making Efficiency,Overall Shot Making Efficiency *
Overall Shot Quality,Overall Shot Quality *
PnR Ball Handler Shooting Talent,PnR Ball Handler Shooting Talent *
PnR Ball Handler Shot Making,PnR Ball Handler Shot Making *
PnR Ball Handler Shot Making Efficiency,PnR Ball Handler Shot Making Efficiency *
PnR Ball Handler Shot Quality,PnR Ball Handler Shot Quality *
PnR Screener Shooting Talent,PnR Screener Shooting Talent *
PnR Screener Shot Making,PnR Screener Shot Making *
PnR Screener Shot Making Efficiency,PnR Screener Shot Making Efficiency *
PnR Screener Shot Quality,PnR Screener Shot Quality *
Points Over Expectation / 75,Points Over Expectation / 75
Points Per Possession,Points Per Possession *
Points Per Shot,Points Per Shot *
Relative True Shooting%,Relative True Shooting% *
Role Adjusted Stable TS%,Role Adjusted Stable TS% *
Role Adjusted Stable eFG%,Role Adjusted Stable eFG% *
Self-Created Shot Making,Self-Created Shot Making *
Self-Created Shot Making Efficiency,Self-Created Shot Making Efficiency *
Self-Created Shot Quality,Self-Created Shot Quality *
Spot Up%,Spot Up%
Stable Cut PPP,Stable Cut PPP *
Stable FG2%,Stable FG2% *
Stable FG3%,Stable FG3% *
