Sport,Slate_Date,Lineup_Rank,Name,Adjusted_FP,Adjusted_Rating,Multiplier_Factor,Team,Opponent,Is_Home,Game_Key,Position,Salary,Base_FP,Multiplier_Bonus,Real_Rating,Multiplier_Status,Matched_Real_Name,Matched_Real_Team,Matched_Real_ID,Rotowire_Site,Rotowire_Coverage_Games,Rotowire_Selected_Slates_Count,Rotowire_Selected_Slates,Source_Slate_ID,Source_Contest_Type,Source_Slate_Start_Date,Source_Coverage_Games
golf,2026-08-16,24,Wyndham Clark,27.12,105.58,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9900,27.12,0.0000,105.58,ok,Wyndham Clark,,51766,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,25,Nico Echavarria,27.08,113.96,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7100,24.62,0.1000,103.60,ok,Nico Echavarria,,51349,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,26,Pierceson Coody,27.05,60.28,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6300,27.05,0.0000,60.28,ok,Pierceson Coody,,59836,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,27,Nicolai Hojgaard,27.02,0.00,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8900,27.02,0.0000,0.00,ok,,,,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,28,Patrick Cantlay,27.02,96.65,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,10200,27.02,0.0000,96.65,ok,Patrick Cantlay,,35450,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,29,Sahith Theegala,27.01,84.34,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7900,24.55,0.1000,76.67,ok,Sahith Theegala,,51634,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,30,Justin Thomas,26.85,98.88,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9800,26.85,0.0000,98.88,ok,Justin Thomas,,33448,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,31,Jackson Koivun,26.79,36.65,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,10000,26.79,0.0000,36.65,ok,Jackson Koivun,,66701,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,32,Sam Burns,26.69,122.77,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,11300,26.69,0.0000,122.77,ok,Sam Burns,,47504,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,33,Justin Rose,26.50,78.19,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9500,26.50,0.0000,78.19,ok,Justin Rose,,22405,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
