id,Name,firstName,lastName,normalized_name
35706,Niklas Nørgaard,Niklas,Nørgaard,niklas nørgaard
64693,Matthew Riedel,Matthew,Riedel,matthew riedel
52144,Braden Thornberry,Braden,Thornberry,braden thornberry
59836,Pierceson Coody,Pierceson,Coody,pierceson coody
33413,Ben Martin,Ben,Martin,ben martin
12716,Charley Hoffman,Charley,Hoffman,charley hoffman
66743,Luke Clanton,Luke,Clanton,luke clanton
51690,Taylor Dickson,Taylor,Dickson,taylor dickson
55623,Kaito Onishi,Kaito,Onishi,kaito onishi
33199,Matteo Manassero,Matteo,Manassero,matteo manassero
24024,Zach Johnson,Zach,Johnson,zach johnson
47483,Will Zalatoris,Will,Zalatoris,will zalatoris
50474,Tim Widing,Tim,Widing,tim widing
27349,Alex Noren,Alex,Noren,alex noren
45523,Thriston Lawrence,Thriston,Lawrence,thriston lawrence
29478,Kevin Kisner,Kevin,Kisner,kevin kisner
23320,Ryan Palmer,Ryan,Palmer,ryan palmer
52372,Cameron Champ,Cameron,Champ,cameron champ
22371,Aaron Baddeley,Aaron,Baddeley,aaron baddeley
25198,Francesco Molinari,Francesco,Molinari,francesco molinari
34255,Joseph Bramlett,Joseph,Bramlett,joseph bramlett
32139,Danny Willett,Danny,Willett,danny willett
54813,Philip Knowles,Philip,Knowles,philip knowles
54783,Dylan Wu,Dylan,Wu,dylan wu
29221,Webb Simpson,Webb,Simpson,webb simpson
66701,Jackson Koivun,Jackson,Koivun,jackson koivun
49303,Anders Albertson,Anders,Albertson,anders albertson
31113,Paul Waring,Paul,Waring,paul waring
32791,K.H. Lee,K.H.,Lee,k h lee
51070,Vincent Norrman,Vincent,Norrman,vincent norrman
29908,C.T. Pan,C.T.,Pan,c t pan
32982,Vince Covello,Vince,Covello,vince covello
54328,Norman Xiong,Norman,Xiong,norman xiong
24925,Jonathan Byrd,Jonathan,Byrd,jonathan byrd
36871,Matt NeSmith,Matt,NeSmith,matt nesmith
66417,Blades Brown,Blades,Brown,blades brown
27214,Kevin Streelman,Kevin,Streelman,kevin streelman
34363,Tyrrell Hatton,Tyrrell,Hatton,tyrrell hatton
32448,James Hahn,James,Hahn,james hahn
65256,David Ford,David,Ford,david ford
26476,Chez Reavie,Chez,Reavie,chez reavie
27936,Martin Laird,Martin,Laird,martin laird
46970,Jon Rahm,Jon,Rahm,jon rahm
32640,Troy Merritt,Troy,Merritt,troy merritt
47079,Harrison Endycott,Harrison,Endycott,harrison endycott
66248,Justin Hastings,Justin,Hastings,justin hastings
64442,Gordon Sargent,Gordon,Sargent,gordon sargent
34563,Chesson Hadley,Chesson,Hadley,chesson hadley
32333,Kevin Tway,Kevin,Tway,kevin tway
47959,Bryson DeChambeau,Bryson,DeChambeau,bryson dechambeau
53165,Doc Redman,Doc,Redman,doc redman
52689,Rasmus Neergaard-Petersen,Rasmus,Neergaard-Petersen,rasmus neergaard petersen
27095,Nick Watney,Nick,Watney,nick watney
25818,Scott Piercy,Scott,Piercy,scott piercy
61522,Michael Brennan,Michael,Brennan,michael brennan
63454,Johnny Keefer,Johnny,Keefer,johnny keefer
25686,Jason Dufner,Jason,Dufner,jason dufner
47567,Ben Polland,Ben,Polland,ben polland
52514,Trace Crowe,Trace,Crowe,trace crowe
29268,Bronson Burgoon,Bronson,Burgoon,bronson burgoon
49964,Aaron Wise,Aaron,Wise,aaron wise
