NBA_ID,Season,Player,3-Point Shot Rating
2617,2020-21,Udonis Haslem,25.0
2617,2021-22,Udonis Haslem,58.97924152023835
2617,2022-23,Udonis Haslem,65.31674555640981
2694,2013-14,Josh Powell,25.0
2730,2013-14,Dwight Howard,32.755572615193486
2730,2014-15,Dwight Howard,25.0
2730,2015-16,Dwight Howard,31.44488048937106
2730,2016-17,Dwight Howard,25.0
2730,2017-18,Dwight Howard,39.24957955847716
2730,2018-19,Dwight Howard,25.0
2730,2019-20,Dwight Howard,48.80743175202779
2730,2020-21,Dwight Howard,72.73425878612349
2730,2021-22,Dwight Howard,76.02458534563547
2731,2017-18,Emeka Okafor,25.0
2732,2013-14,Ben Gordon,59.3816889729905
2732,2014-15,Ben Gordon,77.33827382721924
2733,2013-14,Shaun Livingston,25.0
2733,2014-15,Shaun Livingston,25.0
2733,2015-16,Shaun Livingston,25.51278391506871
2733,2016-17,Shaun Livingston,25.0
2733,2017-18,Shaun Livingston,44.63505703743543
2733,2018-19,Shaun Livingston,25.0
2734,2013-14,Devin Harris,77.66748249456526
2734,2014-15,Devin Harris,82.81897767912768
2734,2015-16,Devin Harris,73.18427742759434
2734,2016-17,Devin Harris,77.36919449682253
2734,2017-18,Devin Harris,80.1543717344884
2734,2018-19,Devin Harris,74.99347052821417
2735,2013-14,Josh Childress,25.0
2736,2013-14,Luol Deng,78.38116070945806
2736,2014-15,Luol Deng,81.21350984358176
2736,2015-16,Luol Deng,72.48164022825642
2736,2016-17,Luol Deng,71.66791683477813
2736,2017-18,Luol Deng,25.0
2736,2018-19,Luol Deng,75.40968907647414
2738,2013-14,Andre Iguodala,80.41077592580879
2738,2014-15,Andre Iguodala,80.29475808391031
2738,2015-16,Andre Iguodala,76.50349258528392
2738,2016-17,Andre Iguodala,77.37515373707679
2738,2017-18,Andre Iguodala,70.84860477776463
2738,2018-19,Andre Iguodala,73.02074254063524
2738,2019-20,Andre Iguodala,75.58730451768102
2738,2020-21,Andre Iguodala,76.08817735829845
2738,2021-22,Andre Iguodala,66.60464460357866
2738,2022-23,Andre Iguodala,59.21309057574845
2740,2013-14,Andris Biedrins,25.0
2742,2014-15,Sebastian Telfair,79.93731358269842
2743,2013-14,Kris Humphries,25.0
2743,2014-15,Kris Humphries,25.0
2743,2015-16,Kris Humphries,69.71752515330144
2743,2016-17,Kris Humphries,74.43586793519417
2744,2013-14,Al Jefferson,25.0
2744,2014-15,Al Jefferson,46.45791154890279
2744,2015-16,Al Jefferson,25.0
2744,2016-17,Al Jefferson,25.0
2744,2017-18,Al Jefferson,36.76936436320504
2746,2013-14,Josh Smith,77.43276036916934
2746,2014-15,Josh Smith,78.73057136114338
2746,2015-16,Josh Smith,70.05374040430529
2746,2017-18,Josh Smith,25.0
2747,2013-14,JR Smith,91.78643094646186
2747,2014-15,JR Smith,89.49818867105608
2747,2015-16,JR Smith,87.25271726051716
2747,2016-17,JR Smith,81.3477958042512
2747,2017-18,JR Smith,82.88565225441891
2747,2018-19,JR Smith,71.19208733921033
2747,2019-20,JR Smith,61.58174790799137
2748,2013-14,Dorell Wright,80.13233310525243
2748,2014-15,Dorell Wright,80.23453835428765
2749,2013-14,Jameer Nelson,86.65688386881635
2749,2014-15,Jameer Nelson,83.19821080209498
2749,2015-16,Jameer Nelson,75.76974150516739
2749,2016-17,Jameer Nelson,83.22536699972602
2749,2017-18,Jameer Nelson,77.3445101366474
2754,2013-14,Tony Allen,69.06441037860284
2754,2014-15,Tony Allen,73.35707028341211
2754,2015-16,Tony Allen,69.77640423813962
2754,2016-17,Tony Allen,67.80625058260094
2754,2017-18,Tony Allen,62.302469958569034
2755,2013-14,Kevin Martin,85.36402153182581
2755,2014-15,Kevin Martin,86.89552649821556
2755,2015-16,Kevin Martin,78.47718055896009
2756,2013-14,Sasha Vujacic,64.5307350836779
2756,2015-16,Sasha Vujacic,78.80269966474093
2756,2016-17,Sasha Vujacic,70.49600756991416
2757,2013-14,Beno Udrih,78.77097532982197
2757,2014-15,Beno Udrih,71.67849635297964
2757,2015-16,Beno Udrih,75.27513769192491
2757,2016-17,Beno Udrih,79.15678132852335
2760,2013-14,Anderson Varejao,25.0
2760,2014-15,Anderson Varejao,25.0
2760,2015-16,Anderson Varejao,25.0
2760,2016-17,Anderson Varejao,25.0
2760,2020-21,Anderson Varejao,25.0
2767,2013-14,Royal Ivey,48.72597052665843
2772,2013-14,Trevor Ariza,90.00038622735312
2772,2014-15,Trevor Ariza,89.51064481980539
2772,2015-16,Trevor Ariza,78.8286925508813
2772,2016-17,Trevor Ariza,72.02116429495972
2772,2017-18,Trevor Ariza,78.83791742761134
2772,2018-19,Trevor Ariza,74.19568990428463
2772,2019-20,Trevor Ariza,79.21844655926284
2772,2020-21,Trevor Ariza,77.08830938492538
2772,2021-22,Trevor Ariza,68.38973442671339
2853,2014-15,Earl Barron,61.76888196823175
2863,2017-18,Damien Wilkins,60.427870447098044
101106,2013-14,Andrew Bogut,25.0
101106,2014-15,Andrew Bogut,25.0
101106,2015-16,Andrew Bogut,25.0
101106,2016-17,Andrew Bogut,25.0
101106,2017-18,Andrew Bogut,25.0
101106,2018-19,Andrew Bogut,25.0
101107,2013-14,Marvin Williams,82.86538481588708
101107,2014-15,Marvin Williams,82.06265089811411
101107,2015-16,Marvin Williams,83.4402263135236
101107,2016-17,Marvin Williams,76.71977401523324
101107,2017-18,Marvin Williams,84.62686856597618
101107,2018-19,Marvin Williams,79.28395633858183
101107,2019-20,Marvin Williams,77.33735504975394
101108,2013-14,Chris Paul,83.04596125138504
101108,2014-15,Chris Paul,85.5941954117953
101108,2015-16,Chris Paul,85.35048801238914
101108,2016-17,Chris Paul,92.19961092436965
101108,2017-18,Chris Paul,91.38016000706935
101108,2018-19,Chris Paul,86.40400611905282
101108,2019-20,Chris Paul,85.70603474438933
101108,2020-21,Chris Paul,87.3017055943041
101108,2021-22,Chris Paul,76.8297622172416
101108,2022-23,Chris Paul,84.40905085287088
101108,2023-24,Chris Paul,82.84438297302472
101108,2024-25,Chris Paul,85.68871104448488
101108,2025-26,Chris Paul,81.47583098491705
101109,2013-14,Raymond Felton,79.5754474641397
101109,2014-15,Raymond Felton,62.77430684398997
101109,2015-16,Raymond Felton,66.848056880123
101109,2016-17,Raymond Felton,76.7989677057125
101109,2017-18,Raymond Felton,81.7638596066549
101109,2018-19,Raymond Felton,77.29296795688632
101110,2013-14,Martell Webster,86.87460160003651
101110,2014-15,Martell Webster,70.32495494155329
101111,2013-14,Charlie Villanueva,61.32353470487414
101111,2014-15,Charlie Villanueva,83.16091777363256
101111,2015-16,Charlie Villanueva,69.53877112550876
101112,2013-14,Channing Frye,87.1172316287553
101112,2014-15,Channing Frye,86.19254870955781
101112,2015-16,Channing Frye,80.71894635421272
101112,2016-17,Channing Frye,84.15212795509755
101112,2017-18,Channing Frye,74.88391292019563
101112,2018-19,Channing Frye,76.07808603713131
101114,2013-14,Deron Williams,83.98272122516633
101114,2014-15,Deron Williams,83.0315916861041
101114,2015-16,Deron Williams,78.09506431852188
101114,2016-17,Deron Williams,80.90433865799758
101115,2013-14,Andrew Bynum,25.0
101122,2013-14,Danny Granger,79.99311169497425
101122,2014-15,Danny Granger,80.48038663094788
101123,2013-14,Gerald Green,91.24408080049899
101123,2014-15,Gerald Green,86.07945546923287
101123,2015-16,Gerald Green,74.8243667989081
101123,2016-17,Gerald Green,73.12847322802864
101123,2017-18,Gerald Green,85.99834354120752
101123,2018-19,Gerald Green,81.49193226685492
101126,2013-14,Nate Robinson,83.1752873389135
101126,2014-15,Nate Robinson,76.08027765045918
101126,2015-16,Nate Robinson,59.14792495494336
101127,2013-14,Jarrett Jack,78.51605122008675
101127,2014-15,Jarrett Jack,74.15376314683742
101127,2015-16,Jarrett Jack,76.73076667878306
101127,2016-17,Jarrett Jack,61.42840364799322
101127,2017-18,Jarrett Jack,72.63572758590821
101128,2013-14,Francisco Garcia,82.84218124750738
101128,2014-15,Francisco Garcia,60.596502915688596
101131,2013-14,Jason Maxiell,25.0
101131,2014-15,Jason Maxiell,25.0
101133,2013-14,Ian Mahinmi,25.0
101133,2014-15,Ian Mahinmi,25.0
101133,2015-16,Ian Mahinmi,25.0
101133,2016-17,Ian Mahinmi,25.0
101133,2017-18,Ian Mahinmi,25.0
101133,2018-19,Ian Mahinmi,68.28594433313013
101133,2019-20,Ian Mahinmi,67.5868014288994
101135,2013-14,David Lee,25.0
101135,2014-15,David Lee,25.0
101135,2015-16,David Lee,25.0
101135,2016-17,David Lee,25.0
101138,2013-14,Brandon Bass,42.70319821907002
101138,2014-15,Brandon Bass,69.58280595638416
101138,2015-16,Brandon Bass,25.0
101138,2016-17,Brandon Bass,25.0
101139,2013-14,CJ Miles,84.85344903992335
101139,2014-15,CJ Miles,88.0000647515947
101139,2015-16,CJ Miles,84.59576964283913
101139,2016-17,CJ Miles,88.08824627669037
101139,2017-18,CJ Miles,86.75650778122113
101139,2018-19,CJ Miles,79.45961443168592
101139,2019-20,CJ Miles,66.84509843922099
101139,2021-22,CJ Miles,25.0
101141,2013-14,Ersan Ilyasova,76.20506716891822
101141,2014-15,Ersan Ilyasova,83.34772212228481
101141,2015-16,Ersan Ilyasova,78.13711610373865
101141,2016-17,Ersan Ilyasova,78.77350437489483
101141,2017-18,Ersan Ilyasova,78.20439468507283
101141,2018-19,Ersan Ilyasova,77.46861960878324
101141,2019-20,Ersan Ilyasova,77.51648977471588
101141,2020-21,Ersan Ilyasova,74.8459543107612
101142,2013-14,Ronny Turiaf,25.0
101142,2014-15,Ronny Turiaf,25.0
101145,2013-14,Monta Ellis,78.24151427947686
101145,2014-15,Monta Ellis,78.79534408004915
101145,2015-16,Monta Ellis,72.69605295467413
101145,2016-17,Monta Ellis,73.73912808982249
101150,2013-14,Lou Williams,82.47092415343224
101150,2014-15,Lou Williams,85.78650689472627
101150,2015-16,Lou Williams,83.43516021754853
101150,2016-17,Lou Williams,89.36162927487707
101150,2017-18,Lou Williams,87.3798105160007
101150,2018-19,Lou Williams,84.66791906336024
101150,2019-20,Lou Williams,83.38142722949159
101150,2020-21,Lou Williams,84.89879703871536
101150,2021-22,Lou Williams,80.27931290184225
101154,2013-14,Andray Blatche,70.76600529582454
101155,2013-14,Ryan Gomes,48.72597052665843
101161,2013-14,Amir Johnson,73.03203776440598
101161,2014-15,Amir Johnson,76.12068161913776
