NBA_ID,Season,Player,Post Hook Rating
2746,2015-16,Josh Smith,59.1046785750156
2746,2017-18,Josh Smith,27.990528493768878
2747,2013-14,JR Smith,66.3119048505409
2747,2014-15,JR Smith,62.247449880273834
2747,2015-16,JR Smith,34.72471708969165
2747,2016-17,JR Smith,44.031080751590316
2747,2017-18,JR Smith,38.47300623602219
2747,2018-19,JR Smith,33.051176020438675
2747,2019-20,JR Smith,25.43931528990412
2748,2013-14,Dorell Wright,55.08407195545172
2748,2014-15,Dorell Wright,55.49142093281089
2749,2013-14,Jameer Nelson,46.63749131849547
2749,2014-15,Jameer Nelson,43.69358722475859
2749,2015-16,Jameer Nelson,44.754973817983334
2749,2016-17,Jameer Nelson,71.04275995421332
2749,2017-18,Jameer Nelson,44.754973817983334
2754,2013-14,Tony Allen,34.86163528711698
2754,2014-15,Tony Allen,56.762357499713005
2754,2015-16,Tony Allen,46.684497810521506
2754,2016-17,Tony Allen,49.36707763370945
2754,2017-18,Tony Allen,25.85768786371603
2755,2013-14,Kevin Martin,46.62929380282667
2755,2014-15,Kevin Martin,36.179959718150826
2755,2015-16,Kevin Martin,46.74961145753774
2756,2013-14,Sasha Vujacic,26.0
2756,2015-16,Sasha Vujacic,44.754973817983334
2756,2016-17,Sasha Vujacic,28.00205554667549
2757,2013-14,Beno Udrih,43.69358722475859
2757,2014-15,Beno Udrih,34.791926216622876
2757,2015-16,Beno Udrih,56.36460040911489
2757,2016-17,Beno Udrih,44.754973817983334
2760,2013-14,Anderson Varejao,86.32363781472533
2760,2014-15,Anderson Varejao,76.13677391781765
2760,2015-16,Anderson Varejao,36.54277935615767
2760,2016-17,Anderson Varejao,25.748114961585834
2760,2020-21,Anderson Varejao,25.828829206307347
2767,2013-14,Royal Ivey,26.0
2772,2013-14,Trevor Ariza,56.55907260056683
2772,2014-15,Trevor Ariza,55.22876008252953
2772,2015-16,Trevor Ariza,35.13077725584025
2772,2016-17,Trevor Ariza,67.79824989520628
2772,2017-18,Trevor Ariza,38.651721323936684
2772,2018-19,Trevor Ariza,46.168991898396584
2772,2019-20,Trevor Ariza,64.95274021520885
2772,2020-21,Trevor Ariza,42.03817711218352
2772,2021-22,Trevor Ariza,71.84284110915246
2853,2014-15,Earl Barron,26.668810671512386
2863,2017-18,Damien Wilkins,32.895402962387685
101106,2013-14,Andrew Bogut,86.73192607000696
101106,2014-15,Andrew Bogut,94.5926679555999
101106,2015-16,Andrew Bogut,72.39176420119571
101106,2016-17,Andrew Bogut,74.7723651952808
101106,2017-18,Andrew Bogut,28.840886181561157
101106,2018-19,Andrew Bogut,32.74293814899553
101107,2013-14,Marvin Williams,65.93454871505365
101107,2014-15,Marvin Williams,42.46529402092353
101107,2015-16,Marvin Williams,71.66089041776746
101107,2016-17,Marvin Williams,43.90341772296648
101107,2017-18,Marvin Williams,70.80044813237929
101107,2018-19,Marvin Williams,70.56201016573735
101107,2019-20,Marvin Williams,72.93088302692884
101108,2013-14,Chris Paul,48.81050678352842
101108,2014-15,Chris Paul,48.81050678352842
101108,2015-16,Chris Paul,71.3381875866123
101108,2016-17,Chris Paul,60.97504270181445
101108,2017-18,Chris Paul,62.201473263377316
101108,2018-19,Chris Paul,43.97553173727011
101108,2019-20,Chris Paul,43.38825629430127
101108,2020-21,Chris Paul,55.21671124092602
101108,2021-22,Chris Paul,56.10822744168898
101108,2022-23,Chris Paul,45.922623916640276
101108,2023-24,Chris Paul,53.198828430762504
101108,2024-25,Chris Paul,48.681699314068
101108,2025-26,Chris Paul,47.41234319813783
101109,2013-14,Raymond Felton,44.13647896773896
101109,2014-15,Raymond Felton,26.0
101109,2015-16,Raymond Felton,55.86752302823275
101109,2016-17,Raymond Felton,35.06538862792012
101109,2017-18,Raymond Felton,44.754973817983334
101109,2018-19,Raymond Felton,35.0
101110,2013-14,Martell Webster,55.893539371729865
101110,2014-15,Martell Webster,43.88975310851897
101111,2013-14,Charlie Villanueva,46.718312690722655
101111,2014-15,Charlie Villanueva,62.80946437678603
101111,2015-16,Charlie Villanueva,63.91241161875772
101112,2013-14,Channing Frye,75.56138164047584
101112,2014-15,Channing Frye,67.44878037569448
101112,2015-16,Channing Frye,60.7186802429108
101112,2016-17,Channing Frye,62.244339602356085
101112,2017-18,Channing Frye,81.26102521743827
101112,2018-19,Channing Frye,29.97921734897987
101114,2013-14,Deron Williams,71.24183038693178
101114,2014-15,Deron Williams,48.08820403629498
101114,2015-16,Deron Williams,47.80939881965288
101114,2016-17,Deron Williams,54.425991356227804
101115,2013-14,Andrew Bynum,89.21934202997183
101122,2013-14,Danny Granger,72.84130261856069
101122,2014-15,Danny Granger,35.78762795063007
101123,2013-14,Gerald Green,35.98379383439045
101123,2014-15,Gerald Green,45.382886385282816
101123,2015-16,Gerald Green,60.64358047172149
101123,2016-17,Gerald Green,25.76518881171307
101123,2017-18,Gerald Green,65.88932552139781
101123,2018-19,Gerald Green,63.14959376020763
101126,2013-14,Nate Robinson,47.170748161583845
101126,2014-15,Nate Robinson,43.69358722475859
101126,2015-16,Nate Robinson,27.99099481075516
101127,2013-14,Jarrett Jack,70.62415484548215
101127,2014-15,Jarrett Jack,46.80244754103213
101127,2015-16,Jarrett Jack,44.754973817983334
101127,2016-17,Jarrett Jack,27.991392193926092
101127,2017-18,Jarrett Jack,47.464667447473865
101128,2013-14,Francisco Garcia,34.72221714612877
101128,2014-15,Francisco Garcia,26.0
101131,2013-14,Jason Maxiell,78.58491729174763
101131,2014-15,Jason Maxiell,71.59876592369861
101133,2013-14,Ian Mahinmi,57.70921581586948
