NBA_ID,Season,Player,SHOT_TENDENCY,TOUCHES_TENDENCY,SHOT_CLOSE_TENDENCY,SHOT_UNDER_BASKET_TENDENCY,SHOT_MID-RANGE_TENDENCY,SHOT_THREE_TENDENCY,DRIVING_LAYUP_TENDENCY,STANDING_DUNK_TENDENCY,DRIVING_DUNK_TENDENCY,PUTBACK_TENDENCY,CRASH_TENDENCY,DRIVE_TENDENCY,POST_UP_TENDENCY,SHOOT_FROM_POST_TENDENCY,ROLL_VS._POP_TENDENCY,PASS_INTERCEPTION_TENDENCY,TAKE_CHARGE_TENDENCY,ON-BALL_STEAL_TENDENCY,CONTEST_SHOT_TENDENCY,BLOCK_SHOT_TENDENCY,FOUL_TENDENCY
203099,2015-16,Jared Cunningham,0.3270546456008117,0.46012465574720973,0.24217982075744435,0.5212489158716392,0.27516623301532234,0.4077692419191187,0.358974916630419,0.8107696988135078,0.5325238508239376,0.23167021600243382,0.19494563620334998,0.40556038857474264,0.29920278301203074,0.3433396144368749,0.8567505059265683,0.18946227233304422,0.33430036999663637,0.7586606754602117,0.1746636394214598,0.32390926221191474,0.7180750833454124
203100,2013-14,Tony Wroten,0.8685316712567038,0.9370198579504276,0.6517779705117086,0.9910378722174039,0.1613327551315409,0.42775764603565736,0.9250398724082934,0.7995892911469425,0.7904741254697889,0.5166565257073319,0.6382603585071995,0.8923444976076556,0.5976953181620525,0.7111175532685896,0.5237062734894479,0.30521827117664063,0.3333,0.831424844180316,0.3333,0.3901652413393245,0.4899043339614436
203100,2014-15,Tony Wroten,0.931729236121177,0.9742716335700826,0.5237062734894479,0.9934952298352124,0.16042208730847066,0.6901724887664878,0.9551254168479049,0.7426985092789777,0.7346053772766695,0.23167021600243382,0.5229209521010872,0.9558503697259678,0.29920278301203074,0.3433396144368749,0.33911535125758885,0.30521827117664063,0.3333,0.9488331642266995,0.3333,0.33324394839831856,0.4899043339614436
203100,2015-16,Tony Wroten,0.8401217567763444,0.9868096825626902,0.4480919340849956,0.9875686614628505,0.1800520381613183,0.4619002754022322,0.8828476149050312,0.2444478247642227,0.3099739809193408,0.23167021600243382,0.23469732588892153,0.9405538639988401,0.29920278301203074,0.3433396144368749,0.8681699913269731,0.1840994507082972,0.33430036999663637,0.20494274532540946,0.1746636394214598,0.18439628931729235,0.4019350630526163
203101,2013-14,Miles Plumlee,0.40066676329902884,0.4250181185679084,0.9196299508528476,0.8447528187337381,0.2833622434229546,0.17927235831279895,0.2779324343917645,0.9650897474901126,0.6559699335067939,0.9515515667782173,0.9485013223626212,0.24058286211396257,0.950789969560806,0.9693433830989998,0.8922376409366869,0.30521827117664063,0.3333,0.32867806928540366,0.3333,0.8969415857370634,0.6627047398173649
203101,2014-15,Miles Plumlee,0.231018988259168,0.22406870560950862,0.5688060132986412,0.8188782885226944,0.19006938421509106,0.17927235831279895,0.2313469624474409,0.8967143291755401,0.5325238508239376,0.6790386370550654,0.8330149867763738,0.21612295200811946,0.8296129873894768,0.8705609508624438,0.8922376409366869,0.30521827117664063,0.3333,0.6498767937382229,0.3333,0.9449195535584868,0.6404551384258588
203101,2015-16,Miles Plumlee,0.36104507899695604,0.3740832004638353,0.7320034692107545,0.929025729979763,0.1943191673894189,0.17927235831279895,0.2313469624474409,0.9247794341344692,0.6559699335067939,0.45863249163370856,0.8695268880399647,0.21612295200811946,0.7990288447601102,0.8526598057689521,0.8035559410234172,0.4334200636021971,0.33430036999663637,0.3815915350050732,0.1746636394214598,0.8953471517611248,0.5399333236700972
203101,2016-17,Miles Plumlee,0.19976808233077256,0.25415277576460354,0.6705695287655392,0.7017924255565192,0.18116507661173747,0.17927235831279895,0.2313469624474409,0.8325981137815637,0.3099739809193408,0.43627167630057806,0.6888039964736997,0.21612295200811946,0.7671401652413393,0.7632990288447601,0.9499855449551894,0.6517779705117086,0.33430036999663637,0.21757501087114073,0.5289270097544567,0.8070010146398029,0.9478185244238295
203101,2017-18,Miles Plumlee,0.19692709088273663,0.24994202058269316,0.5954032957502168,0.7383636889274356,0.1792425556519225,0.17927235831279895,0.2313469624474409,0.940599330696684,0.3099739809193408,0.7079403711591117,0.8122979723773142,0.24058286211396257,0.7222785911001595,0.7632990288447601,0.6978895634576467,0.417331598727956,0.7257820383451059,0.44333236700971157,0.8825260679448369,0.8497608349036092,0.5125380489926076
203101,2018-19,Miles Plumlee,0.3108711407450355,0.46012465574720973,0.6934084995663486,0.8516912402428447,0.22234749927724773,0.17927235831279895,0.3216253443526171,0.8006540918770916,0.3099739809193408,0.4916413142683298,0.6888039964736997,0.26468754530955485,0.5976953181620525,0.6172633715031164,0.9637178375252964,0.1969499855449552,0.33430036999663637,0.6831424844180316,0.5065590312815338,0.8373677344542687,0.4019350630526163
