NBA_ID,Season,Player,RotationRole,MIN,Post Control,Post Control Aggregate Z,Post Control Rating,MissingMetricCount,MissingMetrics,POST_TOUCHES Raw,POST_TOUCHES Z,POST_TOUCHES MatchedBy,Post Up Frequency% Raw,Post Up Frequency% Z,Post Up Frequency% MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy,PTS_PER_POST_TOUCH Raw,PTS_PER_POST_TOUCH Z,PTS_PER_POST_TOUCH MatchedBy,Post Up Shot Quality Raw,Post Up Shot Quality Z,Post Up Shot Quality MatchedBy,Post Up Draw Foul Rate Raw,Post Up Draw Foul Rate Z,Post Up Draw Foul Rate MatchedBy
1718,2013-14,Paul Pierce,Starter,2100.0,0.3421761748971668,0.7310682011094265,75.77159760184333,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.3,0.40011162569157355,season+player,2.771855010660981,0.2635630499834252,season+player,,,,,,,,,,0.383,0.1461292402691157,season+player,,,,7.6923076923076925,0.7243221765992319,season+player
1718,2014-15,Paul Pierce,Starter,1912.6,0.4509773474907498,0.8552173416888408,77.53017443516265,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.2,0.3350523676035754,season+player,3.592814371257485,0.4955735272409317,season+player,,,,,,,,,,0.625,0.7313391178254899,season+player,,,,8.333333333333334,0.8125747783889422,season+player
1718,2015-16,Paul Pierce,Rotation,1230.8000000000002,-0.07815769589442684,0.2514402010498694,67.89758407889471,0,,0.5,-0.12036243901241132,season+player,1.9011406844106464,0.017491373254499662,season+player,0.0,0.035500283151893054,season+player,-0.04,-0.08678697296484376,season+player,0.87,-0.1490561284963914,season+player,0.286,-0.08843835528034018,season+player,-0.19,-0.2842285027120048,season+player,0.0,-0.3347090448772899,season+player
1718,2016-17,Paul Pierce,Garbage Time,277.5,-0.6398169716145102,-0.3894491820046034,40.79015031784012,0,,0.4,-1.1854216971004095,season+player,2.3952095808383236,0.04360070952048972,season+player,0.0,0.009851328574650323,season+player,-0.05,-1.1042594490978908,season+player,0.87,-1.1490561284963914,season+player,0.8,0.3203815418859595,season+player,0.38,0.10035863219360439,season+player,0.0,-1.33470904487729,season+player
1733,2013-14,Al Harrington,Rotation,510.0,0.016096685294988193,0.3589905163780016,70.23466168571592,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.6,-0.05530318092441324,season+player,2.4096385542168677,0.16119743121630373,season+player,,,,,,,,,,0.2,-0.2964055018499607,season+player,,,,0.0,-0.3347090448772899,season+player
1737,2013-14,Nazr Mohammed,Garbage Time,560.0,-0.4972273532021521,-0.22674525005741264,42.896050788290566,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.3,-1.2504809551884075,season+player,3.4482758620689653,0.25464636310131095,season+player,,,,,,,,,,0.583,0.35267330961811755,season+player,,,,0.0,-1.33470904487729,season+player
1737,2014-15,Nazr Mohammed,Garbage Time,128.79999999999998,-0.6847630546818642,-0.4407355555997356,40.126343383434005,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.3,-1.2504809551884075,season+player,3.896103896103896,0.07486961963241451,season+player,,,,,,,,,,0.0,-1.780050028756055,season+player,,,,0.0,-1.33470904487729,season+player
1737,2015-16,Nazr Mohammed,Too Few Games,19.5,-0.45754978968766524,-0.18147059636402776,44.0217022326336,0,,0.4,-1.1854216971004095,season+player,7.6923076923076925,0.03225547848852068,season+player,0.0,0.0006922555214619146,season+player,0.02,0.0003519337347520558,season+player,0.87,-1.1490561284963914,season+player,1.0,0.03194436581260113,season+player,0.18,0.0026330408358892898,season+player,0.0,-1.33470904487729,season+player
1740,2013-14,Rashard Lewis,Rotation,972.0,0.13643432130793182,0.49630350422760555,72.44614762054833,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.7,0.00975607716358485,season+player,2.9535864978902953,0.314921997951512,season+player,,,,,,,,,,0.381,0.14129279500005473,season+player,,,,0.0,-0.3347090448772899,season+player
1882,2013-14,Elton Brand,Rotation,1416.1999999999998,0.7010567795688138,1.1405740692771866,81.39866908929508,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.7,0.6603486580435659,season+player,5.279503105590062,0.9722468889442726,season+player,,,,,,,,,,0.183,-0.3375152866369788,season+player,,,,0.0,-0.3347090448772899,season+player
1882,2014-15,Elton Brand,Rotation,486.0,-0.1256870974479121,0.19720609479477663,66.71907228310842,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.4,-0.18542169710040943,season+player,1.8264840182648405,-0.003607270081946775,season+player,,,,,,,,,,0.125,-0.47777219943974614,season+player,,,,0.0,-0.3347090448772899,season+player
1882,2015-16,Elton Brand,Garbage Time,224.39999999999998,-0.4824202122417811,-0.20984934920591095,43.24318557624929,0,,0.9,0.031387858745401995,season+player,3.5294117647058822,0.1071858677357416,season+player,0.0,0.0079662635392848,season+player,-0.09,-1.174149353630079,season+player,0.87,-1.1490561284963914,season+player,0.125,-1.4777721994397461,season+player,0.43,0.09386853443623044,season+player,0.0,-1.33470904487729,season+player
1889,2013-14,Andre Miller,Rotation,980.1999999999999,0.5946289909245072,1.0191331125393956,79.85204694985053,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.6,0.5952893999555678,season+player,4.519774011299436,0.7575406340272105,season+player,,,,,,,,,,0.344,0.05181855752242719,season+player,,,,0.0,-0.3347090448772899,season+player
1889,2014-15,Andre Miller,Rotation,1255.5,0.17943950298595154,0.5453751844174073,73.14124965308024,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.0,0.2049338514275792,season+player,2.570694087403599,0.20671316916034202,season+player,,,,,,,,,,0.413,0.21867591930502978,season+player,,,,0.0,-0.3347090448772899,season+player
1889,2015-16,Andre Miller,Garbage Time,460.20000000000005,-0.5061063008901926,-0.2368767008354056,42.76491795883537,0,,0.5,-1.1203624390124114,season+player,1.8181818181818181,-1.0059535462753868,season+player,0.0,0.016337230306501183,season+player,0.11,0.08067313778800295,season+player,0.87,-1.1490561284963914,season+player,0.474,0.168519487505241,season+player,1.4,0.6983259778447258,season+player,20.0,1.1131189346685593,season+player
1890,2013-14,Shawn Marion,Starter,2409.2,0.16260918353765155,0.526170706695568,72.86921756763844,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.1,0.26999310951557737,season+player,2.2680412371134024,0.12118075962894603,season+player,,,,,,,,,,0.35,0.06632789332961005,season+player,,,,0.0,-0.3347090448772899,season+player
1890,2014-15,Shawn Marion,Rotation,1100.1000000000001,0.19644335091795312,0.5647776693077727,73.41608651685377,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.8,0.07481533525158302,season+player,3.149606299212599,0.370318951612732,season+player,,,,,,,,,,0.429,0.25736748145751737,season+player,,,,0.0,-0.3347090448772899,season+player
1891,2013-14,Jason Terry,Rotation,570.5,-0.49018899662267723,-0.218714032198233,43.0,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.0,-0.4456587294524018,season+player,0.0,-0.5197880326387315,season+player,,,,,,,,,,0.0,-0.7800500287560551,season+player,,,,0.0,-0.3347090448772899,season+player
1891,2014-15,Jason Terry,Rotation,1640.1000000000001,-0.49018899662267723,-0.218714032198233,43.0,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.0,-0.4456587294524018,season+player,0.0,-0.5197880326387315,season+player,,,,,,,,,,0.0,-0.7800500287560551,season+player,,,,0.0,-0.3347090448772899,season+player
1891,2015-16,Jason Terry,Rotation,1260.0,-0.29851354035468436,0.0,49.0,2,Post Up Shot Making | Post Up Shot Quality,0.0,-0.4456587294524018,season+player,0.0,-0.5197880326387315,season+player,0.0,0.035500283151893054,season+player,,,season+player,0.87,-0.1490561284963914,season+player,0.0,-0.7800500287560551,season+player,,,season+player,0.0,-0.3347090448772899,season+player
1891,2016-17,Jason Terry,Rotation,1361.6,-0.2178658154930931,0.09202424470783814,62.20209376343187,2,Post Up Shot Making | Post Up Shot Quality,0.0,-0.4456587294524018,season+player,0.0,-0.5197880326387315,season+player,0.0,0.035500283151893054,season+player,,,season+player,0.87,-0.1490561284963914,season+player,0.667,0.8329044684757698,season+player,,,season+player,0.0,-0.3347090448772899,season+player
1891,2017-18,Jason Terry,Rotation,816.0,-0.29851354035468436,0.0,49.0,2,Post Up Shot Making | Post Up Shot Quality,0.0,-0.4456587294524018,season+player,0.0,-0.5197880326387315,season+player,0.0,0.035500283151893054,season+player,,,season+player,0.87,-0.1490561284963914,season+player,0.0,-0.7800500287560551,season+player,,,season+player,0.0,-0.3347090448772899,season+player
1897,2013-14,Metta World Peace,Rotation,388.6,0.6045037206642078,1.0304008147287573,80.0116543377267,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.0,0.2049338514275792,season+player,5.649717514124294,1.0768728006936958,season+player,,,,,,,,,,0.69,0.8885235890699704,season+player,,,,0.0,-0.3347090448772899,season+player
1897,2015-16,Metta World Peace,Rotation,591.5,-1.0257950598865027,-0.8298750230058737,32.30533344924637,0,,1.5,0.5302301418675697,season+player,7.389162561576354,1.5684555695768319,season+player,-0.66,-4.188289262954722,season+player,-0.66,-1.1700804932137634,season+player,0.76,-2.8334017706900982,season+player,0.353,0.07358256123320146,season+player,0.55,0.5542839730596243,season+player,13.333333333333334,1.5009450723486815,season+player
1897,2016-17,Metta World Peace,Garbage Time,160.0,-0.41040309809011294,-0.1276731868005942,45.49753098553247,0,,0.6,-1.0553031809244133,season+player,7.3170731707317085,0.24769319380200552,season+player,0.0,0.005680045304302888,season+player,0.02,0.002887661413350202,season+player,0.87,-1.1490561284963914,season+player,0.571,0.09612081528973508,season+player,-1.0,-2.202059726191761,season+player,16.666666666666668,0.3135773762648279,season+player
1905,2013-14,Andrei Kirilenko,Rotation,859.5000000000001,0.17601043733758337,0.5414623998114405,73.08582492496929,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.8,0.07481533525158302,season+player,3.1372549019607843,0.36682833598821624,season+player,,,,,,,,,,0.273,-0.1198752495292362,season+player,,,,0.0,-0.3347090448772899,season+player
1905,2014-15,Andrei Kirilenko,Too Few Games,36.4,-1.2524303052782784,-1.088480424672777,28.64693528952232,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.1,-1.3805994713644036,season+player,1.639344262295082,-1.0564946432947322,season+player,,,,,,,,,,0.0,-1.780050028756055,season+player,,,,0.0,-1.33470904487729,season+player
1938,2013-14,Manu Ginobili,Key Rotation,1550.4,-0.3625016272984276,-0.07301452559763218,46.996986525360526,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.1,-0.38059947136440375,season+player,0.23094688221709012,-0.4545203727080526,season+player,,,,,,,,,,0.571,0.6007550955608443,season+player,,,,0.0,-0.3347090448772899,season+player
1938,2014-15,Manu Ginobili,Key Rotation,1589.0,-0.2715126542779188,0.030809748841905592,58.06718862231257,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.2,-0.31554021327640563,season+player,0.43478260869565216,-0.39691456850836654,season+player,,,,,,,,,,0.867,1.316548995381864,season+player,,,,0.0,-0.3347090448772899,season+player
