NBA_ID,Season,Player,RotationRole,MIN,Post Hook,Post Hook Aggregate Z,Post Hook Rating,MissingMetricCount,MissingMetrics,Hook_Shot_FGM Raw,Hook_Shot_FGM Z,Hook_Shot_FGM MatchedBy,Hook_Shot_PG Raw,Hook_Shot_PG Z,Hook_Shot_PG MatchedBy,Hook_Shot_FG% Raw,Hook_Shot_FG% Z,Hook_Shot_FG% MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,POST_TOUCHES Raw,POST_TOUCHES Z,POST_TOUCHES MatchedBy,Post Up Shot Making Efficiency Raw,Post Up Shot Making Efficiency Z,Post Up Shot Making Efficiency MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy
1717,2014-15,Dirk Nowitzki,Star,2279.2000000000003,-0.4080071289657381,-0.10159047198464508,44.96516347590032,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,,,,,,,6.2,3.0,season+player,,,,,,
1717,2015-16,Dirk Nowitzki,Starter,2362.5,0.8973264271838673,1.575892457396266,82.57785544314133,0,,4.0,-0.14668895491182313,season+player,0.05333333333333334,-0.22329227798868703,season+player,0.4444444444444444,0.02476535371769825,season+player,3.8,3.0,season+player,0.97,3.0,season+player,7.7,3.0,season+player,2.16,3.0,season+player,1.0,3.0,season+player
1717,2016-17,Dirk Nowitzki,Key Rotation,1425.6,0.7832277298495246,1.4292643284086568,80.25660928138056,0,,3.0,-0.21125673142654444,season+player,0.05555555555555555,-0.2130106451927795,season+player,1.0,1.9119873423122598,season+player,0.79,1.3634285460780646,season+player,0.22,1.443430131854098,season+player,3.4,1.7663560455395335,season+player,0.3,1.1438540070390795,season+player,0.93,1.3151324036092684,season+player
1717,2017-18,Dirk Nowitzki,Key Rotation,1901.8999999999999,0.5097008340726714,1.0777551710514586,74.69192474252169,0,,1.0,-0.34039228445598707,season+player,0.012987012987012988,-0.4099640006988004,season+player,1.0,1.9119873423122598,season+player,0.29,0.48980473942571007,season+player,0.26,1.6994173770726806,season+player,2.6,1.2458819808355488,season+player,0.07,0.7766165881054987,season+player,0.95,1.8031952476444857,season+player
1717,2018-19,Dirk Nowitzki,Rotation,795.6,-0.5321149551586105,-0.26108132308573784,40.865525094934966,0,,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,0.1,0.15782769289781545,season+player,-0.35,-2.204388112510706,season+player,2.0,0.8555264323075602,season+player,-0.09,0.5211470792821383,season+player,0.85,-0.6371189725316113,season+player
1718,2013-14,Paul Pierce,Starter,2100.0,-0.12056875748899923,0.2677963097537815,57.81961897335659,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,1.0,-0.34039228445598707,season+player,0.013333333333333334,-0.40836166831502263,season+player,0.5,0.21348755257715446,season+player,,,,,,,1.3,0.40011162569157355,season+player,,,,,,
1718,2014-15,Paul Pierce,Starter,1912.6,-0.36024994996717175,-0.04021776602143308,47.2524975115986,5,Hook_Shot_FG% | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,,,,,,,1.2,0.3350523676035754,season+player,,,,,,
1718,2015-16,Paul Pierce,Rotation,1230.8000000000002,-0.14213006443339554,0.24008789441122702,57.13182536643359,0,,1.0,-0.34039228445598707,season+player,0.014705882352941176,-0.4020112480587268,season+player,0.5,0.21348755257715446,season+player,-0.04,-0.08678697296484376,season+player,0.0,0.035500283151893054,season+player,0.5,-0.12036243901241132,season+player,-0.36,0.09004228314271745,season+player,0.87,-0.1490561284963914,season+player
1718,2016-17,Paul Pierce,Garbage Time,277.5,-1.2846251755831186,-1.2281315019460008,29.021435493978743,1,Hook_Shot_FG%,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,,,season+player,-0.05,-1.1042594490978908,season+player,0.0,0.009851328574650323,season+player,0.4,-1.1854216971004095,season+player,-0.61,-1.3091288243937833,season+player,0.87,-1.1490561284963914,season+player
1733,2013-14,Al Harrington,Rotation,510.0,-0.7135374470581795,-0.4942271973594194,35.3952961831093,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,,,,,,,0.6,-0.05530318092441324,season+player,,,,,,
