NBA_ID,Season,Player,Free Throw Rating
101109,2016-17,Raymond Felton,79.89622310104622
101109,2017-18,Raymond Felton,83.26566087820392
101109,2018-19,Raymond Felton,87.0131221594716
101110,2013-14,Martell Webster,80.98371529597779
101110,2014-15,Martell Webster,78.14852304485206
101111,2013-14,Charlie Villanueva,61.87506893694171
101111,2014-15,Charlie Villanueva,71.62283099071921
101111,2015-16,Charlie Villanueva,87.49384223155401
101112,2013-14,Channing Frye,80.12704749532544
101112,2014-15,Channing Frye,82.14896086744331
101112,2015-16,Channing Frye,85.18610123732616
101112,2016-17,Channing Frye,86.08042469630276
101112,2017-18,Channing Frye,86.45423251132344
101112,2018-19,Channing Frye,76.80154785480585
101114,2013-14,Deron Williams,80.35172374814557
101114,2014-15,Deron Williams,81.71609529275825
101114,2015-16,Deron Williams,88.08656074811394
101114,2016-17,Deron Williams,84.7165901983547
101115,2013-14,Andrew Bynum,78.25563460294238
101122,2013-14,Danny Granger,84.07922787566214
101122,2014-15,Danny Granger,78.07899173232353
101123,2013-14,Gerald Green,81.88851645473486
101123,2014-15,Gerald Green,80.43974699887741
101123,2015-16,Gerald Green,80.14418138497496
101123,2016-17,Gerald Green,78.72917013370966
101123,2017-18,Gerald Green,85.89549833699428
101123,2018-19,Gerald Green,85.08108348965123
101126,2013-14,Nate Robinson,80.97003382126954
101126,2014-15,Nate Robinson,75.28237321006316
101126,2015-16,Nate Robinson,40.724205621188915
101127,2013-14,Jarrett Jack,81.11509203382964
101127,2014-15,Jarrett Jack,83.0884520346364
101127,2015-16,Jarrett Jack,88.93871832743804
101127,2016-17,Jarrett Jack,76.3021710680354
101127,2017-18,Jarrett Jack,85.35365075335142
101128,2013-14,Francisco Garcia,69.79615733214891
101128,2014-15,Francisco Garcia,49.457390607935096
101131,2013-14,Jason Maxiell,68.1206172297329
101131,2014-15,Jason Maxiell,72.03059827008002
101133,2013-14,Ian Mahinmi,73.76391340339839
101133,2014-15,Ian Mahinmi,60.43743757854234
101133,2015-16,Ian Mahinmi,54.26049853620023
101133,2016-17,Ian Mahinmi,55.462669623269406
101133,2017-18,Ian Mahinmi,71.8020631112645
101133,2018-19,Ian Mahinmi,71.13645661902275
101133,2019-20,Ian Mahinmi,60.67331832497733
101135,2013-14,David Lee,79.9363445352461
101135,2014-15,David Lee,74.9735006327643
