NBA_ID,Season,Player,RotationRole,MIN,Standing Dunk,Standing Dunk Aggregate Z,Standing Dunk Rating,MissingMetricCount,MissingMetrics,Standing_dunk_PG Raw,Standing_dunk_PG Z,Standing_dunk_PG MatchedBy,Standing_dunk_FGM Raw,Standing_dunk_FGM Z,Standing_dunk_FGM MatchedBy,dunkScore_total Raw,dunkScore_total Z,dunkScore_total MatchedBy,dunkScore_average Raw,dunkScore_average Z,dunkScore_average MatchedBy,dunkScore_max Raw,dunkScore_max Z,dunkScore_max MatchedBy,Putback Scoring Impact Per 75 Possessions Raw,Putback Scoring Impact Per 75 Possessions Z,Putback Scoring Impact Per 75 Possessions MatchedBy,Stable Putback Points Per 75 Raw,Stable Putback Points Per 75 Z,Stable Putback Points Per 75 MatchedBy,Offensive Rebound Raw,Offensive Rebound Z,Offensive Rebound MatchedBy,Offensive Rebounding Crashing Skill Raw,Offensive Rebounding Crashing Skill Z,Offensive Rebounding Crashing Skill MatchedBy,PLAYER_HEIGHT_INCHES Raw,PLAYER_HEIGHT_INCHES Z,PLAYER_HEIGHT_INCHES MatchedBy,Putback Frequency% Z,Putback per Offensive Rebound Z
1713,2018-19,Vince Carter,Rotation,1330.0,-0.2910174713830236,0.10639976619313027,52.22186021498792,3,dunkScore_total | dunkScore_average | dunkScore_max,0.10526315789473684,-0.3109368967428251,season+player,8.0,-0.19369350947793093,season+player,,,,,,,,,,-0.17,-0.8658133667880922,season+player,0.35,-0.438165965131481,season+player,-0.442060536,-0.442060536,season+player,-0.22,-0.34468346145721235,season+player,78.0,-0.1972132547383934,season+player,,
1713,2019-20,Vince Carter,Rotation,876.0,-0.3840606896265502,-0.005201942840408906,46.44800981142835,3,dunkScore_total | dunkScore_average | dunkScore_max,0.016666666666666666,-0.5346356839488459,season+player,1.0,-0.46528049762409,season+player,,,,,,,,,,0.04,0.25423896486521785,season+player,0.51,-0.25552263756535953,season+player,-0.533736478,-0.533736478,season+player,0.16,0.05043288391808114,season+player,78.0,-0.1972132547383934,season+player,,
1717,2013-14,Dirk Nowitzki,Star,2632.0,-0.131107149319179,0.2982059565993865,61.44731798145222,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0625,-0.41891032126058264,season+player,5.0,-0.31008793296914194,season+player,,,,,,,,,,,,,,,,-0.597994579,-0.597994579,season+player,,,,84.0,1.590332496289797,season+player,,
1717,2014-15,Dirk Nowitzki,Star,2279.2000000000003,-0.2113688770650475,0.20193514658743003,56.81690282108916,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.012987012987012988,-0.5439265040938304,season+player,1.0,-0.46528049762409,season+player,,,,,,,,,,,,,,,,-0.455503908,-0.455503908,season+player,,,,84.0,1.590332496289797,season+player,,
1717,2015-16,Dirk Nowitzki,Starter,2362.5,-0.32358931281427045,0.06733111359577136,50.34274357247394,3,dunkScore_total | dunkScore_average | dunkScore_max,0.013333333333333334,-0.5430520739625377,season+player,1.0,-0.46528049762409,season+player,,,,,,,,,,0.01,0.09423148891474496,season+player,0.62,-0.12995534986365107,season+player,-0.363438465,-0.363438465,season+player,-0.47,-0.6046284255199054,season+player,84.0,1.590332496289797,season+player,,
1717,2016-17,Dirk Nowitzki,Key Rotation,1425.6,-0.36197552953489637,0.021288344759669512,47.886588524267125,3,dunkScore_total | dunkScore_average | dunkScore_max,0.037037037037037035,-0.4832021894207289,season+player,2.0,-0.426482356460353,season+player,,,,,,,,,,-0.12,-0.5991342402039708,season+player,0.36,-0.4267507571585984,season+player,-0.592388476,-0.592388476,season+player,-0.7,-0.843777792457583,season+player,84.0,1.590332496289797,season+player,,
1717,2017-18,Dirk Nowitzki,Key Rotation,1901.8999999999999,-0.2971849392393663,0.09900212920065497,51.86605007402654,3,dunkScore_total | dunkScore_average | dunkScore_max,0.012987012987012988,-0.5439265040938304,season+player,1.0,-0.46528049762409,season+player,,,,,,,,,,0.14,0.7875972180334608,season+player,0.51,-0.25552263756535953,season+player,-0.563393201,-0.563393201,season+player,-0.31,-0.4382636485197819,season+player,84.0,1.590332496289797,season+player,,
1717,2018-19,Dirk Nowitzki,Rotation,795.6,-0.3449757559968227,0.04167890965894582,48.993916351344765,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0392156862745098,-0.47770128091504793,season+player,2.0,-0.426482356460353,season+player,,,,,,,,,,0.0,0.04089566359792068,season+player,0.09,-0.7349613724264282,season+player,-0.820276826,-0.820276826,season+player,-0.51,-0.6462196197699364,season+player,84.0,1.590332496289797,season+player,,
1718,2013-14,Paul Pierce,Starter,2100.0,-0.24816344543252888,0.15780149783277708,54.69417095407461,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.10666666666666667,-0.3073931535791653,season+player,8.0,-0.19369350947793093,season+player,,,,,,,,,,,,,,,,-0.682975944,-0.682975944,season+player,,,,79.0,0.1007110370996383,season+player,,
1718,2014-15,Paul Pierce,Starter,1912.6,-0.3686320941136257,0.01330405533694205,47.452994560544155,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0273972602739726,-0.5075418256855913,season+player,2.0,-0.426482356460353,season+player,,,,,,,,,,,,,,,,-0.43450008,-0.43450008,season+player,,,,79.0,0.1007110370996383,season+player,,
