NBA_ID,Season,Player,Ball Handle Rating,Speed with Ball Rating,Pass Accuracy Rating,Pass IQ Rating,Pass Vision Rating
1629640,2024-25,Keldon Johnson,77.66363771080853,78.74071103337013,66.82654399756915,69.64800198109944,69.27840413540991
1629640,2025-26,Keldon Johnson,78.94188031941391,73.6775836420241,62.383620668605055,67.2188158357779,68.43548039741351
1629641,2019-20,Romeo Langford,70.14579080353917,65.46866100305415,58.59163430346777,61.65785016806945,57.46835340689317
1629641,2020-21,Romeo Langford,41.58531402879659,41.07701316660813,39.35129728660696,43.677324700089684,49.021263968117836
1629641,2021-22,Romeo Langford,70.43432630498415,67.94262077010733,55.72331078033479,57.738494318043486,55.277486279708796
1629641,2022-23,Romeo Langford,74.56017302890314,75.04502337884354,65.02510106170712,66.7635889632841,66.82931589016991
1629642,2019-20,Nassir Little,67.32059199123601,69.279459170979,56.95285295953024,57.820982514769035,56.78696937720638
1629642,2020-21,Nassir Little,49.49544396231227,37.385808299326705,37.38228130402872,37.53200941073658,38.131601599473115
1629642,2021-22,Nassir Little,74.45889389547919,68.45772007267973,59.474272749424934,60.3084485142271,63.38125695522758
1629642,2022-23,Nassir Little,72.653788100515,60.87578241122152,57.92674811194399,60.94435003605393,62.53598250819808
1629642,2023-24,Nassir Little,72.17926883634976,63.16466854453012,54.280060071388235,58.481964432248134,58.51167175417476
1629643,2020-21,Chuma Okeke,72.75256502237185,67.86345646245066,70.59706369640834,68.83698399440853,75.04101576378606
1629643,2021-22,Chuma Okeke,64.15574271560146,70.26265201907816,66.588003611536,69.65607988025188,69.63324115648514
1629643,2022-23,Chuma Okeke,67.98468146503149,45.24792140559776,69.39180352783599,68.77683537669392,67.51322739455632
1629643,2023-24,Chuma Okeke,42.42953207763213,29.735544610871514,42.47610404038222,46.51365283645429,44.00522670841368
1629643,2024-25,Chuma Okeke,36.11409919716503,43.579427853272705,64.42352587251558,64.34528005942073,55.82910919077829
1629644,2019-20,KZ Okpala,44.31337580015543,30.400042257686085,45.9722065111024,51.81826237906725,46.29281567305646
1629644,2020-21,KZ Okpala,37.525837592817176,30.56419589652428,45.62555165226206,44.47041889660864,48.613889842825536
1629644,2021-22,KZ Okpala,33.78216585886827,29.145742716501076,51.71642353943552,46.5762633970613,48.883287977081025
1629644,2022-23,KZ Okpala,36.366678913762414,50.87319050950711,49.74534662040966,48.09146635454351,41.78175385358971
1629645,2019-20,Kevin Porter Jr,77.64162734120897,79.150335887502,71.51475412255752,78.67729393670102,76.05631786830801
1629645,2020-21,Kevin Porter Jr,86.95104238666752,85.03676272470412,86.10868809372138,94.39332240150206,91.58518429287645
1629645,2021-22,Kevin Porter Jr,86.15395907848293,82.4315119047516,84.8453063270697,90.14872842268534,89.80548572387794
1629645,2022-23,Kevin Porter Jr,87.70938087184605,79.71555931182117,83.02234244478501,90.10280681558493,89.57016226875588
1629645,2024-25,Kevin Porter Jr,86.46969169732198,87.08888382270392,80.27997390192589,84.45606482864822,83.04593798854776
1629645,2025-26,Kevin Porter Jr,90.01855376995523,84.25493959890305,90.33562545423223,94.59704004440913,95.51371407038626
1629646,2021-22,Charles Bassey,34.85625923173201,28.68158186360478,38.412951867000864,41.60790838695232,39.37596414144883
1629646,2022-23,Charles Bassey,59.4948569568091,54.16601148184131,61.473873291131326,68.30443086629991,69.84125708532316
1629646,2023-24,Charles Bassey,30.406783552947715,30.727015303175655,38.74868840593864,46.658908472676224,52.207100159932345
1629646,2024-25,Charles Bassey,49.91526301063558,52.739849213605666,52.48331089439038,59.40462402296115,57.3496860279804
1629646,2025-26,Charles Bassey,34.04701084849131,41.62932174104065,36.51074659230111,42.243357846023585,43.94567923324123
1629647,2019-20,Darius Bazley,67.8662856328779,70.50191100993737,53.711756996780366,59.5364894598746,60.547957298888896
1629647,2020-21,Darius Bazley,69.08335524247956,77.82171210051382,58.03281922967076,69.82924384873999,71.94712175711078
1629647,2021-22,Darius Bazley,56.53844844996712,69.46991254768679,60.2478712156202,68.27775652687666,66.09302200755
