NBA ID,Season,Player,Mid-Range Shot Rating,,Mid-Range Shot,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Shot Making Efficiency,Midrange Pull Up Shot Making Efficiency,MID-RANGE FGM,Midrange Pull Up FG%,MID-RANGE FG_PCT
1897,2015-16,Metta World Peace,76.75568821831894,0.17141450809706096,-0.1978690262724907,-0.32778146901938016,-0.2066398470976805,0.08903975292692767,-0.2214995742794711,-0.15101980082125468,0.040518061061144826,-0.8267104064016072,-1.2128815711802086,-0.7354682226472994,-0.003083932065285523,0.004381040174686003,0.040518061061144826,0.5083246809879485,0.4978027354362202,0.36339949346513106
1897,2016-17,Metta World Peace,57.29218818966642,-0.7333145272766909,-0.9596214587375427,-1.1081270125981244,-1.2368970110792934,0.05034982594922053,-1.0142201751757065,-1.1203214952658263,-1.34363491045763,-1.9865472405129803,-1.0824745631798232,-1.260013870149616,0.09926418164763705,-1.820999594646251,-1.34363491045763,0.0199379724396935,0.02010828851543881,0.025657556789046722
1905,2013-14,Andrei Kirilenko,65.0460239113931,-0.3929946552667368,-0.6730831912741982,,,,,,,,,,,,,-0.6428123787316439,,-1.2482286295827323
1905,2014-15,Andrei Kirilenko,37.985639305980484,-1.5806889727578195,-1.6730831912741984,,,,,,,,,,,,,-1.642812378731644,,-2.2482286295827323
1938,2013-14,Manu Ginobili,81.31808350069382,0.573376831811077,0.14057018135387234,,,,,,,,,,,,,0.12461232774808438,,0.44376939986384345
1938,2014-15,Manu Ginobili,81.5019486263026,0.5879462610357307,0.15283716706736,,,,,,,,,,,,,0.12461232774808438,,0.6891091141335969
1938,2015-16,Manu Ginobili,85.40777645988078,0.9369321056327494,0.4466719016935438,0.35558795095785983,0.38337485054377374,0.26955708033148823,0.31498828222439046,0.29410562973245746,0.8460000981166403,1.9704341905474474,-1.0345553319502003,0.07959638163444381,0.35661899141337816,1.0884630679992,0.8460000981166403,-0.25910002549177974,0.730082113974371,1.027508720022912
1938,2016-17,Manu Ginobili,58.6550367474044,-0.6734983971207814,-0.9092582219391494,-0.7060752550782093,-1.008454692610426,0.21314541551756305,-0.6238654666573673,-1.0566198147063932,-1.7687185144788917,-1.460729848376725,-1.6148712291054785,-0.6675461722904875,-0.14696510145675104,-1.5971037736569824,-1.7687185144788917,-0.25910002549177974,-0.0927137052597378,0.16035972993154202
1938,2017-18,Manu Ginobili,82.05689534761537,0.6319201084570342,0.1898617168809814,0.2579637481039684,0.08080321072764336,0.49520373958718883,0.5832322104763213,0.478295463065028,1.1558008815995233,-1.663189838251134,-0.31218293913712225,-0.31095540791722476,-0.003083932065285523,0.546422054086943,1.1558008815995233,-0.25910002549177974,0.28228578627711143,0.8667689072254873
2030,2013-14,Kenyon Martin,65.0460239113931,-0.3929946552667368,-0.6730831912741982,,,,,,,,,,,,,-0.6428123787316439,,-1.2482286295827323
2030,2014-15,Kenyon Martin,37.985639305980484,-1.5806889727578195,-1.6730831912741984,,,,,,,,,,,,,-1.642812378731644,,-2.2482286295827323
2034,2013-14,Mike Miller,81.7777463147158,0.609800404872711,0.17123764563759153,,,,,,,,,,,,,0.12461232774808438,,1.0571186855382273
2034,2014-15,Mike Miller,76.2575841272848,0.14043049939166533,-0.22395655422399854,,,,,,,,,,,,,-0.25910002549177974,,0.44376939986384345
2034,2015-16,Mike Miller,37.60821033922446,-1.5972545258942297,-1.6870308484217071,-1.8036994579321008,-1.2671541750609066,-1.6443118896540994,-1.7336016191240662,-1.3352096341538253,-1.7153958506370897,-1.6508898888790962,-1.6960377252762893,-2.3807277010370127,-1.7944303637183459,-1.414468834212058,-1.7153958506370897,-1.642812378731644,-2.5845699199944576,-1.1907298611786226
2034,2016-17,Mike Miller,39.4948073675476,-1.514450803677851,-1.6173128065005373,-1.84030853400231,-1.221768429088487,-2.1745815389049956,-1.6604441841462672,-1.181718106376683,-1.6410436626011977,-1.288593064893314,-1.1308342212760976,,-1.7944303637183459,-1.6854893411681866,-1.6410436626011977,-1.642812378731644,-2.5845699199944576,-2.2482286295827323
2037,2013-14,Jamal Crawford,89.54820191303857,1.4417814672058753,0.8717386500464224,,,,,,,,,,,,,0.8920370342278127,,0.48606935060000767
2037,2014-15,Jamal Crawford,81.21664067277173,0.5653385260319578,0.13380218923608603,,,,,,,,,,,,,0.12461232774808438,,0.30840955750811727
2037,2015-16,Jamal Crawford,91.77218138781562,1.7674754984642709,1.1459624351247246,1.7223267909123396,1.1851896960565194,1.9506246917864578,2.0707667216915735,1.4759903936164518,1.2053690069567846,-0.6828572557013685,-0.133856699907114,1.3531348258246674,2.287024680748874,1.2362924354298155,1.2053690069567846,0.5083246809879485,0.3550826224375217,0.5156793161153227
2037,2016-17,Jamal Crawford,92.62154721792814,1.9711142628282499,1.3174196538425433,1.6857177148421305,1.4575041718910364,1.7813896973446823,2.1195383450101066,1.9057666713924497,1.7010502605293973,0.4999353167228026,-0.09456447770389129,1.225780981405645,2.406925655241762,1.593546740053803,1.7010502605293973,-0.25910002549177974,0.5485689501270327,0.33801952302343236
