NBA ID,Season,Player,3-Point Shot Rating,,Three-Point Shot,FG3A,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,FG3M,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,FG3_PCT
201152,2014-15,Thaddeus Young,75.72611107942134,0.17705779272976796,-0.1972840126616272,1.5,,,,,,,,,,,,,,-0.4543764145946975,,,,,,0.28017330521407485
201152,2015-16,Thaddeus Young,69.64804520174852,-0.31774426954752494,-0.6191759774047034,0.4,-0.4141814657340102,-0.12710583237041878,-0.28875116268798207,-0.028743526755237166,0.31184962534988964,-0.755295582381588,-0.49862945500634026,-0.10104185158524213,-0.423876590229541,-1.2591012234996082,-0.30974031505274047,-0.2951591618499299,-1.8267362236465008,-0.9344249922556089,-0.19169610554945893,-1.5803548275913124,-0.08694113857912825,-1.3098647338673441,-1.5498599147870937,-0.3633495749207936
201152,2016-17,Thaddeus Young,75.95943812126593,0.20251715496797718,-0.17557613960558419,1.6,-0.1475866337000143,0.22136738032830292,0.3014804825272569,-0.2695567373673971,0.02299129619154939,-0.922047604005665,-0.7371758841240754,0.46622546268253173,0.41973739920565056,0.5461079280452845,-0.30974031505274047,0.8960817864635923,-0.05138923887428307,-0.3343642701794697,-0.5204346513321841,-1.025308751297982,-0.7586820031315664,-0.4860855733221692,-0.9191740666661788,0.6185203865220984
201152,2017-18,Thaddeus Young,68.1459422482843,-0.4235201737953443,-0.7093655854677738,2.2,-0.9362630118005852,-1.135844079656192,-1.4254935905099237,-0.18083608082607502,0.02299129619154939,-0.5051675499454727,-0.5582660622857741,-1.3742418236084677,-1.5900488697428943,-0.9016940424890406,-0.30974031505274047,-0.5804863350986764,-0.32451954422385254,-0.2143521257642418,-1.3285835763813836,-0.783174556941831,-0.5465533090623754,-0.995711664167911,-0.750064134417541,0.21383074025171725
201152,2018-19,Thaddeus Young,73.22811907098746,-0.06564067710108407,-0.40422036576779996,1.8,-0.42528958373542675,-0.2004686139912023,-0.07014684964530098,-0.35827739390871916,-0.1992074185456354,-0.8029390171313243,-0.5940480266534343,-0.17667749348761197,-0.10131830015137958,-0.12024444333034699,-0.30974031505274047,0.03296708738613037,-0.3427282312471602,-0.3343642701794697,-0.8491731971149095,-0.9396304979104209,-0.44048896202777993,-1.0096740228212213,-0.9110998523943606,0.406224178642554
201152,2019-20,Thaddeus Young,76.09629846344747,0.21745060203051614,-0.1628431665605557,3.5,-0.11426227969576484,-0.3288534818275735,-0.266890731383714,-0.05409228576704343,-0.15476767559819843,0.05464280836392796,-0.35550159753569915,-0.2649190757070435,-0.22537918095067244,0.0009105332834014398,-0.30974031505274047,-0.045497885257274794,-0.5885455060617779,0.38570859631189747,-0.6985013636311602,0.10340910854684415,-0.5701231639589522,-0.24174429688927726,-0.032804766604352956,0.45266397411620435
201152,2020-21,Thaddeus Young,69.92843947793628,-0.2979993126247839,-0.6023404803342925,0.7,-0.836289949787837,-0.4939197404743364,-0.5073554757306632,-0.421649291438235,-0.15476767559819843,-0.7910281584438902,-0.7848851699476225,-0.844792330291879,-0.8580896730270661,-0.25351491760547246,-0.30974031505274047,-0.052631064588492066,0.5586017764064294,-0.8144128478403811,-1.1779117428976347,-1.3791971892031254,-0.7586820031315664,-0.26268783486924013,-1.3847870896743648,-0.13778485404877786
201152,2021-22,Thaddeus Young,74.26947085819229,0.01811723123361252,-0.33280435681371345,0.9,-0.40307334773259373,0.019619730871148242,0.03915530687603959,-0.345603014402816,-0.088108061177043,-0.7076521476318517,-0.5463387408298873,0.16368289507305234,0.22123998992678195,-0.4413051313567879,-0.30974031505274047,-1.4507342135073555,-0.3427282312471602,-0.6944007034251531,-0.5615269695550248,-0.9582562051685863,-0.28728490520003086,0.4493924564494728,-0.8980913960675424,0.43939546112373284
201152,2022-23,Thaddeus Young,54.79886936115982,-1.7149535938943394,-1.8105036454686187,0.6,-1.8473980677892534,-1.6039639129055117,-1.7259597887733442,-1.8906013331566518,,,-1.86837642013883,-2.298606181706098,-2.403957548543955,-2.246985725838231,-1.3097403150527405,-1.6018858730923333,0.6024127034615157,-1.934424992255609,-2.6162298039412684,-2.144513277750241,-1.7115422933384128,-2.2121282232941875,-1.9196226341257243,-1.741502195206232
201152,2023-24,Thaddeus Young,45.43295054756357,-2.6972568177351466,-0.5164425984489709,0.2,-0.791857477782171,-0.2004686139912023,-0.24503030007944587,-0.9032757126625549,,,-0.9995769561535841,-0.3279487772923517,-0.337033973670036,0.34014446780190566,-0.30974031505274047,0.4609578472592527,0.8590451122909571,-1.0544371366708367,-1.2737938187509297,-1.487226291300485,-0.5465533090623754,0.07240877281015594,-1.3991412483798193,-0.960432659582012
