NBA_ID,Season,Player,RotationRole,MIN,Hands,Hands Aggregate Z,Hands Rating,MissingMetricCount,MissingMetrics,Playmaking Talent Raw,Playmaking Talent Z,Playmaking Talent MatchedBy,Touches Per 75 Raw,Touches Per 75 Z,Touches Per 75 MatchedBy,TOUCHES Raw,TOUCHES Z,TOUCHES MatchedBy
1630270,2021-22,Xavier Sneed,Too Few Games,38.699999999999996,-2.1747230162789397,-1.6159444084368555,54.88346711480464,0,,-0.89,-1.7058355738763522,season+player,35.13,-2.4035414062877885,season+player,4.1,-2.4147920686726785,season+player
1630270,2022-23,Xavier Sneed,Too Few Games,48.4,-1.6203614960823771,-1.1334423632623667,65.014376001347,0,,-0.66,-1.4327846459770797,season+player,48.48,-1.5953483955718855,season+player,16.0,-1.832951446698166,season+player
1630271,2020-21,Brodric Thomas,Rotation,400.0,-0.42439259078705516,-0.09250171037311637,79.01859034795832,0,,-0.47,-0.2072208359733328,season+player,52.85,-0.33079382951731584,season+player,18.0,-0.7351631068705169,season+player
1630271,2021-22,Brodric Thomas,Garbage Time,60.0,-1.6962441171961695,-1.199488649930358,63.981360295377584,0,,-0.67,-1.444656425450961,season+player,51.7,-1.400413452163255,season+player,7.6,-2.2436624739742923,season+player
1630273,2020-21,Freddie Gillespie,Rotation,392.0,-0.6389502735821936,-0.2792472130549156,76.87430032711214,0,,-0.95,-0.7770662507196403,season+player,46.3,-0.7273229845876658,season+player,24.6,-0.4124615854392746,season+player
1630273,2021-22,Freddie Gillespie,Garbage Time,118.8,-1.6571427700592858,-1.1654558405175863,64.51366011744608,0,,-0.74,-1.527758881768131,season+player,47.58,-1.6498333176426203,season+player,16.8,-1.7938361107671064,season+player
1630278,2021-22,Ade Murkey,Too Few Games,1.5,-3.5727638482174204,-2.8327632821721385,25.0,1,Playmaking Talent,,,season+player,0.0,-4.530269531115481,season+player,0.0,-2.61525816531936,season+player
1630283,2024-25,Kylor Kelley,Too Few Games,126.5,-1.5446600585443373,-1.0675537741304917,66.04492519421146,0,,-0.79,-1.587117779137538,season+player,53.65,-1.2823627876766626,season+player,17.4,-1.7644996088188116,season+player
1630284,2022-23,Kevon Harris,Rotation,455.6,-0.9266172514153608,-0.5296251705373407,73.70827762858056,0,,-0.72,-0.504015322820368,season+player,36.58,-1.3157601429516044,season+player,13.4,-0.9600762884741101,season+player
1630284,2023-24,Kevon Harris,Too Few Games,6.0,-2.0005782088911603,-1.4643732357275236,58.60585526391965,0,,-0.84,-1.646476676506945,season+player,42.86,-1.9355764645024753,season+player,4.0,-2.419681485664061,season+player
1630284,2025-26,Kevon Harris,,,-2.0,-1.4638699775424606,58.61821462137884,3,Playmaking Talent | Touches Per 75 | TOUCHES,,,,,,,,,
1630285,2021-22,Zavier Simpson,Too Few Games,174.0,0.45201227249914727,0.6702985986860746,87.5376376334782,0,,0.93,0.2531401225243912,season+player,98.19,0.4200421712234984,season+player,113.3,0.6828545237495521,season+player
1630285,2023-24,Zavier Simpson,Too Few Games,161.70000000000002,0.1556439465161094,0.4123472110048882,84.41692157970778,1,TOUCHES,0.36,0.12582473032002187,season+player,77.26,0.18546316271219696,season+player,,,
1630286,2021-22,Trevon Scott,Too Few Games,11.4,-1.6468000552622277,-1.1564538068979595,64.65445898115036,0,,-0.72,-1.504015322820368,season+player,54.0,-1.2611742068713767,season+player,9.0,-2.1752106360949384,season+player
1630288,2021-22,Jeff Dowtin Jr,Too Few Games,108.0,-1.0148402376306938,-0.6064121944007673,72.70937093228875,0,,-0.67,-1.444656425450961,season+player,61.06,0.017952811636218084,season+player,20.4,-1.617817099077338,season+player
1630288,2022-23,Jeff Dowtin Jr,Garbage Time,257.5,-0.9164896031844805,-0.5208103253394365,73.82294814778994,0,,-0.38,-1.1003748207084,season+player,65.09,0.1056267859910054,season+player,17.6,-1.7547207748360467,season+player
