NBA_ID,Season,Player,RotationRole,MIN,Driving Dunk,Driving Dunk Aggregate Z,Driving Dunk Rating,MissingMetricCount,MissingMetrics,Drving Dunk_PG Raw,Drving Dunk_PG Z,Drving Dunk_PG MatchedBy,Drving Dunk_FGM Raw,Drving Dunk_FGM Z,Drving Dunk_FGM MatchedBy,Rim Shot Creation Raw,Rim Shot Creation Z,Rim Shot Creation MatchedBy,dunkScore_max Raw,dunkScore_max Z,dunkScore_max MatchedBy,dunkScore_total Raw,dunkScore_total Z,dunkScore_total MatchedBy,dunkScore_average Raw,dunkScore_average Z,dunkScore_average MatchedBy,jumpSubscore_average Raw,jumpSubscore_average Z,jumpSubscore_average MatchedBy,powerSubscore_average Raw,powerSubscore_average Z,powerSubscore_average MatchedBy,styleSubscore_average Raw,styleSubscore_average Z,styleSubscore_average MatchedBy,hangTime_average Raw,hangTime_average Z,hangTime_average MatchedBy,takeoffDistance_average Raw,takeoffDistance_average Z,takeoffDistance_average MatchedBy,DRIVES Raw,DRIVES Z,DRIVES MatchedBy,DRIVE_FGM Raw,DRIVE_FGM Z,DRIVE_FGM MatchedBy
1713,2018-19,Vince Carter,Rotation,1330.0,-0.0909309633606665,0.2042679867564368,69.7856356394901,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.14473684210526316,-0.1633211583138478,season+player,11.0,0.02230730558247503,season+player,-0.12,0.13979455269213353,season+player,,,,,,,,,,,,,,,,,,,,,,,,,1.6,-0.475402248101933,season+player,0.4,-0.3522699938569243,season+player
1713,2019-20,Vince Carter,Rotation,876.0,-0.4497057679879607,-0.18514566819028724,60.45219646118409,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.016666666666666666,-0.6768652832045505,season+player,1.0,-0.5973002709937776,season+player,-0.11,0.15215921366146776,season+player,,,,,,,,,,,,,,,,,,,,,,,,,1.2,-0.5800624721979899,season+player,0.3,-0.47064308522028664,season+player
1717,2013-14,Dirk Nowitzki,Star,2632.0,-0.43917773263641324,-0.1737185538199976,60.732885022140565,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0625,-0.49307980015291203,season+player,5.0,-0.3494572403632765,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.6585576402700327,season+player,0.3,-0.47064308522028664,season+player
1717,2014-15,Dirk Nowitzki,Star,2279.2000000000003,-0.5455003779848211,-0.28912099957350856,57.89821080958256,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.03896103896103896,-0.587467858154639,season+player,3.0,-0.47337875567852705,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.7108877523180611,season+player,0.2,-0.5890161765836489,season+player
1717,2015-16,Dirk Nowitzki,Starter,2362.5,-0.5455439102211637,-0.2891682493999833,57.89705019410529,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.06666666666666667,-0.47637202896639946,season+player,5.0,-0.3494572403632765,season+player,-0.83,-0.7380963761305961,season+player,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.7632178643660896,season+player,0.1,-0.7073892679470112,season+player
1717,2016-17,Dirk Nowitzki,Key Rotation,1425.6,-0.6546891297664896,-0.4076343131116227,54.991851591480696,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.037037037037037035,-0.5951828462927112,season+player,2.0,-0.5353395133361523,season+player,-0.88,-0.7999196809772672,season+player,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.8417130324381323,season+player,0.1,-0.7073892679470112,season+player
1717,2017-18,Dirk Nowitzki,Key Rotation,1901.8999999999999,-0.7653404301915729,-0.527735074835685,53.12505224573341,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.012987012987012988,-0.6916201980186135,season+player,1.0,-0.5973002709937776,season+player,-1.05,-1.010118917455949,season+player,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.8678780884621465,season+player,0.0,-0.8257623593103735,season+player
1717,2018-19,Dirk Nowitzki,Rotation,795.6,-0.8058819188417391,-0.5717387480831495,52.441076330430064,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0392156862745098,-0.5864467567834236,season+player,2.0,-0.5353395133361523,season+player,-1.39,-1.4305173904133124,season+player,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.8940431444861608,season+player,0.0,-0.8257623593103735,season+player
1718,2013-14,Paul Pierce,Starter,2100.0,0.04300372930002599,0.34964050879668324,73.19145528614817,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.14666666666666667,-0.15558282218535777,season+player,11.0,0.02230730558247503,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,0.9113457211708218,season+player,1.0,0.35796855432324937,season+player
1718,2014-15,Paul Pierce,Starter,1912.6,-0.10656297384431437,0.18730102514683739,69.38812990468509,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.136986301369863,-0.1943997809967624,season+player,10.0,-0.03965345207515023,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,-0.030596295693690972,season+player,0.6,-0.11552381113019979,season+player
